Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-3.608,1,-3.612,1,-0.952,1,-1.01,1,-3.607,1,-3.612,1,-0.584,1,0.207
2,-3.598,2,-3.612,2,-1.256,2,-1.236,2,-3.594,2,-3.612,2,-1.049,2,0.202
3,-3.566,3,-3.612,3,-1.627,3,-0.934,3,-3.548,3,-3.612,3,-1.429,3,0.182
4,-3.454,4,-3.61,4,-1.805,4,-1.863,4,-3.394,4,-3.604,4,-1.651,4,0.111
5,-3.028,5,-3.501,5,-2.082,5,-1.675,5,-2.771,5,-3.301,5,-1.857,5,0.202
6,-2.363,6,-0.817,6,-2.393,6,-1.026,6,-1.936,6,-0.419,6,-2.083,6,0.204
7,-1.966,7,-0.203,7,-2.567,7,-1.433,7,-1.496,7,-0.194,7,-2.253,7,0.191
8,-1.696,8,-0.153,8,-2.71,8,-1.445,8,-1.263,8,-0.15,8,-2.28,8,0.202
9,-1.596,9,-0.156,9,-2.857,9,-1.328,9,-1.059,9,-0.173,9,-2.393,9,0.124
10,-1.448,10,-0.211,10,-2.999,10,-0.919,10,-0.854,10,-0.352,10,-2.561,10,0.193
11,-1.404,11,-0.636,11,-3.143,11,-0.562,11,-0.656,11,-1.435,11,-2.709,11,0.181
12,-1.31,12,-2.345,12,-3.055,12,-0.943,12,-0.6,12,-3.212,12,-2.647,12,0.178
13,-1.275,13,-3.566,13,-3.15,13,-1.561,13,-0.555,13,-3.771,13,-2.815,13,0.18
14,-1.251,14,-3.834,14,-3.05,14,-0.842,14,-0.498,14,-3.878,14,-2.772,14,0.173
15,-1.235,15,-3.876,15,-3.091,15,-1.246,15,-0.465,15,-3.884,15,-2.93,15,0.17
16,-1.223,16,-3.883,16,-3.196,16,-1.534,16,-0.43,16,-3.891,16,-3.064,16,0.143
17,-1.197,17,-3.874,17,-3.181,17,-2.445,17,-0.429,17,-3.884,17,-3.077,17,0.032
18,-1.17,18,-3.871,18,-3.161,18,-0.913,18,-0.397,18,-3.868,18,-3.123,18,0.134
19,-1.128,19,-3.852,19,-3.146,19,-0.73,19,-0.409,19,-3.871,19,-3.17,19,0.098
20,-1.081,20,-3.84,20,-3.155,20,-1.193,20,-0.351,20,-3.862,20,-3.202,20,0.163
21,-1.017,21,-3.818,21,-3.187,21,-1.088,21,-0.348,21,-3.83,21,-3.267,21,0.061
22,-0.95,22,-3.808,22,-3.179,22,-1.228,22,-0.326,22,-3.806,22,-3.297,22,0.092
23,-0.911,23,-3.78,23,-3.225,23,-1.879,23,-0.279,23,-3.789,23,-3.355,23,-0.038
24,-0.861,24,-3.77,24,-3.19,24,-2.207,24,-0.25,24,-3.759,24,-3.347,24,-0.108
25,-0.798,25,-3.744,25,-3.188,25,-1.241,25,-0.215,25,-3.789,25,-3.363,25,0.027
26,-0.785,26,-3.835,26,-3.188,26,-1.041,26,-0.212,26,-3.788,26,-3.388,26,0.116
27,-0.8,27,-3.791,27,-3.227,27,-1.087,27,-0.185,27,-3.842,27,-3.422,27,0.01
28,-0.786,28,-3.869,28,-3.187,28,-1.522,28,-0.157,28,-3.868,28,-3.408,28,-0.121
29,-0.787,29,-3.908,29,-3.214,29,-0.952,29,-0.165,29,-3.87,29,-3.432,29,-0.048
30,-0.78,30,-3.91,30,-3.199,30,-1.545,30,-0.126,30,-3.887,30,-3.43,30,0.059
31,-0.772,31,-3.911,31,-3.239,31,-1.344,31,-0.121,31,-3.902,31,-3.457,31,-0.18
32,-0.771,32,-3.92,32,-3.209,32,-1.088,32,-0.123,32,-3.899,32,-3.439,32,-0.261
33,-0.764,33,-3.911,33,-3.205,33,-1.525,33,-0.114,33,-3.898,33,-3.448,33,-0.255
34,-0.769,34,-3.904,34,-3.182,34,-1.709,34,-0.076,34,-3.874,34,-3.441,34,-0.204
