Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-3.384,1,-3.889,1,-1.021,1,-1.147,1,-3.658,1,-3.906,1,-1.96,1,-0.921
2,-3.345,2,-3.889,2,-1.342,2,-1.457,2,-3.615,2,-3.905,2,-2.574,2,-0.198
3,-3.277,3,-3.886,3,-1.647,3,-1.271,3,-3.524,3,-3.906,3,-2.973,3,-0.725
4,-3.193,4,-3.882,4,-2.036,4,-1.932,4,-3.507,4,-3.906,4,-3.208,4,-1.668
5,-3.053,5,-3.889,5,-2.273,5,-2.909,5,-3.497,5,-3.906,5,-3.339,5,-2.762
6,-2.943,6,-3.888,6,-2.58,6,-1.644,6,-3.451,6,-3.906,6,-3.446,6,-2.364
7,-2.787,7,-3.888,7,-2.795,7,-1.365,7,-3.358,7,-3.906,7,-3.538,7,-2.808
8,-2.645,8,-3.886,8,-2.937,8,-1.518,8,-3.281,8,-3.906,8,-3.572,8,-2.346
9,-2.462,9,-3.882,9,-3.099,9,-3.248,9,-3.166,9,-3.906,9,-3.628,9,-3.328
10,-2.227,10,-3.882,10,-3.178,10,-3.61,10,-3.035,10,-3.906,10,-3.655,10,-3.674
11,-1.999,11,-3.883,11,-3.301,11,-1.619,11,-2.804,11,-3.905,11,-3.692,11,-3.117
12,-1.853,12,-3.885,12,-3.396,12,-2.392,12,-2.654,12,-3.905,12,-3.717,12,-3.334
13,-1.72,13,-3.879,13,-3.438,13,-3.659,13,-2.529,13,-3.904,13,-3.74,13,-3.611
14,-1.548,14,-3.879,14,-3.472,14,-3.151,14,-2.331,14,-3.904,14,-3.748,14,-3.635
15,-1.429,15,-3.878,15,-3.543,15,-3.19,15,-2.154,15,-3.904,15,-3.77,15,-3.58
16,-1.345,16,-3.876,16,-3.575,16,-3.403,16,-2.0,16,-3.903,16,-3.78,16,-2.946
17,-1.244,17,-3.875,17,-3.612,17,-3.601,17,-1.855,17,-3.903,17,-3.792,17,-3.712
18,-1.212,18,-3.865,18,-3.647,18,-3.065,18,-1.71,18,-3.902,18,-3.8,18,-3.636
19,-1.138,19,-3.863,19,-3.663,19,-3.18,19,-1.643,19,-3.901,19,-3.809,19,-3.55
20,-1.104,20,-3.853,20,-3.682,20,-3.363,20,-1.479,20,-3.901,20,-3.812,20,-3.717
21,-1.033,21,-3.849,21,-3.7,21,-3.485,21,-1.402,21,-3.899,21,-3.823,21,-3.754
22,-0.997,22,-3.838,22,-3.713,22,-3.588,22,-1.353,22,-3.898,22,-3.827,22,-3.812
23,-0.97,23,-3.831,23,-3.747,23,-3.473,23,-1.236,23,-3.896,23,-3.836,23,-3.7
24,-0.96,24,-3.822,24,-3.75,24,-3.554,24,-1.156,24,-3.894,24,-3.837,24,-3.666
25,-0.926,25,-3.819,25,-3.758,25,-3.681,25,-1.059,25,-3.892,25,-3.84,25,-3.626
26,-0.911,26,-3.797,26,-3.771,26,-3.646,26,-1.045,26,-3.889,26,-3.844,26,-3.738
27,-0.885,27,-3.783,27,-3.772,27,-3.437,27,-0.953,27,-3.887,27,-3.846,27,-3.795
28,-0.89,28,-3.769,28,-3.773,28,-3.655,28,-0.921,28,-3.883,28,-3.847,28,-3.741
29,-0.872,29,-3.758,29,-3.78,29,-3.776,29,-0.945,29,-3.88,29,-3.85,29,-3.686
30,-0.882,30,-3.721,30,-3.783,30,-3.296,30,-0.797,30,-3.875,30,-3.852,30,-3.786
31,-0.893,31,-3.707,31,-3.789,31,-3.317,31,-0.816,31,-3.87,31,-3.855,31,-3.736
32,-0.845,32,-3.679,32,-3.789,32,-3.699,32,-0.826,32,-3.863,32,-3.857,32,-3.813
33,-0.825,33,-3.632,33,-3.796,33,-3.743,33,-0.795,33,-3.858,33,-3.861,33,-3.775
34,-0.851,34,-3.616,34,-3.794,34,-3.607,34,-0.672,34,-3.848,34,-3.861,34,-3.757
35,-0.846,35,-3.583,35,-3.806,35,-3.741,35,-0.72,35,-3.838,35,-3.865,35,-3.828
36,-0.849,36,-3.529,36,-3.807,36,-3.782,36,-0.654,36,-3.828,36,-3.865,36,-3.781
37,-0.844,37,-3.467,37,-3.802,37,-3.714,37,-0.579,37,-3.821,37,-3.865,37,-3.814
38,-0.849,38,-3.403,38,-3.798,38,-3.638,38,-0.601,38,-3.8,38,-3.865,38,-3.733
39,-0.841,39,-3.362,39,-3.8,39,-3.739,39,-0.548,39,-3.788,39,-3.866,39,-3.825
40,-0.854,40,-3.303,40,-3.798,40,-3.692,40,-0.606,40,-3.773,40,-3.868,40,-3.752
41,-0.856,41,-3.168,41,-3.797,41,-3.767,41,-0.528,41,-3.747,41,-3.866,41,-3.85
42,-0.844,42,-3.101,42,-3.798,42,-3.744,42,-0.577,42,-3.72,42,-3.869,42,-3.849
43,-0.83,43,-2.999,43,-3.798,43,-3.788,43,-0.558,43,-3.687,43,-3.87,43,-3.874
44,-0.843,44,-2.896,44,-3.8,44,-3.791,44,-0.551,44,-3.643,44,-3.87,44,-3.817
45,-0.835,45,-2.804,45,-3.801,45,-3.8,45,-0.538,45,-3.591,45,-3.871,45,-3.831
46,-0.842,46,-2.724,46,-3.806,46,-3.786,46,-0.534,46,-3.527,46,-3.874,46,-3.845
47,-0.814,47,-2.583,47,-3.801,47,-3.706,47,-0.501,47,-3.473,47,-3.873,47,-3.852
48,-0.83,48,-2.439,48,-3.81,48,-3.736,48,-0.468,48,-3.383,48,-3.875,48,-3.862
49,-0.828,49,-2.29,49,-3.816,49,-3.611,49,-0.387,49,-3.279,49,-3.876,49,-3.866
50,-0.838,50,-2.151,50,-3.812,50,-3.705,50,-0.425,50,-3.164,50,-3.877,50,-3.829
51,-0.835,51,-2.043,51,-3.811,51,-3.728,51,-0.375,51,-3.011,51,-3.877,51,-3.867
52,-0.823,52,-1.828,52,-3.817,52,-3.614,52,-0.473,52,-2.902,52,-3.879,52,-3.845
53,-0.842,53,-1.655,53,-3.818,53,-3.845,53,-0.397,53,-2.741,53,-3.88,53,-3.872
54,-0.848,54,-1.545,54,-3.821,54,-3.692,54,-0.44,54,-2.519,54,-3.881,54,-3.867
55,-0.853,55,-1.37,55,-3.822,55,-3.777,55,-0.394,55,-2.478,55,-3.881,55,-3.865
56,-0.87,56,-1.228,56,-3.826,56,-3.756,56,-0.315,56,-2.257,56,-3.883,56,-3.865
57,-0.842,57,-1.151,57,-3.826,57,-3.724,57,-0.398,57,-2.137,57,-3.883,57,-3.874
58,-0.852,58,-1.063,58,-3.828,58,-3.84,58,-0.309,58,-1.918,58,-3.883,58,-3.867
59,-0.836,59,-1.05,59,-3.836,59,-3.765,59,-0.341,59,-1.79,59,-3.885,59,-3.85
60,-0.838,60,-0.958,60,-3.832,60,-3.675,60,-0.327,60,-1.782,60,-3.886,60,-3.864
61,-0.868,61,-0.924,61,-3.832,61,-3.792,61,-0.285,61,-1.572,61,-3.886,61,-3.834
62,-0.838,62,-0.942,62,-3.834,62,-3.688,62,-0.3,62,-1.515,62,-3.886,62,-3.808
63,-0.836,63,-0.883,63,-3.838,63,-3.721,63,-0.322,63,-1.351,63,-3.888,63,-3.79
64,-0.842,64,-0.863,64,-3.836,64,-3.709,64,-0.279,64,-1.237,64,-3.888,64,-3.835
65,-0.836,65,-0.881,65,-3.836,65,-3.835,65,-0.254,65,-1.14,65,-3.887,65,-3.889
66,-0.838,66,-0.862,66,-3.833,66,-3.747,66,-0.341,66,-1.073,66,-3.887,66,-3.862
67,-0.868,67,-0.857,67,-3.837,67,-3.853,67,-0.282,67,-0.997,67,-3.888,67,-3.882
68,-0.831,68,-0.812,68,-3.841,68,-3.845,68,-0.245,68,-0.824,68,-3.89,68,-3.891
69,-0.848,69,-0.849,69,-3.844,69,-3.846,69,-0.282,69,-0.814,69,-3.891,69,-3.861
70,-0.849,70,-0.839,70,-3.842,70,-3.713,70,-0.236,70,-0.77,70,-3.89,70,-3.871
71,-0.876,71,-0.843,71,-3.843,71,-3.786,71,-0.306,71,-0.671,71,-3.891,71,-3.859
72,-0.848,72,-0.862,72,-3.848,72,-3.817,72,-0.25,72,-0.614,72,-3.892,72,-3.886
73,-0.838,73,-0.84,73,-3.845,73,-3.818,73,-0.28,73,-0.627,73,-3.892,73,-3.855
74,-0.852,74,-0.847,74,-3.847,74,-3.814,74,-0.284,74,-0.648,74,-3.892,74,-3.868
75,-0.857,75,-0.814,75,-3.85,75,-3.765,75,-0.216,75,-0.576,75,-3.893,75,-3.862
76,-0.861,76,-0.846,76,-3.85,76,-3.798,76,-0.203,76,-0.465,76,-3.893,76,-3.881
77,-0.856,77,-0.83,77,-3.85,77,-3.827,77,-0.233,77,-0.464,77,-3.894,77,-3.894
78,-0.854,78,-0.857,78,-3.85,78,-3.85,78,-0.209,78,-0.44,78,-3.894,78,-3.857
79,-0.842,79,-0.838,79,-3.852,79,-3.701,79,-0.249,79,-0.447,79,-3.894,79,-3.876
80,-0.855,80,-0.862,80,-3.856,80,-3.808,80,-0.208,80,-0.336,80,-3.895,80,-3.865
81,-0.853,81,-0.866,81,-3.857,81,-3.768,81,-0.228,81,-0.294,81,-3.896,81,-3.875
82,-0.854,82,-0.872,82,-3.857,82,-3.834,82,-0.223,82,-0.339,82,-3.896,82,-3.878
83,-0.852,83,-0.838,83,-3.856,83,-3.586,83,-0.24,83,-0.404,83,-3.896,83,-3.832
84,-0.858,84,-0.835,84,-3.856,84,-3.765,84,-0.235,84,-0.313,84,-3.895,84,-3.881
85,-0.841,85,-0.838,85,-3.86,85,-3.807,85,-0.258,85,-0.255,85,-3.897,85,-3.89
86,-0.851,86,-0.829,86,-3.858,86,-3.766,86,-0.311,86,-0.32,86,-3.897,86,-3.868
87,-0.821,87,-0.858,87,-3.868,87,-3.821,87,-0.307,87,-0.195,87,-3.899,87,-3.898
88,-0.85,88,-0.888,88,-3.869,88,-3.771,88,-0.283,88,-0.316,88,-3.899,88,-3.893
89,-0.845,89,-0.85,89,-3.871,89,-3.658,89,-0.242,89,-0.282,89,-3.9,89,-3.877
90,-0.865,90,-0.855,90,-3.875,90,-3.805,90,-0.183,90,-0.316,90,-3.901,90,-3.824
91,-0.857,91,-0.854,91,-3.874,91,-3.534,91,-0.263,91,-0.244,91,-3.9,91,-3.867
92,-0.866,92,-0.858,92,-3.871,92,-3.785,92,-0.216,92,-0.232,92,-3.9,92,-3.842
93,-0.857,93,-0.843,93,-3.874,93,-3.774,93,-0.22,93,-0.216,93,-3.901,93,-3.881
94,-0.858,94,-0.848,94,-3.877,94,-3.82,94,-0.206,94,-0.205,94,-3.902,94,-3.873
95,-0.87,95,-0.867,95,-3.877,95,-3.645,95,-0.215,95,-0.194,95,-3.902,95,-3.837
96,-0.853,96,-0.86,96,-3.878,96,-3.612,96,-0.223,96,-0.251,96,-3.902,96,-3.885
97,-0.847,97,-0.849,97,-3.88,97,-3.806,97,-0.197,97,-0.158,97,-3.903,97,-3.896
98,-0.853,98,-0.862,98,-3.882,98,-3.672,98,-0.244,98,-0.195,98,-3.904,98,-3.886
99,-0.859,99,-0.852,99,-3.885,99,-3.761,99,-0.197,99,-0.238,99,-3.904,99,-3.872
