Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-0.79,1,-3.61,1,-0.41,1,-0.42,1,-0.67,1,-3.64,1,-0.31,1,-0.29
2,-0.75,2,-3.6,2,-0.41,2,-0.41,2,-0.64,2,-3.63,2,-0.35,2,-0.28
3,-0.72,3,-3.56,3,-0.44,3,-0.43,3,-0.6,3,-3.58,3,-0.4,3,-0.31
4,-0.68,4,-3.54,4,-0.45,4,-0.44,4,-0.57,4,-3.57,4,-0.42,4,-0.32
5,-0.65,5,-3.52,5,-0.48,5,-0.46,5,-0.54,5,-3.55,5,-0.46,5,-0.33
6,-0.61,6,-3.48,6,-0.5,6,-0.44,6,-0.5,6,-3.52,6,-0.48,6,-0.32
7,-0.58,7,-3.48,7,-0.54,7,-0.51,7,-0.48,7,-3.52,7,-0.52,7,-0.38
8,-0.56,8,-3.42,8,-0.55,8,-0.46,8,-0.45,8,-3.45,8,-0.54,8,-0.34
9,-0.53,9,-3.39,9,-0.57,9,-0.5,9,-0.43,9,-3.42,9,-0.57,9,-0.38
10,-0.52,10,-3.32,10,-0.59,10,-0.44,10,-0.41,10,-3.35,10,-0.6,10,-0.32
11,-0.5,11,-3.27,11,-0.62,11,-0.48,11,-0.4,11,-3.3,11,-0.64,11,-0.37
12,-0.49,12,-3.21,12,-0.66,12,-0.48,12,-0.38,12,-3.25,12,-0.68,12,-0.38
13,-0.48,13,-3.1,13,-0.69,13,-0.5,13,-0.37,13,-3.14,13,-0.71,13,-0.43
14,-0.46,14,-3.07,14,-0.72,14,-0.49,14,-0.35,14,-3.12,14,-0.75,14,-0.38
15,-0.45,15,-2.98,15,-0.77,15,-0.58,15,-0.34,15,-3.02,15,-0.79,15,-0.5
16,-0.44,16,-2.96,16,-0.81,16,-0.53,16,-0.33,16,-3.01,16,-0.85,16,-0.43
17,-0.44,17,-2.88,17,-0.84,17,-0.57,17,-0.33,17,-2.94,17,-0.87,17,-0.45
18,-0.44,18,-2.79,18,-0.86,18,-0.51,18,-0.32,18,-2.85,18,-0.89,18,-0.4
19,-0.43,19,-2.69,19,-0.89,19,-0.51,19,-0.32,19,-2.75,19,-0.93,19,-0.41
20,-0.43,20,-2.63,20,-0.92,20,-0.59,20,-0.31,20,-2.68,20,-0.98,20,-0.49
21,-0.42,21,-2.57,21,-0.96,21,-0.53,21,-0.31,21,-2.64,21,-1.0,21,-0.45
22,-0.42,22,-2.52,22,-0.99,22,-0.58,22,-0.3,22,-2.58,22,-1.04,22,-0.51
23,-0.42,23,-2.42,23,-1.04,23,-0.63,23,-0.3,23,-2.48,23,-1.08,23,-0.52
24,-0.41,24,-2.35,24,-1.04,24,-0.62,24,-0.29,24,-2.41,24,-1.09,24,-0.52
25,-0.41,25,-2.25,25,-1.08,25,-0.6,25,-0.29,25,-2.3,25,-1.13,25,-0.48
26,-0.41,26,-2.2,26,-1.08,26,-0.56,26,-0.29,26,-2.26,26,-1.13,26,-0.47
27,-0.41,27,-2.09,27,-1.12,27,-0.58,27,-0.29,27,-2.16,27,-1.17,27,-0.49
28,-0.41,28,-1.98,28,-1.15,28,-0.68,28,-0.29,28,-2.05,28,-1.19,28,-0.59
29,-0.41,29,-1.95,29,-1.17,29,-0.7,29,-0.29,29,-1.99,29,-1.22,29,-0.6
30,-0.41,30,-1.82,30,-1.2,30,-0.68,30,-0.29,30,-1.88,30,-1.26,30,-0.58
31,-0.41,31,-1.76,31,-1.23,31,-0.78,31,-0.29,31,-1.81,31,-1.28,31,-0.69
32,-0.4,32,-1.7,32,-1.23,32,-0.65,32,-0.28,32,-1.75,32,-1.28,32,-0.56
33,-0.41,33,-1.6,33,-1.25,33,-0.68,33,-0.29,33,-1.63,33,-1.32,33,-0.58
34,-0.41,34,-1.5,34,-1.26,34,-0.59,34,-0.28,34,-1.54,34,-1.33,34,-0.5
35,-0.4,35,-1.41,35,-1.28,35,-0.64,35,-0.28,35,-1.45,35,-1.36,35,-0.56
36,-0.4,36,-1.38,36,-1.31,36,-0.73,36,-0.28,36,-1.41,36,-1.39,36,-0.64
37,-0.4,37,-1.3,37,-1.32,37,-0.67,37,-0.28,37,-1.33,37,-1.4,37,-0.6
38,-0.41,38,-1.25,38,-1.3,38,-0.69,38,-0.28,38,-1.26,38,-1.39,38,-0.6
39,-0.4,39,-1.15,39,-1.34,39,-0.61,39,-0.28,39,-1.17,39,-1.4,39,-0.56
40,-0.41,40,-1.13,40,-1.33,40,-0.68,40,-0.28,40,-1.15,40,-1.43,40,-0.58
41,-0.4,41,-1.05,41,-1.38,41,-0.82,41,-0.28,41,-1.06,41,-1.47,41,-0.76
42,-0.41,42,-1.02,42,-1.38,42,-0.73,42,-0.28,42,-1.03,42,-1.46,42,-0.65
43,-0.4,43,-0.95,43,-1.4,43,-0.78,43,-0.28,43,-0.94,43,-1.49,43,-0.73
44,-0.4,44,-0.94,44,-1.4,44,-0.76,44,-0.28,44,-0.93,44,-1.5,44,-0.65
