Hum SNR,score,WhiteNoise SNR,score.1,Clipping Percentage(%),score.2,Dropout Num,score.3,Hum SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage(%).1,score.6,Dropout Num.1,score.7
1,-2.4170833333333333,1.0,-3.0295,1.0,-1.51075,1.0,-1.3614166666666667,1.0,-1.8146666666666667,1.0,-3.0238333333333336,1.0,-0.9283333333333333,1.0,0.1729166666666667
2,-2.1711666666666667,2.0,-2.7415833333333333,2.0,-1.7615833333333333,2.0,-1.3634166666666667,2.0,-1.4551666666666667,2.0,-2.6659166666666665,2.0,-1.3770833333333332,2.0,0.15725
3,-1.96175,3.0,-2.3138333333333336,3.0,-1.9505,3.0,-1.3804999999999998,3.0,-1.32825,3.0,-2.21325,3.0,-1.6829999999999998,3.0,0.14408333333333334
4,-1.7860833333333332,4.0,-1.7729166666666665,4.0,-2.142,4.0,-1.5985000000000003,4.0,-1.2044166666666667,4.0,-1.9500833333333334,4.0,-1.9342499999999998,4.0,0.16025
5,-1.6303333333333334,5.0,-1.7684166666666667,5.0,-2.346416666666667,5.0,-1.4330833333333333,5.0,-1.0705,5.0,-2.1599166666666667,5.0,-2.1813333333333333,5.0,0.1265
6,-1.5819166666666666,6.0,-1.8269166666666667,6.0,-2.4970833333333333,6.0,-1.61675,6.0,-1.0026666666666666,6.0,-2.0886666666666667,6.0,-2.3409166666666668,6.0,0.14008333333333334
7,-1.595,7.0,-1.9394166666666666,7.0,-2.6419166666666665,7.0,-1.6465833333333333,7.0,-0.9568333333333333,7.0,-2.3745833333333333,7.0,-2.487083333333333,7.0,0.10641666666666666
8,-1.5780833333333335,8.0,-2.2746666666666666,8.0,-2.7546666666666666,8.0,-1.4984166666666667,8.0,-0.88,8.0,-2.704,8.0,-2.6100833333333333,8.0,0.12558333333333332
9,-1.5735833333333333,9.0,-2.5535833333333335,9.0,-2.840333333333333,9.0,-1.6455833333333334,9.0,-0.83075,9.0,-2.8863333333333334,9.0,-2.704,9.0,0.14166666666666666
10,-1.5746666666666667,10.0,-2.7158333333333338,10.0,-2.91175,10.0,-1.5634166666666667,10.0,-0.76525,10.0,-2.9486666666666665,10.0,-2.784166666666667,10.0,0.12916666666666668
11,-1.5667499999999999,11.0,-2.858416666666667,11.0,-2.9464166666666665,11.0,-1.6819166666666667,11.0,-0.7086666666666667,11.0,-3.0885,11.0,-2.8351666666666664,11.0,0.10558333333333332
12,-1.5654166666666667,12.0,-3.0085833333333336,12.0,-2.9731666666666663,12.0,-1.6585,12.0,-0.659,12.0,-3.1655833333333336,12.0,-2.8915,12.0,0.1025
13,-1.5822500000000002,13.0,-3.0997500000000002,13.0,-3.0045,13.0,-1.5601666666666667,13.0,-0.6505833333333333,13.0,-3.2006666666666668,13.0,-2.951083333333333,13.0,0.08233333333333333
14,-1.5948333333333335,14.0,-3.1061666666666667,14.0,-3.0335,14.0,-1.7684999999999997,14.0,-0.6349166666666667,14.0,-3.188333333333333,14.0,-3.0020000000000002,14.0,0.077
15,-1.6123333333333332,15.0,-3.062583333333333,15.0,-3.057,15.0,-1.5240833333333335,15.0,-0.6276666666666667,15.0,-3.140916666666667,15.0,-3.0283333333333338,15.0,0.09625
16,-1.6239999999999999,16.0,-3.0498333333333334,16.0,-3.0680833333333335,16.0,-1.8333333333333333,16.0,-0.5948333333333333,16.0,-3.13775,16.0,-3.07975,16.0,0.10508333333333332
17,-1.6338333333333335,17.0,-3.0719999999999996,17.0,-3.080083333333333,17.0,-1.52475,17.0,-0.5991666666666666,17.0,-3.1596666666666664,17.0,-3.1085833333333333,17.0,0.121
18,-1.63275,18.0,-3.031083333333333,18.0,-3.0955,18.0,-1.58075,18.0,-0.5754166666666667,18.0,-3.1174999999999997,18.0,-3.1366666666666667,18.0,0.07841666666666668
19,-1.6148333333333333,19.0,-3.016083333333333,19.0,-3.0994166666666665,19.0,-1.564,19.0,-0.5575833333333333,19.0,-3.1198333333333337,19.0,-3.1430833333333332,19.0,0.07541666666666667
