Hum SNR,score,WhiteNoise SNR,score.1,Clipping Percentage(%),score.2,Dropout Num,score.3,Hum SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage(%).1,score.6,Dropout Num.1,score.7
1,-2.8961666666666663,1.0,-3.812333333333333,1.0,-1.3684166666666666,1.0,-1.1806666666666665,1.0,-3.28125,1.0,-3.866,1.0,-1.99275,1.0,-0.18166666666666667
2,-2.845,2.0,-3.8093333333333335,2.0,-1.5919999999999999,2.0,-1.323,2.0,-3.15225,2.0,-3.86525,2.0,-2.4723333333333333,2.0,-0.5525833333333333
3,-2.7864166666666663,3.0,-3.8035833333333335,3.0,-1.7876666666666667,3.0,-1.4805833333333334,3.0,-3.189,3.0,-3.862083333333333,3.0,-2.7279999999999998,3.0,-0.7891666666666667
4,-2.7039166666666667,4.0,-3.800333333333333,4.0,-1.9749999999999999,4.0,-1.53875,4.0,-3.18575,4.0,-3.862083333333333,4.0,-2.9160833333333334,4.0,-0.8857499999999999
5,-2.6299166666666665,5.0,-3.8006666666666664,5.0,-2.1434166666666665,5.0,-1.6239999999999999,5.0,-3.1674166666666665,5.0,-3.862833333333333,5.0,-3.0515000000000003,5.0,-1.0128333333333333
6,-2.55275,6.0,-3.79675,6.0,-2.2895833333333333,6.0,-1.6204166666666666,6.0,-3.11025,6.0,-3.862083333333333,6.0,-3.156166666666667,6.0,-1.1724166666666667
7,-2.4643333333333333,7.0,-3.7892500000000005,7.0,-2.443583333333333,7.0,-1.6119166666666667,7.0,-3.0379166666666664,7.0,-3.86025,7.0,-3.230166666666667,7.0,-1.0336666666666667
8,-2.3763333333333336,8.0,-3.7845833333333334,8.0,-2.5551666666666666,8.0,-1.6380833333333333,8.0,-2.943,8.0,-3.85925,8.0,-3.29275,8.0,-1.1380833333333333
9,-2.2889166666666667,9.0,-3.781416666666667,9.0,-2.6518333333333337,9.0,-1.6738333333333333,9.0,-2.842,9.0,-3.8585,9.0,-3.346833333333333,9.0,-1.2688333333333333
10,-2.2030833333333333,10.0,-3.7710833333333333,10.0,-2.7695000000000003,10.0,-1.8181666666666667,10.0,-2.7411666666666665,10.0,-3.8555833333333336,10.0,-3.4008333333333334,10.0,-1.4398333333333333
11,-2.1069999999999998,11.0,-3.757,11.0,-2.859916666666667,11.0,-1.98975,11.0,-2.622666666666667,11.0,-3.8523333333333336,11.0,-3.4405,11.0,-1.6340000000000001
12,-2.0267500000000003,12.0,-3.7466666666666666,12.0,-2.9295833333333334,12.0,-1.8161666666666667,12.0,-2.4979999999999998,12.0,-3.848333333333333,12.0,-3.474,12.0,-1.534
13,-1.9370833333333335,13.0,-3.735,13.0,-3.011416666666667,13.0,-1.8143333333333331,13.0,-2.4010833333333332,13.0,-3.8448333333333333,13.0,-3.513583333333333,13.0,-1.5518333333333334
14,-1.8675,14.0,-3.714166666666667,14.0,-3.0829166666666663,14.0,-1.8789166666666668,14.0,-2.2915,14.0,-3.8374166666666665,14.0,-3.5439166666666666,14.0,-1.6646666666666665
15,-1.7933333333333332,15.0,-3.6963333333333335,15.0,-3.134,15.0,-1.9000833333333336,15.0,-2.165,15.0,-3.830916666666667,15.0,-3.564166666666667,15.0,-1.7071666666666667
16,-1.7325,16.0,-3.6705,16.0,-3.188916666666667,16.0,-2.20525,16.0,-2.037666666666667,16.0,-3.8201666666666667,16.0,-3.5894999999999997,16.0,-2.0240833333333335
17,-1.6618333333333333,17.0,-3.6436666666666664,17.0,-3.249166666666667,17.0,-2.1822500000000002,17.0,-1.9494166666666668,17.0,-3.81125,17.0,-3.613,17.0,-2.025
18,-1.6183333333333334,18.0,-3.6182499999999997,18.0,-3.2890833333333336,18.0,-2.0879166666666666,18.0,-1.8331666666666668,18.0,-3.8013333333333335,18.0,-3.626583333333333,18.0,-1.9678333333333333
19,-1.5680833333333333,19.0,-3.5885,19.0,-3.3275,19.0,-2.0756666666666668,19.0,-1.7396666666666667,19.0,-3.7886666666666664,19.0,-3.640083333333333,19.0,-1.90125
20,-1.5241666666666667,20.0,-3.546,20.0,-3.360333333333333,20.0,-2.1549166666666664,20.0,-1.6448333333333334,20.0,-3.7735000000000003,20.0,-3.6604166666666664,20.0,-2.064
21,-1.4953333333333332,21.0,-3.515333333333333,21.0,-3.3967500000000004,21.0,-2.2041666666666666,21.0,-1.5594166666666667,21.0,-3.7566666666666664,21.0,-3.673166666666667,21.0,-2.11625
22,-1.4624166666666667,22.0,-3.4643333333333337,22.0,-3.4276666666666666,22.0,-2.23775,22.0,-1.4721666666666666,22.0,-3.7379166666666666,22.0,-3.6854999999999998,22.0,-2.187
23,-1.4333333333333333,23.0,-3.4159166666666665,23.0,-3.4463333333333335,23.0,-2.1346666666666665,23.0,-1.3788333333333334,23.0,-3.719,23.0,-3.6945,23.0,-2.057583333333333
24,-1.4165833333333333,24.0,-3.3779166666666662,24.0,-3.4752500000000004,24.0,-2.3031666666666664,24.0,-1.3303333333333331,24.0,-3.6919166666666663,24.0,-3.7046666666666668,24.0,-2.3395
25,-1.3949999999999998,25.0,-3.3241666666666667,25.0,-3.4938333333333333,25.0,-2.4040833333333333,25.0,-1.2630833333333333,25.0,-3.6726666666666667,25.0,-3.7114166666666666,25.0,-2.40125
26,-1.3806666666666667,26.0,-3.27425,26.0,-3.51925,26.0,-2.137583333333333,26.0,-1.2092500000000002,26.0,-3.64625,26.0,-3.72125,26.0,-2.1542499999999998
27,-1.3611666666666666,27.0,-3.205083333333333,27.0,-3.5361666666666665,27.0,-2.2085833333333333,27.0,-1.189,27.0,-3.6201666666666665,27.0,-3.7270833333333333,27.0,-2.184833333333333
28,-1.3492499999999998,28.0,-3.1506666666666665,28.0,-3.5567499999999996,28.0,-2.4130833333333332,28.0,-1.1373333333333333,28.0,-3.59125,28.0,-3.7358333333333333,28.0,-2.4671666666666665
29,-1.3348333333333333,29.0,-3.0673333333333335,29.0,-3.5660833333333333,29.0,-2.4667499999999998,29.0,-1.09625,29.0,-3.5565833333333337,29.0,-3.74025,29.0,-2.5563333333333333
30,-1.3310833333333334,30.0,-2.980916666666667,30.0,-3.5842500000000004,30.0,-2.228083333333333,30.0,-1.062,30.0,-3.517,30.0,-3.7471666666666668,30.0,-2.30275
31,-1.316,31.0,-2.9120833333333334,31.0,-3.595416666666667,31.0,-2.2405833333333334,31.0,-1.0515,31.0,-3.47775,31.0,-3.7524166666666665,31.0,-2.3466666666666667
32,-1.30825,32.0,-2.826083333333333,32.0,-3.5996666666666663,32.0,-2.5558333333333336,32.0,-1.0155,32.0,-3.4469999999999996,32.0,-3.755333333333333,32.0,-2.6388333333333334
33,-1.2875833333333333,33.0,-2.74625,33.0,-3.61375,33.0,-2.34825,33.0,-0.972,33.0,-3.39275,33.0,-3.7615,33.0,-2.4490833333333333
34,-1.2805833333333334,34.0,-2.6445833333333333,34.0,-3.627083333333333,34.0,-2.32,34.0,-0.9355833333333333,34.0,-3.3379166666666666,34.0,-3.766083333333333,34.0,-2.4267499999999997
35,-1.2781666666666667,35.0,-2.527083333333333,35.0,-3.628,35.0,-2.6328333333333336,35.0,-0.9002500000000001,35.0,-3.2700833333333335,35.0,-3.766916666666667,35.0,-2.7543333333333333
36,-1.2682499999999999,36.0,-2.4193333333333333,36.0,-3.63025,36.0,-2.527,36.0,-0.8840833333333333,36.0,-3.2035,36.0,-3.767916666666667,36.0,-2.6614999999999998
37,-1.24675,37.0,-2.3506666666666667,37.0,-3.6399166666666667,37.0,-2.3989166666666666,37.0,-0.8356666666666667,37.0,-3.134916666666667,37.0,-3.77125,37.0,-2.5620833333333333
38,-1.2376666666666667,38.0,-2.23125,38.0,-3.6508333333333334,38.0,-2.3910833333333334,38.0,-0.8150833333333334,38.0,-3.0530833333333334,38.0,-3.7744166666666668,38.0,-2.59225
39,-1.2277500000000001,39.0,-2.1275833333333334,39.0,-3.652416666666667,39.0,-2.3798333333333335,39.0,-0.7915000000000001,39.0,-2.970833333333333,39.0,-3.778,39.0,-2.496916666666667
40,-1.2100833333333332,40.0,-2.0444166666666668,40.0,-3.657916666666667,40.0,-2.644,40.0,-0.7778333333333333,40.0,-2.8906666666666667,40.0,-3.780583333333333,40.0,-2.8418333333333337
41,-1.2016666666666667,41.0,-1.959666666666667,41.0,-3.6630000000000003,41.0,-2.3985,41.0,-0.71475,41.0,-2.8064999999999998,41.0,-3.782833333333333,41.0,-2.58775
42,-1.19925,42.0,-1.8547500000000001,42.0,-3.66825,42.0,-2.44525,42.0,-0.69225,42.0,-2.701083333333333,42.0,-3.7845,42.0,-2.6478333333333333
43,-1.1906666666666668,43.0,-1.7653333333333334,43.0,-3.672833333333333,43.0,-2.6639166666666667,43.0,-0.6725,43.0,-2.5959166666666667,43.0,-3.786583333333333,43.0,-2.8445
44,-1.18725,44.0,-1.6964166666666667,44.0,-3.6785,44.0,-2.473,44.0,-0.6340833333333333,44.0,-2.5149166666666667,44.0,-3.7901666666666665,44.0,-2.62975
45,-1.1768333333333334,45.0,-1.6170833333333334,45.0,-3.6773333333333333,45.0,-2.6801666666666666,45.0,-0.61675,45.0,-2.4073333333333333,45.0,-3.791166666666667,45.0,-2.8964166666666666
46,-1.1809166666666666,46.0,-1.56375,46.0,-3.6824166666666667,46.0,-2.483916666666667,46.0,-0.6009166666666667,46.0,-2.2608333333333333,46.0,-3.79275,46.0,-2.6960833333333336
47,-1.1784999999999999,47.0,-1.5063333333333333,47.0,-3.6870833333333333,47.0,-2.6610833333333335,47.0,-0.57575,47.0,-2.1650833333333335,47.0,-3.795083333333333,47.0,-2.9095
48,-1.1686666666666667,48.0,-1.4560000000000002,48.0,-3.6918333333333333,48.0,-2.6643333333333334,48.0,-0.555,48.0,-2.0774166666666667,48.0,-3.79675,48.0,-2.9026666666666667
49,-1.17025,49.0,-1.407,49.0,-3.689583333333333,49.0,-2.591666666666667,49.0,-0.56825,49.0,-1.96125,49.0,-3.797,49.0,-2.7838333333333334
50,-1.17875,50.0,-1.37525,50.0,-3.6978333333333335,50.0,-2.615083333333333,50.0,-0.5358333333333333,50.0,-1.8839166666666667,50.0,-3.8005,50.0,-2.82225
51,-1.1725,51.0,-1.3344166666666668,51.0,-3.6940000000000004,51.0,-2.64775,51.0,-0.52425,51.0,-1.7755,51.0,-3.7996666666666665,51.0,-2.874083333333333
52,-1.178,52.0,-1.30125,52.0,-3.7005,52.0,-2.65925,52.0,-0.5235,52.0,-1.7021666666666666,52.0,-3.8023333333333333,52.0,-2.934833333333333
53,-1.1710833333333335,53.0,-1.2759166666666666,53.0,-3.7015,53.0,-2.7138333333333335,53.0,-0.4910833333333333,53.0,-1.6202500000000002,53.0,-3.8023333333333333,53.0,-2.9793333333333334
54,-1.1671666666666667,54.0,-1.2489166666666667,54.0,-3.7035,54.0,-2.6194166666666665,54.0,-0.4875833333333333,54.0,-1.5209166666666667,54.0,-3.8039166666666664,54.0,-2.8565833333333335
55,-1.1673333333333333,55.0,-1.2473333333333334,55.0,-3.702166666666667,55.0,-2.829166666666667,55.0,-0.46691666666666665,55.0,-1.4634166666666666,55.0,-3.8032500000000002,55.0,-3.095083333333333
56,-1.16425,56.0,-1.2134166666666666,56.0,-3.704166666666667,56.0,-2.7750833333333333,56.0,-0.45691666666666664,56.0,-1.383,56.0,-3.804,56.0,-3.0036666666666663
57,-1.1623333333333334,57.0,-1.2115833333333332,57.0,-3.7079166666666663,57.0,-2.8664166666666664,57.0,-0.45858333333333334,57.0,-1.2996666666666667,57.0,-3.807,57.0,-3.1064166666666666
58,-1.1640833333333334,58.0,-1.1979166666666667,58.0,-3.7076666666666664,58.0,-2.74825,58.0,-0.4251666666666667,58.0,-1.2413333333333334,58.0,-3.8065833333333337,58.0,-3.0374166666666667
