Hum SNR,score,WhiteNoise SNR,score.1,Clipping Percentage(%),score.2,Dropout Num,score.3,Hum SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage(%).1,score.6,Dropout Num.1,score.7
1,-0.8708333333333332,1.0,-3.1566666666666667,1.0,-0.6758333333333333,1.0,-0.67,1.0,-0.5325000000000001,1.0,-3.1958333333333333,1.0,-0.3625,1.0,-0.285
2,-0.8525,2.0,-3.115,2.0,-0.6966666666666667,2.0,-0.6691666666666666,2.0,-0.5066666666666667,2.0,-3.151666666666667,2.0,-0.4075,2.0,-0.28833333333333333
3,-0.8325,3.0,-3.08,3.0,-0.715,3.0,-0.6758333333333333,3.0,-0.49583333333333335,3.0,-3.124166666666667,3.0,-0.43916666666666665,3.0,-0.30083333333333334
4,-0.8116666666666666,4.0,-3.0124999999999997,4.0,-0.7333333333333333,4.0,-0.6783333333333333,4.0,-0.4825,4.0,-3.0566666666666666,4.0,-0.47500000000000003,4.0,-0.3025
5,-0.795,5.0,-2.9883333333333333,5.0,-0.755,5.0,-0.6758333333333333,5.0,-0.4683333333333333,5.0,-3.0258333333333334,5.0,-0.5041666666666667,5.0,-0.3025
6,-0.7816666666666667,6.0,-2.9025,6.0,-0.7683333333333334,6.0,-0.6783333333333333,6.0,-0.4558333333333333,6.0,-2.9499999999999997,6.0,-0.5316666666666666,6.0,-0.30916666666666665
7,-0.765,7.0,-2.8516666666666666,7.0,-0.79,7.0,-0.6875,7.0,-0.44,7.0,-2.9025,7.0,-0.5566666666666666,7.0,-0.3183333333333333
8,-0.755,8.0,-2.7716666666666665,8.0,-0.8008333333333333,8.0,-0.6808333333333333,8.0,-0.42583333333333334,8.0,-2.8183333333333334,8.0,-0.5783333333333333,8.0,-0.31583333333333335
9,-0.7475,9.0,-2.720833333333333,9.0,-0.8224999999999999,9.0,-0.6866666666666666,9.0,-0.4141666666666666,9.0,-2.7741666666666664,9.0,-0.6016666666666667,9.0,-0.325
10,-0.7366666666666667,10.0,-2.6266666666666665,10.0,-0.8366666666666668,10.0,-0.6908333333333333,10.0,-0.4033333333333333,10.0,-2.6750000000000003,10.0,-0.6266666666666667,10.0,-0.3233333333333333
