Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-3.124,1,-3.611,1,-1.265,1,-1.105,1,-2.114,1,-3.609,1,-0.824,1,0.148
2,-2.758,2,-3.599,2,-1.42,2,-1.111,2,-1.275,2,-3.585,2,-1.197,2,0.154
3,-2.506,3,-3.547,3,-1.6,3,-1.23,3,-1.146,3,-3.508,3,-1.494,3,0.115
4,-2.347,4,-3.395,4,-1.809,4,-1.163,4,-1.141,4,-3.535,4,-1.745,4,0.141
5,-2.253,5,-3.298,5,-1.944,5,-1.495,5,-1.077,5,-3.696,5,-2.003,5,0.158
6,-2.233,6,-3.6,6,-2.094,6,-1.376,6,-1.034,6,-3.752,6,-2.14,6,0.092
7,-2.211,7,-3.48,7,-2.34,7,-1.84,7,-1.02,7,-3.528,7,-2.343,7,0.066
8,-2.139,8,-3.346,8,-2.475,8,-1.147,8,-0.973,8,-3.244,8,-2.534,8,0.103
9,-2.09,9,-2.989,9,-2.639,9,-1.685,9,-1.015,9,-2.917,9,-2.715,9,0.126
10,-2.045,10,-2.91,10,-2.784,10,-1.476,10,-0.986,10,-2.704,10,-2.862,10,0.082
11,-1.922,11,-2.865,11,-2.926,11,-1.626,11,-0.928,11,-2.673,11,-2.992,11,0.012
12,-1.85,12,-2.735,12,-3.043,12,-1.901,12,-0.881,12,-2.593,12,-3.105,12,0.143
13,-1.799,13,-2.797,13,-3.144,13,-1.485,13,-0.829,13,-2.689,13,-3.193,13,-0.006
14,-1.706,14,-2.796,14,-3.255,14,-1.827,14,-0.799,14,-2.611,14,-3.29,14,0.08
15,-1.641,15,-2.779,15,-3.32,15,-1.853,15,-0.732,15,-2.612,15,-3.369,15,0.093
16,-1.578,16,-2.92,16,-3.382,16,-1.614,16,-0.629,16,-2.756,16,-3.415,16,0.159
17,-1.502,17,-2.95,17,-3.441,17,-2.019,17,-0.617,17,-2.778,17,-3.476,17,0.097
18,-1.44,18,-3.101,18,-3.529,18,-1.527,18,-0.5,18,-2.907,18,-3.555,18,0.079
19,-1.377,19,-3.1,19,-3.576,19,-1.809,19,-0.442,19,-2.924,19,-3.596,19,0.046
20,-1.312,20,-3.246,20,-3.633,20,-1.895,20,-0.379,20,-3.144,20,-3.646,20,-0.069
21,-1.275,21,-3.255,21,-3.674,21,-1.713,21,-0.363,21,-3.164,21,-3.685,21,-0.008
22,-1.237,22,-3.289,22,-3.713,22,-1.697,22,-0.337,22,-3.279,22,-3.722,22,0.028
23,-1.195,23,-3.19,23,-3.738,23,-2.045,23,-0.282,23,-3.2,23,-3.75,23,0.143
24,-1.191,24,-3.199,24,-3.766,24,-2.09,24,-0.246,24,-3.183,24,-3.771,24,-0.03
25,-1.162,25,-3.09,25,-3.797,25,-1.921,25,-0.205,25,-3.135,25,-3.803,25,-0.111
26,-1.137,26,-2.986,26,-3.814,26,-1.75,26,-0.195,26,-3.032,26,-3.818,26,-0.027
27,-1.135,27,-2.835,27,-3.838,27,-1.949,27,-0.171,27,-2.927,27,-3.842,27,-0.052
28,-1.129,28,-2.769,28,-3.849,28,-2.081,28,-0.174,28,-2.884,28,-3.855,28,0.112
29,-1.12,29,-2.543,29,-3.862,29,-2.158,29,-0.153,29,-2.743,29,-3.867,29,-0.32
30,-1.123,30,-2.43,30,-3.875,30,-1.729,30,-0.147,30,-2.61,30,-3.878,30,0.066
31,-1.112,31,-2.289,31,-3.886,31,-2.268,31,-0.121,31,-2.498,31,-3.89,31,-0.064
32,-1.094,32,-2.122,32,-3.891,32,-2.524,32,-0.1,32,-2.294,32,-3.893,32,-0.092
33,-1.094,33,-1.988,33,-3.9,33,-1.87,33,-0.088,33,-2.165,33,-3.905,33,0.046
34,-1.099,34,-1.864,34,-3.907,34,-1.915,34,-0.075,34,-2.032,34,-3.91,34,-0.129
35,-1.114,35,-1.73,35,-3.915,35,-2.058,35,-0.07,35,-1.932,35,-3.918,35,-0.43
36,-1.107,36,-1.591,36,-3.918,36,-1.751,36,-0.075,36,-1.703,36,-3.922,36,-0.149
37,-1.081,37,-1.532,37,-3.923,37,-2.03,37,-0.052,37,-1.635,37,-3.926,37,-0.287
38,-1.093,38,-1.459,38,-3.928,38,-2.163,38,-0.054,38,-1.521,38,-3.929,38,-0.487
39,-1.091,39,-1.429,39,-3.93,39,-2.359,39,-0.065,39,-1.395,39,-3.933,39,-0.287
40,-1.095,40,-1.406,40,-3.934,40,-1.961,40,-0.041,40,-1.367,40,-3.936,40,-0.132
41,-1.099,41,-1.351,41,-3.936,41,-2.076,41,-0.032,41,-1.297,41,-3.938,41,-0.118
42,-1.088,42,-1.29,42,-3.938,42,-2.25,42,-0.017,42,-1.188,42,-3.939,42,-0.585
43,-1.088,43,-1.229,43,-3.938,43,-2.154,43,-0.037,43,-1.07,43,-3.94,43,-0.303
44,-1.095,44,-1.226,44,-3.94,44,-2.718,44,-0.016,44,-1.009,44,-3.942,44,-0.397
45,-1.108,45,-1.199,45,-3.941,45,-2.142,45,-0.015,45,-0.986,45,-3.943,45,-0.401
46,-1.096,46,-1.165,46,-3.944,46,-1.985,46,-0.008,46,-0.91,46,-3.944,46,-0.113
47,-1.097,47,-1.174,47,-3.943,47,-2.222,47,-0.004,47,-0.884,47,-3.945,47,-0.417
48,-1.098,48,-1.175,48,-3.945,48,-2.34,48,-0.008,48,-0.82,48,-3.944,48,-0.725
49,-1.104,49,-1.141,49,-3.943,49,-2.264,49,0.001,49,-0.717,49,-3.94,49,-0.374
50,-1.097,50,-1.135,50,-3.944,50,-2.538,50,0.001,50,-0.654,50,-3.939,50,-0.697
51,-1.098,51,-1.127,51,-3.942,51,-2.092,51,-0.002,51,-0.653,51,-3.938,51,-0.681
52,-1.112,52,-1.146,52,-3.941,52,-2.408,52,0.007,52,-0.652,52,-3.936,52,-0.837
53,-1.099,53,-1.128,53,-3.939,53,-2.404,53,0.037,53,-0.562,53,-3.929,53,-0.39
54,-1.099,54,-1.116,54,-3.939,54,-2.498,54,0.007,54,-0.511,54,-3.931,54,-0.349
55,-1.096,55,-1.11,55,-3.934,55,-2.24,55,0.026,55,-0.477,55,-3.925,55,-0.788
56,-1.099,56,-1.129,56,-3.93,56,-2.474,56,0.027,56,-0.425,56,-3.922,56,-0.855
57,-1.096,57,-1.13,57,-3.933,57,-2.519,57,0.05,57,-0.384,57,-3.924,57,-0.514
58,-1.094,58,-1.119,58,-3.929,58,-2.403,58,0.073,58,-0.367,58,-3.918,58,-1.168
59,-1.106,59,-1.106,59,-3.933,59,-2.435,59,0.069,59,-0.347,59,-3.921,59,-0.785
60,-1.102,60,-1.119,60,-3.929,60,-1.98,60,0.076,60,-0.323,60,-3.918,60,-0.631
61,-1.098,61,-1.108,61,-3.924,61,-1.687,61,0.106,61,-0.272,61,-3.913,61,-0.479
62,-1.104,62,-1.113,62,-3.917,62,-2.264,62,0.087,62,-0.231,62,-3.904,62,-0.782
63,-1.098,63,-1.102,63,-3.916,63,-2.51,63,0.081,63,-0.195,63,-3.904,63,-1.25
64,-1.101,64,-1.118,64,-3.917,64,-2.659,64,0.104,64,-0.139,64,-3.906,64,-0.708
65,-1.091,65,-1.112,65,-3.913,65,-2.347,65,0.103,65,-0.127,65,-3.897,65,-1.225
66,-1.107,66,-1.111,66,-3.9,66,-2.248,66,0.087,66,-0.079,66,-3.876,66,-0.761
67,-1.101,67,-1.111,67,-3.879,67,-2.264,67,0.14,67,-0.092,67,-3.859,67,-0.416
68,-1.096,68,-1.132,68,-3.869,68,-2.428,68,0.096,68,-0.078,68,-3.847,68,-1.057
69,-1.095,69,-1.106,69,-3.869,69,-2.368,69,0.119,69,-0.049,69,-3.847,69,-0.988
70,-1.105,70,-1.107,70,-3.875,70,-2.348,70,0.109,70,-0.026,70,-3.843,70,-1.013
71,-1.097,71,-1.095,71,-3.838,71,-2.024,71,0.136,71,-0.015,71,-3.807,71,-0.559
72,-1.107,72,-1.112,72,-3.87,72,-2.662,72,0.125,72,-0.031,72,-3.848,72,-1.143
73,-1.1,73,-1.09,73,-3.836,73,-2.77,73,0.138,73,-0.012,73,-3.799,73,-1.631
74,-1.097,74,-1.094,74,-3.804,74,-2.55,74,0.115,74,-0.006,74,-3.771,74,-1.309
75,-1.09,75,-1.104,75,-3.785,75,-2.857,75,0.167,75,0.005,75,-3.757,75,-1.46
76,-1.092,76,-1.1,76,-3.771,76,-2.553,76,0.14,76,0.037,76,-3.747,76,-1.423
77,-1.101,77,-1.108,77,-3.745,77,-2.519,77,0.15,77,0.047,77,-3.734,77,-1.051
78,-1.106,78,-1.105,78,-3.718,78,-2.98,78,0.159,78,0.045,78,-3.689,78,-2.012
79,-1.102,79,-1.102,79,-3.69,79,-2.224,79,0.175,79,0.066,79,-3.667,79,-0.967
80,-1.096,80,-1.094,80,-3.67,80,-2.409,80,0.143,80,0.122,80,-3.653,80,-0.785
81,-1.104,81,-1.098,81,-3.616,81,-2.477,81,0.163,81,0.102,81,-3.607,81,-1.242
82,-1.092,82,-1.094,82,-3.552,82,-2.659,82,0.155,82,0.116,82,-3.579,82,-1.446
83,-1.107,83,-1.098,83,-3.505,83,-2.666,83,0.169,83,0.141,83,-3.547,83,-1.433
84,-1.104,84,-1.105,84,-3.491,84,-2.577,84,0.172,84,0.148,84,-3.532,84,-1.16
85,-1.107,85,-1.094,85,-3.459,85,-2.703,85,0.17,85,0.172,85,-3.484,85,-1.49
86,-1.096,86,-1.105,86,-3.333,86,-2.449,86,0.145,86,0.17,86,-3.386,86,-1.076
87,-1.096,87,-1.1,87,-3.319,87,-2.872,87,0.148,87,0.142,87,-3.402,87,-1.487
88,-1.102,88,-1.095,88,-3.374,88,-2.827,88,0.151,88,0.159,88,-3.432,88,-1.765
89,-1.101,89,-1.108,89,-3.191,89,-2.501,89,0.158,89,0.175,89,-3.211,89,-1.277
90,-1.104,90,-1.108,90,-3.051,90,-2.38,90,0.171,90,0.161,90,-3.163,90,-1.615
91,-1.102,91,-1.106,91,-2.992,91,-2.816,91,0.165,91,0.188,91,-3.077,91,-1.975
92,-1.104,92,-1.087,92,-2.92,92,-2.523,92,0.172,92,0.178,92,-3.006,92,-1.536
93,-1.105,93,-1.088,93,-3.043,93,-2.398,93,0.166,93,0.167,93,-3.169,93,-1.274
94,-1.107,94,-1.099,94,-2.781,94,-2.504,94,0.169,94,0.184,94,-2.957,94,-1.339
95,-1.102,95,-1.089,95,-3.086,95,-2.44,95,0.178,95,0.183,95,-3.179,95,-1.476
96,-1.106,96,-1.105,96,-2.897,96,-2.707,96,0.17,96,0.178,96,-2.99,96,-1.667
97,-1.104,97,-1.09,97,-3.005,97,-3.099,97,0.181,97,0.185,97,-2.99,97,-2.316
98,-1.109,98,-1.101,98,-3.026,98,-2.797,98,0.187,98,0.199,98,-2.977,98,-2.056
99,-1.102,99,-1.103,99,-2.871,99,-2.714,99,0.186,99,0.195,99,-2.628,99,-1.609
