Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-2.85,1,-3.601,1,-1.832,1,-1.497,1,-1.368,1,-3.586,1,-1.174,1,0.161
2,-2.263,2,-3.438,2,-2.097,2,-1.502,2,-0.957,2,-2.967,2,-1.711,2,0.163
3,-1.716,3,-1.205,3,-2.349,3,-1.542,3,-0.796,3,-0.722,3,-2.017,3,0.091
4,-1.52,4,-0.315,4,-2.486,4,-1.82,4,-0.771,4,-0.98,4,-2.24,4,0.173
5,-1.542,5,-0.779,5,-2.646,5,-1.941,5,-0.755,5,-2.354,5,-2.413,5,0.137
6,-1.678,6,-2.027,6,-2.778,6,-2.246,6,-0.73,6,-3.162,6,-2.622,6,0.128
7,-1.912,7,-2.863,7,-2.878,7,-2.107,7,-0.739,7,-3.295,7,-2.668,7,0.165
8,-1.885,8,-3.028,8,-2.989,8,-1.524,8,-0.635,8,-3.316,8,-2.774,8,0.071
9,-1.989,9,-3.016,9,-3.029,9,-2.032,9,-0.625,9,-3.215,9,-2.846,9,0.11
10,-1.988,10,-3.011,10,-3.155,10,-2.024,10,-0.556,10,-3.167,10,-2.968,10,0.173
11,-2.005,11,-2.954,11,-3.209,11,-2.013,11,-0.542,11,-3.139,11,-2.982,11,0.102
12,-1.968,12,-2.799,12,-3.252,12,-1.609,12,-0.42,12,-2.965,12,-3.055,12,0.057
13,-2.0,13,-2.777,13,-3.301,13,-1.883,13,-0.574,13,-2.954,13,-3.133,13,0.096
14,-2.005,14,-2.599,14,-3.331,14,-2.006,14,-0.589,14,-2.777,14,-3.152,14,0.091
15,-1.954,15,-2.439,15,-3.347,15,-1.902,15,-0.638,15,-2.656,15,-3.095,15,0.117
16,-1.904,16,-2.417,16,-3.412,16,-1.948,16,-0.563,16,-2.662,16,-3.238,16,0.131
17,-1.909,17,-2.267,17,-3.466,17,-1.853,17,-0.554,17,-2.504,17,-3.274,17,0.127
18,-1.853,18,-2.048,18,-3.447,18,-1.993,18,-0.484,18,-2.354,18,-3.293,18,0.023
19,-1.825,19,-2.114,19,-3.469,19,-1.869,19,-0.455,19,-2.499,19,-3.325,19,-0.013
20,-1.777,20,-1.939,20,-3.464,20,-1.971,20,-0.433,20,-2.316,20,-3.31,20,-0.018
21,-1.759,21,-2.01,21,-3.428,21,-1.873,21,-0.367,21,-2.417,21,-3.266,21,0.048
22,-1.721,22,-1.86,22,-3.497,22,-2.182,22,-0.347,22,-2.122,22,-3.372,22,-0.066
23,-1.702,23,-2.163,23,-3.546,23,-2.344,23,-0.249,23,-2.496,23,-3.374,23,-0.007
24,-1.68,24,-2.177,24,-3.492,24,-1.994,24,-0.266,24,-2.56,24,-3.326,24,-0.003
25,-1.639,25,-2.164,25,-3.519,25,-2.364,25,-0.266,25,-2.373,25,-3.354,25,-0.272
26,-1.616,26,-2.308,26,-3.504,26,-1.894,26,-0.233,26,-2.499,26,-3.356,26,0.097
27,-1.609,27,-2.406,27,-3.54,27,-2.047,27,-0.247,27,-2.607,27,-3.38,27,-0.07
28,-1.594,28,-2.483,28,-3.547,28,-1.921,28,-0.207,28,-2.655,28,-3.408,28,0.014
29,-1.563,29,-2.473,29,-3.526,29,-2.132,29,-0.221,29,-2.681,29,-3.389,29,-0.149
30,-1.572,30,-2.457,30,-3.545,30,-2.286,30,-0.14,30,-2.534,30,-3.414,30,-0.104
31,-1.547,31,-2.481,31,-3.496,31,-2.057,31,-0.187,31,-2.587,31,-3.371,31,-0.066
32,-1.549,32,-2.464,32,-3.482,32,-2.254,32,-0.154,32,-2.545,32,-3.382,32,-0.098
33,-1.555,33,-2.363,33,-3.464,33,-1.955,33,-0.139,33,-2.394,33,-3.378,33,-0.32
34,-1.527,34,-2.257,34,-3.457,34,-2.229,34,-0.137,34,-2.32,34,-3.389,34,-0.1
35,-1.524,35,-2.218,35,-3.517,35,-2.318,35,-0.095,35,-2.23,35,-3.453,35,-0.066
36,-1.523,36,-2.137,36,-3.465,36,-2.415,36,-0.122,36,-2.132,36,-3.378,36,-0.236
37,-1.522,37,-2.051,37,-3.454,37,-2.047,37,-0.098,37,-2.061,37,-3.389,37,-0.19
38,-1.497,38,-1.963,38,-3.396,38,-1.798,38,-0.091,38,-1.922,38,-3.389,38,-0.08
39,-1.522,39,-1.914,39,-3.42,39,-2.267,39,-0.09,39,-1.809,39,-3.423,39,-0.277
40,-1.513,40,-1.871,40,-3.381,40,-1.921,40,-0.079,40,-1.693,40,-3.393,40,-0.088
41,-1.504,41,-1.789,41,-3.388,41,-1.904,41,-0.056,41,-1.607,41,-3.411,41,-0.112
42,-1.513,42,-1.731,42,-3.381,42,-2.363,42,-0.051,42,-1.447,42,-3.43,42,-0.172
43,-1.521,43,-1.654,43,-3.293,43,-2.501,43,-0.038,43,-1.366,43,-3.401,43,-0.414
44,-1.502,44,-1.658,44,-3.3,44,-2.327,44,-0.03,44,-1.312,44,-3.421,44,-0.262
45,-1.487,45,-1.613,45,-3.314,45,-2.157,45,-0.039,45,-1.159,45,-3.436,45,-0.456
46,-1.509,46,-1.606,46,-3.289,46,-2.042,46,-0.01,46,-1.105,46,-3.439,46,-0.374
