Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-0.96,1,-3.22,1,-0.8,1,-0.79,1,-0.5,1,-3.23,1,-0.38,1,-0.28
2,-0.95,2,-3.11,2,-0.82,2,-0.79,2,-0.5,2,-3.1,2,-0.41,2,-0.28
3,-0.93,3,-3.11,3,-0.83,3,-0.79,3,-0.5,3,-3.11,3,-0.43,3,-0.3
4,-0.91,4,-3.04,4,-0.85,4,-0.81,4,-0.47,4,-3.02,4,-0.46,4,-0.31
5,-0.9,5,-3.07,5,-0.87,5,-0.81,5,-0.46,5,-3.06,5,-0.49,5,-0.32
6,-0.9,6,-2.96,6,-0.89,6,-0.84,6,-0.47,6,-2.95,6,-0.52,6,-0.35
7,-0.9,7,-2.89,7,-0.9,7,-0.83,7,-0.45,7,-2.88,7,-0.51,7,-0.35
8,-0.88,8,-2.89,8,-0.91,8,-0.79,8,-0.45,8,-2.87,8,-0.54,8,-0.29
9,-0.89,9,-2.81,9,-0.93,9,-0.81,9,-0.43,9,-2.81,9,-0.56,9,-0.33
10,-0.88,10,-2.76,10,-0.93,10,-0.82,10,-0.42,10,-2.76,10,-0.58,10,-0.34
11,-0.87,11,-2.75,11,-0.96,11,-0.81,11,-0.41,11,-2.71,11,-0.58,11,-0.32
12,-0.85,12,-2.56,12,-0.95,12,-0.79,12,-0.39,12,-2.53,12,-0.6,12,-0.3
13,-0.86,13,-2.49,13,-0.94,13,-0.83,13,-0.39,13,-2.45,13,-0.62,13,-0.35
14,-0.85,14,-2.42,14,-0.95,14,-0.81,14,-0.37,14,-2.38,14,-0.61,14,-0.31
15,-0.84,15,-2.26,15,-0.97,15,-0.81,15,-0.37,15,-2.24,15,-0.63,15,-0.33
16,-0.83,16,-2.19,16,-0.98,16,-0.82,16,-0.37,16,-2.15,16,-0.65,16,-0.33
17,-0.83,17,-2.1,17,-0.99,17,-0.81,17,-0.36,17,-2.04,17,-0.65,17,-0.33
18,-0.83,18,-2.05,18,-1.0,18,-0.82,18,-0.36,18,-2.0,18,-0.67,18,-0.34
19,-0.81,19,-1.88,19,-1.01,19,-0.82,19,-0.35,19,-1.83,19,-0.68,19,-0.35
20,-0.81,20,-1.83,20,-1.02,20,-0.81,20,-0.35,20,-1.77,20,-0.7,20,-0.34
21,-0.8,21,-1.72,21,-1.03,21,-0.81,21,-0.34,21,-1.66,21,-0.72,21,-0.33
22,-0.81,22,-1.7,22,-1.04,22,-0.86,22,-0.34,22,-1.63,22,-0.73,22,-0.4
23,-0.81,23,-1.57,23,-1.08,23,-0.88,23,-0.33,23,-1.49,23,-0.76,23,-0.44
24,-0.79,24,-1.48,24,-1.08,24,-0.84,24,-0.33,24,-1.39,24,-0.77,24,-0.39
25,-0.79,25,-1.42,25,-1.09,25,-0.88,25,-0.33,25,-1.31,25,-0.78,25,-0.43
26,-0.79,26,-1.36,26,-1.11,26,-0.85,26,-0.32,26,-1.25,26,-0.8,26,-0.37
27,-0.79,27,-1.32,27,-1.11,27,-0.86,27,-0.33,27,-1.19,27,-0.8,27,-0.42
28,-0.78,28,-1.25,28,-1.14,28,-0.85,28,-0.32,28,-1.1,28,-0.84,28,-0.38
29,-0.78,29,-1.18,29,-1.15,29,-0.86,29,-0.32,29,-1.02,29,-0.85,29,-0.42
30,-0.78,30,-1.15,30,-1.16,30,-0.84,30,-0.31,30,-0.94,30,-0.86,30,-0.37
31,-0.79,31,-1.08,31,-1.17,31,-0.83,31,-0.32,31,-0.86,31,-0.88,31,-0.38
32,-0.79,32,-1.05,32,-1.17,32,-0.88,32,-0.31,32,-0.81,32,-0.88,32,-0.44
33,-0.79,33,-1.0,33,-1.18,33,-0.9,33,-0.31,33,-0.72,33,-0.89,33,-0.47
34,-0.79,34,-0.96,34,-1.2,34,-0.87,34,-0.31,34,-0.66,34,-0.91,34,-0.41
35,-0.79,35,-0.94,35,-1.21,35,-0.87,35,-0.31,35,-0.65,35,-0.93,35,-0.41
36,-0.79,36,-0.93,36,-1.23,36,-0.87,36,-0.31,36,-0.59,36,-0.94,36,-0.4
37,-0.79,37,-0.89,37,-1.22,37,-0.83,37,-0.31,37,-0.57,37,-0.94,37,-0.37
38,-0.79,38,-0.87,38,-1.24,38,-0.87,38,-0.31,38,-0.54,38,-0.95,38,-0.44
39,-0.79,39,-0.87,39,-1.26,39,-0.89,39,-0.31,39,-0.54,39,-0.98,39,-0.46
