Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-3.333,1,-3.892,1,-1.412,1,-1.321,1,-3.603,1,-3.9,1,-2.023,1,-0.169
2,-3.263,2,-3.891,2,-1.621,2,-1.318,2,-3.515,2,-3.9,2,-2.495,2,-0.261
3,-3.245,3,-3.891,3,-1.816,3,-1.753,3,-3.529,3,-3.9,3,-2.765,3,-1.226
4,-3.225,4,-3.889,4,-2.031,4,-1.394,4,-3.552,4,-3.9,4,-2.957,4,-0.393
5,-3.154,5,-3.887,5,-2.177,5,-1.481,5,-3.548,5,-3.898,5,-3.126,5,-0.641
6,-3.132,6,-3.886,6,-2.311,6,-1.47,6,-3.532,6,-3.898,6,-3.215,6,-0.659
7,-3.062,7,-3.882,7,-2.523,7,-1.364,7,-3.495,7,-3.897,7,-3.311,7,-0.44
8,-2.978,8,-3.881,8,-2.639,8,-1.75,8,-3.456,8,-3.896,8,-3.369,8,-1.197
9,-2.925,9,-3.879,9,-2.745,9,-1.593,9,-3.387,9,-3.895,9,-3.406,9,-0.893
10,-2.85,10,-3.872,10,-2.911,10,-1.786,10,-3.334,10,-3.892,10,-3.48,10,-1.274
11,-2.724,11,-3.87,11,-3.011,11,-1.526,11,-3.247,11,-3.892,11,-3.51,11,-0.786
12,-2.625,12,-3.861,12,-3.091,12,-1.523,12,-3.151,12,-3.889,12,-3.539,12,-0.955
13,-2.433,13,-3.857,13,-3.12,13,-1.559,13,-2.998,13,-3.887,13,-3.56,13,-1.022
14,-2.34,14,-3.848,14,-3.166,14,-1.768,14,-2.896,14,-3.883,14,-3.589,14,-1.354
15,-2.207,15,-3.841,15,-3.199,15,-1.934,15,-2.773,15,-3.88,15,-3.601,15,-1.562
16,-2.113,16,-3.823,16,-3.291,16,-1.827,16,-2.626,16,-3.875,16,-3.631,16,-1.492
17,-1.972,17,-3.807,17,-3.299,17,-1.859,17,-2.475,17,-3.869,17,-3.641,17,-1.609
18,-1.868,18,-3.8,18,-3.356,18,-1.92,18,-2.301,18,-3.867,18,-3.656,18,-1.825
19,-1.808,19,-3.769,19,-3.417,19,-1.908,19,-2.192,19,-3.857,19,-3.674,19,-1.717
20,-1.761,20,-3.746,20,-3.412,20,-2.018,20,-2.081,20,-3.85,20,-3.679,20,-1.708
21,-1.674,21,-3.722,21,-3.456,21,-2.323,21,-1.836,21,-3.842,21,-3.695,21,-2.316
22,-1.635,22,-3.678,22,-3.474,22,-2.014,22,-1.739,22,-3.83,22,-3.7,22,-1.871
23,-1.559,23,-3.634,23,-3.495,23,-2.063,23,-1.587,23,-3.815,23,-3.705,23,-1.95
24,-1.508,24,-3.618,24,-3.524,24,-2.091,24,-1.507,24,-3.808,24,-3.711,24,-1.772
25,-1.44,25,-3.53,25,-3.533,25,-2.316,25,-1.278,25,-3.783,25,-3.711,25,-2.491
26,-1.445,26,-3.455,26,-3.55,26,-2.475,26,-1.248,26,-3.763,26,-3.719,26,-2.49
27,-1.391,27,-3.43,27,-3.578,27,-1.879,27,-1.184,27,-3.748,27,-3.731,27,-1.898
28,-1.346,28,-3.337,28,-3.593,28,-1.909,28,-1.023,28,-3.727,28,-3.735,28,-1.942
29,-1.34,29,-3.231,29,-3.6,29,-2.196,29,-0.991,29,-3.697,29,-3.74,29,-2.249
30,-1.358,30,-3.147,30,-3.624,30,-2.041,30,-0.882,30,-3.67,30,-3.75,30,-2.022
31,-1.327,31,-3.146,31,-3.622,31,-2.084,31,-0.855,31,-3.647,31,-3.748,31,-2.189
32,-1.302,32,-2.997,32,-3.624,32,-2.296,32,-0.829,32,-3.614,32,-3.749,32,-2.353
33,-1.301,33,-2.882,33,-3.636,33,-2.015,33,-0.752,33,-3.565,33,-3.755,33,-1.864
34,-1.277,34,-2.822,34,-3.641,34,-2.037,34,-0.701,34,-3.532,34,-3.753,34,-2.009
35,-1.298,35,-2.678,35,-3.651,35,-2.951,35,-0.65,35,-3.456,35,-3.759,35,-3.233
36,-1.295,36,-2.527,36,-3.635,36,-2.387,36,-0.72,36,-3.389,36,-3.753,36,-2.519
