Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
1,-1.2345,1,-3.3801,1,-1.3033,1,-1.0835,1,-1.2948,1,-3.3786,1,-1.2288,1,-0.36598
2,-1.2392,2,-3.3792,2,-1.7646,2,-1.0615,2,-1.1607,2,-3.3784,2,-1.8173,2,-0.39533
3,-1.0991,3,-3.3711,3,-1.9921,3,-1.0517,3,-1.1064,3,-3.3727,3,-2.0737,3,-0.46499
4,-1.2072,4,-3.3767,4,-2.0242,4,-1.0656,4,-1.1024,4,-3.372,4,-2.1682,4,-0.46305
5,-1.1301,5,-3.3725,5,-2.1944,5,-0.98331,5,-1.1618,5,-3.3704,5,-2.295,5,-0.43624
6,-1.131,6,-3.3614,6,-2.3671,6,-1.0901,6,-1.1223,6,-3.3615,6,-2.4024,6,-0.58722
7,-1.1177,7,-3.3572,7,-2.4795,7,-1.1136,7,-1.0719,7,-3.3538,7,-2.5376,7,-0.59314
8,-0.99966,8,-3.3595,8,-2.5242,8,-1.07,8,-0.91627,8,-3.3484,8,-2.5602,8,-0.45858
9,-1.0777,9,-3.359,9,-2.5494,9,-1.1016,9,-0.8975,9,-3.3516,9,-2.6036,9,-0.40942
10,-1.1262,10,-3.3361,10,-2.5883,10,-1.1368,10,-0.98171,10,-3.3327,10,-2.6121,10,-0.69181
11,-1.1217,11,-3.3425,11,-2.6,11,-1.0721,11,-0.91071,11,-3.3362,11,-2.6887,11,-0.76763
12,-1.1775,12,-3.3279,12,-2.6846,12,-1.1155,12,-0.876,12,-3.3219,12,-2.7292,12,-0.65519
13,-1.1443,13,-3.3313,13,-2.6998,13,-1.1988,13,-0.84843,13,-3.3213,13,-2.7322,13,-0.70033
14,-1.1909,14,-3.3152,14,-2.7312,14,-1.0989,14,-0.82015,14,-3.3212,14,-2.7813,14,-0.70401
15,-1.0825,15,-3.3077,15,-2.7935,15,-1.1253,15,-0.78653,15,-3.2936,15,-2.7914,15,-0.69974
16,-1.0606,16,-3.2845,16,-2.7832,16,-1.3142,16,-0.78653,16,-3.2823,16,-2.7893,16,-0.88118
17,-1.1061,17,-3.2872,17,-2.8144,17,-1.4268,17,-0.80288,17,-3.2705,17,-2.8514,17,-0.95596
18,-1.0549,18,-3.2716,18,-2.8134,18,-1.2355,18,-0.76122,18,-3.2661,18,-2.8387,18,-0.84184
19,-1.087,19,-3.2551,19,-2.842,19,-1.5265,19,-0.72196,19,-3.2516,19,-2.8918,19,-1.0869
20,-1.0935,20,-3.2308,20,-2.8626,20,-1.3708,20,-0.67659,20,-3.2376,20,-2.8807,20,-0.88032
21,-1.1399,21,-3.2512,21,-2.8834,21,-1.174,21,-0.68806,21,-3.2388,21,-2.9272,21,-0.73078
22,-1.1125,22,-3.1924,22,-2.8842,22,-1.5722,22,-0.66831,22,-3.1859,22,-2.9112,22,-1.0993
23,-1.0646,23,-3.2082,23,-2.9079,23,-1.6076,23,-0.64686,23,-3.2002,23,-2.9348,23,-1.206
24,-1.1193,24,-3.1497,24,-2.9305,24,-1.4125,24,-0.67257,24,-3.1146,24,-2.9315,24,-1.0161
25,-1.0601,25,-3.0804,25,-2.9153,25,-1.5316,25,-0.59403,25,-3.0492,25,-2.9406,25,-1.4185
26,-1.1581,26,-3.1197,26,-2.9246,26,-1.4698,26,-0.64632,26,-3.06,26,-2.9451,26,-0.96948
27,-1.0904,27,-2.9988,27,-2.9572,27,-1.2357,27,-0.68925,27,-2.9847,27,-2.9766,27,-0.95704
28,-1.0283,28,-3.0379,28,-2.9489,28,-1.4926,28,-0.60999,28,-3.0192,28,-3.0006,28,-1.0779
29,-1.0407,29,-2.9672,29,-2.9504,29,-1.185,29,-0.60154,29,-2.9237,29,-2.9667,29,-0.92812
30,-1.1356,30,-2.8108,30,-2.9778,30,-1.5679,30,-0.56472,30,-2.7946,30,-3.001,30,-1.3222
31,-1.0249,31,-2.7695,31,-2.9696,31,-1.2763,31,-0.5379,31,-2.7451,31,-2.986,31,-1.0982
32,-1.0407,32,-2.7213,32,-2.9943,32,-1.6261,32,-0.59763,32,-2.741,32,-3.0117,32,-1.1633
33,-1.0673,33,-2.6646,33,-3.0107,33,-1.4327,33,-0.53802,33,-2.6183,33,-3.038,33,-1.2254
34,-1.0414,34,-2.6095,34,-3.0338,34,-1.6954,34,-0.55004,34,-2.6322,34,-3.0626,34,-1.3563
35,-1.0847,35,-2.457,35,-3.0358,35,-1.5248,35,-0.53073,35,-2.593,35,-3.0472,35,-1.1886
36,-1.0716,36,-2.2972,36,-3.0389,36,-1.6943,36,-0.56884,36,-2.3463,36,-3.0537,36,-1.5547
37,-1.085,37,-2.1583,37,-3.0579,37,-1.3794,37,-0.51236,37,-2.1904,37,-3.0742,37,-1.1114
38,-1.0632,38,-2.0355,38,-3.0469,38,-1.4919,38,-0.50748,38,-2.2018,38,-3.0671,38,-1.2487
39,-1.0424,39,-1.849,39,-3.0558,39,-1.6908,39,-0.51846,39,-1.9188,39,-3.0831,39,-1.3943
40,-1.0395,40,-1.8046,40,-3.0717,40,-1.6552,40,-0.52938,40,-1.9131,40,-3.0812,40,-1.5952
41,-1.0202,41,-1.7272,41,-3.0771,41,-1.5963,41,-0.528,41,-1.5785,41,-3.0812,41,-1.451
42,-1.0602,42,-1.484,42,-3.0672,42,-1.8616,42,-0.52565,42,-1.5561,42,-3.0954,42,-1.3572
43,-1.0774,43,-1.7493,43,-3.0934,43,-1.679,43,-0.50956,43,-1.6829,43,-3.1034,43,-1.5147
44,-1.0993,44,-1.4843,44,-3.0954,44,-1.6148,44,-0.43275,44,-1.4434,44,-3.0979,44,-1.2499
45,-1.0395,45,-1.4521,45,-3.104,45,-1.5107,45,-0.4455,45,-1.3079,45,-3.112,45,-1.2003
46,-1.0793,46,-1.241,46,-3.0995,46,-1.6431,46,-0.49203,46,-1.2132,46,-3.1076,46,-1.4485
47,-1.0817,47,-1.2733,47,-3.1161,47,-1.626,47,-0.40633,47,-1.1233,47,-3.1178,47,-1.4115
48,-1.0101,48,-1.2114,48,-3.1177,48,-1.5698,48,-0.43897,48,-1.2707,48,-3.1294,48,-1.4506
49,-0.99098,49,-1.2691,49,-3.1225,49,-1.7286,49,-0.39392,49,-1.0828,49,-3.1205,49,-1.5469
50,-1.0447,50,-1.2822,50,-3.1235,50,-1.9913,50,-0.43024,50,-1.0617,50,-3.1273,50,-1.9877
51,-1.0171,51,-1.1807,51,-3.1352,51,-1.8054,51,-0.43515,51,-1.044,51,-3.15,51,-1.7041
52,-1.0724,52,-1.1393,52,-3.1329,52,-1.842,52,-0.39446,52,-0.83051,52,-3.1493,52,-1.8354
53,-1.034,53,-1.2221,53,-3.1452,53,-1.9909,53,-0.47975,53,-0.93091,53,-3.1392,53,-1.821
54,-1.0339,54,-1.0442,54,-3.1497,54,-1.7272,54,-0.45147,54,-0.83002,54,-3.1592,54,-1.7109
55,-1.0294,55,-1.0802,55,-3.1634,55,-1.8964,55,-0.45305,55,-0.8463,55,-3.1581,55,-1.8261
56,-1.0406,56,-1.0985,56,-3.1675,56,-1.8481,56,-0.45049,56,-0.82697,56,-3.176,56,-1.8194
57,-1.032,57,-1.0172,57,-3.1639,57,-1.9321,57,-0.38948,57,-0.75124,57,-3.172,57,-1.8829
58,-1.0577,58,-1.0403,58,-3.1553,58,-1.6519,58,-0.39282,58,-0.75185,58,-3.1673,58,-1.6281
59,-1.0093,59,-1.0715,59,-3.1658,59,-1.8563,59,-0.43287,59,-0.77628,59,-3.1668,59,-1.5946
60,-1.0783,60,-1.092,60,-3.1719,60,-1.7918,60,-0.41178,60,-0.70997,60,-3.1788,60,-1.6865
61,-1.0362,61,-1.1369,61,-3.173,61,-1.8472,61,-0.44134,61,-0.7222,61,-3.1847,61,-1.7266
62,-1.0572,62,-1.1077,62,-3.1816,62,-1.8959,62,-0.39915,62,-0.75485,62,-3.1788,62,-1.8682
63,-1.0692,63,-1.0515,63,-3.191,63,-1.9737,63,-0.35405,63,-0.62096,63,-3.1917,63,-1.9394
64,-1.0262,64,-1.0819,64,-3.1914,64,-1.839,64,-0.4132,64,-0.7074,64,-3.1944,64,-1.6836
65,-1.0173,65,-1.0932,65,-3.1882,65,-1.9086,65,-0.385,65,-0.62724,65,-3.1968,65,-1.694
66,-1.0264,66,-0.9771,66,-3.187,66,-2.1297,66,-0.33731,66,-0.6021,66,-3.1978,66,-1.9923
67,-1.0648,67,-1.0474,67,-3.1805,67,-2.0961,67,-0.4108,67,-0.65106,67,-3.1957,67,-1.9335
68,-1.0533,68,-1.0903,68,-3.1953,68,-2.2068,68,-0.327,68,-0.51348,68,-3.1991,68,-2.2588
69,-1.0347,69,-1.0949,69,-3.1922,69,-2.0906,69,-0.41956,69,-0.61026,69,-3.1963,69,-2.1656
70,-1.0216,70,-1.0167,70,-3.1985,70,-1.8405,70,-0.35784,70,-0.57699,70,-3.203,70,-1.9046
71,-0.99322,71,-0.99976,71,-3.1988,71,-2.3118,71,-0.35746,71,-0.53882,71,-3.1933,71,-2.3205
72,-1.0421,72,-0.9181,72,-3.2019,72,-2.2377,72,-0.40778,72,-0.53435,72,-3.2039,72,-2.2252
73,-1.047,73,-0.97472,73,-3.2046,73,-2.0749,73,-0.41375,73,-0.5311,73,-3.2091,73,-2.1341
74,-1.022,74,-0.96647,74,-3.2087,74,-2.1228,74,-0.36338,74,-0.45691,74,-3.2134,74,-2.1872
75,-1.0477,75,-1.0168,75,-3.2185,75,-1.9525,75,-0.37014,75,-0.47298,75,-3.2215,75,-1.8552
76,-0.99241,76,-1.0645,76,-3.2161,76,-2.1115,76,-0.42485,76,-0.45231,76,-3.2236,76,-1.9698
77,-1.0232,77,-1.0713,77,-3.2205,77,-2.0111,77,-0.35795,77,-0.46692,77,-3.2318,77,-1.96
78,-1.0453,78,-1.0166,78,-3.2273,78,-2.3096,78,-0.3798,78,-0.43114,78,-3.2308,78,-2.16
79,-1.0352,79,-1.0248,79,-3.2298,79,-2.1831,79,-0.34493,79,-0.45776,79,-3.2329,79,-2.1018
80,-1.007,80,-1.0205,80,-3.2348,80,-2.1268,80,-0.35131,80,-0.4334,80,-3.2384,80,-2.097
81,-1.0511,81,-1.007,81,-3.2332,81,-2.2028,81,-0.35212,81,-0.38034,81,-3.2407,81,-2.1029
82,-1.0907,82,-0.99246,82,-3.2398,82,-1.9785,82,-0.32593,82,-0.35545,82,-3.2391,82,-2.0493
83,-1.0633,83,-1.0147,83,-3.2495,83,-1.9464,83,-0.29402,83,-0.37125,83,-3.2541,83,-1.8025
84,-1.0203,84,-1.0502,84,-3.2528,84,-2.271,84,-0.37168,84,-0.37446,84,-3.252,84,-2.1524
85,-1.0201,85,-1.0446,85,-3.2529,85,-2.3411,85,-0.37902,85,-0.38849,85,-3.2582,85,-2.3437
86,-1.0319,86,-0.97986,86,-3.2533,86,-2.3612,86,-0.37358,86,-0.3938,86,-3.2592,86,-2.3331
87,-1.0496,87,-0.97627,87,-3.2632,87,-2.4117,87,-0.3684,87,-0.38077,87,-3.2685,87,-2.4228
88,-1.0408,88,-0.99552,88,-3.2655,88,-2.2012,88,-0.35158,88,-0.39232,88,-3.2649,88,-2.1939
89,-1.02,89,-1.0404,89,-3.2704,89,-2.416,89,-0.35181,89,-0.36674,89,-3.2708,89,-2.4453
90,-1.0341,90,-1.0527,90,-3.2686,90,-2.1961,90,-0.36303,90,-0.37628,90,-3.2745,90,-2.199
91,-1.0151,91,-1.0428,91,-3.278,91,-2.1037,91,-0.35264,91,-0.34947,91,-3.2732,91,-1.9797
92,-1.0544,92,-1.0034,92,-3.2755,92,-2.3748,92,-0.34681,92,-0.34346,92,-3.2799,92,-2.4296
93,-1.0529,93,-1.0324,93,-3.2904,93,-2.3352,93,-0.29409,93,-0.39991,93,-3.2868,93,-2.3238
94,-1.0141,94,-1.0297,94,-3.2904,94,-2.5254,94,-0.35458,94,-0.36094,94,-3.2882,94,-2.5857
95,-1.013,95,-1.0293,95,-3.2948,95,-2.0892,95,-0.3216,95,-0.36682,95,-3.2958,95,-2.1528
96,-1.0171,96,-1.067,96,-3.2979,96,-2.3057,96,-0.33959,96,-0.3391,96,-3.2999,96,-2.3451
97,-1.0553,97,-1.034,97,-3.2999,97,-2.4696,97,-0.36005,97,-0.34894,97,-3.3032,97,-2.3899
98,-1.058,98,-1.047,98,-3.3067,98,-2.4072,98,-0.35437,98,-0.3026,98,-3.3098,98,-2.3992
99,-1.0323,99,-1.0077,99,-3.3053,99,-2.4525,99,-0.33406,99,-0.3743,99,-3.3084,99,-2.4349
