Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-0.95,1,-3.08,1,-0.74,1,-0.74,1,-0.56,1,-3.16,1,-0.33,1,-0.28
2,-0.92,2,-3.12,2,-0.76,2,-0.73,2,-0.51,2,-3.19,2,-0.36,2,-0.28
3,-0.89,3,-3.05,3,-0.76,3,-0.74,3,-0.5,3,-3.14,3,-0.39,3,-0.3
4,-0.89,4,-2.96,4,-0.77,4,-0.74,4,-0.49,4,-3.05,4,-0.41,4,-0.28
5,-0.86,5,-3.03,5,-0.79,5,-0.73,5,-0.48,5,-3.11,5,-0.41,5,-0.29
6,-0.86,6,-2.94,6,-0.79,6,-0.77,6,-0.46,6,-3.06,6,-0.44,6,-0.34
7,-0.85,7,-2.94,7,-0.81,7,-0.74,7,-0.45,7,-3.02,7,-0.45,7,-0.31
8,-0.83,8,-2.81,8,-0.82,8,-0.73,8,-0.43,8,-2.9,8,-0.48,8,-0.29
9,-0.83,9,-2.83,9,-0.85,9,-0.74,9,-0.42,9,-2.94,9,-0.49,9,-0.3
10,-0.83,10,-2.75,10,-0.83,10,-0.75,10,-0.42,10,-2.86,10,-0.5,10,-0.3
11,-0.82,11,-2.69,11,-0.86,11,-0.76,11,-0.4,11,-2.8,11,-0.52,11,-0.34
12,-0.8,12,-2.55,12,-0.88,12,-0.75,12,-0.39,12,-2.67,12,-0.55,12,-0.31
13,-0.8,13,-2.54,13,-0.86,13,-0.75,13,-0.38,13,-2.67,13,-0.55,13,-0.32
14,-0.8,14,-2.4,14,-0.88,14,-0.75,14,-0.38,14,-2.53,14,-0.56,14,-0.31
15,-0.79,15,-2.28,15,-0.88,15,-0.76,15,-0.37,15,-2.39,15,-0.56,15,-0.32
16,-0.79,16,-2.23,16,-0.9,16,-0.77,16,-0.36,16,-2.36,16,-0.6,16,-0.36
17,-0.78,17,-2.17,17,-0.91,17,-0.77,17,-0.36,17,-2.29,17,-0.61,17,-0.35
18,-0.78,18,-2.06,18,-0.89,18,-0.76,18,-0.35,18,-2.2,18,-0.6,18,-0.34
19,-0.77,19,-1.91,19,-0.9,19,-0.81,19,-0.34,19,-2.04,19,-0.63,19,-0.41
20,-0.77,20,-1.87,20,-0.92,20,-0.76,20,-0.34,20,-2.01,20,-0.63,20,-0.36
21,-0.76,21,-1.76,21,-0.92,21,-0.74,21,-0.33,21,-1.9,21,-0.64,21,-0.32
22,-0.76,22,-1.62,22,-0.94,22,-0.8,22,-0.33,22,-1.77,22,-0.66,22,-0.39
23,-0.77,23,-1.56,23,-0.95,23,-0.85,23,-0.33,23,-1.7,23,-0.7,23,-0.43
24,-0.76,24,-1.44,24,-0.94,24,-0.78,24,-0.32,24,-1.57,24,-0.68,24,-0.38
25,-0.76,25,-1.39,25,-0.97,25,-0.84,25,-0.32,25,-1.52,25,-0.71,25,-0.45
26,-0.76,26,-1.32,26,-0.97,26,-0.78,26,-0.32,26,-1.41,26,-0.71,26,-0.37
27,-0.75,27,-1.21,27,-0.98,27,-0.81,27,-0.32,27,-1.29,27,-0.74,27,-0.41
28,-0.74,28,-1.13,28,-0.99,28,-0.77,28,-0.31,28,-1.19,28,-0.74,28,-0.37
29,-0.75,29,-1.08,29,-0.99,29,-0.77,29,-0.31,29,-1.13,29,-0.75,29,-0.37
30,-0.74,30,-1.03,30,-1.0,30,-0.81,30,-0.31,30,-1.05,30,-0.76,30,-0.41
31,-0.74,31,-0.97,31,-1.02,31,-0.81,31,-0.3,31,-0.94,31,-0.76,31,-0.43
32,-0.74,32,-0.95,32,-1.01,32,-0.83,32,-0.3,32,-0.89,32,-0.78,32,-0.44
33,-0.74,33,-0.9,33,-1.04,33,-0.84,33,-0.29,33,-0.81,33,-0.8,33,-0.46
34,-0.74,34,-0.9,34,-1.06,34,-0.8,34,-0.3,34,-0.77,34,-0.81,34,-0.41
35,-0.74,35,-0.86,35,-1.06,35,-0.79,35,-0.29,35,-0.7,35,-0.83,35,-0.4
36,-0.73,36,-0.83,36,-1.07,36,-0.82,36,-0.3,36,-0.65,36,-0.84,36,-0.45
37,-0.73,37,-0.84,37,-1.08,37,-0.81,37,-0.29,37,-0.63,37,-0.86,37,-0.42
38,-0.73,38,-0.83,38,-1.1,38,-0.83,38,-0.29,38,-0.58,38,-0.87,38,-0.45
39,-0.73,39,-0.8,39,-1.1,39,-0.81,39,-0.29,39,-0.54,39,-0.88,39,-0.42
40,-0.73,40,-0.81,40,-1.11,40,-0.83,40,-0.29,40,-0.51,40,-0.89,40,-0.45
41,-0.73,41,-0.8,41,-1.13,41,-0.8,41,-0.29,41,-0.51,41,-0.92,41,-0.44
42,-0.73,42,-0.78,42,-1.13,42,-0.84,42,-0.29,42,-0.48,42,-0.92,42,-0.43
43,-0.74,43,-0.77,43,-1.13,43,-0.83,43,-0.29,43,-0.46,43,-0.93,43,-0.45
44,-0.74,44,-0.77,44,-1.14,44,-0.77,44,-0.29,44,-0.44,44,-0.93,44,-0.41
45,-0.73,45,-0.76,45,-1.14,45,-0.82,45,-0.29,45,-0.42,45,-0.97,45,-0.45
46,-0.73,46,-0.77,46,-1.16,46,-0.85,46,-0.29,46,-0.41,46,-0.98,46,-0.47
47,-0.73,47,-0.76,47,-1.17,47,-0.79,47,-0.28,47,-0.39,47,-0.98,47,-0.41
48,-0.73,48,-0.75,48,-1.15,48,-0.81,48,-0.29,48,-0.38,48,-0.99,48,-0.43
49,-0.73,49,-0.75,49,-1.18,49,-0.87,49,-0.28,49,-0.37,49,-1.01,49,-0.5
50,-0.74,50,-0.76,50,-1.19,50,-0.85,50,-0.29,50,-0.38,50,-1.02,50,-0.47
51,-0.73,51,-0.75,51,-1.22,51,-0.85,51,-0.28,51,-0.37,51,-1.05,51,-0.48
52,-0.74,52,-0.73,52,-1.2,52,-0.86,52,-0.28,52,-0.35,52,-1.06,52,-0.51
53,-0.74,53,-0.74,53,-1.21,53,-0.9,53,-0.28,53,-0.35,53,-1.07,53,-0.54
54,-0.73,54,-0.73,54,-1.21,54,-0.82,54,-0.28,54,-0.35,54,-1.08,54,-0.47
55,-0.74,55,-0.73,55,-1.23,55,-0.85,55,-0.28,55,-0.33,55,-1.08,55,-0.49
56,-0.73,56,-0.74,56,-1.23,56,-0.83,56,-0.28,56,-0.33,56,-1.11,56,-0.48
57,-0.73,57,-0.73,57,-1.26,57,-0.87,57,-0.28,57,-0.34,57,-1.14,57,-0.5
58,-0.73,58,-0.73,58,-1.27,58,-0.81,58,-0.28,58,-0.32,58,-1.16,58,-0.47
59,-0.74,59,-0.72,59,-1.29,59,-0.83,59,-0.28,59,-0.33,59,-1.17,59,-0.46
60,-0.73,60,-0.72,60,-1.3,60,-0.86,60,-0.28,60,-0.31,60,-1.2,60,-0.5
61,-0.73,61,-0.74,61,-1.33,61,-0.83,61,-0.28,61,-0.33,61,-1.22,61,-0.48
62,-0.73,62,-0.73,62,-1.33,62,-0.88,62,-0.28,62,-0.31,62,-1.22,62,-0.52
63,-0.73,63,-0.74,63,-1.33,63,-0.82,63,-0.28,63,-0.31,63,-1.24,63,-0.48
64,-0.74,64,-0.73,64,-1.34,64,-0.88,64,-0.28,64,-0.3,64,-1.28,64,-0.51
65,-0.73,65,-0.74,65,-1.38,65,-0.88,65,-0.28,65,-0.31,65,-1.3,65,-0.52
66,-0.74,66,-0.73,66,-1.36,66,-0.92,66,-0.28,66,-0.3,66,-1.3,66,-0.57
67,-0.73,67,-0.74,67,-1.35,67,-0.9,67,-0.28,67,-0.31,67,-1.3,67,-0.56
68,-0.73,68,-0.74,68,-1.41,68,-0.89,68,-0.28,68,-0.3,68,-1.36,68,-0.56
69,-0.73,69,-0.74,69,-1.4,69,-0.87,69,-0.28,69,-0.3,69,-1.37,69,-0.51
70,-0.73,70,-0.74,70,-1.42,70,-0.85,70,-0.28,70,-0.3,70,-1.38,70,-0.51
71,-0.73,71,-0.73,71,-1.45,71,-0.88,71,-0.28,71,-0.3,71,-1.41,71,-0.54
