Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-0.138,1,-0.144,1,-1.626,1,-1.556,1,-0.144,1,-0.144,1,-0.821,1,0.211
2,-0.166,2,-0.144,2,-1.419,2,-1.51,2,-0.215,2,-0.144,2,-0.864,2,0.204
3,-0.244,3,-0.144,3,-0.96,3,-1.563,3,-0.357,3,-0.144,3,-0.654,3,0.143
4,-0.335,4,-0.145,4,-0.871,4,-1.616,4,-0.461,4,-0.151,4,-0.715,4,0.171
5,-0.447,5,-0.165,5,-0.927,5,-1.548,5,-0.495,5,-0.262,5,-0.808,5,0.118
6,-0.519,6,-0.261,6,-1.03,6,-1.575,6,-0.43,6,-0.717,6,-0.975,6,0.139
7,-0.598,7,-0.613,7,-1.155,7,-1.582,7,-0.337,7,-1.996,7,-1.199,7,0.104
8,-0.625,8,-1.31,8,-1.277,8,-1.729,8,-0.271,8,-2.999,8,-1.426,8,0.123
9,-0.748,9,-2.463,9,-1.284,9,-1.549,9,-0.242,9,-3.578,9,-1.517,9,0.139
10,-0.872,10,-3.11,10,-1.325,10,-1.853,10,-0.242,10,-3.742,10,-1.661,10,0.182
11,-1.053,11,-3.429,11,-1.347,11,-1.464,11,-0.298,11,-3.795,11,-1.728,11,0.19
12,-1.209,12,-3.597,12,-1.355,12,-1.114,12,-0.367,12,-3.833,12,-1.835,12,0.188
13,-1.389,13,-3.663,13,-1.292,13,-0.554,13,-0.499,13,-3.845,13,-1.887,13,0.201
14,-1.456,14,-3.701,14,-1.28,14,-1.576,14,-0.532,14,-3.85,14,-1.929,14,0.15
15,-1.573,15,-3.712,15,-1.309,15,-1.561,15,-0.598,15,-3.847,15,-1.975,15,0.167
16,-1.599,16,-3.714,16,-1.242,16,-1.439,16,-0.558,16,-3.843,16,-1.963,16,0.155
17,-1.629,17,-3.715,17,-1.255,17,-1.34,17,-0.568,17,-3.835,17,-2.013,17,0.177
18,-1.613,18,-3.691,18,-1.213,18,-1.148,18,-0.538,18,-3.813,18,-1.986,18,0.194
19,-1.592,19,-3.654,19,-1.165,19,-1.277,19,-0.48,19,-3.788,19,-1.956,19,0.192
20,-1.595,20,-3.595,20,-1.153,20,-0.889,20,-0.446,20,-3.757,20,-1.961,20,0.18
21,-1.592,21,-3.505,21,-1.099,21,-1.614,21,-0.446,21,-3.686,21,-1.915,21,0.147
22,-1.617,22,-3.419,22,-1.03,22,-1.238,22,-0.369,22,-3.634,22,-1.832,22,0.178
23,-1.566,23,-3.25,23,-1.014,23,-0.986,23,-0.325,23,-3.519,23,-1.799,23,0.186
24,-1.576,24,-3.023,24,-1.006,24,-1.704,24,-0.301,24,-3.379,24,-1.815,24,0.002
25,-1.577,25,-2.743,25,-0.926,25,-1.74,25,-0.264,25,-3.111,25,-1.746,25,0.104
26,-1.544,26,-2.469,26,-0.923,26,-1.709,26,-0.246,26,-2.87,26,-1.739,26,0.126
27,-1.566,27,-2.026,27,-0.858,27,-1.002,27,-0.223,27,-2.414,27,-1.665,27,0.183
28,-1.559,28,-1.73,28,-0.822,28,-0.944,28,-0.207,28,-2.105,28,-1.63,28,0.173
29,-1.556,29,-1.507,29,-0.817,29,-0.937,29,-0.201,29,-1.948,29,-1.634,29,0.159
30,-1.527,30,-1.463,30,-0.741,30,-1.353,30,-0.168,30,-1.819,30,-1.527,30,0.059
31,-1.522,31,-1.659,31,-0.703,31,-1.1,31,-0.199,31,-2.073,31,-1.465,31,0.162
32,-1.542,32,-1.78,32,-0.648,32,-0.706,32,-0.161,32,-2.17,32,-1.386,32,0.169
33,-1.518,33,-1.831,33,-0.634,33,-2.013,33,-0.173,33,-1.991,33,-1.361,33,0.111
34,-1.517,34,-1.946,34,-0.609,34,-0.901,34,-0.178,34,-2.06,34,-1.297,34,0.112
35,-1.532,35,-1.923,35,-0.582,35,-1.899,35,-0.137,35,-2.022,35,-1.272,35,0.084
36,-1.529,36,-1.797,36,-0.517,36,-1.247,36,-0.119,36,-1.861,36,-1.12,36,0.155
37,-1.528,37,-1.827,37,-0.506,37,-0.878,37,-0.132,37,-1.867,37,-1.115,37,0.141
38,-1.541,38,-1.865,38,-0.501,38,-1.085,38,-0.094,38,-1.774,38,-1.118,38,0.105
39,-1.527,39,-1.814,39,-0.459,39,-0.707,39,-0.11,39,-1.65,39,-1.02,39,0.112
40,-1.553,40,-1.733,40,-0.451,40,-0.621,40,-0.103,40,-1.512,40,-1.017,40,0.157
41,-1.535,41,-1.753,41,-0.404,41,-1.062,41,-0.078,41,-1.472,41,-0.912,41,0.122
42,-1.542,42,-1.7,42,-0.406,42,-1.238,42,-0.082,42,-1.422,42,-0.905,42,0.055
43,-1.544,43,-1.578,43,-0.389,43,-0.968,43,-0.065,43,-1.281,43,-0.869,43,0.084
44,-1.547,44,-1.625,44,-0.375,44,-1.002,44,-0.071,44,-1.204,44,-0.831,44,0.135
45,-1.542,45,-1.601,45,-0.357,45,-0.97,45,-0.046,45,-1.107,45,-0.784,45,0.129
46,-1.549,46,-1.549,46,-0.339,46,-1.425,46,-0.026,46,-0.991,46,-0.745,46,0.111
47,-1.543,47,-1.555,47,-0.335,47,-0.896,47,-0.032,47,-0.949,47,-0.734,47,0.086
48,-1.545,48,-1.585,48,-0.307,48,-1.13,48,-0.005,48,-0.913,48,-0.657,48,0.042
49,-1.541,49,-1.545,49,-0.297,49,-1.283,49,-0.019,49,-0.861,49,-0.618,49,0.041
50,-1.547,50,-1.566,50,-0.283,50,-1.052,50,-0.007,50,-0.796,50,-0.588,50,0.057
51,-1.541,51,-1.542,51,-0.274,51,-0.925,51,0.001,51,-0.743,51,-0.565,51,0.105
52,-1.536,52,-1.518,52,-0.256,52,-0.835,52,0.005,52,-0.695,52,-0.509,52,0.077
53,-1.537,53,-1.553,53,-0.25,53,-1.15,53,0.006,53,-0.616,53,-0.494,53,0.093
54,-1.536,54,-1.54,54,-0.242,54,-1.181,54,0.016,54,-0.568,54,-0.47,54,-0.148
55,-1.537,55,-1.536,55,-0.234,55,-1.353,55,0.023,55,-0.589,55,-0.444,55,0.061
56,-1.537,56,-1.475,56,-0.225,56,-1.178,56,0.041,56,-0.501,56,-0.419,56,-0.193
57,-1.529,57,-1.544,57,-0.221,57,-0.872,57,0.024,57,-0.399,57,-0.41,57,0.105
58,-1.537,58,-1.498,58,-0.215,58,-1.202,58,0.059,58,-0.365,58,-0.394,58,-0.07
59,-1.54,59,-1.538,59,-0.208,59,-1.124,59,0.056,59,-0.343,59,-0.37,59,0.015
60,-1.532,60,-1.527,60,-0.203,60,-1.095,60,0.066,60,-0.327,60,-0.353,60,-0.085
61,-1.534,61,-1.552,61,-0.191,61,-1.684,61,0.067,61,-0.253,61,-0.316,61,-0.062
62,-1.544,62,-1.548,62,-0.187,62,-1.33,62,0.062,62,-0.271,62,-0.3,62,-0.2
63,-1.543,63,-1.556,63,-0.184,63,-0.862,63,0.053,63,-0.23,63,-0.295,63,0.013
64,-1.539,64,-1.517,64,-0.181,64,-0.902,64,0.064,64,-0.226,64,-0.283,64,0.063
65,-1.541,65,-1.545,65,-0.176,65,-1.212,65,0.081,65,-0.135,65,-0.269,65,-0.168
66,-1.55,66,-1.547,66,-0.173,66,-1.291,66,0.085,66,-0.15,66,-0.259,66,-0.076
67,-1.546,67,-1.543,67,-0.17,67,-1.186,67,0.07,67,-0.107,67,-0.249,67,-0.108
68,-1.551,68,-1.542,68,-0.168,68,-1.199,68,0.078,68,-0.072,68,-0.239,68,-0.06
69,-1.535,69,-1.543,69,-0.166,69,-1.181,69,0.12,69,-0.086,69,-0.23,69,-0.193
70,-1.544,70,-1.525,70,-0.163,70,-1.058,70,0.105,70,-0.027,70,-0.221,70,-0.205
71,-1.536,71,-1.546,71,-0.16,71,-1.764,71,0.124,71,-0.045,71,-0.213,71,-0.306
72,-1.551,72,-1.528,72,-0.159,72,-1.249,72,0.111,72,-0.035,72,-0.207,72,-0.397
73,-1.549,73,-1.55,73,-0.159,73,-0.895,73,0.112,73,-0.017,73,-0.208,73,0.003
74,-1.535,74,-1.53,74,-0.156,74,-1.146,74,0.105,74,0.007,74,-0.198,74,-0.069
75,-1.545,75,-1.513,75,-0.155,75,-1.183,75,0.126,75,0.018,75,-0.195,75,-0.117
76,-1.544,76,-1.541,76,-0.154,76,-1.073,76,0.118,76,0.021,76,-0.189,76,-0.179
77,-1.548,77,-1.557,77,-0.153,77,-0.839,77,0.116,77,0.025,77,-0.187,77,-0.123
78,-1.556,78,-1.535,78,-0.151,78,-0.964,78,0.141,78,0.039,78,-0.179,78,-0.054
79,-1.534,79,-1.535,79,-0.15,79,-1.115,79,0.145,79,0.04,79,-0.174,79,-0.333
80,-1.537,80,-1.555,80,-0.149,80,-1.164,80,0.156,80,0.033,80,-0.17,80,-0.153
81,-1.537,81,-1.546,81,-0.149,81,-1.237,81,0.155,81,0.081,81,-0.168,81,-0.191
82,-1.539,82,-1.535,82,-0.148,82,-1.463,82,0.147,82,0.073,82,-0.166,82,-0.573
83,-1.551,83,-1.549,83,-0.147,83,-1.298,83,0.148,83,0.079,83,-0.163,83,-0.641
84,-1.55,84,-1.529,84,-0.147,84,-0.928,84,0.154,84,0.123,84,-0.162,84,-0.121
85,-1.56,85,-1.546,85,-0.146,85,-1.269,85,0.157,85,0.109,85,-0.159,85,-0.491
86,-1.548,86,-1.548,86,-0.146,86,-1.349,86,0.154,86,0.12,86,-0.157,86,-0.354
87,-1.565,87,-1.548,87,-0.146,87,-1.294,87,0.151,87,0.102,87,-0.156,87,-0.667
88,-1.544,88,-1.536,88,-0.146,88,-1.412,88,0.153,88,0.144,88,-0.154,88,-0.499
89,-1.553,89,-1.549,89,-0.145,89,-1.118,89,0.164,89,0.145,89,-0.153,89,-0.338
90,-1.54,90,-1.53,90,-0.145,90,-1.346,90,0.16,90,0.148,90,-0.152,90,-0.695
91,-1.542,91,-1.54,91,-0.145,91,-1.32,91,0.163,91,0.17,91,-0.15,91,-0.857
92,-1.533,92,-1.527,92,-0.145,92,-1.172,92,0.165,92,0.151,92,-0.15,92,-0.518
93,-1.529,93,-1.531,93,-0.145,93,-1.094,93,0.168,93,0.155,93,-0.148,93,-0.341
94,-1.536,94,-1.541,94,-0.145,94,-1.084,94,0.175,94,0.169,94,-0.148,94,-0.229
95,-1.538,95,-1.548,95,-0.145,95,-1.462,95,0.18,95,0.186,95,-0.147,95,-0.803
96,-1.544,96,-1.54,96,-0.144,96,-1.489,96,0.187,96,0.174,96,-0.147,96,-0.915
97,-1.544,97,-1.544,97,-0.144,97,-1.442,97,0.189,97,0.182,97,-0.146,97,-0.788
98,-1.537,98,-1.549,98,-0.144,98,-0.888,98,0.183,98,0.181,98,-0.146,98,-0.189
99,-1.54,99,-1.55,99,-0.144,99,-1.36,99,0.187,99,0.172,99,-0.146,99,-0.394
