Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-2.418,1,-0.164,1,-2.183,1,-1.953,1,-1.749,1,-0.242,1,-1.33,1,0.103
2,-2.736,2,-0.23,2,-2.683,2,-2.201,2,-1.827,2,-0.537,2,-2.126,2,0.17
3,-2.538,3,-0.424,3,-2.974,3,-1.895,3,-1.545,3,-1.283,3,-2.631,3,0.092
4,-2.235,4,-1.005,4,-3.213,4,-1.878,4,-1.373,4,-2.57,4,-2.961,4,0.115
5,-1.942,5,-2.476,5,-3.381,5,-2.408,5,-1.179,5,-3.564,5,-3.149,5,0.161
6,-1.713,6,-3.387,6,-3.479,6,-2.268,6,-1.051,6,-3.796,6,-3.273,6,0.173
7,-1.717,7,-3.643,7,-3.511,7,-2.395,7,-1.022,7,-3.845,7,-3.338,7,0.175
8,-1.709,8,-3.775,8,-3.472,8,-2.486,8,-1.024,8,-3.876,8,-3.298,8,0.162
9,-1.792,9,-3.848,9,-3.369,9,-2.084,9,-1.062,9,-3.897,9,-3.118,9,0.178
10,-1.882,10,-3.849,10,-3.337,10,-2.333,10,-1.052,10,-3.895,10,-3.121,10,0.142
11,-1.921,11,-3.872,11,-3.169,11,-2.485,11,-1.052,11,-3.9,11,-3.019,11,0.137
12,-2.09,12,-3.882,12,-3.101,12,-2.447,12,-1.094,12,-3.903,12,-2.987,12,0.136
13,-2.327,13,-3.868,13,-3.026,13,-2.415,13,-1.154,13,-3.894,13,-2.923,13,0.154
14,-2.498,14,-3.856,14,-3.027,14,-2.635,14,-1.247,14,-3.884,14,-2.999,14,0.153
15,-2.755,15,-3.852,15,-3.006,15,-2.595,15,-1.387,15,-3.879,15,-2.965,15,0.154
16,-2.914,16,-3.849,16,-3.015,16,-2.339,16,-1.437,16,-3.873,16,-3.071,16,0.159
17,-3.138,17,-3.821,17,-3.028,17,-2.276,17,-1.633,17,-3.851,17,-3.14,17,0.156
18,-3.209,18,-3.807,18,-3.076,18,-2.126,18,-1.673,18,-3.833,18,-3.193,18,0.138
19,-3.321,19,-3.764,19,-3.102,19,-2.303,19,-1.778,19,-3.793,19,-3.241,19,0.163
20,-3.37,20,-3.732,20,-3.126,20,-2.207,20,-1.865,20,-3.775,20,-3.32,20,0.137
21,-3.387,21,-3.692,21,-3.159,21,-2.064,21,-1.909,21,-3.735,21,-3.34,21,0.118
22,-3.403,22,-3.646,22,-3.187,22,-2.476,22,-1.967,22,-3.695,22,-3.386,22,0.139
23,-3.431,23,-3.595,23,-3.213,23,-2.17,23,-2.071,23,-3.635,23,-3.41,23,0.135
24,-3.445,24,-3.579,24,-3.253,24,-2.464,24,-2.085,24,-3.657,24,-3.435,24,0.101
25,-3.42,25,-3.591,25,-3.27,25,-2.6,25,-2.045,25,-3.629,25,-3.457,25,0.155
26,-3.426,26,-3.54,26,-3.31,26,-2.318,26,-2.068,26,-3.6,26,-3.494,26,0.116
27,-3.426,27,-3.589,27,-3.331,27,-2.922,27,-2.083,27,-3.609,27,-3.527,27,0.036
28,-3.396,28,-3.579,28,-3.352,28,-2.034,28,-2.128,28,-3.592,28,-3.549,28,0.038
29,-3.403,29,-3.671,29,-3.37,29,-2.566,29,-2.097,29,-3.672,29,-3.57,29,0.027
30,-3.357,30,-3.591,30,-3.389,30,-3.058,30,-2.108,30,-3.594,30,-3.584,30,-0.077
31,-3.285,31,-3.586,31,-3.384,31,-2.17,31,-2.053,31,-3.588,31,-3.594,31,0.066
32,-3.228,32,-3.614,32,-3.41,32,-2.63,32,-1.982,32,-3.559,32,-3.613,32,-0.145
33,-3.146,33,-3.57,33,-3.406,33,-2.418,33,-1.922,33,-3.507,33,-3.612,33,-0.165
34,-3.082,34,-3.483,34,-3.419,34,-2.761,34,-1.84,34,-3.435,34,-3.635,34,-0.136
35,-2.964,35,-3.497,35,-3.424,35,-2.519,35,-1.734,35,-3.436,35,-3.656,35,-0.037
36,-2.897,36,-3.5,36,-3.428,36,-2.723,36,-1.686,36,-3.464,36,-3.658,36,-0.106
