Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
1,-2.7005,1,-3.3378,1,-2.1272,1,-1.2282,1,-2.7149,1,-3.3355,1,-2.1995,1,-0.24773
2,-2.6941,2,-3.3402,2,-2.4661,2,-1.2612,2,-2.6609,2,-3.335,2,-2.5228,2,-0.3625
3,-2.6802,3,-3.3372,3,-2.6305,3,-1.2083,3,-2.6501,3,-3.3332,3,-2.6831,3,-0.31855
4,-2.6328,4,-3.3288,4,-2.7295,4,-1.1309,4,-2.6221,4,-3.3237,4,-2.7896,4,-0.28571
5,-2.6327,5,-3.3277,5,-2.8089,5,-1.5596,5,-2.5877,5,-3.3213,5,-2.8588,5,-0.73034
6,-2.5597,6,-3.3104,6,-2.8972,6,-1.3183,6,-2.5509,6,-3.3064,6,-2.9267,6,-0.52993
7,-2.5334,7,-3.3105,7,-2.9333,7,-1.5321,7,-2.477,7,-3.3075,7,-2.9392,7,-0.57229
8,-2.5124,8,-3.3157,8,-2.9391,8,-1.5932,8,-2.4753,8,-3.3091,8,-2.9549,8,-0.53775
9,-2.3816,9,-3.3095,9,-3.0078,9,-1.3762,9,-2.3537,9,-3.3027,9,-3.0013,9,-0.50526
10,-2.389,10,-3.305,10,-3.0137,10,-1.7893,10,-2.2998,10,-3.3009,10,-3.0272,10,-0.84199
11,-2.3519,11,-3.2973,11,-2.9778,11,-1.5658,11,-2.2708,11,-3.2966,11,-2.9872,11,-0.92883
12,-2.3109,12,-3.2893,12,-3.0175,12,-1.5797,12,-2.1825,12,-3.2884,12,-3.0256,12,-0.74495
13,-2.2056,13,-3.2825,13,-3.0151,13,-1.8944,13,-2.0583,13,-3.2735,13,-3.0332,13,-0.97277
14,-2.2208,14,-3.281,14,-3.0059,14,-2.4023,14,-2.0395,14,-3.2874,14,-3.0486,14,-1.9502
15,-2.1166,15,-3.2743,15,-3.0161,15,-2.2102,15,-1.8728,15,-3.2683,15,-3.0472,15,-1.5018
16,-2.0253,16,-3.2625,16,-3.0304,16,-2.2028,16,-1.8761,16,-3.2684,16,-3.0694,16,-1.7917
17,-2.0751,17,-3.2672,17,-3.0335,17,-1.7579,17,-1.8335,17,-3.2638,17,-3.0723,17,-1.0643
18,-1.9582,18,-3.2665,18,-3.0362,18,-1.9143,18,-1.6741,18,-3.2713,18,-3.0641,18,-1.5466
19,-1.8811,19,-3.2521,19,-3.0491,19,-2.0884,19,-1.7036,19,-3.2538,19,-3.0817,19,-1.91
20,-1.9001,20,-3.2501,20,-3.0404,20,-2.5511,20,-1.4963,20,-3.2446,20,-3.0591,20,-2.316
21,-1.7859,21,-3.2389,21,-3.0511,21,-2.4831,21,-1.5102,21,-3.2382,21,-3.0793,21,-2.1848
22,-1.6792,22,-3.2521,22,-3.0508,22,-1.999,22,-1.3412,22,-3.2439,22,-3.0855,22,-1.454
23,-1.655,23,-3.2191,23,-3.0577,23,-2.2956,23,-1.272,23,-3.2311,23,-3.0846,23,-2.2082
24,-1.6989,24,-3.2318,24,-3.064,24,-1.9472,24,-1.1706,24,-3.2232,24,-3.1036,24,-1.6791
25,-1.541,25,-3.2081,25,-3.0696,25,-2.3526,25,-1.1096,25,-3.1729,25,-3.1078,25,-1.9531
26,-1.4469,26,-3.2024,26,-3.0851,26,-2.4969,26,-0.97454,26,-3.1897,26,-3.1081,26,-2.3686
27,-1.4634,27,-3.1737,27,-3.0866,27,-2.253,27,-1.0518,27,-3.1568,27,-3.1065,27,-2.0136
28,-1.4824,28,-3.1464,28,-3.0846,28,-2.1477,28,-0.97108,28,-3.1435,28,-3.1032,28,-2.0476
29,-1.4325,29,-3.1089,29,-3.09,29,-2.5459,29,-0.88125,29,-3.1324,29,-3.1124,29,-2.4004
30,-1.3079,30,-3.1416,30,-3.1013,30,-2.7493,30,-0.79897,30,-3.1237,30,-3.1124,30,-2.6997
31,-1.2228,31,-3.0667,31,-3.1073,31,-2.7103,31,-0.7839,31,-3.04,31,-3.1178,31,-2.6537
32,-1.2744,32,-2.9992,32,-3.1179,32,-3.0311,32,-0.79347,32,-3.0131,32,-3.1302,32,-3.0341
33,-1.1944,33,-3.0052,33,-3.1223,33,-2.8113,33,-0.74569,33,-2.9899,33,-3.1336,33,-2.8495
34,-1.262,34,-3.0208,34,-3.1362,34,-2.9912,34,-0.73343,34,-3.0142,34,-3.1414,34,-2.9932
35,-1.2617,35,-2.8719,35,-3.1433,35,-2.8352,35,-0.6468,35,-2.8477,35,-3.1414,35,-2.8358
36,-1.2219,36,-2.8628,36,-3.1515,36,-2.8227,36,-0.7217,36,-2.8601,36,-3.1498,36,-2.8223
37,-1.1361,37,-2.774,37,-3.1515,37,-2.4049,37,-0.63652,37,-2.7895,37,-3.1545,37,-2.3095
38,-1.1478,38,-2.7613,38,-3.1545,38,-2.6824,38,-0.67154,38,-2.7025,38,-3.1591,38,-2.5981
39,-1.2278,39,-2.6149,39,-3.1666,39,-2.7371,39,-0.7071,39,-2.646,39,-3.1738,39,-2.6782
40,-1.2714,40,-2.5204,40,-3.1758,40,-2.7405,40,-0.65168,40,-2.6066,40,-3.179,40,-2.697
41,-1.1792,41,-2.4776,41,-3.1844,41,-2.8612,41,-0.65238,41,-2.5821,41,-3.1857,41,-2.8473
42,-1.2294,42,-2.3574,42,-3.1855,42,-2.9616,42,-0.69078,42,-2.4292,42,-3.1922,42,-2.9378
43,-1.2248,43,-2.343,43,-3.1788,43,-3.0006,43,-0.65753,43,-2.411,43,-3.1853,43,-3.0613
44,-1.1629,44,-2.375,44,-3.1949,44,-2.7903,44,-0.63873,44,-2.3917,44,-3.2028,44,-2.7892
45,-1.2288,45,-2.0877,45,-3.1886,45,-2.8452,45,-0.56662,45,-2.2901,45,-3.1912,45,-2.8324
46,-1.1757,46,-1.9877,46,-3.1862,46,-2.6858,46,-0.611,46,-2.0797,46,-3.1898,46,-2.7451
47,-1.1558,47,-1.9875,47,-3.199,47,-2.7988,47,-0.66877,47,-2.118,47,-3.2003,47,-2.7777
48,-1.2791,48,-1.8626,48,-3.1972,48,-3.1518,48,-0.6601,48,-1.9296,48,-3.2035,48,-3.1399
49,-1.1445,49,-1.9872,49,-3.2073,49,-2.92,49,-0.65875,49,-1.9362,49,-3.2105,49,-2.9001
50,-1.2434,50,-1.92,50,-3.2128,50,-3.0894,50,-0.64138,50,-1.6925,50,-3.2052,50,-3.0533
51,-1.1317,51,-1.8988,51,-3.219,51,-3.1695,51,-0.68767,51,-1.6188,51,-3.2165,51,-3.1659
52,-1.2085,52,-1.6975,52,-3.2153,52,-2.9213,52,-0.61058,52,-1.5832,52,-3.2184,52,-2.9695
53,-1.2036,53,-1.5556,53,-3.2213,53,-3.1243,53,-0.60907,53,-1.5069,53,-3.2245,53,-3.1028
54,-1.1521,54,-1.6286,54,-3.216,54,-3.0861,54,-0.64814,54,-1.3682,54,-3.2227,54,-3.0555
55,-1.1581,55,-1.4598,55,-3.2226,55,-3.0422,55,-0.53372,55,-1.1874,55,-3.2226,55,-3.0379
56,-1.1203,56,-1.3973,56,-3.2222,56,-2.9967,56,-0.50063,56,-1.2307,56,-3.2256,56,-2.9889
57,-1.1702,57,-1.256,57,-3.2306,57,-3.1541,57,-0.54841,57,-1.0609,57,-3.2272,57,-3.1487
58,-1.1363,58,-1.1752,58,-3.231,58,-3.1275,58,-0.57999,58,-0.87892,58,-3.2345,58,-3.1657
59,-1.1787,59,-1.218,59,-3.2422,59,-2.988,59,-0.60109,59,-0.77593,59,-3.24,59,-2.9641
60,-1.2311,60,-1.1256,60,-3.2416,60,-3.1269,60,-0.67783,60,-0.68374,60,-3.2356,60,-3.1251
61,-1.1083,61,-1.0874,61,-3.2471,61,-3.1696,61,-0.52948,61,-0.71492,61,-3.2395,61,-3.1563
62,-1.0879,62,-1.2116,62,-3.2455,62,-2.9254,62,-0.52336,62,-0.72757,62,-3.2474,62,-2.9381
63,-1.2047,63,-1.1249,63,-3.2529,63,-3.127,63,-0.51313,63,-0.60707,63,-3.2524,63,-3.1108
64,-1.0593,64,-1.1497,64,-3.2538,64,-3.1234,64,-0.51732,64,-0.61262,64,-3.2478,64,-3.0965
65,-1.1195,65,-1.1655,65,-3.2543,65,-3.1121,65,-0.48805,65,-0.55088,65,-3.2512,65,-3.0844
66,-1.2099,66,-1.0842,66,-3.2553,66,-3.1226,66,-0.62543,66,-0.65381,66,-3.2572,66,-3.1219
67,-1.2205,67,-1.1067,67,-3.2601,67,-3.0271,67,-0.56005,67,-0.52576,67,-3.2543,67,-2.9809
68,-1.1377,68,-1.2087,68,-3.2523,68,-2.8783,68,-0.50942,68,-0.52367,68,-3.2508,68,-2.8279
69,-1.1909,69,-1.2403,69,-3.2551,69,-3.1378,69,-0.49806,69,-0.44599,69,-3.2553,69,-3.1266
70,-1.1563,70,-1.1514,70,-3.2556,70,-3.123,70,-0.47802,70,-0.51083,70,-3.2614,70,-3.0934
71,-1.2249,71,-1.2094,71,-3.2555,71,-3.1634,71,-0.44576,71,-0.47475,71,-3.2549,71,-3.1547
72,-1.1258,72,-1.1032,72,-3.2575,72,-3.1046,72,-0.50272,72,-0.3464,72,-3.2585,72,-3.1212
73,-1.1292,73,-1.1574,73,-3.2642,73,-3.1334,73,-0.51033,73,-0.50173,73,-3.2641,73,-3.1421
74,-1.192,74,-1.1359,74,-3.2621,74,-3.2148,74,-0.48954,74,-0.35863,74,-3.2658,74,-3.2195
75,-1.0781,75,-1.1769,75,-3.2696,75,-3.1154,75,-0.46048,75,-0.41247,75,-3.2674,75,-3.1044
76,-1.173,76,-1.1167,76,-3.2684,76,-3.0501,76,-0.46139,76,-0.46346,76,-3.2732,76,-3.0591
77,-1.124,77,-1.1173,77,-3.2734,77,-3.06,77,-0.42337,77,-0.33019,77,-3.2757,77,-3.0685
78,-1.1278,78,-1.1155,78,-3.2706,78,-3.1819,78,-0.41879,78,-0.33967,78,-3.2756,78,-3.2033
79,-1.1676,79,-1.1411,79,-3.2677,79,-3.1803,79,-0.45191,79,-0.37136,79,-3.2713,79,-3.1667
80,-1.1,80,-1.1457,80,-3.2676,80,-3.1788,80,-0.39301,80,-0.38375,80,-3.269,80,-3.1802
81,-1.0983,81,-1.1439,81,-3.2655,81,-3.1365,81,-0.51943,81,-0.38022,81,-3.2693,81,-3.1285
82,-1.1281,82,-1.1055,82,-3.2749,82,-3.1912,82,-0.36203,82,-0.35502,82,-3.2733,82,-3.1741
83,-1.1684,83,-1.1688,83,-3.2703,83,-3.1557,83,-0.40134,83,-0.3387,83,-3.2711,83,-3.1516
84,-1.0941,84,-1.1187,84,-3.2733,84,-3.1078,84,-0.37199,84,-0.33455,84,-3.2745,84,-3.1036
85,-1.0941,85,-1.139,85,-3.2767,85,-3.1534,85,-0.35282,85,-0.33459,85,-3.282,85,-3.1541
86,-1.1104,86,-1.0926,86,-3.2796,86,-3.1354,86,-0.37239,86,-0.31349,86,-3.287,86,-3.1572
87,-1.0644,87,-1.1497,87,-3.2801,87,-3.1419,87,-0.34251,87,-0.36444,87,-3.2894,87,-3.1295
88,-1.1306,88,-1.1207,88,-3.2798,88,-3.1837,88,-0.36257,88,-0.27117,88,-3.28,88,-3.198
89,-1.0871,89,-1.0691,89,-3.2769,89,-3.1178,89,-0.34801,89,-0.29283,89,-3.2833,89,-3.1252
90,-1.1028,90,-1.1452,90,-3.2817,90,-3.0838,90,-0.35739,90,-0.30121,90,-3.2823,90,-3.1327
91,-1.122,91,-1.1775,91,-3.2861,91,-3.1769,91,-0.3239,91,-0.33475,91,-3.2847,91,-3.179
92,-1.1435,92,-1.1266,92,-3.2807,92,-3.2399,92,-0.31557,92,-0.33441,92,-3.2851,92,-3.2322
93,-1.2206,93,-1.2023,93,-3.2818,93,-3.0971,93,-0.34553,93,-0.35697,93,-3.2882,93,-3.0743
94,-1.0754,94,-1.1722,94,-3.2809,94,-3.2124,94,-0.33847,94,-0.2359,94,-3.2837,94,-3.1929
95,-1.0834,95,-1.1147,95,-3.2806,95,-3.2301,95,-0.3392,95,-0.29833,95,-3.2902,95,-3.233
96,-1.0874,96,-1.0874,96,-3.2832,96,-3.2347,96,-0.33138,96,-0.23807,96,-3.2927,96,-3.2388
97,-1.1113,97,-1.1304,97,-3.2917,97,-3.1443,97,-0.30777,97,-0.25758,97,-3.2932,97,-3.1309
98,-1.0891,98,-1.1678,98,-3.2989,98,-3.1734,98,-0.25039,98,-0.27636,98,-3.2997,98,-3.1551
99,-1.1558,99,-1.1731,99,-3.3015,99,-3.209,99,-0.28793,99,-0.32989,99,-3.3037,99,-3.2128
