Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-0.99,1,-3.12,1,-0.85,1,-0.81,1,-0.53,1,-3.25,1,-0.49,1,-0.29
2,-0.95,2,-3.06,2,-0.97,2,-0.81,2,-0.52,2,-3.23,2,-0.66,2,-0.29
3,-0.94,3,-3.0,3,-1.04,3,-0.81,3,-0.5,3,-3.17,3,-0.77,3,-0.3
4,-0.93,4,-2.96,4,-1.13,4,-0.8,4,-0.5,4,-3.11,4,-0.9,4,-0.29
5,-0.92,5,-2.89,5,-1.19,5,-0.83,5,-0.49,5,-3.05,5,-0.99,5,-0.33
6,-0.9,6,-2.87,6,-1.28,6,-0.82,6,-0.47,6,-3.04,6,-1.08,6,-0.3
7,-0.89,7,-2.8,7,-1.35,7,-0.86,7,-0.46,7,-2.98,7,-1.18,7,-0.35
8,-0.89,8,-2.74,8,-1.37,8,-0.83,8,-0.45,8,-2.92,8,-1.22,8,-0.33
9,-0.88,9,-2.72,9,-1.42,9,-0.85,9,-0.45,9,-2.91,9,-1.28,9,-0.34
10,-0.88,10,-2.69,10,-1.47,10,-0.83,10,-0.44,10,-2.86,10,-1.33,10,-0.33
11,-0.88,11,-2.55,11,-1.5,11,-0.83,11,-0.44,11,-2.75,11,-1.37,11,-0.35
12,-0.88,12,-2.48,12,-1.54,12,-0.83,12,-0.44,12,-2.67,12,-1.39,12,-0.35
13,-0.88,13,-2.46,13,-1.54,13,-0.83,13,-0.43,13,-2.64,13,-1.4,13,-0.33
14,-0.87,14,-2.39,14,-1.57,14,-0.84,14,-0.42,14,-2.53,14,-1.44,14,-0.36
15,-0.87,15,-2.27,15,-1.58,15,-0.86,15,-0.42,15,-2.44,15,-1.47,15,-0.4
16,-0.87,16,-2.19,16,-1.58,16,-0.87,16,-0.41,16,-2.35,16,-1.49,16,-0.39
17,-0.87,17,-2.11,17,-1.59,17,-0.82,17,-0.4,17,-2.24,17,-1.52,17,-0.33
18,-0.87,18,-2.0,18,-1.62,18,-0.83,18,-0.4,18,-2.13,18,-1.56,18,-0.37
19,-0.87,19,-1.9,19,-1.61,19,-0.84,19,-0.41,19,-2.04,19,-1.56,19,-0.35
20,-0.87,20,-1.81,20,-1.63,20,-0.85,20,-0.4,20,-1.9,20,-1.62,20,-0.38
21,-0.87,21,-1.67,21,-1.63,21,-0.86,21,-0.4,21,-1.76,21,-1.62,21,-0.41
22,-0.87,22,-1.65,22,-1.63,22,-0.86,22,-0.4,22,-1.68,22,-1.66,22,-0.41
23,-0.86,23,-1.6,23,-1.66,23,-0.88,23,-0.4,23,-1.66,23,-1.7,23,-0.43
24,-0.87,24,-1.51,24,-1.66,24,-0.84,24,-0.41,24,-1.5,24,-1.71,24,-0.39
25,-0.87,25,-1.42,25,-1.68,25,-0.89,25,-0.41,25,-1.38,25,-1.74,25,-0.39
26,-0.87,26,-1.37,26,-1.7,26,-0.88,26,-0.41,26,-1.33,26,-1.76,26,-0.42
27,-0.87,27,-1.3,27,-1.71,27,-0.84,27,-0.41,27,-1.25,27,-1.77,27,-0.39
28,-0.87,28,-1.24,28,-1.74,28,-0.86,28,-0.39,28,-1.15,28,-1.81,28,-0.41
29,-0.87,29,-1.19,29,-1.73,29,-0.91,29,-0.4,29,-1.1,29,-1.83,29,-0.49
30,-0.87,30,-1.17,30,-1.77,30,-0.89,30,-0.4,30,-1.05,30,-1.84,30,-0.48
31,-0.86,31,-1.04,31,-1.78,31,-0.89,31,-0.4,31,-0.96,31,-1.88,31,-0.47
32,-0.87,32,-1.02,32,-1.8,32,-0.89,32,-0.4,32,-0.85,32,-1.89,32,-0.47
33,-0.86,33,-1.0,33,-1.81,33,-0.9,33,-0.39,33,-0.81,33,-1.92,33,-0.49
34,-0.86,34,-0.93,34,-1.79,34,-0.9,34,-0.38,34,-0.74,34,-1.91,34,-0.46
35,-0.86,35,-0.9,35,-1.83,35,-0.89,35,-0.38,35,-0.68,35,-1.95,35,-0.47
36,-0.87,36,-0.88,36,-1.82,36,-0.94,36,-0.39,36,-0.64,36,-1.95,36,-0.52
37,-0.86,37,-0.85,37,-1.84,37,-0.86,37,-0.39,37,-0.6,37,-1.98,37,-0.41
38,-0.86,38,-0.83,38,-1.86,38,-0.85,38,-0.39,38,-0.57,38,-1.99,38,-0.42
39,-0.86,39,-0.81,39,-1.88,39,-0.88,39,-0.39,39,-0.55,39,-2.03,39,-0.47
40,-0.87,40,-0.8,40,-1.9,40,-0.92,40,-0.39,40,-0.54,40,-2.06,40,-0.51
41,-0.86,41,-0.8,41,-1.91,41,-0.94,41,-0.37,41,-0.51,41,-2.08,41,-0.56
42,-0.86,42,-0.78,42,-1.95,42,-0.93,42,-0.37,42,-0.47,42,-2.11,42,-0.5
43,-0.86,43,-0.78,43,-1.97,43,-0.9,43,-0.37,43,-0.45,43,-2.15,43,-0.48
44,-0.86,44,-0.79,44,-2.0,44,-0.88,44,-0.36,44,-0.43,44,-2.18,44,-0.49
45,-0.85,45,-0.78,45,-1.99,45,-0.9,45,-0.37,45,-0.41,45,-2.18,45,-0.51
46,-0.85,46,-0.79,46,-2.04,46,-0.93,46,-0.36,46,-0.39,46,-2.23,46,-0.54
47,-0.85,47,-0.79,47,-2.05,47,-0.9,47,-0.36,47,-0.37,47,-2.25,47,-0.51
48,-0.84,48,-0.79,48,-2.06,48,-0.93,48,-0.35,48,-0.36,48,-2.25,48,-0.53
49,-0.83,49,-0.8,49,-2.09,49,-0.96,49,-0.35,49,-0.36,49,-2.28,49,-0.61
