Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-2.647,1,-3.611,1,-1.379,1,-1.233,1,-0.986,1,-3.611,1,-0.838,1,0.212
2,-1.843,2,-3.61,2,-1.586,2,-1.242,2,-0.482,2,-3.608,2,-1.26,2,0.18
3,-1.366,3,-3.544,3,-1.841,3,-0.44,3,-0.422,3,-3.438,3,-1.59,3,0.211
4,-1.238,4,-1.778,4,-2.107,4,-1.346,4,-0.49,4,-1.026,4,-1.9,4,0.207
5,-1.192,5,-0.184,5,-2.353,5,-1.238,5,-0.574,5,-0.173,5,-2.188,5,0.148
6,-1.385,6,-0.135,6,-2.608,6,-1.645,6,-0.744,6,-0.22,6,-2.442,6,0.158
7,-1.722,7,-0.272,7,-2.791,7,-1.29,7,-0.914,7,-0.785,7,-2.663,7,0.071
8,-1.903,8,-0.726,8,-2.997,8,-1.638,8,-0.973,8,-1.892,8,-2.85,8,0.21
9,-2.054,9,-1.461,9,-3.16,9,-1.676,9,-0.981,9,-2.753,9,-2.953,9,0.188
10,-2.174,10,-2.298,10,-3.271,10,-0.431,10,-1.017,10,-3.203,10,-3.075,10,0.208
11,-2.158,11,-2.621,11,-3.368,11,-1.504,11,-0.871,11,-3.345,11,-3.144,11,0.076
12,-2.053,12,-2.864,12,-3.463,12,-1.608,12,-0.736,12,-3.397,12,-3.262,12,0.102
13,-1.969,13,-3.071,13,-3.53,13,-1.402,13,-0.674,13,-3.458,13,-3.385,13,-0.007
14,-1.939,14,-3.125,14,-3.578,14,-0.444,14,-0.633,14,-3.469,14,-3.496,14,0.199
15,-1.93,15,-3.169,15,-3.616,15,-0.543,15,-0.672,15,-3.481,15,-3.532,15,0.192
16,-1.879,16,-3.09,16,-3.648,16,-0.954,16,-0.666,16,-3.433,16,-3.59,16,0.211
17,-1.822,17,-2.999,17,-3.677,17,-0.524,17,-0.63,17,-3.326,17,-3.625,17,0.204
18,-1.771,18,-2.926,18,-3.673,18,-0.809,18,-0.665,18,-3.276,18,-3.613,18,0.199
19,-1.708,19,-2.849,19,-3.643,19,-0.705,19,-0.652,19,-3.262,19,-3.565,19,0.206
20,-1.675,20,-2.68,20,-3.669,20,-1.468,20,-0.599,20,-3.077,20,-3.606,20,-0.002
21,-1.608,21,-2.52,21,-3.657,21,-0.703,21,-0.507,21,-3.011,21,-3.607,21,0.183
22,-1.564,22,-2.229,22,-3.634,22,-0.746,22,-0.485,22,-2.743,22,-3.546,22,0.2
23,-1.509,23,-1.962,23,-3.624,23,-0.923,23,-0.458,23,-2.496,23,-3.579,23,0.198
