Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-3.133,1,-3.809,1,-1.333,1,-1.351,1,-3.492,1,-3.853,1,-1.802,1,-0.492
2,-3.12,2,-3.814,2,-1.521,2,-1.438,2,-3.394,2,-3.858,2,-2.32,2,-0.513
3,-3.055,3,-3.766,3,-1.659,3,-1.323,3,-3.402,3,-3.836,3,-2.516,3,-0.157
4,-2.967,4,-3.769,4,-1.752,4,-1.619,4,-3.394,4,-3.84,4,-2.722,4,-1.123
5,-2.9,5,-3.772,5,-1.947,5,-1.414,5,-3.411,5,-3.841,5,-2.883,5,-0.561
6,-2.803,6,-3.767,6,-2.051,6,-1.304,6,-3.347,6,-3.843,6,-3.032,6,-0.517
7,-2.707,7,-3.75,7,-2.195,7,-1.717,7,-3.297,7,-3.838,7,-3.099,7,-0.846
8,-2.611,8,-3.759,8,-2.359,8,-1.309,8,-3.197,8,-3.841,8,-3.183,8,-0.519
9,-2.5,9,-3.759,9,-2.439,9,-1.337,9,-3.065,9,-3.844,9,-3.218,9,-0.611
10,-2.429,10,-3.757,10,-2.595,10,-1.412,10,-3.038,10,-3.844,10,-3.286,10,-0.505
11,-2.328,11,-3.739,11,-2.666,11,-2.433,11,-2.848,11,-3.84,11,-3.313,11,-1.78
12,-2.18,12,-3.758,12,-2.754,12,-1.394,12,-2.684,12,-3.847,12,-3.381,12,-0.863
13,-2.067,13,-3.745,13,-2.903,13,-1.494,13,-2.576,13,-3.844,13,-3.428,13,-0.779
14,-1.977,14,-3.743,14,-2.996,14,-1.934,14,-2.383,14,-3.843,14,-3.48,14,-1.598
15,-1.865,15,-3.713,15,-3.004,15,-1.494,15,-2.277,15,-3.836,15,-3.491,15,-1.066
16,-1.796,16,-3.704,16,-3.075,16,-3.059,16,-2.196,16,-3.833,16,-3.528,16,-2.588
17,-1.665,17,-3.693,17,-3.141,17,-2.893,17,-2.046,17,-3.83,17,-3.547,17,-2.595
18,-1.589,18,-3.643,18,-3.221,18,-1.373,18,-1.957,18,-3.811,18,-3.573,18,-0.904
19,-1.591,19,-3.639,19,-3.279,19,-1.429,19,-1.847,19,-3.814,19,-3.595,19,-0.995
20,-1.516,20,-3.607,20,-3.33,20,-1.501,20,-1.74,20,-3.802,20,-3.617,20,-1.35
21,-1.465,21,-3.56,21,-3.38,21,-1.797,21,-1.548,21,-3.79,21,-3.635,21,-1.464
22,-1.425,22,-3.497,22,-3.384,22,-2.557,22,-1.469,22,-3.76,22,-3.637,22,-2.087
23,-1.375,23,-3.461,23,-3.397,23,-1.452,23,-1.359,23,-3.75,23,-3.648,23,-1.198
24,-1.358,24,-3.421,24,-3.433,24,-2.944,24,-1.271,24,-3.736,24,-3.661,24,-2.658
25,-1.368,25,-3.314,25,-3.451,25,-3.177,25,-1.257,25,-3.709,25,-3.659,25,-2.896
26,-1.352,26,-3.28,26,-3.474,26,-1.444,26,-1.298,26,-3.684,26,-3.671,26,-1.077
27,-1.317,27,-3.192,27,-3.491,27,-1.601,27,-1.195,27,-3.654,27,-3.673,27,-1.31
28,-1.308,28,-3.133,28,-3.5,28,-2.81,28,-1.171,28,-3.626,28,-3.681,28,-2.594
29,-1.3,29,-2.983,29,-3.527,29,-3.266,29,-1.0,29,-3.575,29,-3.694,29,-2.926
30,-1.306,30,-2.856,30,-3.529,30,-1.773,30,-0.993,30,-3.53,30,-3.693,30,-1.928
31,-1.3,31,-2.804,31,-3.535,31,-1.852,31,-0.993,31,-3.488,31,-3.699,31,-1.908
