Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
1,-2.1023,1,-3.3851,1,-2.0315,1,-1.983,1,-2.1747,1,-3.3812,1,-1.8325,1,-0.0014431
2,-2.0631,2,-3.3796,2,-2.1949,2,-1.9811,2,-1.9279,2,-3.3787,2,-2.0888,2,-0.49181
3,-2.1091,3,-3.3808,3,-2.2111,3,-2.0662,3,-1.8695,3,-3.3719,3,-2.2971,3,-0.90078
4,-2.0874,4,-3.3809,4,-2.3865,4,-1.9345,4,-1.9065,4,-3.3732,4,-2.4484,4,-0.8883
5,-2.1104,5,-3.3794,5,-2.4775,5,-1.9161,5,-1.91,5,-3.3742,5,-2.5441,5,-0.70243
6,-1.9793,6,-3.3751,6,-2.5028,6,-2.0821,6,-1.7295,6,-3.3737,6,-2.598,6,-1.1567
7,-2.0612,7,-3.3729,7,-2.6489,7,-2.0373,7,-1.7494,7,-3.3685,7,-2.7271,7,-0.89124
8,-2.0229,8,-3.3773,8,-2.699,8,-1.9834,8,-1.7207,8,-3.3705,8,-2.7176,8,-0.52675
9,-2.0054,9,-3.376,9,-2.7697,9,-2.1184,9,-1.798,9,-3.3686,9,-2.8035,9,-1.0571
10,-1.9335,10,-3.3712,10,-2.8396,10,-2.2108,10,-1.7693,10,-3.3668,10,-2.8245,10,-1.33
11,-1.969,11,-3.3691,11,-2.8143,11,-2.1091,11,-1.6296,11,-3.3583,11,-2.8692,11,-1.0892
12,-1.9984,12,-3.368,12,-2.8502,12,-1.9846,12,-1.6997,12,-3.3602,12,-2.8813,12,-0.92306
13,-2.0406,13,-3.3634,13,-2.8434,13,-1.9391,13,-1.5129,13,-3.3542,13,-2.9276,13,-1.0489
14,-1.9048,14,-3.3521,14,-2.9073,14,-2.2314,14,-1.609,14,-3.3464,14,-2.9169,14,-1.8079
15,-1.9847,15,-3.3546,15,-2.8924,15,-2.0919,15,-1.3509,15,-3.3481,15,-2.9609,15,-1.6738
16,-2.0046,16,-3.3553,16,-2.9537,16,-2.22,16,-1.54,16,-3.3389,16,-2.9712,16,-1.6671
17,-2.0297,17,-3.3385,17,-2.9926,17,-2.143,17,-1.424,17,-3.3334,17,-3.0164,17,-1.4129
