Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-0.96,1,-3.15,1,-0.8,1,-0.79,1,-0.56,1,-3.15,1,-0.36,1,-0.27
2,-0.94,2,-3.08,2,-0.81,2,-0.79,2,-0.53,2,-3.07,2,-0.4,2,-0.29
3,-0.93,3,-3.03,3,-0.83,3,-0.82,3,-0.52,3,-3.02,3,-0.41,3,-0.31
4,-0.92,4,-2.97,4,-0.82,4,-0.8,4,-0.51,4,-2.95,4,-0.44,4,-0.3
5,-0.92,5,-2.93,5,-0.85,5,-0.79,5,-0.53,5,-2.87,5,-0.47,5,-0.29
6,-0.9,6,-2.86,6,-0.85,6,-0.79,6,-0.5,6,-2.81,6,-0.5,6,-0.32
7,-0.89,7,-2.78,7,-0.87,7,-0.78,7,-0.49,7,-2.78,7,-0.51,7,-0.29
8,-0.89,8,-2.7,8,-0.87,8,-0.79,8,-0.48,8,-2.68,8,-0.52,8,-0.29
9,-0.88,9,-2.6,9,-0.88,9,-0.79,9,-0.47,9,-2.57,9,-0.52,9,-0.3
10,-0.87,10,-2.54,10,-0.9,10,-0.84,10,-0.46,10,-2.5,10,-0.54,10,-0.35
11,-0.86,11,-2.43,11,-0.9,11,-0.81,11,-0.45,11,-2.41,11,-0.54,11,-0.34
12,-0.85,12,-2.32,12,-0.92,12,-0.79,12,-0.42,12,-2.29,12,-0.56,12,-0.3
13,-0.84,13,-2.23,13,-0.93,13,-0.79,13,-0.41,13,-2.2,13,-0.58,13,-0.32
14,-0.84,14,-2.16,14,-0.94,14,-0.82,14,-0.4,14,-2.11,14,-0.61,14,-0.35
15,-0.83,15,-2.06,15,-0.93,15,-0.84,15,-0.38,15,-2.01,15,-0.61,15,-0.38
16,-0.83,16,-1.91,16,-0.95,16,-0.79,16,-0.38,16,-1.88,16,-0.62,16,-0.31
17,-0.83,17,-1.83,17,-0.96,17,-0.82,17,-0.37,17,-1.78,17,-0.66,17,-0.33
