HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,0.58,1,0.23,1,0.83,1,0.85,1,0.57,1,0.23,1,0.82,1,0.96
2,0.59,2,0.24,2,0.79,2,0.85,2,0.59,2,0.24,2,0.76,2,0.94
3,0.6,3,0.26,3,0.74,3,0.85,3,0.59,3,0.26,3,0.71,3,0.94
4,0.62,4,0.27,4,0.71,4,0.84,4,0.6,4,0.27,4,0.68,4,0.92
5,0.63,5,0.29,5,0.68,5,0.85,5,0.62,5,0.29,5,0.64,5,0.94
6,0.65,6,0.3,6,0.65,6,0.84,6,0.63,6,0.3,6,0.61,6,0.93
7,0.66,7,0.32,7,0.63,7,0.85,7,0.64,7,0.32,7,0.59,7,0.94
8,0.68,8,0.34,8,0.6,8,0.84,8,0.66,8,0.34,8,0.56,8,0.94
9,0.69,9,0.37,9,0.58,9,0.83,9,0.68,9,0.36,9,0.55,9,0.88
10,0.7,10,0.38,10,0.56,10,0.85,10,0.69,10,0.37,10,0.53,10,0.92
11,0.72,11,0.41,11,0.55,11,0.84,11,0.71,11,0.4,11,0.52,11,0.93
12,0.73,12,0.43,12,0.53,12,0.84,12,0.73,12,0.42,12,0.5,12,0.9
13,0.75,13,0.46,13,0.51,13,0.84,13,0.75,13,0.45,13,0.48,13,0.92
14,0.76,14,0.5,14,0.5,14,0.83,14,0.76,14,0.48,14,0.47,14,0.89
15,0.77,15,0.52,15,0.48,15,0.82,15,0.77,15,0.5,15,0.46,15,0.88
16,0.78,16,0.54,16,0.47,16,0.82,16,0.79,16,0.52,16,0.45,16,0.87
17,0.79,17,0.58,17,0.46,17,0.82,17,0.8,17,0.55,17,0.43,17,0.88
18,0.8,18,0.6,18,0.45,18,0.81,18,0.81,18,0.56,18,0.42,18,0.86
19,0.81,19,0.63,19,0.43,19,0.83,19,0.83,19,0.59,19,0.41,19,0.88
20,0.82,20,0.65,20,0.42,20,0.82,20,0.84,20,0.61,20,0.4,20,0.86
21,0.82,21,0.68,21,0.41,21,0.79,21,0.84,21,0.64,21,0.39,21,0.83
22,0.83,22,0.7,22,0.4,22,0.8,22,0.86,22,0.65,22,0.38,22,0.84
23,0.83,23,0.72,23,0.39,23,0.82,23,0.86,23,0.67,23,0.38,23,0.87
24,0.84,24,0.74,24,0.38,24,0.79,24,0.87,24,0.68,24,0.37,24,0.82
25,0.84,25,0.76,25,0.37,25,0.81,25,0.88,25,0.71,25,0.36,25,0.86
26,0.84,26,0.78,26,0.37,26,0.8,26,0.88,26,0.72,26,0.35,26,0.84
27,0.84,27,0.79,27,0.36,27,0.82,27,0.88,27,0.73,27,0.35,27,0.86
28,0.85,28,0.8,28,0.36,28,0.8,28,0.89,28,0.75,28,0.34,28,0.84
29,0.85,29,0.81,29,0.35,29,0.81,29,0.89,29,0.76,29,0.34,29,0.85
30,0.85,30,0.82,30,0.34,30,0.81,30,0.89,30,0.77,30,0.33,30,0.84
31,0.85,31,0.83,31,0.34,31,0.8,31,0.9,31,0.78,31,0.33,31,0.83
32,0.85,32,0.84,32,0.33,32,0.78,32,0.9,32,0.79,32,0.32,32,0.81
33,0.85,33,0.84,33,0.33,33,0.79,33,0.9,33,0.79,33,0.32,33,0.82
34,0.85,34,0.85,34,0.32,34,0.81,34,0.9,34,0.8,34,0.31,34,0.84
35,0.85,35,0.85,35,0.32,35,0.78,35,0.91,35,0.8,35,0.31,35,0.8
36,0.86,36,0.85,36,0.32,36,0.81,36,0.91,36,0.81,36,0.31,36,0.84
37,0.85,37,0.85,37,0.31,37,0.78,37,0.91,37,0.81,37,0.3,37,0.82
38,0.86,38,0.85,38,0.31,38,0.79,38,0.91,38,0.81,38,0.3,38,0.83
39,0.85,39,0.85,39,0.3,39,0.78,39,0.92,39,0.82,39,0.3,39,0.8
40,0.86,40,0.86,40,0.3,40,0.77,40,0.92,40,0.82,40,0.29,40,0.78
41,0.86,41,0.86,41,0.3,41,0.79,41,0.92,41,0.82,41,0.29,41,0.81
42,0.86,42,0.86,42,0.29,42,0.77,42,0.92,42,0.83,42,0.29,42,0.79
43,0.86,43,0.86,43,0.29,43,0.78,43,0.92,43,0.83,43,0.28,43,0.81
44,0.86,44,0.86,44,0.29,44,0.77,44,0.93,44,0.83,44,0.28,44,0.8
45,0.86,45,0.86,45,0.28,45,0.77,45,0.93,45,0.84,45,0.28,45,0.79
46,0.86,46,0.86,46,0.28,46,0.77,46,0.93,46,0.85,46,0.27,46,0.78
47,0.86,47,0.86,47,0.28,47,0.74,47,0.94,47,0.85,47,0.27,47,0.75
48,0.86,48,0.86,48,0.27,48,0.77,48,0.93,48,0.85,48,0.27,48,0.79
49,0.85,49,0.86,49,0.27,49,0.77,49,0.93,49,0.85,49,0.27,49,0.79
50,0.85,50,0.86,50,0.27,50,0.76,50,0.94,50,0.85,50,0.27,50,0.79
51,0.85,51,0.86,51,0.27,51,0.77,51,0.94,51,0.85,51,0.26,51,0.78
52,0.86,52,0.85,52,0.26,52,0.77,52,0.94,52,0.86,52,0.26,52,0.79
53,0.86,53,0.86,53,0.26,53,0.77,53,0.94,53,0.86,53,0.26,53,0.78
54,0.86,54,0.86,54,0.26,54,0.75,54,0.94,54,0.86,54,0.26,54,0.77
55,0.86,55,0.85,55,0.26,55,0.77,55,0.95,55,0.86,55,0.25,55,0.78
56,0.86,56,0.86,56,0.25,56,0.76,56,0.94,56,0.87,56,0.25,56,0.78
57,0.85,57,0.85,57,0.25,57,0.78,57,0.94,57,0.86,57,0.25,57,0.8
58,0.85,58,0.86,58,0.25,58,0.76,58,0.94,58,0.88,58,0.25,58,0.77
59,0.86,59,0.85,59,0.25,59,0.76,59,0.95,59,0.88,59,0.25,59,0.77
60,0.86,60,0.85,60,0.25,60,0.75,60,0.95,60,0.88,60,0.25,60,0.77
61,0.86,61,0.85,61,0.25,61,0.75,61,0.95,61,0.88,61,0.24,61,0.78
62,0.85,62,0.86,62,0.24,62,0.77,62,0.95,62,0.89,62,0.24,62,0.76
63,0.86,63,0.86,63,0.24,63,0.76,63,0.95,63,0.89,63,0.24,63,0.77
64,0.85,64,0.85,64,0.24,64,0.74,64,0.95,64,0.9,64,0.24,64,0.74
65,0.86,65,0.85,65,0.24,65,0.73,65,0.95,65,0.9,65,0.24,65,0.74
66,0.86,66,0.85,66,0.24,66,0.74,66,0.95,66,0.9,66,0.24,66,0.75
67,0.86,67,0.86,67,0.24,67,0.74,67,0.95,67,0.9,67,0.24,67,0.75
68,0.86,68,0.86,68,0.24,68,0.76,68,0.95,68,0.91,68,0.23,68,0.77
69,0.86,69,0.85,69,0.24,69,0.74,69,0.96,69,0.9,69,0.23,69,0.74
70,0.86,70,0.85,70,0.23,70,0.73,70,0.95,70,0.92,70,0.23,70,0.74
71,0.85,71,0.86,71,0.23,71,0.72,71,0.95,71,0.92,71,0.23,71,0.73
72,0.86,72,0.86,72,0.23,72,0.74,72,0.96,72,0.92,72,0.23,72,0.74
73,0.85,73,0.86,73,0.23,73,0.74,73,0.95,73,0.92,73,0.23,73,0.75
74,0.85,74,0.85,74,0.23,74,0.72,74,0.96,74,0.92,74,0.23,74,0.72
75,0.86,75,0.86,75,0.23,75,0.69,75,0.95,75,0.93,75,0.23,75,0.69
76,0.86,76,0.86,76,0.23,76,0.73,76,0.95,76,0.93,76,0.23,76,0.73
77,0.86,77,0.85,77,0.23,77,0.73,77,0.96,77,0.94,77,0.23,77,0.72
78,0.86,78,0.85,78,0.23,78,0.73,78,0.96,78,0.93,78,0.23,78,0.73
79,0.85,79,0.85,79,0.22,79,0.75,79,0.96,79,0.94,79,0.22,79,0.75
80,0.86,80,0.86,80,0.22,80,0.71,80,0.96,80,0.94,80,0.22,80,0.71
81,0.85,81,0.86,81,0.22,81,0.71,81,0.96,81,0.94,81,0.22,81,0.72
82,0.85,82,0.85,82,0.22,82,0.72,82,0.96,82,0.94,82,0.22,82,0.72
83,0.86,83,0.85,83,0.22,83,0.73,83,0.95,83,0.94,83,0.22,83,0.73
84,0.86,84,0.85,84,0.22,84,0.71,84,0.95,84,0.94,84,0.22,84,0.7
85,0.86,85,0.85,85,0.22,85,0.73,85,0.95,85,0.96,85,0.22,85,0.73
86,0.86,86,0.85,86,0.22,86,0.72,86,0.95,86,0.95,86,0.22,86,0.72
87,0.86,87,0.85,87,0.22,87,0.71,87,0.96,87,0.95,87,0.22,87,0.72
88,0.86,88,0.86,88,0.22,88,0.7,88,0.95,88,0.96,88,0.22,88,0.7
89,0.85,89,0.86,89,0.22,89,0.72,89,0.95,89,0.95,89,0.22,89,0.7
90,0.86,90,0.85,90,0.22,90,0.74,90,0.96,90,0.96,90,0.22,90,0.75
91,0.85,91,0.86,91,0.21,91,0.71,91,0.95,91,0.96,91,0.22,91,0.7
92,0.86,92,0.85,92,0.21,92,0.72,92,0.96,92,0.95,92,0.21,92,0.72
93,0.85,93,0.86,93,0.21,93,0.72,93,0.96,93,0.96,93,0.21,93,0.71
94,0.86,94,0.85,94,0.21,94,0.72,94,0.96,94,0.96,94,0.21,94,0.72
95,0.85,95,0.85,95,0.21,95,0.71,95,0.96,95,0.96,95,0.21,95,0.7
96,0.86,96,0.85,96,0.21,96,0.69,96,0.96,96,0.97,96,0.21,96,0.69
97,0.85,97,0.86,97,0.21,97,0.71,97,0.96,97,0.97,97,0.21,97,0.7
98,0.86,98,0.85,98,0.21,98,0.68,98,0.96,98,0.96,98,0.21,98,0.67
99,0.85,99,0.86,99,0.21,99,0.72,99,0.97,99,0.97,99,0.21,99,0.71
