Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-3.256,1,-3.612,1,-1.359,1,-1.07,1,-2.751,1,-3.611,1,-0.926,1,0.146
2,-3.039,2,-3.609,2,-1.766,2,-1.122,2,-2.108,2,-3.605,2,-1.436,2,0.032
3,-2.893,3,-3.591,3,-2.11,3,-1.226,3,-1.933,3,-3.572,3,-1.903,3,0.059
4,-2.704,4,-3.528,4,-2.375,4,-2.582,4,-1.686,4,-3.52,4,-2.242,4,0.173
5,-2.475,5,-3.619,5,-2.637,5,-1.083,5,-1.458,5,-3.818,5,-2.53,5,0.069
6,-2.351,6,-3.795,6,-2.859,6,-1.703,6,-1.344,6,-3.84,6,-2.777,6,0.115
7,-2.209,7,-3.741,7,-3.091,7,-1.149,7,-1.288,7,-3.644,7,-2.993,7,-0.003
8,-2.082,8,-3.572,8,-3.215,8,-1.667,8,-1.148,8,-3.418,8,-3.139,8,0.065
9,-1.962,9,-3.4,9,-3.328,9,-2.765,9,-1.13,9,-3.215,9,-3.243,9,0.126
10,-1.876,10,-3.119,10,-3.418,10,-1.525,10,-1.04,10,-2.912,10,-3.304,10,0.028
11,-1.784,11,-2.844,11,-3.524,11,-1.212,11,-0.999,11,-2.65,11,-3.446,11,0.014
12,-1.692,12,-2.885,12,-3.585,12,-2.476,12,-1.017,12,-2.657,12,-3.486,12,-0.0
13,-1.584,13,-2.792,13,-3.652,13,-1.432,13,-0.868,13,-2.569,13,-3.57,13,0.095
14,-1.501,14,-2.689,14,-3.672,14,-1.753,14,-0.877,14,-2.461,14,-3.556,14,0.029
15,-1.414,15,-2.623,15,-3.705,15,-1.435,15,-0.78,15,-2.456,15,-3.588,15,0.183
16,-1.345,16,-2.681,16,-3.723,16,-1.752,16,-0.683,16,-2.51,16,-3.583,16,0.05
17,-1.255,17,-3.012,17,-3.748,17,-2.976,17,-0.589,17,-2.803,17,-3.629,17,-0.105
18,-1.218,18,-3.019,18,-3.774,18,-1.53,18,-0.555,18,-2.797,18,-3.653,18,0.143
19,-1.17,19,-3.065,19,-3.786,19,-2.125,19,-0.497,19,-2.82,19,-3.67,19,-0.078
20,-1.124,20,-3.465,20,-3.788,20,-2.54,20,-0.423,20,-3.289,20,-3.657,20,-0.18
21,-1.106,21,-3.464,21,-3.795,21,-3.283,21,-0.397,21,-3.294,21,-3.671,21,-0.344
22,-1.066,22,-3.625,22,-3.817,22,-1.599,22,-0.37,22,-3.465,22,-3.706,22,0.098
23,-1.073,23,-3.608,23,-3.797,23,-2.567,23,-0.348,23,-3.453,23,-3.659,23,-0.59
24,-1.056,24,-3.667,24,-3.814,24,-2.236,24,-0.312,24,-3.533,24,-3.693,24,0.062
25,-1.053,25,-3.728,25,-3.811,25,-1.478,25,-0.285,25,-3.632,25,-3.69,25,0.048
26,-1.022,26,-3.703,26,-3.797,26,-1.565,26,-0.268,26,-3.592,26,-3.68,26,0.03
27,-1.03,27,-3.738,27,-3.761,27,-2.437,27,-0.251,27,-3.651,27,-3.649,27,-0.627
28,-1.032,28,-3.661,28,-3.758,28,-3.144,28,-0.229,28,-3.561,28,-3.642,28,-0.827
29,-1.036,29,-3.693,29,-3.747,29,-2.239,29,-0.217,29,-3.613,29,-3.64,29,-0.386
30,-1.032,30,-3.611,30,-3.737,30,-2.713,30,-0.228,30,-3.548,30,-3.632,30,-0.788
31,-1.039,31,-3.576,31,-3.751,31,-2.905,31,-0.231,31,-3.527,31,-3.654,31,-0.378
32,-1.028,32,-3.489,32,-3.747,32,-1.316,32,-0.199,32,-3.466,32,-3.659,32,-0.02
33,-1.036,33,-3.442,33,-3.668,33,-1.802,33,-0.196,33,-3.43,33,-3.607,33,-0.214
34,-1.028,34,-3.305,34,-3.626,34,-2.469,34,-0.193,34,-3.299,34,-3.588,34,-0.458
35,-1.042,35,-3.18,35,-3.659,35,-1.571,35,-0.151,35,-3.209,35,-3.611,35,-0.22
36,-1.02,36,-3.046,36,-3.615,36,-2.556,36,-0.172,36,-3.087,36,-3.589,36,-0.449
37,-1.008,37,-2.865,37,-3.551,37,-2.927,37,-0.124,37,-2.911,37,-3.566,37,-1.389
38,-1.019,38,-2.64,38,-3.585,38,-3.288,38,-0.144,38,-2.698,38,-3.578,38,-1.233
39,-1.02,39,-2.484,39,-3.572,39,-2.466,39,-0.114,39,-2.546,39,-3.576,39,-0.336
40,-0.994,40,-2.349,40,-3.516,40,-2.223,40,-0.109,40,-2.364,40,-3.55,40,-0.589
41,-1.02,41,-2.144,41,-3.543,41,-3.435,41,-0.091,41,-2.218,41,-3.576,41,-2.697
42,-0.998,42,-1.976,42,-3.471,42,-3.381,42,-0.085,42,-2.016,42,-3.546,42,-2.138
43,-1.005,43,-1.837,43,-3.489,43,-1.87,43,-0.07,43,-1.854,43,-3.553,43,-0.241
44,-1.024,44,-1.662,44,-3.485,44,-3.504,44,-0.062,44,-1.631,44,-3.564,44,-1.747
45,-1.007,45,-1.565,45,-3.476,45,-2.13,45,-0.055,45,-1.533,45,-3.568,45,-0.344
46,-1.009,46,-1.383,46,-3.376,46,-3.326,46,-0.048,46,-1.26,46,-3.527,46,-2.067
47,-0.994,47,-1.36,47,-3.346,47,-1.251,47,-0.027,47,-1.22,47,-3.53,47,-0.197
48,-0.997,48,-1.304,48,-3.335,48,-3.303,48,-0.04,48,-1.117,48,-3.533,48,-1.319
49,-1.006,49,-1.199,49,-3.299,49,-3.63,49,-0.026,49,-0.994,49,-3.525,49,-2.58
50,-1.003,50,-1.199,50,-3.229,50,-2.439,50,-0.015,50,-0.998,50,-3.504,50,-0.713
51,-0.993,51,-1.167,51,-3.2,51,-2.657,51,-0.025,51,-0.939,51,-3.496,51,-1.353
52,-1.016,52,-1.134,52,-3.159,52,-2.929,52,-0.022,52,-0.823,52,-3.478,52,-0.904
53,-0.986,53,-1.11,53,-3.044,53,-1.304,53,-0.012,53,-0.795,53,-3.447,53,-0.336
54,-1.002,54,-1.074,54,-3.05,54,-2.961,54,-0.01,54,-0.726,54,-3.45,54,-1.542
55,-0.996,55,-1.087,55,-3.024,55,-2.975,55,-0.005,55,-0.709,55,-3.447,55,-1.835
56,-0.988,56,-1.033,56,-2.979,56,-3.295,56,-0.012,56,-0.639,56,-3.434,56,-1.932
57,-1.0,57,-1.041,57,-2.976,57,-3.348,57,0.002,57,-0.623,57,-3.444,57,-2.236
58,-1.005,58,-1.032,58,-2.896,58,-2.806,58,0.012,58,-0.561,58,-3.407,58,-1.182
59,-1.006,59,-1.022,59,-2.885,59,-3.35,59,0.009,59,-0.527,59,-3.41,59,-1.795
60,-1.004,60,-1.014,60,-2.863,60,-3.531,60,0.022,60,-0.509,60,-3.404,60,-2.326
61,-1.014,61,-1.003,61,-2.779,61,-3.26,61,0.039,61,-0.447,61,-3.368,61,-1.458
62,-1.001,62,-0.982,62,-2.72,62,-3.151,62,0.036,62,-0.424,62,-3.358,62,-1.884
63,-0.993,63,-0.995,63,-2.672,63,-3.356,63,0.033,63,-0.363,63,-3.338,63,-2.304
64,-1.003,64,-1.002,64,-2.64,64,-2.649,64,0.025,64,-0.3,64,-3.328,64,-1.533
65,-1.001,65,-0.996,65,-2.668,65,-3.401,65,0.036,65,-0.28,65,-3.348,65,-2.677
66,-1.003,66,-0.991,66,-2.523,66,-2.887,66,0.027,66,-0.255,66,-3.276,66,-1.485
67,-1.0,67,-0.999,67,-2.52,67,-3.445,67,0.039,67,-0.241,67,-3.285,67,-2.208
68,-0.988,68,-1.006,68,-2.431,68,-2.875,68,0.039,68,-0.214,68,-3.241,68,-1.715
69,-1.001,69,-0.991,69,-2.347,69,-3.339,69,0.073,69,-0.208,69,-3.212,69,-2.339
70,-0.992,70,-0.994,70,-2.299,70,-3.52,70,0.05,70,-0.153,70,-3.187,70,-2.437
71,-0.992,71,-1.006,71,-2.299,71,-2.017,71,0.05,71,-0.149,71,-3.2,71,-0.837
72,-0.993,72,-1.006,72,-2.108,72,-3.168,72,0.114,72,-0.101,72,-3.099,72,-2.007
73,-0.989,73,-1.009,73,-2.023,73,-3.54,73,0.077,73,-0.122,73,-3.053,73,-2.813
74,-1.0,74,-1.019,74,-2.05,74,-3.557,74,0.106,74,-0.056,74,-3.072,74,-2.816
75,-1.009,75,-1.006,75,-1.967,75,-2.631,75,0.076,75,-0.052,75,-3.028,75,-1.825
76,-1.0,76,-1.007,76,-1.934,76,-2.532,76,0.088,76,-0.06,76,-2.99,76,-1.517
77,-1.003,77,-1.011,77,-1.947,77,-3.669,77,0.103,77,-0.005,77,-3.021,77,-3.479
78,-0.995,78,-1.002,78,-1.831,78,-2.119,78,0.074,78,-0.062,78,-2.955,78,-1.16
79,-1.0,79,-1.007,79,-1.836,79,-3.302,79,0.118,79,-0.015,79,-2.966,79,-2.646
80,-0.995,80,-0.993,80,-1.709,80,-3.146,80,0.102,80,-0.016,80,-2.873,80,-2.458
81,-0.991,81,-0.998,81,-1.607,81,-3.378,81,0.093,81,0.008,81,-2.779,81,-2.246
