Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-2.775,1,-3.829,1,-1.61,1,-1.408,1,-3.218,1,-3.873,1,-2.234,1,-0.28
2,-2.789,2,-3.822,2,-1.832,2,-1.977,2,-3.046,2,-3.871,2,-2.669,2,-1.603
3,-2.597,3,-3.822,3,-2.08,3,-2.597,3,-3.041,3,-3.871,3,-2.937,3,-2.345
4,-2.503,4,-3.817,4,-2.269,4,-1.711,4,-3.025,4,-3.868,4,-3.127,4,-1.112
5,-2.413,5,-3.827,5,-2.439,5,-1.633,5,-2.996,5,-3.873,5,-3.272,5,-1.168
6,-2.301,6,-3.821,6,-2.638,6,-1.644,6,-2.93,6,-3.873,6,-3.345,6,-1.217
7,-2.171,7,-3.826,7,-2.775,7,-1.81,7,-2.81,7,-3.874,7,-3.434,7,-1.294
8,-2.164,8,-3.826,8,-2.886,8,-2.299,8,-2.745,8,-3.873,8,-3.479,8,-1.957
9,-1.967,9,-3.824,9,-2.955,9,-2.268,9,-2.555,9,-3.875,9,-3.523,9,-2.335
10,-1.946,10,-3.823,10,-3.048,10,-2.029,10,-2.493,10,-3.875,10,-3.551,10,-1.725
11,-1.848,11,-3.828,11,-3.142,11,-1.917,11,-2.37,11,-3.876,11,-3.593,11,-1.517
12,-1.784,12,-3.829,12,-3.2,12,-2.007,12,-2.298,12,-3.878,12,-3.613,12,-1.772
13,-1.737,13,-3.822,13,-3.258,13,-2.972,13,-2.101,13,-3.874,13,-3.641,13,-2.958
14,-1.691,14,-3.814,14,-3.326,14,-1.617,14,-2.077,14,-3.874,14,-3.657,14,-1.211
15,-1.658,15,-3.806,15,-3.378,15,-3.037,15,-1.981,15,-3.87,15,-3.682,15,-3.081
16,-1.595,16,-3.804,16,-3.418,16,-2.588,16,-1.883,16,-3.871,16,-3.691,16,-2.619
17,-1.579,17,-3.792,17,-3.455,17,-2.985,17,-1.806,17,-3.868,17,-3.707,17,-3.136
18,-1.595,18,-3.791,18,-3.48,18,-2.634,18,-1.743,18,-3.867,18,-3.714,18,-2.636
19,-1.542,19,-3.776,19,-3.506,19,-2.115,19,-1.688,19,-3.862,19,-3.729,19,-2.141
20,-1.519,20,-3.766,20,-3.514,20,-3.06,20,-1.508,20,-3.858,20,-3.731,20,-3.214
21,-1.478,21,-3.761,21,-3.541,21,-2.706,21,-1.469,21,-3.856,21,-3.739,21,-2.755
22,-1.448,22,-3.75,22,-3.568,22,-2.067,22,-1.409,22,-3.853,22,-3.749,22,-2.118
23,-1.465,23,-3.738,23,-3.597,23,-3.135,23,-1.374,23,-3.848,23,-3.759,23,-3.211
24,-1.456,24,-3.713,24,-3.604,24,-2.651,24,-1.266,24,-3.839,24,-3.759,24,-2.891
25,-1.432,25,-3.69,25,-3.614,25,-3.284,25,-1.256,25,-3.832,25,-3.767,25,-3.383
26,-1.399,26,-3.7,26,-3.62,26,-2.578,26,-1.229,26,-3.828,26,-3.77,26,-2.744
27,-1.416,27,-3.671,27,-3.624,27,-2.949,27,-1.213,27,-3.82,27,-3.773,27,-3.304
28,-1.388,28,-3.625,28,-3.645,28,-2.727,28,-1.081,28,-3.808,28,-3.777,28,-2.992
29,-1.426,29,-3.614,29,-3.644,29,-2.557,29,-1.111,29,-3.798,29,-3.781,29,-2.84
30,-1.392,30,-3.532,30,-3.664,30,-3.022,30,-1.129,30,-3.773,30,-3.786,30,-3.275
31,-1.408,31,-3.471,31,-3.677,31,-3.169,31,-1.139,31,-3.759,31,-3.792,31,-3.395
32,-1.444,32,-3.447,32,-3.674,32,-2.826,32,-1.08,32,-3.745,32,-3.791,32,-3.072
33,-1.399,33,-3.368,33,-3.679,33,-2.81,33,-0.991,33,-3.716,33,-3.795,33,-3.041
34,-1.431,34,-3.256,34,-3.686,34,-2.445,34,-1.027,34,-3.682,34,-3.799,34,-2.732
35,-1.429,35,-3.191,35,-3.686,35,-2.935,35,-0.953,35,-3.648,35,-3.797,35,-3.155
36,-1.437,36,-3.04,36,-3.685,36,-2.812,36,-1.037,36,-3.599,36,-3.799,36,-3.114
37,-1.358,37,-3.018,37,-3.687,37,-2.703,37,-0.868,37,-3.557,37,-3.801,37,-3.073
38,-1.419,38,-2.877,38,-3.691,38,-2.475,38,-0.96,38,-3.504,38,-3.799,38,-2.824
39,-1.393,39,-2.698,39,-3.709,39,-2.322,39,-0.861,39,-3.426,39,-3.807,39,-2.719
40,-1.381,40,-2.662,40,-3.706,40,-3.105,40,-0.874,40,-3.388,40,-3.807,40,-3.289
