Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
1,-1.105,1,-3.3649,1,-1.3294,1,-1.1779,1,-1.0574,1,-3.3625,1,-1.0916,1,-0.30787
2,-1.2731,2,-3.357,2,-1.3895,2,-1.0677,2,-0.86618,2,-3.3548,2,-1.5442,2,-0.4925
3,-1.0965,3,-3.3497,3,-1.7599,3,-1.2297,3,-0.9284,3,-3.3479,3,-1.8527,3,-0.38127
4,-1.2148,4,-3.3495,4,-2.0272,4,-1.1611,4,-0.99172,4,-3.3487,4,-2.0842,4,-0.54746
5,-1.0472,5,-3.3365,5,-2.0985,5,-1.0725,5,-0.94769,5,-3.336,5,-2.1311,5,-0.43401
6,-1.1565,6,-3.336,6,-2.2812,6,-1.239,6,-1.0592,6,-3.3368,6,-2.272,6,-0.61159
7,-1.1057,7,-3.3271,7,-2.2461,7,-1.1894,7,-0.97403,7,-3.3332,7,-2.4016,7,-0.53785
8,-1.0599,8,-3.3241,8,-2.3748,8,-1.1823,8,-0.87346,8,-3.3202,8,-2.435,8,-0.52285
9,-1.0703,9,-3.3204,9,-2.444,9,-1.356,9,-0.82188,9,-3.3099,9,-2.5424,9,-0.95368
10,-1.1097,10,-3.3063,10,-2.4367,10,-1.2694,10,-0.90257,10,-3.3102,10,-2.5954,10,-0.61145
11,-1.0939,11,-3.2971,11,-2.599,11,-1.208,11,-0.90266,11,-3.2983,11,-2.6568,11,-0.60786
12,-1.0808,12,-3.2901,12,-2.6156,12,-1.2884,12,-0.81812,12,-3.288,12,-2.6689,12,-0.75462
13,-1.0455,13,-3.2702,13,-2.664,13,-1.4173,13,-0.83918,13,-3.259,13,-2.7076,13,-0.69291
14,-1.1877,14,-3.274,14,-2.7334,14,-1.4211,14,-0.82318,14,-3.2701,14,-2.7363,14,-1.1395
15,-1.2067,15,-3.2606,15,-2.7473,15,-1.3312,15,-0.83501,15,-3.268,15,-2.796,15,-0.74813
16,-1.107,16,-3.2483,16,-2.7491,16,-1.5111,16,-0.75542,16,-3.2478,16,-2.8222,16,-1.0453
17,-1.1781,17,-3.2174,17,-2.8262,17,-1.5254,17,-0.83334,17,-3.2212,17,-2.8938,17,-1.0066
18,-1.2252,18,-3.2197,18,-2.8351,18,-1.475,18,-0.88443,18,-3.2076,18,-2.8862,18,-0.98708
19,-1.1548,19,-3.1979,19,-2.8806,19,-1.3928,19,-0.85755,19,-3.217,19,-2.8871,19,-1.1044
20,-1.1745,20,-3.1944,20,-2.8463,20,-1.7083,20,-0.85896,20,-3.1884,20,-2.8794,20,-1.3945
21,-1.2612,21,-3.1415,21,-2.862,21,-1.7369,21,-0.83444,21,-3.1272,21,-2.9123,21,-1.446
22,-1.2177,22,-3.1214,22,-2.8903,22,-1.5812,22,-0.74351,22,-3.1448,22,-2.96,22,-1.4931
23,-1.2295,23,-3.0643,23,-2.9265,23,-1.5853,23,-0.70278,23,-3.0895,23,-2.9711,23,-1.3661
24,-1.1583,24,-3.0802,24,-2.9312,24,-1.846,24,-0.75175,24,-3.0968,24,-2.9588,24,-1.6691
25,-1.2109,25,-3.0518,25,-2.9475,25,-1.5411,25,-0.67497,25,-3.068,25,-2.9798,25,-1.2116
26,-1.2322,26,-2.9943,26,-2.9848,26,-1.7597,26,-0.74305,26,-3.0021,26,-3.013,26,-1.5499
27,-1.2995,27,-2.9418,27,-2.9918,27,-1.7498,27,-0.78031,27,-2.9605,27,-3.0277,27,-1.3947
28,-1.1348,28,-2.9161,28,-2.9943,28,-1.7436,28,-0.73355,28,-2.9162,28,-3.0322,28,-1.4393
29,-1.2771,29,-2.8338,29,-2.9888,29,-1.7386,29,-0.71734,29,-2.8558,29,-3.0375,29,-1.4274
30,-1.1194,30,-2.9095,30,-3.0413,30,-1.7508,30,-0.65825,30,-2.9452,30,-3.0773,30,-1.7671
31,-1.1721,31,-2.7734,31,-3.0329,31,-1.7091,31,-0.695,31,-2.7802,31,-3.0479,31,-1.6332
32,-1.1268,32,-2.7237,32,-3.0474,32,-1.9569,32,-0.62604,32,-2.7371,32,-3.0585,32,-1.9098
33,-1.0888,33,-2.6604,33,-3.0521,33,-1.7055,33,-0.6324,33,-2.7438,33,-3.0663,33,-1.5215
34,-1.1018,34,-2.6972,34,-3.0604,34,-1.7071,34,-0.61042,34,-2.7322,34,-3.0708,34,-1.5588
35,-1.1903,35,-2.6129,35,-3.052,35,-2.1751,35,-0.59746,35,-2.6789,35,-3.0548,35,-2.0432
36,-1.0662,36,-2.6362,36,-3.0713,36,-1.8359,36,-0.64093,36,-2.6476,36,-3.0706,36,-1.6158
37,-1.0788,37,-2.5001,37,-3.0598,37,-1.8517,37,-0.60005,37,-2.5503,37,-3.0727,37,-1.8598
