HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,0.58,1,0.29,1,0.83,1,0.84,1,0.59,1,0.29,1,0.83,1,0.96
2,0.6,2,0.33,2,0.81,2,0.84,2,0.6,2,0.32,2,0.8,2,0.95
3,0.61,3,0.35,3,0.78,3,0.84,3,0.6,3,0.34,3,0.76,3,0.94
4,0.64,4,0.38,4,0.76,4,0.84,4,0.62,4,0.37,4,0.74,4,0.96
5,0.65,5,0.4,5,0.74,5,0.84,5,0.63,5,0.39,5,0.71,5,0.93
6,0.67,6,0.45,6,0.72,6,0.84,6,0.65,6,0.44,6,0.69,6,0.94
7,0.68,7,0.47,7,0.71,7,0.84,7,0.66,7,0.46,7,0.67,7,0.93
8,0.7,8,0.52,8,0.69,8,0.84,8,0.69,8,0.5,8,0.66,8,0.93
9,0.71,9,0.55,9,0.67,9,0.84,9,0.7,9,0.52,9,0.64,9,0.93
10,0.72,10,0.57,10,0.66,10,0.83,10,0.72,10,0.55,10,0.62,10,0.92
11,0.74,11,0.61,11,0.64,11,0.83,11,0.74,11,0.58,11,0.61,11,0.91
12,0.76,12,0.64,12,0.63,12,0.84,12,0.77,12,0.6,12,0.6,12,0.91
13,0.77,13,0.67,13,0.62,13,0.83,13,0.77,13,0.63,13,0.58,13,0.91
14,0.78,14,0.69,14,0.6,14,0.83,14,0.8,14,0.65,14,0.57,14,0.89
15,0.79,15,0.72,15,0.59,15,0.84,15,0.81,15,0.67,15,0.56,15,0.91
16,0.8,16,0.74,16,0.58,16,0.83,16,0.83,16,0.69,16,0.55,16,0.9
17,0.81,17,0.76,17,0.56,17,0.83,17,0.84,17,0.71,17,0.53,17,0.91
18,0.82,18,0.77,18,0.55,18,0.83,18,0.85,18,0.73,18,0.53,18,0.92
19,0.82,19,0.79,19,0.54,19,0.83,19,0.85,19,0.74,19,0.51,19,0.89
20,0.83,20,0.8,20,0.53,20,0.82,20,0.86,20,0.75,20,0.5,20,0.89
21,0.83,21,0.81,21,0.52,21,0.83,21,0.86,21,0.76,21,0.49,21,0.9
22,0.83,22,0.81,22,0.51,22,0.83,22,0.87,22,0.77,22,0.48,22,0.89
23,0.83,23,0.83,23,0.5,23,0.83,23,0.88,23,0.79,23,0.47,23,0.9
24,0.84,24,0.83,24,0.49,24,0.83,24,0.88,24,0.79,24,0.46,24,0.9
25,0.84,25,0.83,25,0.48,25,0.82,25,0.89,25,0.8,25,0.46,25,0.88
26,0.84,26,0.84,26,0.47,26,0.83,26,0.89,26,0.81,26,0.45,26,0.89
27,0.84,27,0.84,27,0.46,27,0.83,27,0.89,27,0.81,27,0.44,27,0.89
28,0.84,28,0.84,28,0.45,28,0.83,28,0.89,28,0.82,28,0.43,28,0.89
29,0.84,29,0.84,29,0.44,29,0.82,29,0.9,29,0.83,29,0.43,29,0.87
30,0.84,30,0.84,30,0.44,30,0.81,30,0.89,30,0.83,30,0.42,30,0.87
31,0.84,31,0.85,31,0.43,31,0.82,31,0.9,31,0.83,31,0.41,31,0.89
32,0.84,32,0.84,32,0.42,32,0.81,32,0.9,32,0.84,32,0.4,32,0.87
33,0.84,33,0.85,33,0.42,33,0.83,33,0.9,33,0.84,33,0.4,33,0.88
34,0.84,34,0.84,34,0.41,34,0.8,34,0.9,34,0.84,34,0.39,34,0.85
35,0.84,35,0.85,35,0.4,35,0.83,35,0.9,35,0.85,35,0.39,35,0.89
36,0.84,36,0.85,36,0.4,36,0.81,36,0.91,36,0.85,36,0.38,36,0.87
37,0.84,37,0.85,37,0.39,37,0.82,37,0.92,37,0.85,37,0.38,37,0.88
38,0.84,38,0.85,38,0.39,38,0.81,38,0.92,38,0.86,38,0.37,38,0.87
39,0.84,39,0.85,39,0.38,39,0.81,39,0.92,39,0.86,39,0.37,39,0.86
40,0.85,40,0.85,40,0.38,40,0.82,40,0.92,40,0.86,40,0.36,40,0.88
41,0.84,41,0.84,41,0.37,41,0.82,41,0.92,41,0.86,41,0.36,41,0.87
42,0.84,42,0.85,42,0.37,42,0.8,42,0.92,42,0.86,42,0.35,42,0.83
43,0.84,43,0.85,43,0.36,43,0.8,43,0.91,43,0.86,43,0.35,43,0.85
44,0.84,44,0.85,44,0.36,44,0.8,44,0.92,44,0.87,44,0.34,44,0.84
45,0.84,45,0.84,45,0.35,45,0.82,45,0.93,45,0.88,45,0.34,45,0.86
46,0.85,46,0.85,46,0.35,46,0.81,46,0.92,46,0.88,46,0.34,46,0.85
47,0.85,47,0.85,47,0.35,47,0.81,47,0.93,47,0.88,47,0.34,47,0.86
48,0.84,48,0.84,48,0.34,48,0.8,48,0.94,48,0.88,48,0.33,48,0.84
49,0.84,49,0.85,49,0.34,49,0.8,49,0.93,49,0.89,49,0.33,49,0.84
50,0.85,50,0.85,50,0.34,50,0.81,50,0.93,50,0.89,50,0.33,50,0.86
51,0.84,51,0.85,51,0.33,51,0.8,51,0.93,51,0.9,51,0.33,51,0.84
52,0.84,52,0.84,52,0.33,52,0.81,52,0.93,52,0.89,52,0.32,52,0.86
53,0.84,53,0.85,53,0.33,53,0.81,53,0.94,53,0.9,53,0.32,53,0.85
54,0.84,54,0.85,54,0.33,54,0.81,54,0.94,54,0.9,54,0.32,54,0.85
55,0.84,55,0.85,55,0.32,55,0.81,55,0.94,55,0.91,55,0.31,55,0.84
56,0.85,56,0.84,56,0.32,56,0.81,56,0.93,56,0.91,56,0.31,56,0.86
57,0.85,57,0.84,57,0.32,57,0.81,57,0.94,57,0.91,57,0.31,57,0.84
58,0.85,58,0.84,58,0.32,58,0.81,58,0.94,58,0.91,58,0.31,58,0.84
59,0.85,59,0.84,59,0.31,59,0.79,59,0.95,59,0.91,59,0.3,59,0.82
60,0.85,60,0.84,60,0.31,60,0.81,60,0.95,60,0.91,60,0.3,60,0.85
61,0.84,61,0.85,61,0.31,61,0.79,61,0.95,61,0.92,61,0.3,61,0.83
62,0.85,62,0.84,62,0.31,62,0.78,62,0.94,62,0.92,62,0.3,62,0.83
63,0.84,63,0.85,63,0.3,63,0.79,63,0.95,63,0.92,63,0.3,63,0.82
64,0.85,64,0.84,64,0.3,64,0.79,64,0.94,64,0.93,64,0.29,64,0.83
65,0.84,65,0.84,65,0.3,65,0.8,65,0.94,65,0.92,65,0.29,65,0.84
66,0.85,66,0.84,66,0.3,66,0.8,66,0.95,66,0.93,66,0.29,66,0.84
67,0.85,67,0.84,67,0.29,67,0.78,67,0.94,67,0.92,67,0.29,67,0.81
68,0.84,68,0.84,68,0.29,68,0.8,68,0.96,68,0.93,68,0.29,68,0.83
69,0.84,69,0.84,69,0.29,69,0.78,69,0.95,69,0.94,69,0.28,69,0.82
70,0.85,70,0.84,70,0.29,70,0.79,70,0.96,70,0.93,70,0.28,70,0.82
71,0.85,71,0.84,71,0.29,71,0.79,71,0.96,71,0.94,71,0.28,71,0.81
72,0.85,72,0.84,72,0.29,72,0.79,72,0.96,72,0.94,72,0.28,72,0.81
73,0.85,73,0.84,73,0.28,73,0.78,73,0.96,73,0.94,73,0.28,73,0.81
74,0.84,74,0.84,74,0.28,74,0.79,74,0.96,74,0.95,74,0.28,74,0.82
75,0.84,75,0.85,75,0.28,75,0.78,75,0.96,75,0.94,75,0.28,75,0.82
76,0.84,76,0.84,76,0.28,76,0.78,76,0.96,76,0.95,76,0.28,76,0.8
77,0.84,77,0.84,77,0.28,77,0.79,77,0.96,77,0.95,77,0.28,77,0.82
78,0.84,78,0.84,78,0.28,78,0.79,78,0.96,78,0.96,78,0.27,78,0.81
79,0.84,79,0.84,79,0.27,79,0.77,79,0.95,79,0.95,79,0.27,79,0.79
80,0.84,80,0.84,80,0.27,80,0.78,80,0.96,80,0.95,80,0.27,80,0.8
81,0.85,81,0.84,81,0.27,81,0.79,81,0.97,81,0.97,81,0.27,81,0.82
82,0.84,82,0.84,82,0.27,82,0.78,82,0.96,82,0.95,82,0.27,82,0.81
83,0.84,83,0.84,83,0.27,83,0.77,83,0.97,83,0.96,83,0.27,83,0.79
84,0.84,84,0.84,84,0.27,84,0.79,84,0.97,84,0.96,84,0.27,84,0.82
85,0.85,85,0.84,85,0.27,85,0.79,85,0.96,85,0.96,85,0.27,85,0.81
86,0.85,86,0.84,86,0.27,86,0.79,86,0.95,86,0.96,86,0.26,86,0.8
87,0.85,87,0.84,87,0.27,87,0.78,87,0.96,87,0.96,87,0.26,87,0.79
88,0.85,88,0.84,88,0.27,88,0.77,88,0.95,88,0.95,88,0.26,88,0.79
89,0.85,89,0.84,89,0.26,89,0.76,89,0.95,89,0.97,89,0.26,89,0.78
90,0.85,90,0.84,90,0.26,90,0.78,90,0.96,90,0.97,90,0.26,90,0.81
91,0.84,91,0.85,91,0.26,91,0.77,91,0.97,91,0.97,91,0.26,91,0.79
92,0.84,92,0.85,92,0.26,92,0.77,92,0.97,92,0.96,92,0.26,92,0.79
93,0.84,93,0.84,93,0.26,93,0.77,93,0.98,93,0.97,93,0.26,93,0.79
