HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,0.59,1,0.2,1,0.85,1,0.88,1,0.58,1,0.2,1,0.85,1,1.0
2,0.6,2,0.2,2,0.81,2,0.87,2,0.6,2,0.21,2,0.8,2,0.97
3,0.61,3,0.21,3,0.78,3,0.87,3,0.61,3,0.22,3,0.76,3,0.96
4,0.62,4,0.22,4,0.74,4,0.85,4,0.61,4,0.22,4,0.71,4,0.93
5,0.64,5,0.23,5,0.7,5,0.85,5,0.62,5,0.23,5,0.67,5,0.94
6,0.65,6,0.23,6,0.66,6,0.85,6,0.63,6,0.23,6,0.63,6,0.95
7,0.66,7,0.24,7,0.64,7,0.84,7,0.65,7,0.24,7,0.62,7,0.92
8,0.67,8,0.25,8,0.62,8,0.85,8,0.66,8,0.25,8,0.6,8,0.93
9,0.69,9,0.26,9,0.6,9,0.83,9,0.68,9,0.26,9,0.57,9,0.9
10,0.7,10,0.27,10,0.58,10,0.85,10,0.69,10,0.27,10,0.56,10,0.93
11,0.71,11,0.28,11,0.56,11,0.81,11,0.71,11,0.29,11,0.55,11,0.88
12,0.72,12,0.3,12,0.55,12,0.8,12,0.73,12,0.3,12,0.53,12,0.87
13,0.73,13,0.32,13,0.54,13,0.82,13,0.75,13,0.31,13,0.52,13,0.89
14,0.75,14,0.32,14,0.52,14,0.84,14,0.76,14,0.32,14,0.5,14,0.91
15,0.75,15,0.34,15,0.5,15,0.8,15,0.77,15,0.34,15,0.48,15,0.87
16,0.77,16,0.35,16,0.49,16,0.81,16,0.78,16,0.35,16,0.47,16,0.89
17,0.77,17,0.38,17,0.47,17,0.77,17,0.79,17,0.37,17,0.46,17,0.83
18,0.79,18,0.41,18,0.46,18,0.76,18,0.81,18,0.4,18,0.45,18,0.82
19,0.8,19,0.42,19,0.45,19,0.76,19,0.82,19,0.41,19,0.43,19,0.81
20,0.8,20,0.44,20,0.44,20,0.79,20,0.83,20,0.42,20,0.42,20,0.84
21,0.81,21,0.47,21,0.43,21,0.76,21,0.84,21,0.46,21,0.42,21,0.81
22,0.82,22,0.49,22,0.42,22,0.78,22,0.85,22,0.48,22,0.4,22,0.84
23,0.82,23,0.52,23,0.41,23,0.73,23,0.86,23,0.5,23,0.39,23,0.77
24,0.83,24,0.55,24,0.4,24,0.76,24,0.87,24,0.53,24,0.38,24,0.8
25,0.84,25,0.59,25,0.38,25,0.73,25,0.88,25,0.57,25,0.37,25,0.78
26,0.84,26,0.62,26,0.37,26,0.75,26,0.89,26,0.6,26,0.36,26,0.79
27,0.85,27,0.64,27,0.37,27,0.79,27,0.89,27,0.62,27,0.36,27,0.83
28,0.85,28,0.66,28,0.36,28,0.77,28,0.89,28,0.64,28,0.35,28,0.81
29,0.86,29,0.68,29,0.35,29,0.77,29,0.9,29,0.65,29,0.34,29,0.81
30,0.86,30,0.72,30,0.35,30,0.74,30,0.91,30,0.68,30,0.34,30,0.77
31,0.86,31,0.73,31,0.34,31,0.76,31,0.91,31,0.7,31,0.33,31,0.81
32,0.87,32,0.76,32,0.33,32,0.75,32,0.92,32,0.72,32,0.33,32,0.79
33,0.87,33,0.78,33,0.33,33,0.76,33,0.92,33,0.74,33,0.32,33,0.8
34,0.87,34,0.79,34,0.32,34,0.77,34,0.93,34,0.76,34,0.32,34,0.81
35,0.87,35,0.82,35,0.32,35,0.73,35,0.93,35,0.78,35,0.31,35,0.78
36,0.87,36,0.83,36,0.31,36,0.71,36,0.94,36,0.8,36,0.31,36,0.75
37,0.87,37,0.83,37,0.31,37,0.68,37,0.94,37,0.8,37,0.3,37,0.72
38,0.87,38,0.84,38,0.3,38,0.73,38,0.94,38,0.81,38,0.3,38,0.76
39,0.87,39,0.85,39,0.3,39,0.71,39,0.94,39,0.82,39,0.3,39,0.75
40,0.87,40,0.86,40,0.3,40,0.71,40,0.94,40,0.83,40,0.29,40,0.74
41,0.87,41,0.86,41,0.29,41,0.7,41,0.95,41,0.83,41,0.29,41,0.73
42,0.87,42,0.86,42,0.29,42,0.72,42,0.95,42,0.84,42,0.29,42,0.75
43,0.87,43,0.87,43,0.29,43,0.7,43,0.95,43,0.84,43,0.28,43,0.72
44,0.87,44,0.87,44,0.28,44,0.71,44,0.95,44,0.85,44,0.28,44,0.74
45,0.87,45,0.87,45,0.28,45,0.75,45,0.95,45,0.86,45,0.28,45,0.78
46,0.87,46,0.88,46,0.28,46,0.73,46,0.96,46,0.86,46,0.27,46,0.76
47,0.88,47,0.88,47,0.27,47,0.71,47,0.96,47,0.86,47,0.27,47,0.73
48,0.88,48,0.88,48,0.27,48,0.65,48,0.96,48,0.87,48,0.27,48,0.68
49,0.87,49,0.88,49,0.27,49,0.65,49,0.96,49,0.87,49,0.27,49,0.68
50,0.87,50,0.88,50,0.27,50,0.71,50,0.96,50,0.88,50,0.26,50,0.74
51,0.88,51,0.88,51,0.26,51,0.64,51,0.96,51,0.89,51,0.26,51,0.66
52,0.88,52,0.88,52,0.26,52,0.71,52,0.96,52,0.88,52,0.26,52,0.74
53,0.88,53,0.88,53,0.26,53,0.67,53,0.96,53,0.89,53,0.26,53,0.69
54,0.87,54,0.88,54,0.26,54,0.69,54,0.96,54,0.89,54,0.25,54,0.71
55,0.87,55,0.88,55,0.25,55,0.65,55,0.96,55,0.88,55,0.25,55,0.67
56,0.88,56,0.88,56,0.25,56,0.67,56,0.96,56,0.89,56,0.25,56,0.69
57,0.87,57,0.89,57,0.25,57,0.63,57,0.96,57,0.89,57,0.25,57,0.65
58,0.87,58,0.88,58,0.25,58,0.72,58,0.97,58,0.9,58,0.25,58,0.74
59,0.88,59,0.88,59,0.25,59,0.65,59,0.97,59,0.89,59,0.25,59,0.68
60,0.88,60,0.88,60,0.25,60,0.63,60,0.97,60,0.91,60,0.24,60,0.65
61,0.88,61,0.88,61,0.24,61,0.7,61,0.97,61,0.9,61,0.24,61,0.73
62,0.88,62,0.88,62,0.24,62,0.65,62,0.97,62,0.91,62,0.24,62,0.67
63,0.88,63,0.88,63,0.24,63,0.6,63,0.98,63,0.91,63,0.24,63,0.62
