Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-3.37,1,-3.88,1,-1.137,1,-0.913,1,-3.617,1,-3.903,1,-1.925,1,-0.046
2,-3.307,2,-3.879,2,-1.411,2,-0.96,2,-3.552,2,-3.903,2,-2.465,2,-0.312
3,-3.248,3,-3.882,3,-1.68,3,-1.903,3,-3.499,3,-3.904,3,-2.822,3,-1.394
4,-3.146,4,-3.879,4,-1.984,4,-2.599,4,-3.508,4,-3.903,4,-3.079,4,-2.16
5,-3.057,5,-3.88,5,-2.199,5,-3.01,5,-3.464,5,-3.904,5,-3.208,5,-2.872
6,-2.937,6,-3.88,6,-2.458,6,-2.388,6,-3.431,6,-3.903,6,-3.359,6,-2.153
7,-2.806,7,-3.882,7,-2.701,7,-3.168,7,-3.335,7,-3.904,7,-3.451,7,-2.844
8,-2.666,8,-3.883,8,-2.877,8,-3.394,8,-3.232,8,-3.904,8,-3.519,8,-3.293
9,-2.47,9,-3.886,9,-2.933,9,-3.309,9,-3.096,9,-3.905,9,-3.547,9,-3.393
10,-2.326,10,-3.884,10,-3.089,10,-3.264,10,-2.937,10,-3.905,10,-3.613,10,-2.921
11,-2.154,11,-3.884,11,-3.196,11,-3.231,11,-2.766,11,-3.905,11,-3.644,11,-2.908
12,-1.958,12,-3.883,12,-3.263,12,-2.915,12,-2.617,12,-3.904,12,-3.669,12,-2.994
13,-1.81,13,-3.884,13,-3.352,13,-2.344,13,-2.447,13,-3.904,13,-3.702,13,-2.468
14,-1.733,14,-3.885,14,-3.443,14,-3.05,14,-2.317,14,-3.904,14,-3.732,14,-3.186
15,-1.594,15,-3.878,15,-3.501,15,-2.38,15,-2.104,15,-3.903,15,-3.746,15,-2.456
16,-1.483,16,-3.876,16,-3.539,16,-3.306,16,-1.962,16,-3.902,16,-3.759,16,-3.157
17,-1.335,17,-3.872,17,-3.592,17,-3.28,17,-1.775,17,-3.901,17,-3.776,17,-3.448
18,-1.286,18,-3.869,18,-3.606,18,-3.137,18,-1.557,18,-3.9,18,-3.782,18,-3.192
19,-1.234,19,-3.86,19,-3.635,19,-3.575,19,-1.505,19,-3.899,19,-3.794,19,-3.457
20,-1.108,20,-3.856,20,-3.649,20,-3.381,20,-1.376,20,-3.898,20,-3.799,20,-3.434
21,-1.087,21,-3.854,21,-3.674,21,-3.541,21,-1.249,21,-3.896,21,-3.811,21,-3.582
22,-1.033,22,-3.844,22,-3.681,22,-3.547,22,-1.095,22,-3.894,22,-3.813,22,-3.643
23,-1.003,23,-3.833,23,-3.701,23,-3.389,23,-1.024,23,-3.891,23,-3.822,23,-3.617
24,-1.02,24,-3.822,24,-3.711,24,-3.384,24,-1.022,24,-3.889,24,-3.824,24,-3.547
25,-0.982,25,-3.809,25,-3.72,25,-3.641,25,-0.943,25,-3.886,25,-3.83,25,-3.649
26,-0.977,26,-3.793,26,-3.723,26,-3.549,26,-0.864,26,-3.882,26,-3.832,26,-3.668
27,-0.964,27,-3.773,27,-3.73,27,-3.363,27,-0.788,27,-3.877,27,-3.836,27,-3.451
28,-0.96,28,-3.756,28,-3.74,28,-3.654,28,-0.823,28,-3.873,28,-3.839,28,-3.683
29,-0.968,29,-3.736,29,-3.746,29,-3.769,29,-0.775,29,-3.868,29,-3.842,29,-3.804
30,-0.921,30,-3.688,30,-3.752,30,-3.269,30,-0.75,30,-3.86,30,-3.844,30,-3.416
31,-0.909,31,-3.67,31,-3.756,31,-3.457,31,-0.708,31,-3.854,31,-3.847,31,-3.637
32,-0.909,32,-3.654,32,-3.765,32,-3.785,32,-0.699,32,-3.849,32,-3.849,32,-3.802
33,-0.92,33,-3.601,33,-3.768,33,-3.344,33,-0.68,33,-3.841,33,-3.852,33,-3.607
34,-0.889,34,-3.577,34,-3.768,34,-3.429,34,-0.563,34,-3.827,34,-3.853,34,-3.697
35,-0.912,35,-3.527,35,-3.768,35,-3.58,35,-0.61,35,-3.819,35,-3.854,35,-3.701
36,-0.918,36,-3.468,36,-3.773,36,-3.729,36,-0.542,36,-3.802,36,-3.856,36,-3.764
37,-0.91,37,-3.416,37,-3.777,37,-3.766,37,-0.537,37,-3.789,37,-3.857,37,-3.799
38,-0.882,38,-3.338,38,-3.779,38,-3.582,38,-0.535,38,-3.766,38,-3.858,38,-3.69
39,-0.898,39,-3.299,39,-3.782,39,-3.646,39,-0.539,39,-3.747,39,-3.861,39,-3.767
40,-0.889,40,-3.194,40,-3.789,40,-3.69,40,-0.541,40,-3.711,40,-3.861,40,-3.809
41,-0.883,41,-3.107,41,-3.793,41,-3.74,41,-0.508,41,-3.694,41,-3.864,41,-3.822
42,-0.884,42,-2.992,42,-3.797,42,-3.679,42,-0.436,42,-3.651,42,-3.866,42,-3.774
43,-0.903,43,-2.946,43,-3.798,43,-3.616,43,-0.459,43,-3.614,43,-3.867,43,-3.797
44,-0.883,44,-2.815,44,-3.798,44,-3.663,44,-0.426,44,-3.561,44,-3.867,44,-3.788
45,-0.907,45,-2.659,45,-3.806,45,-3.79,45,-0.403,45,-3.489,45,-3.87,45,-3.86
46,-0.872,46,-2.545,46,-3.805,46,-3.799,46,-0.351,46,-3.418,46,-3.87,46,-3.832
47,-0.883,47,-2.412,47,-3.808,47,-3.766,47,-0.339,47,-3.31,47,-3.872,47,-3.808
48,-0.888,48,-2.244,48,-3.812,48,-3.757,48,-0.372,48,-3.199,48,-3.873,48,-3.826
49,-0.896,49,-2.124,49,-3.815,49,-3.569,49,-0.397,49,-3.089,49,-3.874,49,-3.761
50,-0.878,50,-1.982,50,-3.818,50,-3.584,50,-0.311,50,-2.913,50,-3.875,50,-3.813
51,-0.903,51,-1.821,51,-3.819,51,-3.75,51,-0.34,51,-2.811,51,-3.876,51,-3.831
52,-0.915,52,-1.649,52,-3.822,52,-3.671,52,-0.362,52,-2.653,52,-3.877,52,-3.816
53,-0.906,53,-1.49,53,-3.827,53,-3.768,53,-0.322,53,-2.46,53,-3.879,53,-3.835
54,-0.885,54,-1.37,54,-3.836,54,-3.762,54,-0.349,54,-2.33,54,-3.881,54,-3.853
55,-0.911,55,-1.278,55,-3.836,55,-3.697,55,-0.356,55,-2.173,55,-3.882,55,-3.814
56,-0.927,56,-1.191,56,-3.838,56,-3.721,56,-0.306,56,-2.054,56,-3.882,56,-3.826
57,-0.896,57,-1.147,57,-3.836,57,-3.78,57,-0.315,57,-1.952,57,-3.883,57,-3.848
58,-0.907,58,-1.1,58,-3.84,58,-3.839,58,-0.248,58,-1.815,58,-3.884,58,-3.881
59,-0.906,59,-1.039,59,-3.838,59,-3.735,59,-0.235,59,-1.694,59,-3.884,59,-3.836
60,-0.9,60,-1.021,60,-3.836,60,-3.6,60,-0.253,60,-1.474,60,-3.884,60,-3.794
61,-0.921,61,-0.971,61,-3.841,61,-3.772,61,-0.25,61,-1.406,61,-3.885,61,-3.848
62,-0.898,62,-0.951,62,-3.845,62,-3.773,62,-0.217,62,-1.372,62,-3.887,62,-3.856
63,-0.892,63,-0.953,63,-3.844,63,-3.819,63,-0.181,63,-1.18,63,-3.887,63,-3.874
