Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-0.81,1,-3.47,1,-0.45,1,-0.46,1,-0.65,1,-3.51,1,-0.32,1,-0.29
2,-0.78,2,-3.49,2,-0.48,2,-0.47,2,-0.62,2,-3.53,2,-0.36,2,-0.3
3,-0.75,3,-3.46,3,-0.49,3,-0.46,3,-0.59,3,-3.5,3,-0.38,3,-0.3
4,-0.71,4,-3.4,4,-0.51,4,-0.49,4,-0.56,4,-3.46,4,-0.4,4,-0.33
5,-0.68,5,-3.42,5,-0.51,5,-0.47,5,-0.53,5,-3.46,5,-0.42,5,-0.31
6,-0.64,6,-3.32,6,-0.54,6,-0.47,6,-0.5,6,-3.37,6,-0.46,6,-0.31
7,-0.62,7,-3.3,7,-0.57,7,-0.49,7,-0.47,7,-3.36,7,-0.49,7,-0.34
8,-0.6,8,-3.21,8,-0.59,8,-0.47,8,-0.45,8,-3.28,8,-0.52,8,-0.33
9,-0.58,9,-3.17,9,-0.6,9,-0.5,9,-0.43,9,-3.24,9,-0.53,9,-0.35
10,-0.56,10,-3.13,10,-0.65,10,-0.46,10,-0.42,10,-3.19,10,-0.58,10,-0.3
11,-0.55,11,-3.03,11,-0.67,11,-0.57,11,-0.4,11,-3.09,11,-0.61,11,-0.42
12,-0.53,12,-2.98,12,-0.7,12,-0.56,12,-0.38,12,-3.05,12,-0.65,12,-0.41
13,-0.51,13,-2.95,13,-0.72,13,-0.53,13,-0.36,13,-3.01,13,-0.69,13,-0.38
14,-0.5,14,-2.86,14,-0.75,14,-0.52,14,-0.35,14,-2.92,14,-0.71,14,-0.38
15,-0.48,15,-2.77,15,-0.78,15,-0.49,15,-0.33,15,-2.84,15,-0.75,15,-0.34
16,-0.48,16,-2.7,16,-0.8,16,-0.56,16,-0.33,16,-2.77,16,-0.77,16,-0.41
17,-0.47,17,-2.6,17,-0.82,17,-0.57,17,-0.32,17,-2.68,17,-0.81,17,-0.42
18,-0.47,18,-2.59,18,-0.85,18,-0.58,18,-0.32,18,-2.64,18,-0.82,18,-0.44
19,-0.46,19,-2.47,19,-0.88,19,-0.61,19,-0.31,19,-2.54,19,-0.86,19,-0.47
20,-0.46,20,-2.38,20,-0.91,20,-0.56,20,-0.31,20,-2.45,20,-0.88,20,-0.41
21,-0.46,21,-2.4,21,-0.95,21,-0.63,21,-0.3,21,-2.48,21,-0.93,21,-0.5
22,-0.46,22,-2.27,22,-0.96,22,-0.62,22,-0.3,22,-2.33,22,-0.94,22,-0.47
23,-0.45,23,-2.19,23,-0.99,23,-0.64,23,-0.3,23,-2.25,23,-0.96,23,-0.49
24,-0.45,24,-2.11,24,-1.0,24,-0.63,24,-0.3,24,-2.18,24,-0.99,24,-0.5
25,-0.45,25,-2.04,25,-1.01,25,-0.66,25,-0.29,25,-2.11,25,-1.0,25,-0.53
26,-0.45,26,-1.91,26,-1.04,26,-0.65,26,-0.29,26,-1.98,26,-1.03,26,-0.5
27,-0.45,27,-1.84,27,-1.05,27,-0.57,27,-0.29,27,-1.9,27,-1.04,27,-0.42
28,-0.45,28,-1.79,28,-1.07,28,-0.63,28,-0.29,28,-1.83,28,-1.07,28,-0.51
29,-0.45,29,-1.72,29,-1.09,29,-0.56,29,-0.29,29,-1.76,29,-1.08,29,-0.44
30,-0.44,30,-1.62,30,-1.11,30,-0.63,30,-0.29,30,-1.65,30,-1.1,30,-0.49
31,-0.44,31,-1.56,31,-1.12,31,-0.61,31,-0.29,31,-1.58,31,-1.13,31,-0.48
32,-0.44,32,-1.51,32,-1.14,32,-0.65,32,-0.29,32,-1.53,32,-1.14,32,-0.52
33,-0.44,33,-1.41,33,-1.14,33,-0.62,33,-0.29,33,-1.42,33,-1.15,33,-0.48
34,-0.44,34,-1.35,34,-1.17,34,-0.63,34,-0.28,34,-1.33,34,-1.18,34,-0.5
35,-0.44,35,-1.29,35,-1.19,35,-0.66,35,-0.28,35,-1.27,35,-1.21,35,-0.55
36,-0.44,36,-1.22,36,-1.2,36,-0.73,36,-0.28,36,-1.2,36,-1.22,36,-0.59
37,-0.44,37,-1.21,37,-1.21,37,-0.67,37,-0.28,37,-1.16,37,-1.24,37,-0.56
38,-0.44,38,-1.14,38,-1.24,38,-0.66,38,-0.28,38,-1.1,38,-1.26,38,-0.55
39,-0.44,39,-1.09,39,-1.25,39,-0.66,39,-0.28,39,-1.04,39,-1.28,39,-0.54
40,-0.44,40,-1.03,40,-1.26,40,-0.68,40,-0.28,40,-0.96,40,-1.31,40,-0.57
41,-0.44,41,-0.98,41,-1.28,41,-0.73,41,-0.28,41,-0.91,41,-1.32,41,-0.61
42,-0.44,42,-0.94,42,-1.28,42,-0.7,42,-0.28,42,-0.86,42,-1.29,42,-0.59
43,-0.44,43,-0.89,43,-1.28,43,-0.75,43,-0.28,43,-0.82,43,-1.31,43,-0.63
44,-0.44,44,-0.83,44,-1.3,44,-0.63,44,-0.28,44,-0.76,44,-1.33,44,-0.5
45,-0.44,45,-0.82,45,-1.32,45,-0.71,45,-0.28,45,-0.71,45,-1.35,45,-0.61
46,-0.44,46,-0.76,46,-1.34,46,-0.71,46,-0.28,46,-0.66,46,-1.37,46,-0.59
47,-0.44,47,-0.73,47,-1.34,47,-0.75,47,-0.28,47,-0.62,47,-1.37,47,-0.64
48,-0.44,48,-0.69,48,-1.38,48,-0.85,48,-0.28,48,-0.57,48,-1.41,48,-0.75
49,-0.44,49,-0.67,49,-1.37,49,-0.73,49,-0.28,49,-0.55,49,-1.41,49,-0.6
50,-0.44,50,-0.64,50,-1.41,50,-0.74,50,-0.28,50,-0.5,50,-1.44,50,-0.63
51,-0.44,51,-0.63,51,-1.42,51,-0.86,51,-0.28,51,-0.5,51,-1.46,51,-0.75
