Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
1,-0.72093,1,-3.3591,1,-1.1857,1,-0.81716,1,-0.60461,1,-3.3582,1,-0.93597,1,-0.22567
2,-0.74726,2,-3.3529,2,-1.6448,2,-0.82747,2,-0.51102,2,-3.35,2,-1.4125,2,-0.28545
3,-0.79538,3,-3.3504,3,-1.9117,3,-0.83568,3,-0.53971,3,-3.3525,3,-1.8958,3,-0.35719
4,-0.82022,4,-3.3513,4,-1.9704,4,-0.95018,4,-0.61408,4,-3.3501,4,-1.9587,4,-0.28837
5,-0.72808,5,-3.3414,5,-2.1952,5,-0.86344,5,-0.62327,5,-3.3397,5,-2.1518,5,-0.43885
6,-0.85291,6,-3.3374,6,-2.1528,6,-0.87103,6,-0.61939,6,-3.3387,6,-2.288,6,-0.3033
7,-0.78491,7,-3.3266,7,-2.2812,7,-1.0612,7,-0.57642,7,-3.3264,7,-2.2459,7,-0.42355
8,-0.8165,8,-3.3238,8,-2.3161,8,-1.1105,8,-0.62678,8,-3.3271,8,-2.2793,8,-0.50235
9,-0.7715,9,-3.32,9,-2.457,9,-1.0892,9,-0.575,9,-3.3163,9,-2.3143,9,-0.56115
10,-0.77829,10,-3.301,10,-2.4543,10,-1.1706,10,-0.53768,10,-3.2976,10,-2.4174,10,-0.52879
11,-0.8113,11,-3.298,11,-2.4656,11,-1.0297,11,-0.46823,11,-3.2978,11,-2.4102,11,-0.43307
12,-0.79893,12,-3.2912,12,-2.5021,12,-1.1327,12,-0.448,12,-3.2927,12,-2.4527,12,-0.60697
13,-0.7583,13,-3.2781,13,-2.5611,13,-1.2819,13,-0.41639,13,-3.2774,13,-2.4853,13,-0.59023
14,-0.74837,14,-3.2507,14,-2.4766,14,-1.1421,14,-0.39202,14,-3.2578,14,-2.5227,14,-0.71577
15,-0.73621,15,-3.2448,15,-2.4971,15,-1.1203,15,-0.44846,15,-3.2408,15,-2.5071,15,-0.80121
16,-0.7906,16,-3.2372,16,-2.6005,16,-1.5672,16,-0.40857,16,-3.2365,16,-2.5455,16,-1.0995
17,-0.83222,17,-3.2123,17,-2.5937,17,-1.3211,17,-0.43725,17,-3.1949,17,-2.6047,17,-0.76359
18,-0.78793,18,-3.2,18,-2.6608,18,-1.3142,18,-0.39221,18,-3.1972,18,-2.6987,18,-0.88431
19,-0.80503,19,-3.1765,19,-2.623,19,-1.3353,19,-0.39967,19,-3.1677,19,-2.6343,19,-0.83059
20,-0.77094,20,-3.1561,20,-2.716,20,-1.4875,20,-0.41006,20,-3.1708,20,-2.6911,20,-1.2152
21,-0.78585,21,-3.1385,21,-2.753,21,-1.6026,21,-0.37638,21,-3.1475,21,-2.7363,21,-1.2339
22,-0.77258,22,-3.1155,22,-2.768,22,-1.2192,22,-0.38057,22,-3.1216,22,-2.7638,22,-0.70964
23,-0.78149,23,-3.0877,23,-2.8085,23,-1.474,23,-0.34199,23,-3.1278,23,-2.7973,23,-0.92686
24,-0.77352,24,-3.0811,24,-2.7854,24,-1.3832,24,-0.3712,24,-3.1067,24,-2.7979,24,-1.1141
25,-0.77263,25,-3.0568,25,-2.8399,25,-1.3431,25,-0.35409,25,-3.0821,25,-2.8481,25,-0.92364
26,-0.79252,26,-3.0605,26,-2.8533,26,-1.8915,26,-0.32779,26,-3.0823,26,-2.8614,26,-1.5855
27,-0.78229,27,-3.0504,27,-2.8522,27,-1.9814,27,-0.32998,27,-3.0925,27,-2.8764,27,-1.9498
28,-0.78536,28,-3.0185,28,-2.8632,28,-1.7017,28,-0.35305,28,-3.0287,28,-2.8765,28,-1.4113
29,-0.77195,29,-3.009,29,-2.8597,29,-2.1171,29,-0.30426,29,-3.0458,29,-2.8631,29,-1.7689
30,-0.80535,30,-2.9391,30,-2.8526,30,-1.9991,30,-0.3536,30,-2.9675,30,-2.8811,30,-1.8958
31,-0.77418,31,-2.9638,31,-2.865,31,-2.1586,31,-0.34085,31,-3.0088,31,-2.8911,31,-1.9384
32,-0.80867,32,-2.9357,32,-2.8844,32,-1.9741,32,-0.3219,32,-2.9855,32,-2.9175,32,-1.3978
33,-0.8246,33,-2.8713,33,-2.9503,33,-2.1693,33,-0.30958,33,-2.9419,33,-2.9341,33,-1.8199
34,-0.79083,34,-2.8661,34,-2.9242,34,-2.1136,34,-0.3295,34,-2.9023,34,-2.9402,34,-2.1092
35,-0.81877,35,-2.7971,35,-2.9351,35,-2.5738,35,-0.30473,35,-2.8354,35,-2.9418,35,-2.353
36,-0.79244,36,-2.6962,36,-2.9217,36,-2.1518,36,-0.29613,36,-2.7316,36,-2.9384,36,-2.1371
