Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-0.74,1,-3.53,1,-0.52,1,-0.54,1,-0.5,1,-3.58,1,-0.35,1,-0.3
2,-0.72,2,-3.56,2,-0.54,2,-0.54,2,-0.47,2,-3.61,2,-0.41,2,-0.31
3,-0.7,3,-3.55,3,-0.55,3,-0.57,3,-0.46,3,-3.59,3,-0.44,3,-0.33
4,-0.68,4,-3.55,4,-0.57,4,-0.55,4,-0.44,4,-3.59,4,-0.49,4,-0.33
5,-0.65,5,-3.5,5,-0.59,5,-0.58,5,-0.41,5,-3.55,5,-0.52,5,-0.34
6,-0.62,6,-3.47,6,-0.59,6,-0.53,6,-0.39,6,-3.53,6,-0.54,6,-0.3
7,-0.59,7,-3.42,7,-0.61,7,-0.59,7,-0.36,7,-3.48,7,-0.58,7,-0.36
8,-0.58,8,-3.34,8,-0.61,8,-0.57,8,-0.34,8,-3.4,8,-0.6,8,-0.36
9,-0.57,9,-3.31,9,-0.65,9,-0.57,9,-0.33,9,-3.37,9,-0.64,9,-0.36
10,-0.56,10,-3.2,10,-0.67,10,-0.56,10,-0.32,10,-3.27,10,-0.68,10,-0.35
11,-0.55,11,-3.15,11,-0.65,11,-0.54,11,-0.31,11,-3.21,11,-0.66,11,-0.33
12,-0.54,12,-3.04,12,-0.69,12,-0.59,12,-0.31,12,-3.1,12,-0.69,12,-0.38
13,-0.54,13,-2.95,13,-0.68,13,-0.62,13,-0.31,13,-3.03,13,-0.68,13,-0.41
14,-0.54,14,-2.93,14,-0.71,14,-0.58,14,-0.31,14,-3.01,14,-0.74,14,-0.38
15,-0.54,15,-2.84,15,-0.72,15,-0.64,15,-0.3,15,-2.92,15,-0.76,15,-0.43
16,-0.54,16,-2.78,16,-0.74,16,-0.65,16,-0.3,16,-2.86,16,-0.79,16,-0.46
17,-0.53,17,-2.69,17,-0.76,17,-0.62,17,-0.3,17,-2.77,17,-0.82,17,-0.41
18,-0.53,18,-2.63,18,-0.77,18,-0.63,18,-0.29,18,-2.72,18,-0.85,18,-0.4
19,-0.53,19,-2.48,19,-0.8,19,-0.59,19,-0.29,19,-2.58,19,-0.87,19,-0.43
20,-0.53,20,-2.45,20,-0.82,20,-0.65,20,-0.29,20,-2.55,20,-0.91,20,-0.48
21,-0.52,21,-2.35,21,-0.83,21,-0.65,21,-0.29,21,-2.46,21,-0.94,21,-0.48
22,-0.53,22,-2.26,22,-0.85,22,-0.65,22,-0.29,22,-2.37,22,-0.97,22,-0.46
23,-0.52,23,-2.18,23,-0.88,23,-0.61,23,-0.29,23,-2.3,23,-0.99,23,-0.44
24,-0.52,24,-2.07,24,-0.88,24,-0.65,24,-0.28,24,-2.18,24,-0.98,24,-0.48
25,-0.53,25,-1.97,25,-0.91,25,-0.61,25,-0.28,25,-2.1,25,-1.01,25,-0.42
26,-0.52,26,-1.88,26,-0.91,26,-0.63,26,-0.28,26,-2.0,26,-1.02,26,-0.46
27,-0.52,27,-1.76,27,-0.94,27,-0.7,27,-0.28,27,-1.88,27,-1.05,27,-0.54
28,-0.52,28,-1.69,28,-0.94,28,-0.62,28,-0.28,28,-1.8,28,-1.05,28,-0.45
29,-0.52,29,-1.55,29,-0.96,29,-0.65,29,-0.28,29,-1.68,29,-1.09,29,-0.49
30,-0.52,30,-1.45,30,-0.97,30,-0.74,30,-0.28,30,-1.56,30,-1.1,30,-0.59
31,-0.52,31,-1.33,31,-0.97,31,-0.72,31,-0.29,31,-1.47,31,-1.09,31,-0.55
32,-0.52,32,-1.24,32,-1.0,32,-0.69,32,-0.28,32,-1.37,32,-1.13,32,-0.54
33,-0.52,33,-1.14,33,-1.0,33,-0.68,33,-0.28,33,-1.25,33,-1.12,33,-0.52
34,-0.52,34,-1.03,34,-1.02,34,-0.73,34,-0.28,34,-1.15,34,-1.14,34,-0.6
35,-0.52,35,-0.98,35,-1.04,35,-0.74,35,-0.28,35,-1.08,35,-1.15,35,-0.57
36,-0.52,36,-0.91,36,-1.04,36,-0.67,36,-0.28,36,-0.99,36,-1.16,36,-0.55
37,-0.52,37,-0.85,37,-1.05,37,-0.69,37,-0.28,37,-0.94,37,-1.19,37,-0.53
38,-0.52,38,-0.79,38,-1.09,38,-0.69,38,-0.28,38,-0.87,38,-1.21,38,-0.56
39,-0.52,39,-0.75,39,-1.06,39,-0.74,39,-0.28,39,-0.8,39,-1.2,39,-0.6
40,-0.52,40,-0.71,40,-1.07,40,-0.72,40,-0.28,40,-0.78,40,-1.22,40,-0.57
41,-0.52,41,-0.68,41,-1.1,41,-0.75,41,-0.27,41,-0.71,41,-1.23,41,-0.59
42,-0.52,42,-0.66,42,-1.13,42,-0.71,42,-0.28,42,-0.7,42,-1.25,42,-0.56
43,-0.51,43,-0.59,43,-1.13,43,-0.74,43,-0.27,43,-0.61,43,-1.26,43,-0.6
44,-0.52,44,-0.58,44,-1.16,44,-0.79,44,-0.28,44,-0.54,44,-1.3,44,-0.62
45,-0.52,45,-0.55,45,-1.15,45,-0.72,45,-0.28,45,-0.48,45,-1.27,45,-0.6
46,-0.52,46,-0.53,46,-1.17,46,-0.78,46,-0.28,46,-0.43,46,-1.31,46,-0.63
47,-0.52,47,-0.55,47,-1.2,47,-0.74,47,-0.28,47,-0.41,47,-1.32,47,-0.61
48,-0.52,48,-0.55,48,-1.19,48,-0.84,48,-0.28,48,-0.38,48,-1.34,48,-0.7
49,-0.52,49,-0.54,49,-1.23,49,-0.73,49,-0.28,49,-0.37,49,-1.39,49,-0.62
50,-0.52,50,-0.53,50,-1.24,50,-0.72,50,-0.28,50,-0.34,50,-1.38,50,-0.55
51,-0.52,51,-0.53,51,-1.25,51,-0.82,51,-0.28,51,-0.34,51,-1.4,51,-0.71
52,-0.52,52,-0.53,52,-1.28,52,-0.81,52,-0.28,52,-0.32,52,-1.43,52,-0.69
53,-0.52,53,-0.53,53,-1.28,53,-0.74,53,-0.28,53,-0.32,53,-1.42,53,-0.61
54,-0.52,54,-0.53,54,-1.29,54,-0.82,54,-0.28,54,-0.32,54,-1.45,54,-0.76
55,-0.52,55,-0.51,55,-1.3,55,-0.78,55,-0.28,55,-0.31,55,-1.46,55,-0.7
56,-0.52,56,-0.52,56,-1.32,56,-0.81,56,-0.28,56,-0.31,56,-1.47,56,-0.66
57,-0.52,57,-0.52,57,-1.34,57,-0.76,57,-0.28,57,-0.3,57,-1.49,57,-0.62
58,-0.52,58,-0.51,58,-1.35,58,-0.79,58,-0.28,58,-0.3,58,-1.51,58,-0.67
