Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-1.353,1,-3.611,1,-2.121,1,-1.722,1,-0.422,1,-3.607,1,-1.254,1,0.141
2,-0.776,2,-3.57,2,-2.473,2,-1.843,2,-0.299,2,-3.389,2,-1.787,2,0.178
3,-0.735,3,-1.579,3,-2.717,3,-1.855,3,-0.468,3,-0.543,3,-2.114,3,0.209
4,-0.826,4,-0.191,4,-2.925,4,-1.23,4,-0.59,4,-0.171,4,-2.406,4,0.209
5,-0.998,5,-0.164,5,-3.168,5,-1.761,5,-0.663,5,-0.281,5,-2.766,5,0.15
6,-1.109,6,-0.342,6,-3.255,6,-1.755,6,-0.634,6,-1.023,6,-2.795,6,0.116
7,-1.241,7,-1.747,7,-3.384,7,-2.022,7,-0.585,7,-3.144,7,-2.996,7,0.171
8,-1.321,8,-3.196,8,-3.479,8,-1.874,8,-0.488,8,-3.655,8,-3.138,8,0.203
9,-1.328,9,-3.583,9,-3.57,9,-1.801,9,-0.449,9,-3.729,9,-3.249,9,0.201
10,-1.434,10,-3.644,10,-3.595,10,-2.089,10,-0.412,10,-3.733,10,-3.248,10,0.135
11,-1.544,11,-3.622,11,-3.645,11,-2.032,11,-0.419,11,-3.69,11,-3.296,11,0.023
12,-1.664,12,-3.573,12,-3.669,12,-1.745,12,-0.439,12,-3.641,12,-3.263,12,0.199
13,-1.722,13,-3.571,13,-3.7,13,-2.016,13,-0.447,13,-3.658,13,-3.308,13,0.153
14,-1.825,14,-3.483,14,-3.68,14,-1.87,14,-0.461,14,-3.587,14,-3.299,14,0.051
15,-1.862,15,-3.416,15,-3.696,15,-1.627,15,-0.465,15,-3.52,15,-3.322,15,0.159
16,-1.901,16,-3.33,16,-3.674,16,-2.075,16,-0.485,16,-3.477,16,-3.266,16,0.15
17,-1.905,17,-3.306,17,-3.636,17,-1.213,17,-0.511,17,-3.463,17,-3.222,17,0.201
18,-1.899,18,-3.213,18,-3.659,18,-1.515,18,-0.512,18,-3.396,18,-3.28,18,0.183
19,-1.9,19,-3.047,19,-3.637,19,-2.372,19,-0.511,19,-3.275,19,-3.235,19,0.088
20,-1.866,20,-2.89,20,-3.634,20,-1.494,20,-0.47,20,-3.14,20,-3.244,20,0.188
21,-1.834,21,-2.682,21,-3.565,21,-1.394,21,-0.489,21,-3.002,21,-3.175,21,0.199
22,-1.825,22,-2.542,22,-3.522,22,-1.424,22,-0.5,22,-2.899,22,-3.156,22,0.191
23,-1.82,23,-2.443,23,-3.467,23,-1.309,23,-0.442,23,-2.858,23,-3.149,23,0.168
24,-1.8,24,-2.24,24,-3.301,24,-2.038,24,-0.409,24,-2.649,24,-3.085,24,0.071
25,-1.745,25,-2.1,25,-3.286,25,-0.984,25,-0.365,25,-2.534,25,-3.063,25,0.182
26,-1.743,26,-2.136,26,-3.281,26,-1.527,26,-0.312,26,-2.655,26,-3.093,26,0.134
27,-1.724,27,-2.305,27,-3.228,27,-1.024,27,-0.325,27,-2.79,27,-3.057,27,0.174
28,-1.734,28,-2.305,28,-3.089,28,-2.31,28,-0.3,28,-2.686,28,-3.016,28,-0.186
29,-1.752,29,-2.358,29,-2.943,29,-1.054,29,-0.295,29,-2.675,29,-2.974,29,0.187
30,-1.743,30,-2.418,30,-2.862,30,-1.053,30,-0.257,30,-2.648,30,-2.94,30,0.155
31,-1.728,31,-2.485,31,-2.751,31,-0.983,31,-0.252,31,-2.651,31,-2.935,31,0.163
32,-1.745,32,-2.602,32,-2.707,32,-1.847,32,-0.223,32,-2.721,32,-2.944,32,0.162
33,-1.727,33,-2.583,33,-2.543,33,-0.825,33,-0.2,33,-2.741,33,-2.871,33,0.173
34,-1.724,34,-2.562,34,-2.395,34,-1.567,34,-0.203,34,-2.708,34,-2.816,34,0.118
35,-1.717,35,-2.458,35,-2.32,35,-1.893,35,-0.193,35,-2.55,35,-2.783,35,0.132
36,-1.72,36,-2.422,36,-2.251,36,-1.557,36,-0.155,36,-2.5,36,-2.781,36,0.03
37,-1.71,37,-2.296,37,-2.214,37,-1.532,37,-0.124,37,-2.293,37,-2.78,37,-0.002
38,-1.707,38,-2.275,38,-2.115,38,-1.108,38,-0.113,38,-2.274,38,-2.708,38,0.181
39,-1.716,39,-2.193,39,-2.129,39,-1.251,39,-0.104,39,-2.2,39,-2.755,39,0.067
40,-1.71,40,-2.073,40,-2.015,40,-2.091,40,-0.107,40,-1.924,40,-2.705,40,0.012
41,-1.715,41,-2.065,41,-1.861,41,-1.952,41,-0.08,41,-1.825,41,-2.614,41,0.09
42,-1.714,42,-2.009,42,-1.828,42,-1.959,42,-0.068,42,-1.819,42,-2.575,42,0.033
43,-1.723,43,-1.951,43,-1.745,43,-1.336,43,-0.059,43,-1.624,43,-2.549,43,-0.034
44,-1.743,44,-1.907,44,-1.711,44,-1.607,44,-0.058,44,-1.487,44,-2.525,44,-0.097
45,-1.724,45,-1.877,45,-1.606,45,-2.114,45,-0.035,45,-1.414,45,-2.447,45,0.049
46,-1.722,46,-1.822,46,-1.558,46,-1.899,46,-0.038,46,-1.3,46,-2.401,46,-0.263
47,-1.722,47,-1.848,47,-1.551,47,-1.433,47,-0.043,47,-1.285,47,-2.415,47,-0.018
48,-1.718,48,-1.769,48,-1.488,48,-1.13,48,-0.04,48,-1.184,48,-2.373,48,0.041
49,-1.743,49,-1.757,49,-1.349,49,-1.115,49,-0.041,49,-1.111,49,-2.237,49,-0.05
50,-1.72,50,-1.768,50,-1.348,50,-1.334,50,-0.037,50,-1.011,50,-2.237,50,-0.035
51,-1.719,51,-1.783,51,-1.385,51,-1.894,51,-0.025,51,-0.945,51,-2.279,51,-0.136
52,-1.717,52,-1.769,52,-1.28,52,-1.444,52,-0.018,52,-0.836,52,-2.187,52,-0.281
53,-1.707,53,-1.754,53,-1.214,53,-1.288,53,-0.019,53,-0.848,53,-2.12,53,-0.125
54,-1.713,54,-1.717,54,-1.19,54,-2.198,54,-0.004,54,-0.676,54,-2.103,54,-0.331
55,-1.707,55,-1.725,55,-1.083,55,-1.789,55,-0.01,55,-0.703,55,-1.977,55,-0.551
56,-1.697,56,-1.728,56,-1.135,56,-1.504,56,-0.005,56,-0.626,56,-2.056,56,-0.253
57,-1.706,57,-1.722,57,-1.095,57,-2.334,57,0.003,57,-0.548,57,-2.007,57,-0.464
58,-1.707,58,-1.748,58,-1.021,58,-1.259,58,0.011,58,-0.516,58,-1.913,58,-0.297
