Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
1,-1.1085,1,-3.3561,1,-1.562,1,-1.237,1,-0.78882,1,-3.3466,1,-1.1063,1,-0.19246
2,-1.1595,2,-3.3498,2,-1.987,2,-1.2637,2,-0.63013,2,-3.3429,2,-1.5599,2,-0.23199
3,-1.2366,3,-3.347,3,-2.2123,3,-1.2354,3,-0.82258,3,-3.34,3,-1.8937,3,-0.23056
4,-1.1523,4,-3.3457,4,-2.3021,4,-1.5498,4,-0.77989,4,-3.327,4,-1.9589,4,-0.39722
5,-1.0804,5,-3.3341,5,-2.3937,5,-1.2482,5,-0.81926,5,-3.3304,5,-2.1511,5,-0.21087
6,-1.1601,6,-3.3335,6,-2.4955,6,-1.3183,6,-0.84553,6,-3.3251,6,-2.3634,6,-0.30033
7,-1.1055,7,-3.3224,7,-2.5789,7,-1.4353,7,-0.81351,7,-3.3117,7,-2.4307,7,-0.34205
8,-1.0797,8,-3.3154,8,-2.557,8,-1.3521,8,-0.80966,8,-3.3004,8,-2.4017,8,-0.36325
9,-1.1266,9,-3.3132,9,-2.5958,9,-1.2504,9,-0.7971,9,-3.2976,9,-2.4584,9,-0.3116
10,-1.1596,10,-3.2972,10,-2.6707,10,-1.2861,10,-0.80588,10,-3.2861,10,-2.5735,10,-0.49102
11,-1.1597,11,-3.2882,11,-2.6657,11,-1.294,11,-0.81166,11,-3.272,11,-2.5801,11,-0.40732
12,-1.2765,12,-3.2718,12,-2.7246,12,-1.2482,12,-0.71499,12,-3.2673,12,-2.6722,12,-0.38551
13,-1.1426,13,-3.2677,13,-2.7305,13,-1.3168,13,-0.68382,13,-3.2503,13,-2.6561,13,-0.46815
14,-1.1161,14,-3.2656,14,-2.6973,14,-1.4726,14,-0.62629,14,-3.2518,14,-2.6435,14,-0.46706
15,-1.2863,15,-3.2405,15,-2.7088,15,-1.5081,15,-0.60603,15,-3.2204,15,-2.6477,15,-0.51336
16,-1.2724,16,-3.2342,16,-2.7957,16,-1.3677,16,-0.60774,16,-3.214,16,-2.6818,16,-0.43611
17,-1.237,17,-3.2235,17,-2.7326,17,-1.6222,17,-0.62183,17,-3.1955,17,-2.697,17,-0.49215
18,-1.2788,18,-3.1932,18,-2.8256,18,-1.4565,18,-0.7666,18,-3.1887,18,-2.7619,18,-0.53316
19,-1.1181,19,-3.1889,19,-2.8389,19,-1.6045,19,-0.6965,19,-3.1869,19,-2.7655,19,-0.77601
20,-1.1797,20,-3.149,20,-2.8355,20,-1.6365,20,-0.6427,20,-3.1091,20,-2.7971,20,-0.67329
21,-1.1478,21,-3.1217,21,-2.8526,21,-1.4061,21,-0.61371,21,-3.1126,21,-2.8253,21,-0.4633
22,-1.1808,22,-3.1047,22,-2.8308,22,-1.5084,22,-0.62916,22,-3.086,22,-2.8008,22,-0.7125
23,-1.2128,23,-3.0557,23,-2.8954,23,-1.5133,23,-0.64873,23,-3.0016,23,-2.8578,23,-0.81649
24,-1.2908,24,-3.0642,24,-2.8782,24,-1.5587,24,-0.64629,24,-3.0234,24,-2.8648,24,-0.71754
25,-1.2891,25,-3.0483,25,-2.8937,25,-1.8018,25,-0.58761,25,-3.0169,25,-2.8463,25,-0.88246
26,-1.2153,26,-3.0209,26,-2.8943,26,-1.6531,26,-0.51597,26,-2.9599,26,-2.8734,26,-0.71512
27,-1.3795,27,-2.935,27,-2.8981,27,-1.5756,27,-0.52795,27,-2.9211,27,-2.8706,27,-0.79195
28,-1.2888,28,-2.9142,28,-2.9275,28,-1.6792,28,-0.56687,28,-2.8315,28,-2.8675,28,-0.97446
29,-1.2825,29,-2.8419,29,-2.9723,29,-1.7242,29,-0.55124,29,-2.6856,29,-2.8888,29,-0.83667
30,-1.3381,30,-2.7175,30,-2.9425,30,-1.6409,30,-0.50461,30,-2.6175,30,-2.9131,30,-0.9836
31,-1.3365,31,-2.7507,31,-2.9593,31,-1.6905,31,-0.49752,31,-2.5766,31,-2.9452,31,-1.002
32,-1.3469,32,-2.6632,32,-2.9747,32,-1.8892,32,-0.53953,32,-2.5494,32,-2.9611,32,-0.89524
33,-1.2602,33,-2.696,33,-2.9876,33,-1.4343,33,-0.55955,33,-2.4145,33,-2.9706,33,-0.87122
34,-1.251,34,-2.2934,34,-2.9951,34,-1.9677,34,-0.49582,34,-2.2532,34,-2.9579,34,-1.0532
35,-1.2355,35,-2.4047,35,-3.0113,35,-1.7613,35,-0.49799,35,-2.1691,35,-2.9874,35,-0.75115
36,-1.3088,36,-2.205,36,-3.0359,36,-1.6752,36,-0.50991,36,-1.9945,36,-3.0026,36,-0.9471
37,-1.2233,37,-2.0421,37,-3.0412,37,-1.6538,37,-0.45883,37,-1.7977,37,-3.0192,37,-1.1498
38,-1.1781,38,-1.9697,38,-3.0585,38,-1.6906,38,-0.46522,38,-1.6894,38,-3.01,38,-0.83856
39,-1.2541,39,-1.7982,39,-3.0579,39,-1.7108,39,-0.45456,39,-1.635,39,-3.0134,39,-1.1814
40,-1.256,40,-1.6281,40,-3.0411,40,-1.7311,40,-0.55089,40,-1.3883,40,-3.029,40,-0.94762
