Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-0.84,1,-3.03,1,-0.65,1,-0.63,1,-0.52,1,-3.13,1,-0.35,1,-0.29
2,-0.83,2,-2.98,2,-0.67,2,-0.64,2,-0.5,2,-3.06,2,-0.4,2,-0.3
3,-0.81,3,-2.93,3,-0.7,3,-0.66,3,-0.5,3,-3.05,3,-0.44,3,-0.31
4,-0.79,4,-2.92,4,-0.7,4,-0.65,4,-0.49,4,-3.03,4,-0.45,4,-0.32
5,-0.77,5,-2.85,5,-0.72,5,-0.63,5,-0.47,5,-2.98,5,-0.49,5,-0.29
6,-0.78,6,-2.79,6,-0.73,6,-0.63,6,-0.48,6,-2.9,6,-0.5,6,-0.29
7,-0.75,7,-2.73,7,-0.76,7,-0.64,7,-0.47,7,-2.89,7,-0.54,7,-0.3
8,-0.75,8,-2.65,8,-0.76,8,-0.66,8,-0.45,8,-2.77,8,-0.55,8,-0.36
9,-0.75,9,-2.59,9,-0.77,9,-0.64,9,-0.44,9,-2.73,9,-0.56,9,-0.31
10,-0.74,10,-2.49,10,-0.8,10,-0.65,10,-0.43,10,-2.64,10,-0.59,10,-0.3
11,-0.74,11,-2.47,11,-0.82,11,-0.65,11,-0.43,11,-2.6,11,-0.62,11,-0.32
12,-0.73,12,-2.38,12,-0.83,12,-0.65,12,-0.42,12,-2.53,12,-0.62,12,-0.32
13,-0.73,13,-2.23,13,-0.85,13,-0.66,13,-0.42,13,-2.37,13,-0.66,13,-0.34
14,-0.72,14,-2.13,14,-0.86,14,-0.64,14,-0.41,14,-2.29,14,-0.69,14,-0.31
15,-0.71,15,-2.07,15,-0.86,15,-0.65,15,-0.39,15,-2.2,15,-0.7,15,-0.36
16,-0.7,16,-2.01,16,-0.9,16,-0.65,16,-0.37,16,-2.15,16,-0.72,16,-0.35
17,-0.69,17,-1.93,17,-0.91,17,-0.66,17,-0.38,17,-2.07,17,-0.74,17,-0.36
18,-0.68,18,-1.78,18,-0.93,18,-0.67,18,-0.37,18,-1.94,18,-0.76,18,-0.36
19,-0.67,19,-1.73,19,-0.94,19,-0.7,19,-0.36,19,-1.88,19,-0.77,19,-0.38
20,-0.65,20,-1.63,20,-0.94,20,-0.65,20,-0.34,20,-1.77,20,-0.79,20,-0.36
21,-0.65,21,-1.57,21,-0.95,21,-0.67,21,-0.35,21,-1.72,21,-0.78,21,-0.35
22,-0.65,22,-1.51,22,-0.97,22,-0.67,22,-0.34,22,-1.65,22,-0.8,22,-0.36
23,-0.64,23,-1.4,23,-0.96,23,-0.68,23,-0.33,23,-1.53,23,-0.82,23,-0.39
24,-0.66,24,-1.37,24,-0.98,24,-0.65,24,-0.33,24,-1.48,24,-0.84,24,-0.34
25,-0.64,25,-1.28,25,-0.98,25,-0.69,25,-0.32,25,-1.35,25,-0.85,25,-0.41
26,-0.65,26,-1.22,26,-1.0,26,-0.68,26,-0.32,26,-1.29,26,-0.87,26,-0.39
27,-0.64,27,-1.13,27,-1.0,27,-0.69,27,-0.32,27,-1.17,27,-0.87,27,-0.39
28,-0.65,28,-1.1,28,-1.01,28,-0.69,28,-0.33,28,-1.13,28,-0.88,28,-0.41
29,-0.64,29,-1.07,29,-1.03,29,-0.68,29,-0.32,29,-1.02,29,-0.89,29,-0.39
30,-0.65,30,-0.98,30,-1.04,30,-0.7,30,-0.31,30,-0.94,30,-0.92,30,-0.42
31,-0.64,31,-0.95,31,-1.04,31,-0.68,31,-0.31,31,-0.89,31,-0.93,31,-0.38
32,-0.64,32,-0.89,32,-1.07,32,-0.7,32,-0.32,32,-0.79,32,-0.98,32,-0.41
33,-0.63,33,-0.85,33,-1.1,33,-0.68,33,-0.31,33,-0.74,33,-1.0,33,-0.38
34,-0.63,34,-0.85,34,-1.1,34,-0.73,34,-0.31,34,-0.74,34,-1.01,34,-0.42
35,-0.63,35,-0.78,35,-1.11,35,-0.7,35,-0.31,35,-0.65,35,-1.03,35,-0.45
36,-0.64,36,-0.77,36,-1.11,36,-0.71,36,-0.31,36,-0.61,36,-1.04,36,-0.41
37,-0.64,37,-0.73,37,-1.11,37,-0.75,37,-0.31,37,-0.57,37,-1.04,37,-0.52
38,-0.63,38,-0.72,38,-1.15,38,-0.68,38,-0.31,38,-0.56,38,-1.07,38,-0.39
39,-0.63,39,-0.68,39,-1.14,39,-0.75,39,-0.31,39,-0.51,39,-1.09,39,-0.49
40,-0.63,40,-0.68,40,-1.17,40,-0.68,40,-0.31,40,-0.5,40,-1.1,40,-0.39
41,-0.63,41,-0.68,41,-1.17,41,-0.69,41,-0.31,41,-0.47,41,-1.11,41,-0.4
42,-0.64,42,-0.68,42,-1.16,42,-0.75,42,-0.3,42,-0.46,42,-1.08,42,-0.44
43,-0.63,43,-0.65,43,-1.16,43,-0.77,43,-0.31,43,-0.43,43,-1.09,43,-0.47
44,-0.64,44,-0.64,44,-1.18,44,-0.79,44,-0.31,44,-0.43,44,-1.12,44,-0.54
45,-0.63,45,-0.64,45,-1.19,45,-0.7,45,-0.3,45,-0.41,45,-1.13,45,-0.44
46,-0.63,46,-0.61,46,-1.18,46,-0.74,46,-0.3,46,-0.4,46,-1.15,46,-0.48
47,-0.62,47,-0.64,47,-1.2,47,-0.72,47,-0.3,47,-0.38,47,-1.17,47,-0.5
48,-0.62,48,-0.65,48,-1.22,48,-0.72,48,-0.3,48,-0.37,48,-1.18,48,-0.44
49,-0.63,49,-0.62,49,-1.23,49,-0.71,49,-0.31,49,-0.36,49,-1.19,49,-0.44
50,-0.63,50,-0.63,50,-1.24,50,-0.73,50,-0.31,50,-0.36,50,-1.19,50,-0.49
51,-0.63,51,-0.63,51,-1.25,51,-0.76,51,-0.3,51,-0.35,51,-1.2,51,-0.5
52,-0.63,52,-0.64,52,-1.28,52,-0.73,52,-0.31,52,-0.34,52,-1.22,52,-0.48
53,-0.64,53,-0.64,53,-1.28,53,-0.72,53,-0.3,53,-0.34,53,-1.25,53,-0.48
54,-0.63,54,-0.63,54,-1.28,54,-0.68,54,-0.3,54,-0.32,54,-1.24,54,-0.44
55,-0.63,55,-0.63,55,-1.29,55,-0.76,55,-0.3,55,-0.33,55,-1.25,55,-0.5
56,-0.63,56,-0.63,56,-1.28,56,-0.73,56,-0.29,56,-0.33,56,-1.27,56,-0.47
57,-0.63,57,-0.63,57,-1.3,57,-0.68,57,-0.3,57,-0.33,57,-1.29,57,-0.39
58,-0.64,58,-0.63,58,-1.31,58,-0.75,58,-0.29,58,-0.32,58,-1.3,58,-0.52
59,-0.64,59,-0.64,59,-1.33,59,-0.76,59,-0.29,59,-0.33,59,-1.34,59,-0.5
