Hum SNR,score,WhiteNoise SNR,score.1,Clipping Percentage(%),score.2,Dropout Num,score.3,Hum SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage(%).1,score.6,Dropout Num.1,score.7
1,0.5942857142857143,1.0,0.22714285714285712,1.0,0.8142857142857143,1.0,0.8385714285714286,1.0,0.5842857142857143,1.0,0.2285714285714286,1.0,0.8228571428571428,1.0,0.9642857142857143
2,0.6028571428571429,2.0,0.23714285714285716,2.0,0.7828571428571429,2.0,0.8371428571428572,2.0,0.6071428571428571,2.0,0.23857142857142857,2.0,0.7714285714285715,2.0,0.9614285714285714
3,0.61,3.0,0.25,3.0,0.75,3.0,0.8357142857142856,3.0,0.6114285714285714,3.0,0.24857142857142858,3.0,0.7271428571428571,3.0,0.9528571428571428
4,0.6228571428571429,4.0,0.26142857142857145,4.0,0.7214285714285714,4.0,0.83,4.0,0.6142857142857142,4.0,0.26,4.0,0.6957142857142857,4.0,0.9400000000000001
5,0.6328571428571428,5.0,0.2785714285714286,5.0,0.6957142857142857,5.0,0.83,5.0,0.62,5.0,0.2785714285714286,5.0,0.6642857142857144,5.0,0.9400000000000001
6,0.6457142857142858,6.0,0.29285714285714287,6.0,0.6728571428571428,6.0,0.8257142857142857,6.0,0.6357142857142858,6.0,0.29000000000000004,6.0,0.6442857142857142,6.0,0.9299999999999999
7,0.6557142857142857,7.0,0.31,7.0,0.6514285714285714,7.0,0.8257142857142857,7.0,0.6442857142857142,7.0,0.3085714285714286,7.0,0.6214285714285713,7.0,0.9285714285714286
8,0.6685714285714285,8.0,0.32571428571428573,8.0,0.6328571428571428,8.0,0.8200000000000001,8.0,0.6642857142857144,8.0,0.32285714285714284,8.0,0.6057142857142858,8.0,0.9185714285714285
9,0.6828571428571429,9.0,0.3442857142857143,9.0,0.6142857142857142,9.0,0.8214285714285714,9.0,0.6742857142857143,9.0,0.3385714285714286,9.0,0.5842857142857143,9.0,0.92
10,0.6942857142857143,10.0,0.3614285714285714,10.0,0.6,10.0,0.8200000000000001,10.0,0.6928571428571428,10.0,0.35571428571428576,10.0,0.5714285714285714,10.0,0.9185714285714285
