Hum SNR,score,WhiteNoise SNR,score.1,Clipping Percentage(%),score.2,Dropout Num,score.3,Hum SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage(%).1,score.6,Dropout Num.1,score.7
1,-2.681142857142857,1.0,-3.1095714285714284,1.0,-1.3777142857142857,1.0,-1.353,1.0,-2.3021428571428575,1.0,-3.0970000000000004,1.0,-0.8777142857142858,1.0,0.181
2,-2.572,2.0,-2.6205714285714286,2.0,-1.6709999999999998,2.0,-1.3765714285714286,2.0,-1.9221428571428572,2.0,-2.6105714285714288,2.0,-1.3658571428571429,2.0,0.17071428571428568
3,-2.3978571428571427,3.0,-2.5105714285714287,3.0,-1.9165714285714286,3.0,-1.2255714285714288,3.0,-1.7532857142857143,3.0,-2.5827142857142857,3.0,-1.713142857142857,3.0,0.16757142857142857
4,-2.2274285714285713,4.0,-2.187857142857143,4.0,-2.137142857142857,4.0,-1.495142857142857,4.0,-1.6495714285714287,4.0,-2.546,4.0,-1.9818571428571428,4.0,0.15371428571428572
5,-2.021714285714286,5.0,-2.4572857142857143,5.0,-2.352,5.0,-1.4914285714285713,5.0,-1.472,5.0,-2.899857142857143,5.0,-2.223,5.0,0.1447142857142857
6,-1.8418571428571429,6.0,-2.317285714285714,6.0,-2.512,6.0,-1.4804285714285714,6.0,-1.2957142857142858,6.0,-2.352,6.0,-2.3687142857142858,6.0,0.14085714285714285
7,-1.7227142857142859,7.0,-1.9805714285714286,7.0,-2.652,7.0,-1.4478571428571427,7.0,-1.1711428571428573,7.0,-2.176428571428571,7.0,-2.498857142857143,7.0,0.13514285714285715
8,-1.6387142857142858,8.0,-2.180857142857143,8.0,-2.749142857142857,8.0,-1.605,8.0,-1.0675714285714286,8.0,-2.4275714285714285,8.0,-2.5758571428571426,8.0,0.1162857142857143
9,-1.583,9.0,-2.398285714285714,9.0,-2.850285714285714,9.0,-1.8318571428571429,9.0,-0.985,9.0,-2.5764285714285715,9.0,-2.6708571428571424,9.0,0.12557142857142858
10,-1.5404285714285713,10.0,-2.501857142857143,10.0,-2.9235714285714285,10.0,-1.6817142857142857,10.0,-0.8904285714285713,10.0,-2.6767142857142856,10.0,-2.7612857142857146,10.0,0.11757142857142856
11,-1.4888571428571429,11.0,-2.5788571428571427,11.0,-2.971857142857143,11.0,-1.728,11.0,-0.7978571428571428,11.0,-2.7794285714285714,11.0,-2.8215714285714286,11.0,0.114
12,-1.4658571428571427,12.0,-2.8930000000000002,12.0,-2.983857142857143,12.0,-1.5692857142857142,12.0,-0.7287142857142858,12.0,-3.072,12.0,-2.8682857142857143,12.0,0.11457142857142857
13,-1.4751428571428573,13.0,-3.0468571428571427,13.0,-3.0185714285714282,13.0,-1.4161428571428571,13.0,-0.7,13.0,-3.1248571428571426,13.0,-2.923142857142857,13.0,0.09057142857142857
14,-1.478,14.0,-3.0644285714285715,14.0,-3.036285714285714,14.0,-1.6911428571428573,14.0,-0.6634285714285715,14.0,-3.128571428571429,14.0,-2.968571428571429,14.0,0.06557142857142857
15,-1.5041428571428572,15.0,-3.104142857142857,15.0,-3.0582857142857143,15.0,-1.7877142857142856,15.0,-0.6369999999999999,15.0,-3.157,15.0,-3.015,15.0,0.11185714285714285
16,-1.5375714285714286,16.0,-3.091285714285714,16.0,-3.0835714285714286,16.0,-1.8442857142857143,16.0,-0.6018571428571429,16.0,-3.149,16.0,-3.088142857142857,16.0,0.06542857142857143
17,-1.5690000000000002,17.0,-3.051428571428571,17.0,-3.097142857142857,17.0,-1.717857142857143,17.0,-0.6234285714285714,17.0,-3.077428571428572,17.0,-3.119285714285714,17.0,0.08842857142857143
18,-1.5914285714285714,18.0,-3.0504285714285717,18.0,-3.113285714285714,18.0,-1.7665714285714285,18.0,-0.6057142857142858,18.0,-3.093285714285714,18.0,-3.1555714285714282,18.0,0.04085714285714286
19,-1.5847142857142857,19.0,-3.0737142857142854,19.0,-3.1195714285714287,19.0,-1.5271428571428571,19.0,-0.5940000000000001,19.0,-3.1407142857142856,19.0,-3.172571428571428,19.0,0.04142857142857143
20,-1.574,20.0,-3.0344285714285713,20.0,-3.1535714285714285,20.0,-1.3985714285714284,20.0,-0.5925714285714285,20.0,-3.1061428571428573,20.0,-3.238285714285714,20.0,0.03542857142857143
21,-1.554142857142857,21.0,-2.9861428571428568,21.0,-3.163,21.0,-1.689142857142857,21.0,-0.5864285714285715,21.0,-3.052285714285714,21.0,-3.260142857142857,21.0,0.021
22,-1.5337142857142856,22.0,-2.914142857142857,22.0,-3.1822857142857144,22.0,-1.619,22.0,-0.5751428571428571,22.0,-2.961142857142857,22.0,-3.3015714285714286,22.0,0.074
23,-1.5124285714285715,23.0,-2.878,23.0,-3.1872857142857143,23.0,-1.5815714285714286,23.0,-0.5595714285714285,23.0,-2.8955714285714285,23.0,-3.3208571428571427,23.0,0.013428571428571429
24,-1.4948571428571427,24.0,-2.8742857142857146,24.0,-3.183,24.0,-1.7901428571428573,24.0,-0.541,24.0,-2.884,24.0,-3.3200000000000003,24.0,0.011857142857142856
25,-1.4665714285714286,25.0,-2.874428571428571,25.0,-3.194857142857143,25.0,-1.854142857142857,25.0,-0.5025714285714286,25.0,-2.880714285714286,25.0,-3.3419999999999996,25.0,0.017142857142857144
26,-1.4577142857142857,26.0,-2.9084285714285714,26.0,-3.2034285714285713,26.0,-1.759857142857143,26.0,-0.49628571428571433,26.0,-2.875857142857143,26.0,-3.3487142857142858,26.0,-0.08971428571428572
27,-1.4408571428571428,27.0,-2.903714285714286,27.0,-3.2144285714285714,27.0,-1.8852857142857145,27.0,-0.48728571428571427,27.0,-2.8645714285714283,27.0,-3.3575714285714287,27.0,-0.025999999999999992
28,-1.4257142857142857,28.0,-2.8844285714285713,28.0,-3.1904285714285714,28.0,-1.8718571428571429,28.0,-0.47185714285714286,28.0,-2.846571428571429,28.0,-3.344857142857143,28.0,-0.12057142857142858
29,-1.4242857142857144,29.0,-2.8762857142857143,29.0,-3.2002857142857146,29.0,-1.7735714285714288,29.0,-0.4571428571428572,29.0,-2.8345714285714285,29.0,-3.347142857142857,29.0,-0.04928571428571428
30,-1.4107142857142858,30.0,-2.849142857142857,30.0,-3.1944285714285714,30.0,-1.9567142857142856,30.0,-0.4407142857142858,30.0,-2.8302857142857145,30.0,-3.341,30.0,-0.1765714285714286
31,-1.3925714285714288,31.0,-2.797571428571428,31.0,-3.2079999999999997,31.0,-1.8157142857142856,31.0,-0.4231428571428571,31.0,-2.766142857142857,31.0,-3.3634285714285714,31.0,-0.16085714285714284
32,-1.381857142857143,32.0,-2.7165714285714286,32.0,-3.2011428571428575,32.0,-1.7941428571428573,32.0,-0.41171428571428575,32.0,-2.6958571428571427,32.0,-3.3484285714285713,32.0,-0.08728571428571429
