Hum SNR,score,WhiteNoise SNR,score.1,Clipping Percentage,score.2,Dropout Num,score.3,Hum SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage.1,score.6,Dropout Num.1,score.7
1,-1.5890185714285714,1.0,-3.3585,1.0,-1.4227285714285713,1.0,-1.1306357142857144,1.0,-1.6455871428571427,1.0,-3.356957142857143,1.0,-1.3717528571428572,1.0,-0.39228
2,-1.6262942857142857,2.0,-3.353114285714286,2.0,-1.8125,2.0,-1.1205571428571428,2.0,-1.5470599999999999,2.0,-3.3538714285714284,2.0,-1.8286714285714287,2.0,-0.3804174285714286
3,-1.5824114285714288,3.0,-3.352271428571428,3.0,-1.9980428571428572,3.0,-1.1271271428571428,3.0,-1.5358300000000003,3.0,-3.3512714285714287,3.0,-2.1218142857142857,3.0,-0.45000714285714283
4,-1.5649457142857144,4.0,-3.3445571428571426,4.0,-2.1236,4.0,-1.17754,4.0,-1.5161685714285713,4.0,-3.344014285714286,4.0,-2.1997714285714287,4.0,-0.5367642857142857
5,-1.52274,5.0,-3.3406857142857143,5.0,-2.2664714285714287,5.0,-1.1900342857142856,5.0,-1.5381385714285716,5.0,-3.3377714285714286,5.0,-2.3571142857142857,5.0,-0.5288014285714285
6,-1.5007585714285714,6.0,-3.3325,6.0,-2.357185714285715,6.0,-1.1903142857142857,6.0,-1.4898271428571428,6.0,-3.3321285714285716,6.0,-2.4478,6.0,-0.6334042857142858
7,-1.5276157142857143,7.0,-3.3232,7.0,-2.426814285714286,7.0,-1.2376299999999998,7.0,-1.4616028571428572,7.0,-3.3225714285714285,7.0,-2.5054714285714286,7.0,-0.6837871428571428
8,-1.4134085714285713,8.0,-3.3164857142857143,8.0,-2.4785,8.0,-1.2871842857142857,8.0,-1.38085,8.0,-3.3146285714285715,8.0,-2.5374000000000003,8.0,-0.7102171428571429
9,-1.3508142857142857,9.0,-3.307128571428571,9.0,-2.535642857142857,9.0,-1.294857142857143,9.0,-1.3389142857142855,9.0,-3.3056142857142854,9.0,-2.5904714285714285,9.0,-0.7161628571428571
10,-1.373227142857143,10.0,-3.299,10.0,-2.5848714285714287,10.0,-1.3135999999999999,10.0,-1.3221557142857143,10.0,-3.298985714285714,10.0,-2.6370857142857145,10.0,-0.746087142857143
11,-1.3691142857142857,11.0,-3.288242857142857,11.0,-2.6038428571428573,11.0,-1.5505857142857142,11.0,-1.2458628571428572,11.0,-3.285414285714286,11.0,-2.6772285714285715,11.0,-0.9977657142857143
12,-1.3586228571428571,12.0,-3.280385714285714,12.0,-2.6563285714285714,12.0,-1.3217142857142858,12.0,-1.1622557142857144,12.0,-3.2763,12.0,-2.7039142857142857,12.0,-0.8144171428571428
13,-1.30589,13.0,-3.260214285714286,13.0,-2.6906714285714286,13.0,-1.3840714285714284,13.0,-1.1614442857142857,13.0,-3.2577714285714285,13.0,-2.7385428571428574,13.0,-0.9174814285714286
14,-1.3009357142857143,14.0,-3.239757142857143,14.0,-2.7020142857142857,14.0,-1.4473571428571428,14.0,-1.10714,14.0,-3.243042857142857,14.0,-2.7702285714285715,14.0,-0.9487457142857144
15,-1.2471700000000001,15.0,-3.2223571428571427,15.0,-2.7228285714285714,15.0,-1.6474285714285715,15.0,-1.0794157142857144,15.0,-3.224871428571429,15.0,-2.7699,15.0,-1.1747185714285713
16,-1.283102857142857,16.0,-3.1993428571428573,16.0,-2.759857142857143,16.0,-1.5986285714285715,16.0,-1.0123957142857143,16.0,-3.205071428571429,16.0,-2.807342857142857,16.0,-1.1921657142857143
17,-1.28554,17.0,-3.181971428571429,17.0,-2.7842,17.0,-1.5558285714285716,17.0,-1.0409157142857144,17.0,-3.1865,17.0,-2.8429714285714285,17.0,-1.1725242857142857
18,-1.2383271428571427,18.0,-3.1502714285714286,18.0,-2.803971428571429,18.0,-1.5331428571428571,18.0,-0.96214,18.0,-3.166514285714286,18.0,-2.8472714285714287,18.0,-1.0074757142857143
19,-1.2592771428571428,19.0,-3.1255142857142855,19.0,-2.822057142857143,19.0,-1.6816142857142857,19.0,-0.9957428571428572,19.0,-3.144042857142857,19.0,-2.872185714285714,19.0,-1.2491985714285714
20,-1.2172257142857141,20.0,-3.1256142857142857,20.0,-2.845342857142857,20.0,-1.590842857142857,20.0,-0.943152857142857,20.0,-3.132114285714286,20.0,-2.8801857142857146,20.0,-1.1891885714285715
21,-1.2473342857142857,21.0,-3.0479714285714286,21.0,-2.867971428571429,21.0,-1.7988714285714287,21.0,-0.9418300000000001,21.0,-3.0882285714285715,21.0,-2.9032285714285715,21.0,-1.4536257142857143
