Hum SNR,score,WhiteNoise SNR,score.1,Clipping Percentage(%),score.2,Dropout Num,score.3,Hum SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage(%).1,score.6,Dropout Num.1,score.7
1,-0.8485714285714286,1.0,-3.1471428571428572,1.0,-0.6457142857142857,1.0,-0.6414285714285715,1.0,-0.5428571428571429,1.0,-3.1614285714285715,1.0,-0.3671428571428571,1.0,-0.2871428571428571
2,-0.8242857142857142,2.0,-3.1271428571428572,2.0,-0.6671428571428571,2.0,-0.6414285714285715,2.0,-0.5128571428571428,2.0,-3.14,2.0,-0.41857142857142854,2.0,-0.2842857142857143
3,-0.8014285714285715,3.0,-3.0799999999999996,3.0,-0.6900000000000001,3.0,-0.6385714285714286,3.0,-0.49714285714285716,3.0,-3.0942857142857143,3.0,-0.4557142857142857,3.0,-0.2857142857142857
4,-0.7842857142857144,4.0,-3.0142857142857147,4.0,-0.7114285714285714,4.0,-0.6514285714285715,4.0,-0.48714285714285716,4.0,-3.027142857142857,4.0,-0.4942857142857143,4.0,-0.3071428571428571
5,-0.7657142857142858,5.0,-2.968571428571429,5.0,-0.7357142857142858,5.0,-0.6514285714285714,5.0,-0.4685714285714285,5.0,-2.9842857142857144,5.0,-0.5214285714285715,5.0,-0.30428571428571427
6,-0.7471428571428572,6.0,-2.8885714285714283,6.0,-0.7485714285714286,6.0,-0.6528571428571429,6.0,-0.45142857142857146,6.0,-2.91,6.0,-0.55,6.0,-0.31714285714285717
7,-0.7299999999999999,7.0,-2.8414285714285716,7.0,-0.7742857142857142,7.0,-0.6628571428571428,7.0,-0.43714285714285717,7.0,-2.8542857142857145,7.0,-0.5742857142857142,7.0,-0.3242857142857143
8,-0.7214285714285714,8.0,-2.7671428571428573,8.0,-0.7828571428571429,8.0,-0.6757142857142856,8.0,-0.4185714285714286,8.0,-2.787142857142857,8.0,-0.5942857142857143,8.0,-0.33714285714285713
9,-0.71,9.0,-2.718571428571429,9.0,-0.8071428571428572,9.0,-0.6857142857142857,9.0,-0.40857142857142853,9.0,-2.7342857142857144,9.0,-0.6228571428571429,9.0,-0.35285714285714287
10,-0.7028571428571428,10.0,-2.6285714285714286,10.0,-0.8171428571428571,10.0,-0.6785714285714286,10.0,-0.39714285714285713,10.0,-2.6485714285714286,10.0,-0.6457142857142858,10.0,-0.34142857142857147
