Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,0.59,1,0.25,1,0.82,1,0.84,1,0.57,1,0.25,1,0.82,1,0.96
2,0.59,2,0.27,2,0.79,2,0.84,2,0.6,2,0.27,2,0.77,2,0.96
3,0.6,3,0.29,3,0.76,3,0.84,3,0.6,3,0.28,3,0.74,3,0.96
4,0.61,4,0.3,4,0.75,4,0.83,4,0.6,4,0.3,4,0.71,4,0.93
5,0.62,5,0.32,5,0.72,5,0.84,5,0.6,5,0.32,5,0.68,5,0.95
6,0.63,6,0.34,6,0.7,6,0.83,6,0.61,6,0.33,6,0.66,6,0.92
7,0.64,7,0.37,7,0.68,7,0.84,7,0.62,7,0.36,7,0.64,7,0.95
8,0.65,8,0.39,8,0.65,8,0.84,8,0.64,8,0.38,8,0.61,8,0.93
9,0.67,9,0.4,9,0.63,9,0.83,9,0.65,9,0.39,9,0.59,9,0.93
10,0.68,10,0.42,10,0.61,10,0.83,10,0.67,10,0.41,10,0.58,10,0.93
11,0.69,11,0.46,11,0.6,11,0.83,11,0.69,11,0.44,11,0.56,11,0.92
12,0.7,12,0.47,12,0.58,12,0.83,12,0.71,12,0.45,12,0.54,12,0.93
13,0.72,13,0.49,13,0.56,13,0.82,13,0.72,13,0.47,13,0.53,13,0.89
14,0.73,14,0.52,14,0.55,14,0.83,14,0.74,14,0.49,14,0.52,14,0.93
15,0.74,15,0.56,15,0.54,15,0.81,15,0.76,15,0.53,15,0.51,15,0.9
16,0.75,16,0.57,16,0.53,16,0.82,16,0.78,16,0.54,16,0.5,16,0.88
17,0.76,17,0.6,17,0.52,17,0.83,17,0.79,17,0.57,17,0.49,17,0.91
18,0.78,18,0.61,18,0.5,18,0.82,18,0.8,18,0.57,18,0.47,18,0.91
19,0.79,19,0.64,19,0.48,19,0.83,19,0.82,19,0.6,19,0.46,19,0.89
20,0.8,20,0.67,20,0.47,20,0.82,20,0.83,20,0.62,20,0.45,20,0.9
21,0.8,21,0.7,21,0.46,21,0.83,21,0.85,21,0.65,21,0.44,21,0.91
22,0.81,22,0.71,22,0.46,22,0.82,22,0.85,22,0.65,22,0.43,22,0.89
23,0.82,23,0.73,23,0.45,23,0.82,23,0.86,23,0.67,23,0.43,23,0.89
24,0.82,24,0.75,24,0.44,24,0.82,24,0.88,24,0.69,24,0.42,24,0.88
25,0.83,25,0.76,25,0.43,25,0.83,25,0.88,25,0.7,25,0.41,25,0.91
26,0.83,26,0.77,26,0.42,26,0.82,26,0.89,26,0.71,26,0.4,26,0.89
27,0.83,27,0.79,27,0.41,27,0.82,27,0.89,27,0.73,27,0.39,27,0.88
28,0.83,28,0.79,28,0.41,28,0.81,28,0.89,28,0.74,28,0.39,28,0.85
29,0.83,29,0.81,29,0.4,29,0.82,29,0.9,29,0.76,29,0.38,29,0.89
30,0.84,30,0.82,30,0.39,30,0.8,30,0.9,30,0.76,30,0.37,30,0.84
31,0.84,31,0.82,31,0.38,31,0.82,31,0.91,31,0.77,31,0.37,31,0.89
32,0.84,32,0.83,32,0.38,32,0.82,32,0.91,32,0.78,32,0.36,32,0.87
33,0.84,33,0.84,33,0.37,33,0.81,33,0.92,33,0.79,33,0.36,33,0.86
34,0.84,34,0.84,34,0.37,34,0.82,34,0.92,34,0.79,34,0.35,34,0.86
35,0.84,35,0.84,35,0.36,35,0.8,35,0.92,35,0.8,35,0.35,35,0.84
36,0.84,36,0.84,36,0.36,36,0.8,36,0.92,36,0.81,36,0.34,36,0.84
37,0.84,37,0.84,37,0.35,37,0.8,37,0.92,37,0.81,37,0.34,37,0.84
38,0.84,38,0.84,38,0.34,38,0.8,38,0.92,38,0.81,38,0.33,38,0.83
39,0.84,39,0.84,39,0.34,39,0.81,39,0.93,39,0.81,39,0.33,39,0.85
40,0.84,40,0.84,40,0.33,40,0.78,40,0.93,40,0.83,40,0.33,40,0.81
41,0.84,41,0.84,41,0.33,41,0.8,41,0.93,41,0.82,41,0.32,41,0.84
42,0.84,42,0.84,42,0.33,42,0.81,42,0.94,42,0.83,42,0.32,42,0.87
43,0.84,43,0.85,43,0.32,43,0.8,43,0.93,43,0.83,43,0.31,43,0.84
44,0.85,44,0.84,44,0.32,44,0.79,44,0.93,44,0.84,44,0.31,44,0.84
45,0.84,45,0.84,45,0.31,45,0.79,45,0.94,45,0.84,45,0.31,45,0.82
