Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-3.124,1,-3.61,1,-1.265,1,-1.419,1,-2.114,1,-3.608,1,-0.824,1,0.174
2,-2.758,2,-3.598,2,-1.42,2,-1.116,2,-1.275,2,-3.585,2,-1.197,2,0.181
3,-2.506,3,-3.536,3,-1.6,3,-1.125,3,-1.146,3,-3.488,3,-1.494,3,0.167
4,-2.347,4,-3.369,4,-1.809,4,-1.665,4,-1.141,4,-3.435,4,-1.745,4,0.194
5,-2.253,5,-3.212,5,-1.944,5,-1.111,5,-1.077,5,-3.659,5,-2.003,5,0.078
6,-2.233,6,-3.528,6,-2.094,6,-1.557,6,-1.034,6,-3.718,6,-2.14,6,0.092
7,-2.211,7,-3.418,7,-2.34,7,-1.38,7,-1.02,7,-3.458,7,-2.343,7,0.172
8,-2.139,8,-3.249,8,-2.475,8,-1.541,8,-0.973,8,-3.18,8,-2.534,8,0.098
9,-2.09,9,-3.045,9,-2.639,9,-1.406,9,-1.015,9,-2.904,9,-2.715,9,0.099
10,-2.045,10,-2.989,10,-2.784,10,-1.402,10,-0.986,10,-2.876,10,-2.862,10,0.096
11,-1.922,11,-2.805,11,-2.926,11,-1.65,11,-0.928,11,-2.681,11,-2.992,11,0.135
12,-1.85,12,-2.813,12,-3.043,12,-1.628,12,-0.881,12,-2.672,12,-3.105,12,0.103
13,-1.799,13,-2.835,13,-3.144,13,-1.647,13,-0.829,13,-2.671,13,-3.193,13,0.018
14,-1.706,14,-2.797,14,-3.255,14,-1.449,14,-0.799,14,-2.612,14,-3.29,14,0.043
15,-1.641,15,-2.849,15,-3.32,15,-1.716,15,-0.732,15,-2.656,15,-3.369,15,0.119
16,-1.578,16,-3.071,16,-3.382,16,-1.713,16,-0.629,16,-2.918,16,-3.415,16,0.042
17,-1.502,17,-2.981,17,-3.441,17,-1.761,17,-0.617,17,-2.735,17,-3.476,17,0.101
18,-1.44,18,-2.959,18,-3.529,18,-1.768,18,-0.5,18,-2.711,18,-3.555,18,0.001
19,-1.377,19,-3.24,19,-3.576,19,-1.775,19,-0.442,19,-3.129,19,-3.596,19,0.02
20,-1.312,20,-3.326,20,-3.633,20,-1.765,20,-0.379,20,-3.269,20,-3.646,20,0.033
21,-1.275,21,-3.304,21,-3.674,21,-1.488,21,-0.363,21,-3.256,21,-3.685,21,-0.012
22,-1.237,22,-3.213,22,-3.713,22,-1.809,22,-0.337,22,-3.125,22,-3.722,22,0.069
23,-1.195,23,-3.178,23,-3.738,23,-1.635,23,-0.282,23,-3.059,23,-3.75,23,0.069
24,-1.191,24,-3.182,24,-3.766,24,-2.145,24,-0.246,24,-3.179,24,-3.771,24,0.033
25,-1.162,25,-3.09,25,-3.797,25,-1.661,25,-0.205,25,-3.156,25,-3.803,25,0.006
26,-1.137,26,-3.014,26,-3.814,26,-1.642,26,-0.195,26,-3.014,26,-3.818,26,-0.078
27,-1.135,27,-2.847,27,-3.838,27,-1.614,27,-0.171,27,-2.937,27,-3.842,27,-0.05
28,-1.129,28,-2.752,28,-3.849,28,-1.893,28,-0.174,28,-2.869,28,-3.855,28,-0.012
29,-1.12,29,-2.511,29,-3.862,29,-1.867,29,-0.153,29,-2.658,29,-3.867,29,0.012
30,-1.123,30,-2.454,30,-3.875,30,-2.275,30,-0.147,30,-2.656,30,-3.878,30,-0.067
31,-1.112,31,-2.302,31,-3.886,31,-1.88,31,-0.121,31,-2.532,31,-3.89,31,-0.033
32,-1.094,32,-2.116,32,-3.891,32,-2.02,32,-0.1,32,-2.315,32,-3.893,32,-0.175
33,-1.094,33,-1.99,33,-3.9,33,-2.044,33,-0.088,33,-2.145,33,-3.905,33,-0.252
34,-1.099,34,-1.844,34,-3.907,34,-1.826,34,-0.075,34,-2.027,34,-3.91,34,-0.335
35,-1.114,35,-1.757,35,-3.915,35,-1.88,35,-0.07,35,-1.901,35,-3.918,35,-0.22
36,-1.107,36,-1.628,36,-3.918,36,-1.835,36,-0.075,36,-1.774,36,-3.922,36,0.006
37,-1.081,37,-1.548,37,-3.923,37,-2.257,37,-0.052,37,-1.636,37,-3.926,37,-0.121
38,-1.093,38,-1.505,38,-3.928,38,-2.463,38,-0.054,38,-1.589,38,-3.929,38,-0.581
39,-1.091,39,-1.411,39,-3.93,39,-1.905,39,-0.065,39,-1.469,39,-3.933,39,-0.344
40,-1.095,40,-1.372,40,-3.934,40,-2.531,40,-0.041,40,-1.336,40,-3.936,40,-0.602
41,-1.099,41,-1.366,41,-3.936,41,-2.481,41,-0.032,41,-1.307,41,-3.938,41,-0.491
42,-1.088,42,-1.278,42,-3.938,42,-1.877,42,-0.017,42,-1.107,42,-3.939,42,-0.334
43,-1.088,43,-1.221,43,-3.938,43,-1.972,43,-0.037,43,-1.116,43,-3.94,43,-0.498
44,-1.095,44,-1.236,44,-3.94,44,-1.986,44,-0.016,44,-1.021,44,-3.942,44,-0.318
45,-1.108,45,-1.202,45,-3.941,45,-2.365,45,-0.015,45,-0.971,45,-3.943,45,-0.338
46,-1.096,46,-1.186,46,-3.944,46,-2.329,46,-0.008,46,-0.891,46,-3.944,46,-0.436
47,-1.097,47,-1.174,47,-3.943,47,-2.088,47,-0.004,47,-0.869,47,-3.945,47,-0.434
48,-1.098,48,-1.157,48,-3.945,48,-2.172,48,-0.008,48,-0.784,48,-3.944,48,-0.429
49,-1.104,49,-1.134,49,-3.943,49,-2.306,49,0.001,49,-0.769,49,-3.94,49,-0.682
50,-1.097,50,-1.137,50,-3.944,50,-2.132,50,0.001,50,-0.686,50,-3.939,50,-0.617
51,-1.098,51,-1.136,51,-3.942,51,-2.013,51,-0.002,51,-0.683,51,-3.938,51,-0.467
52,-1.112,52,-1.136,52,-3.941,52,-2.049,52,0.007,52,-0.63,52,-3.936,52,-0.273
53,-1.099,53,-1.132,53,-3.939,53,-2.11,53,0.037,53,-0.57,53,-3.929,53,-0.529
54,-1.099,54,-1.121,54,-3.939,54,-2.473,54,0.007,54,-0.486,54,-3.931,54,-0.385
55,-1.096,55,-1.118,55,-3.934,55,-2.105,55,0.026,55,-0.469,55,-3.925,55,-0.354
56,-1.099,56,-1.118,56,-3.93,56,-2.02,56,0.027,56,-0.472,56,-3.922,56,-0.506
57,-1.096,57,-1.122,57,-3.933,57,-2.165,57,0.05,57,-0.443,57,-3.924,57,-0.447
58,-1.094,58,-1.124,58,-3.929,58,-2.635,58,0.073,58,-0.411,58,-3.918,58,-0.829
59,-1.106,59,-1.11,59,-3.933,59,-2.146,59,0.069,59,-0.363,59,-3.921,59,-0.6
60,-1.102,60,-1.123,60,-3.929,60,-2.157,60,0.076,60,-0.305,60,-3.918,60,-0.476
61,-1.098,61,-1.133,61,-3.924,61,-2.435,61,0.106,61,-0.276,61,-3.913,61,-0.6
62,-1.104,62,-1.117,62,-3.917,62,-2.45,62,0.087,62,-0.257,62,-3.904,62,-0.881
63,-1.098,63,-1.098,63,-3.916,63,-2.312,63,0.081,63,-0.238,63,-3.904,63,-0.758
64,-1.101,64,-1.117,64,-3.917,64,-2.245,64,0.104,64,-0.203,64,-3.906,64,-0.541
65,-1.091,65,-1.108,65,-3.913,65,-2.269,65,0.103,65,-0.124,65,-3.897,65,-0.875
66,-1.107,66,-1.112,66,-3.9,66,-2.243,66,0.087,66,-0.131,66,-3.876,66,-0.916
67,-1.101,67,-1.109,67,-3.879,67,-2.968,67,0.14,67,-0.11,67,-3.859,67,-1.114
68,-1.096,68,-1.114,68,-3.869,68,-3.201,68,0.096,68,-0.061,68,-3.847,68,-1.836
69,-1.095,69,-1.098,69,-3.869,69,-2.341,69,0.119,69,-0.075,69,-3.847,69,-0.799
70,-1.105,70,-1.104,70,-3.875,70,-2.207,70,0.109,70,-0.062,70,-3.843,70,-0.577
71,-1.097,71,-1.095,71,-3.838,71,-2.547,71,0.136,71,-0.021,71,-3.807,71,-1.447
72,-1.107,72,-1.101,72,-3.87,72,-2.393,72,0.125,72,-0.022,72,-3.848,72,-0.729
73,-1.1,73,-1.098,73,-3.836,73,-2.301,73,0.138,73,-0.015,73,-3.799,73,-0.959
74,-1.097,74,-1.104,74,-3.804,74,-2.768,74,0.115,74,0.012,74,-3.771,74,-1.555
75,-1.09,75,-1.109,75,-3.785,75,-2.67,75,0.167,75,0.035,75,-3.757,75,-1.59
76,-1.092,76,-1.102,76,-3.771,76,-3.13,76,0.14,76,0.038,76,-3.747,76,-1.443
77,-1.101,77,-1.104,77,-3.745,77,-2.828,77,0.15,77,0.079,77,-3.734,77,-1.491
78,-1.106,78,-1.096,78,-3.718,78,-2.543,78,0.159,78,0.078,78,-3.689,78,-1.522
79,-1.102,79,-1.107,79,-3.69,79,-2.528,79,0.175,79,0.076,79,-3.667,79,-0.982
80,-1.096,80,-1.11,80,-3.67,80,-2.419,80,0.143,80,0.089,80,-3.653,80,-1.032
81,-1.104,81,-1.102,81,-3.616,81,-2.25,81,0.163,81,0.125,81,-3.607,81,-1.013
82,-1.092,82,-1.109,82,-3.552,82,-2.771,82,0.155,82,0.154,82,-3.579,82,-1.872
83,-1.107,83,-1.095,83,-3.505,83,-2.217,83,0.169,83,0.105,83,-3.547,83,-0.828
84,-1.104,84,-1.098,84,-3.491,84,-2.673,84,0.172,84,0.115,84,-3.532,84,-1.131
85,-1.107,85,-1.092,85,-3.459,85,-2.707,85,0.17,85,0.125,85,-3.484,85,-1.349
86,-1.096,86,-1.087,86,-3.333,86,-2.475,86,0.145,86,0.139,86,-3.386,86,-0.746
87,-1.096,87,-1.099,87,-3.319,87,-2.367,87,0.148,87,0.15,87,-3.402,87,-1.631
88,-1.102,88,-1.094,88,-3.374,88,-2.547,88,0.151,88,0.161,88,-3.432,88,-1.49
89,-1.101,89,-1.089,89,-3.191,89,-2.552,89,0.158,89,0.172,89,-3.211,89,-1.355
90,-1.104,90,-1.094,90,-3.051,90,-2.672,90,0.171,90,0.159,90,-3.163,90,-1.676
91,-1.102,91,-1.106,91,-2.992,91,-2.998,91,0.165,91,0.166,91,-3.077,91,-1.571
92,-1.104,92,-1.099,92,-2.92,92,-2.822,92,0.172,92,0.16,92,-3.006,92,-1.995
93,-1.105,93,-1.11,93,-3.043,93,-2.645,93,0.166,93,0.182,93,-3.169,93,-1.165
94,-1.107,94,-1.11,94,-2.781,94,-2.676,94,0.169,94,0.191,94,-2.957,94,-1.677
95,-1.102,95,-1.103,95,-3.086,95,-2.535,95,0.178,95,0.184,95,-3.179,95,-1.553
96,-1.106,96,-1.104,96,-2.897,96,-2.938,96,0.17,96,0.183,96,-2.99,96,-1.429
97,-1.104,97,-1.094,97,-3.005,97,-2.733,97,0.181,97,0.186,97,-2.99,97,-1.621
98,-1.109,98,-1.096,98,-3.026,98,-2.49,98,0.187,98,0.19,98,-2.977,98,-1.364
99,-1.102,99,-1.101,99,-2.871,99,-2.683,99,0.186,99,0.191,99,-2.628,99,-1.583
