Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-2.318,1,-3.593,1,-1.338,1,-1.23,1,-2.997,1,-3.786,1,-1.969,1,-0.268
2,-2.253,2,-3.582,2,-1.503,2,-1.226,2,-2.752,2,-3.788,2,-2.384,2,-0.134
3,-2.196,3,-3.589,3,-1.672,3,-1.248,3,-2.775,3,-3.794,3,-2.635,3,-0.31
4,-2.038,4,-3.558,4,-1.715,4,-1.32,4,-2.786,4,-3.782,4,-2.754,4,-0.731
5,-1.988,5,-3.562,5,-1.844,5,-1.231,5,-2.821,5,-3.793,5,-2.911,5,-0.359
6,-1.908,6,-3.574,6,-2.015,6,-1.583,6,-2.72,6,-3.798,6,-3.025,6,-1.364
7,-1.817,7,-3.564,7,-2.207,7,-1.553,7,-2.605,7,-3.804,7,-3.124,7,-1.148
8,-1.729,8,-3.569,8,-2.29,8,-1.27,8,-2.473,8,-3.805,8,-3.169,8,-0.628
9,-1.632,9,-3.552,9,-2.407,9,-1.557,9,-2.339,9,-3.804,9,-3.264,9,-1.178
10,-1.583,10,-3.554,10,-2.505,10,-1.55,10,-2.256,10,-3.803,10,-3.311,10,-1.197
11,-1.521,11,-3.542,11,-2.611,11,-1.417,11,-2.129,11,-3.804,11,-3.348,11,-0.976
12,-1.461,12,-3.533,12,-2.708,12,-1.477,12,-1.977,12,-3.801,12,-3.391,12,-1.128
13,-1.418,13,-3.535,13,-2.742,13,-1.425,13,-1.861,13,-3.803,13,-3.418,13,-0.939
14,-1.355,14,-3.529,14,-2.822,14,-2.022,14,-1.772,14,-3.802,14,-3.431,14,-1.774
15,-1.331,15,-3.525,15,-2.917,15,-1.485,15,-1.654,15,-3.802,15,-3.468,15,-1.212
16,-1.337,16,-3.474,16,-2.941,16,-1.519,16,-1.509,16,-3.789,16,-3.478,16,-1.238
17,-1.304,17,-3.485,17,-2.984,17,-1.499,17,-1.503,17,-3.791,17,-3.519,17,-1.125
18,-1.275,18,-3.446,18,-3.068,18,-1.461,18,-1.349,18,-3.784,18,-3.533,18,-1.18
19,-1.25,19,-3.407,19,-3.12,19,-1.677,19,-1.247,19,-3.779,19,-3.538,19,-1.654
20,-1.224,20,-3.357,20,-3.184,20,-1.909,20,-1.184,20,-3.763,20,-3.561,20,-1.916
21,-1.242,21,-3.3,21,-3.234,21,-1.726,21,-1.139,21,-3.749,21,-3.583,21,-1.698
22,-1.245,22,-3.295,22,-3.26,22,-2.338,22,-1.06,22,-3.746,22,-3.605,22,-2.493
23,-1.243,23,-3.202,23,-3.289,23,-1.496,23,-1.038,23,-3.72,23,-3.603,23,-1.326
24,-1.214,24,-3.188,24,-3.306,24,-1.431,24,-0.947,24,-3.711,24,-3.615,24,-1.194
25,-1.224,25,-3.101,25,-3.335,25,-1.806,25,-0.92,25,-3.687,25,-3.629,25,-1.859
26,-1.218,26,-2.972,26,-3.392,26,-1.413,26,-0.857,26,-3.656,26,-3.642,26,-1.137
27,-1.208,27,-2.877,27,-3.43,27,-1.699,27,-0.847,27,-3.597,27,-3.651,27,-1.678
28,-1.2,28,-2.786,28,-3.44,28,-1.782,28,-0.839,28,-3.567,28,-3.656,28,-1.985
29,-1.197,29,-2.661,29,-3.469,29,-1.752,29,-0.781,29,-3.507,29,-3.665,29,-2.031
30,-1.227,30,-2.61,30,-3.491,30,-1.697,30,-0.773,30,-3.513,30,-3.676,30,-1.97
31,-1.179,31,-2.442,31,-3.497,31,-2.001,31,-0.709,31,-3.401,31,-3.676,31,-2.462
32,-1.193,32,-2.272,32,-3.494,32,-1.863,32,-0.652,32,-3.347,32,-3.679,32,-2.088
33,-1.188,33,-2.155,33,-3.516,33,-1.862,33,-0.628,33,-3.276,33,-3.695,33,-2.252
34,-1.192,34,-2.019,34,-3.526,34,-1.864,34,-0.619,34,-3.166,34,-3.691,34,-2.243
35,-1.197,35,-1.947,35,-3.521,35,-2.028,35,-0.612,35,-3.101,35,-3.695,35,-2.479
36,-1.193,36,-1.851,36,-3.52,36,-1.807,36,-0.626,36,-3.035,36,-3.69,36,-2.197
37,-1.174,37,-1.693,37,-3.55,37,-2.215,37,-0.544,37,-2.902,37,-3.699,37,-2.458
38,-1.196,38,-1.621,38,-3.577,38,-2.018,38,-0.556,38,-2.796,38,-3.706,38,-2.211
39,-1.19,39,-1.552,39,-3.536,39,-2.503,39,-0.603,39,-2.682,39,-3.703,39,-2.884
40,-1.19,40,-1.444,40,-3.559,40,-2.369,40,-0.535,40,-2.574,40,-3.706,40,-2.87
41,-1.184,41,-1.429,41,-3.579,41,-1.954,41,-0.489,41,-2.548,41,-3.713,41,-2.355
42,-1.206,42,-1.346,42,-3.577,42,-1.811,42,-0.446,42,-2.408,42,-3.711,42,-1.994
43,-1.171,43,-1.311,43,-3.579,43,-1.988,43,-0.523,43,-2.261,43,-3.711,43,-2.526
44,-1.201,44,-1.292,44,-3.594,44,-2.077,44,-0.451,44,-2.202,44,-3.723,44,-2.48
45,-1.21,45,-1.249,45,-3.593,45,-2.027,45,-0.396,45,-2.097,45,-3.728,45,-2.497
46,-1.202,46,-1.234,46,-3.602,46,-2.105,46,-0.393,46,-2.084,46,-3.729,46,-2.572
47,-1.228,47,-1.246,47,-3.591,47,-2.256,47,-0.432,47,-1.922,47,-3.723,47,-2.811
48,-1.177,48,-1.258,48,-3.594,48,-2.068,48,-0.452,48,-1.873,48,-3.728,48,-2.691
