Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
1,-1.3173,1,-3.373,1,-1.5961,1,-1.3435,1,-1.1364,1,-3.37,1,-1.3884,1,-0.45395
2,-1.4792,2,-3.367,2,-1.6467,2,-1.3454,2,-1.1724,2,-3.3649,2,-1.8795,2,-0.37205
3,-1.5241,3,-3.3661,3,-1.801,3,-1.3404,3,-1.2874,3,-3.3619,3,-2.0084,3,-0.41252
4,-1.4258,4,-3.3602,4,-1.9391,4,-1.5692,4,-1.3142,4,-3.3582,4,-2.0764,4,-0.71031
5,-1.5856,5,-3.3636,5,-2.1349,5,-1.4165,5,-1.3174,5,-3.3605,5,-2.198,5,-0.53342
6,-1.525,6,-3.3515,6,-2.2,6,-1.413,6,-1.2658,6,-3.348,6,-2.2617,6,-1.0189
7,-1.6539,7,-3.3496,7,-2.2815,7,-1.5272,7,-1.2243,7,-3.3459,7,-2.371,7,-0.65607
8,-1.5593,8,-3.3501,8,-2.2318,8,-1.4487,8,-1.0994,8,-3.343,8,-2.312,8,-0.77202
9,-1.2717,9,-3.3354,9,-2.2717,9,-1.5106,9,-1.1944,9,-3.3258,9,-2.4407,9,-0.81005
10,-1.3401,10,-3.3136,10,-2.3821,10,-1.5922,10,-1.1528,10,-3.313,10,-2.5017,10,-0.7381
11,-1.4729,11,-3.3242,11,-2.3911,11,-1.5571,11,-1.0581,11,-3.3172,11,-2.5684,11,-0.80132
12,-1.475,12,-3.3081,12,-2.466,12,-1.443,12,-1.1141,12,-3.2929,12,-2.6126,12,-0.85283
13,-1.4295,13,-3.2978,13,-2.4916,13,-1.6597,13,-1.1517,13,-3.2831,13,-2.6027,13,-1.293
14,-1.5016,14,-3.2932,14,-2.5095,14,-1.5042,14,-0.98317,14,-3.293,14,-2.6193,14,-0.81023
15,-1.4061,15,-3.258,15,-2.5337,15,-1.6571,15,-0.97662,15,-3.2488,15,-2.5792,15,-0.88114
16,-1.5365,16,-3.2654,16,-2.5389,16,-1.7912,16,-0.97047,16,-3.259,16,-2.6842,16,-1.25
17,-1.3761,17,-3.2632,17,-2.5966,17,-1.6411,17,-1.0061,17,-3.2475,17,-2.727,17,-1.0225
18,-1.3574,18,-3.2366,18,-2.6223,18,-1.6413,18,-0.97314,18,-3.2422,18,-2.7065,18,-1.0083
19,-1.4191,19,-3.2349,19,-2.657,19,-1.8316,19,-0.9932,19,-3.2088,19,-2.7515,19,-1.2081
20,-1.3299,20,-3.2006,20,-2.6824,20,-1.5401,20,-0.99575,20,-3.207,20,-2.7669,20,-1.1942
21,-1.4753,21,-3.1632,21,-2.6828,21,-1.7201,21,-1.015,21,-3.1609,21,-2.7594,21,-1.0268
22,-1.3913,22,-3.1321,22,-2.7278,22,-1.8255,22,-0.92102,22,-3.1367,22,-2.8085,22,-1.075
23,-1.4481,23,-3.1475,23,-2.7376,23,-1.767,23,-0.86107,23,-3.1364,23,-2.8233,23,-1.0895
24,-1.4519,24,-3.1222,24,-2.7938,24,-1.8283,24,-0.83246,24,-3.1261,24,-2.8146,24,-1.2252
25,-1.4859,25,-3.1003,25,-2.8093,25,-1.5733,25,-0.83604,25,-3.1106,25,-2.8507,25,-0.9897
26,-1.5259,26,-3.0667,26,-2.8317,26,-1.639,26,-0.77128,26,-3.0942,26,-2.8573,26,-1.1255
27,-1.4181,27,-3.0064,27,-2.8399,27,-1.8229,27,-0.83065,27,-2.9824,27,-2.901,27,-1.3627
