Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-0.81,1,-3.01,1,-0.59,1,-0.6,1,-0.52,1,-3.15,1,-0.34,1,-0.28
2,-0.8,2,-2.98,2,-0.59,2,-0.6,2,-0.48,2,-3.12,2,-0.36,2,-0.28
3,-0.77,3,-3.02,3,-0.6,3,-0.6,3,-0.47,3,-3.15,3,-0.38,3,-0.28
4,-0.75,4,-2.94,4,-0.6,4,-0.63,4,-0.46,4,-3.08,4,-0.39,4,-0.34
5,-0.73,5,-2.89,5,-0.62,5,-0.6,5,-0.45,5,-3.04,5,-0.41,5,-0.28
6,-0.7,6,-2.81,6,-0.62,6,-0.61,6,-0.43,6,-2.99,6,-0.42,6,-0.34
7,-0.69,7,-2.73,7,-0.63,7,-0.6,7,-0.42,7,-2.89,7,-0.42,7,-0.29
8,-0.67,8,-2.71,8,-0.62,8,-0.61,8,-0.41,8,-2.89,8,-0.43,8,-0.32
9,-0.66,9,-2.65,9,-0.64,9,-0.6,9,-0.39,9,-2.84,9,-0.45,9,-0.31
10,-0.65,10,-2.57,10,-0.64,10,-0.61,10,-0.37,10,-2.75,10,-0.46,10,-0.31
11,-0.64,11,-2.42,11,-0.64,11,-0.61,11,-0.37,11,-2.61,11,-0.46,11,-0.33
12,-0.63,12,-2.4,12,-0.65,12,-0.6,12,-0.36,12,-2.58,12,-0.48,12,-0.3
13,-0.63,13,-2.18,13,-0.65,13,-0.6,13,-0.35,13,-2.37,13,-0.48,13,-0.33
14,-0.62,14,-2.17,14,-0.68,14,-0.61,14,-0.35,14,-2.36,14,-0.5,14,-0.32
15,-0.62,15,-2.03,15,-0.69,15,-0.61,15,-0.34,15,-2.22,15,-0.52,15,-0.33
16,-0.62,16,-1.9,16,-0.68,16,-0.61,16,-0.34,16,-2.09,16,-0.52,16,-0.33
17,-0.62,17,-1.85,17,-0.68,17,-0.62,17,-0.34,17,-2.04,17,-0.52,17,-0.34
18,-0.61,18,-1.75,18,-0.7,18,-0.62,18,-0.33,18,-1.94,18,-0.53,18,-0.32
19,-0.61,19,-1.59,19,-0.68,19,-0.65,19,-0.33,19,-1.75,19,-0.54,19,-0.39
20,-0.61,20,-1.49,20,-0.71,20,-0.63,20,-0.33,20,-1.68,20,-0.55,20,-0.35
21,-0.61,21,-1.36,21,-0.73,21,-0.6,21,-0.33,21,-1.51,21,-0.56,21,-0.32
22,-0.61,22,-1.29,22,-0.74,22,-0.63,22,-0.31,22,-1.44,22,-0.58,22,-0.36
23,-0.61,23,-1.26,23,-0.72,23,-0.62,23,-0.32,23,-1.38,23,-0.58,23,-0.33
24,-0.6,24,-1.11,24,-0.76,24,-0.63,24,-0.32,24,-1.23,24,-0.6,24,-0.35
25,-0.61,25,-1.06,25,-0.74,25,-0.61,25,-0.32,25,-1.19,25,-0.6,25,-0.31
26,-0.6,26,-0.98,26,-0.76,26,-0.61,26,-0.31,26,-1.1,26,-0.62,26,-0.34
27,-0.6,27,-0.89,27,-0.77,27,-0.6,27,-0.31,27,-0.97,27,-0.63,27,-0.33
28,-0.6,28,-0.86,28,-0.78,28,-0.68,28,-0.31,28,-0.92,28,-0.64,28,-0.42
29,-0.61,29,-0.8,29,-0.8,29,-0.62,29,-0.31,29,-0.85,29,-0.65,29,-0.34
30,-0.6,30,-0.75,30,-0.82,30,-0.66,30,-0.31,30,-0.78,30,-0.68,30,-0.4
31,-0.6,31,-0.7,31,-0.82,31,-0.62,31,-0.31,31,-0.7,31,-0.68,31,-0.35
32,-0.6,32,-0.7,32,-0.82,32,-0.62,32,-0.3,32,-0.66,32,-0.69,32,-0.4
33,-0.6,33,-0.65,33,-0.83,33,-0.64,33,-0.3,33,-0.6,33,-0.71,33,-0.38
34,-0.6,34,-0.62,34,-0.84,34,-0.62,34,-0.3,34,-0.55,34,-0.72,34,-0.37
35,-0.6,35,-0.62,35,-0.84,35,-0.62,35,-0.3,35,-0.53,35,-0.72,35,-0.4
36,-0.59,36,-0.62,36,-0.84,36,-0.67,36,-0.3,36,-0.5,36,-0.73,36,-0.43
