Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-3.267,1,-3.612,1,-1.563,1,-1.279,1,-2.863,1,-3.612,1,-1.042,1,0.198
2,-2.913,2,-3.612,2,-2.035,2,-1.629,2,-1.919,2,-3.612,2,-1.654,2,0.205
3,-2.571,3,-3.611,3,-2.369,3,-1.262,3,-1.491,3,-3.611,3,-2.114,3,0.16
4,-2.401,4,-3.607,4,-2.565,4,-1.412,4,-1.459,4,-3.602,4,-2.401,4,0.141
5,-2.217,5,-3.573,5,-2.86,5,-1.633,5,-1.29,5,-3.535,5,-2.725,5,0.201
6,-2.213,6,-2.534,6,-3.052,6,-1.64,6,-1.215,6,-1.717,6,-2.928,6,0.173
7,-2.074,7,-0.779,7,-3.191,7,-1.82,7,-1.079,7,-1.203,7,-3.099,7,0.168
8,-2.077,8,-1.926,8,-3.328,8,-1.998,8,-0.973,8,-2.829,8,-3.241,8,0.193
9,-2.003,9,-3.136,9,-3.452,9,-1.637,9,-0.874,9,-3.431,9,-3.326,9,0.203
10,-2.018,10,-3.398,10,-3.542,10,-2.12,10,-0.852,10,-3.517,10,-3.446,10,0.199
11,-1.996,11,-3.436,11,-3.611,11,-1.802,11,-0.828,11,-3.48,11,-3.53,11,0.168
12,-1.957,12,-3.439,12,-3.666,12,-1.913,12,-0.768,12,-3.457,12,-3.582,12,0.132
13,-1.9,13,-3.35,13,-3.715,13,-1.597,13,-0.723,13,-3.322,13,-3.65,13,0.192
14,-1.857,14,-3.305,14,-3.745,14,-2.222,14,-0.682,14,-3.274,14,-3.69,14,0.18
15,-1.811,15,-3.135,15,-3.77,15,-2.189,15,-0.64,15,-3.075,15,-3.715,15,0.158
16,-1.801,16,-3.051,16,-3.798,16,-1.899,16,-0.6,16,-2.983,16,-3.753,16,0.136
17,-1.751,17,-3.043,17,-3.818,17,-1.665,17,-0.565,17,-2.946,17,-3.772,17,0.156
18,-1.717,18,-2.908,18,-3.833,18,-1.752,18,-0.515,18,-2.835,18,-3.782,18,0.19
19,-1.679,19,-2.932,19,-3.852,19,-1.658,19,-0.461,19,-2.826,19,-3.795,19,0.054
20,-1.638,20,-2.762,20,-3.863,20,-1.5,20,-0.444,20,-2.637,20,-3.818,20,0.171
21,-1.614,21,-2.742,21,-3.869,21,-1.092,21,-0.387,21,-2.6,21,-3.814,21,0.136
22,-1.581,22,-2.691,22,-3.877,22,-1.886,22,-0.363,22,-2.526,22,-3.827,22,0.154
23,-1.53,23,-2.877,23,-3.884,23,-2.231,23,-0.347,23,-2.671,23,-3.834,23,0.083
24,-1.501,24,-2.949,24,-3.882,24,-1.698,24,-0.328,24,-2.805,24,-3.821,24,0.18
25,-1.449,25,-3.215,25,-3.885,25,-1.851,25,-0.244,25,-3.129,25,-3.822,25,0.184
26,-1.418,26,-3.291,26,-3.883,26,-1.797,26,-0.253,26,-3.253,26,-3.807,26,0.133
27,-1.367,27,-3.205,27,-3.893,27,-2.707,27,-0.241,27,-3.128,27,-3.822,27,0.121
28,-1.315,28,-3.078,28,-3.889,28,-1.432,28,-0.182,28,-3.004,28,-3.809,28,0.106
29,-1.326,29,-3.134,29,-3.882,29,-1.808,29,-0.174,29,-3.095,29,-3.788,29,0.123
30,-1.296,30,-3.102,30,-3.889,30,-1.712,30,-0.137,30,-3.117,30,-3.793,30,0.137
31,-1.292,31,-2.947,31,-3.889,31,-1.613,31,-0.149,31,-2.928,31,-3.803,31,0.068
