Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-3.333,1,-3.891,1,-1.412,1,-1.312,1,-3.603,1,-3.9,1,-2.023,1,-0.179
2,-3.263,2,-3.892,2,-1.621,2,-1.332,2,-3.515,2,-3.901,2,-2.495,2,-0.306
3,-3.245,3,-3.891,3,-1.816,3,-1.333,3,-3.529,3,-3.9,3,-2.765,3,-0.238
4,-3.225,4,-3.89,4,-2.031,4,-1.337,4,-3.552,4,-3.9,4,-2.957,4,-0.405
5,-3.154,5,-3.886,5,-2.177,5,-1.433,5,-3.548,5,-3.898,5,-3.126,5,-0.663
6,-3.132,6,-3.886,6,-2.311,6,-1.383,6,-3.532,6,-3.898,6,-3.215,6,-0.59
7,-3.062,7,-3.883,7,-2.523,7,-1.722,7,-3.495,7,-3.897,7,-3.311,7,-1.172
8,-2.978,8,-3.879,8,-2.639,8,-1.343,8,-3.456,8,-3.895,8,-3.369,8,-0.585
9,-2.925,9,-3.877,9,-2.745,9,-1.472,9,-3.387,9,-3.895,9,-3.406,9,-0.781
10,-2.85,10,-3.872,10,-2.911,10,-1.509,10,-3.334,10,-3.893,10,-3.48,10,-0.918
11,-2.724,11,-3.871,11,-3.011,11,-1.618,11,-3.247,11,-3.892,11,-3.51,11,-1.151
12,-2.625,12,-3.864,12,-3.091,12,-1.623,12,-3.151,12,-3.89,12,-3.539,12,-1.019
13,-2.433,13,-3.855,13,-3.12,13,-1.579,13,-2.998,13,-3.886,13,-3.56,13,-1.038
14,-2.34,14,-3.85,14,-3.166,14,-1.685,14,-2.896,14,-3.884,14,-3.589,14,-1.211
15,-2.207,15,-3.838,15,-3.199,15,-2.231,15,-2.773,15,-3.879,15,-3.601,15,-2.005
16,-2.113,16,-3.83,16,-3.291,16,-1.475,16,-2.626,16,-3.876,16,-3.631,16,-0.631
17,-1.972,17,-3.817,17,-3.299,17,-2.816,17,-2.475,17,-3.873,17,-3.641,17,-2.849
18,-1.868,18,-3.799,18,-3.356,18,-1.777,18,-2.301,18,-3.866,18,-3.656,18,-1.456
19,-1.808,19,-3.774,19,-3.417,19,-2.443,19,-2.192,19,-3.86,19,-3.674,19,-2.479
20,-1.761,20,-3.751,20,-3.412,20,-2.09,20,-2.081,20,-3.852,20,-3.679,20,-1.753
21,-1.674,21,-3.725,21,-3.456,21,-1.763,21,-1.836,21,-3.845,21,-3.695,21,-1.397
22,-1.635,22,-3.667,22,-3.474,22,-3.014,22,-1.739,22,-3.827,22,-3.7,22,-3.003
23,-1.559,23,-3.649,23,-3.495,23,-1.823,23,-1.587,23,-3.818,23,-3.705,23,-1.604
24,-1.508,24,-3.586,24,-3.524,24,-1.82,24,-1.507,24,-3.805,24,-3.711,24,-1.562
