Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
1,-1.2345,1,-3.3821,1,-1.3033,1,-1.0757,1,-1.2948,1,-3.3809,1,-1.2288,1,-0.23784
2,-1.2392,2,-3.3781,2,-1.7646,2,-1.0651,2,-1.1607,2,-3.3748,2,-1.8173,2,-0.39535
3,-1.0991,3,-3.3731,3,-1.9921,3,-1.0831,3,-1.1064,3,-3.3691,3,-2.0737,3,-0.3596
4,-1.2072,4,-3.3807,4,-2.0242,4,-1.0914,4,-1.1024,4,-3.3773,4,-2.1682,4,-0.38725
5,-1.1301,5,-3.3699,5,-2.1944,5,-1.0597,5,-1.1618,5,-3.3686,5,-2.295,5,-0.39639
6,-1.131,6,-3.3685,6,-2.3671,6,-1.0312,6,-1.1223,6,-3.3659,6,-2.4024,6,-0.58718
7,-1.1177,7,-3.3634,7,-2.4795,7,-1.0361,7,-1.0719,7,-3.3599,7,-2.5376,7,-0.54355
8,-0.99966,8,-3.3554,8,-2.5242,8,-1.1928,8,-0.91627,8,-3.3436,8,-2.5602,8,-0.73524
9,-1.0777,9,-3.3575,9,-2.5494,9,-1.0943,9,-0.8975,9,-3.3583,9,-2.6036,9,-0.69039
10,-1.1262,10,-3.3538,10,-2.5883,10,-1.0327,10,-0.98171,10,-3.3496,10,-2.6121,10,-0.60373
11,-1.1217,11,-3.3455,11,-2.6,11,-1.1089,11,-0.91071,11,-3.338,11,-2.6887,11,-0.55386
12,-1.1775,12,-3.3365,12,-2.6846,12,-1.1671,12,-0.876,12,-3.3324,12,-2.7292,12,-0.60871
13,-1.1443,13,-3.3218,13,-2.6998,13,-1.2631,13,-0.84843,13,-3.3196,13,-2.7322,13,-0.7435
14,-1.1909,14,-3.3247,14,-2.7312,14,-1.1757,14,-0.82015,14,-3.3184,14,-2.7813,14,-0.69066
15,-1.0825,15,-3.3121,15,-2.7935,15,-1.3776,15,-0.78653,15,-3.3028,15,-2.7914,15,-0.99074
16,-1.0606,16,-3.2995,16,-2.7832,16,-1.0936,16,-0.78653,16,-3.2891,16,-2.7893,16,-0.69629
17,-1.1061,17,-3.2783,17,-2.8144,17,-1.1971,17,-0.80288,17,-3.2667,17,-2.8514,17,-0.8507
18,-1.0549,18,-3.2769,18,-2.8134,18,-1.3077,18,-0.76122,18,-3.268,18,-2.8387,18,-0.74669
19,-1.087,19,-3.2818,19,-2.842,19,-1.1673,19,-0.72196,19,-3.2747,19,-2.8918,19,-0.73453
20,-1.0935,20,-3.2705,20,-2.8626,20,-1.2554,20,-0.67659,20,-3.2521,20,-2.8807,20,-0.63716
