Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-0.95,1,-3.12,1,-0.74,1,-0.73,1,-0.56,1,-3.19,1,-0.33,1,-0.27
2,-0.92,2,-3.03,2,-0.76,2,-0.74,2,-0.51,2,-3.12,2,-0.36,2,-0.28
3,-0.89,3,-2.99,3,-0.76,3,-0.73,3,-0.5,3,-3.08,3,-0.39,3,-0.28
4,-0.89,4,-3.0,4,-0.77,4,-0.74,4,-0.49,4,-3.08,4,-0.41,4,-0.29
5,-0.86,5,-2.94,5,-0.79,5,-0.73,5,-0.48,5,-3.04,5,-0.41,5,-0.28
6,-0.86,6,-2.98,6,-0.79,6,-0.74,6,-0.46,6,-3.08,6,-0.44,6,-0.3
7,-0.85,7,-2.91,7,-0.81,7,-0.76,7,-0.45,7,-3.01,7,-0.45,7,-0.32
8,-0.83,8,-2.84,8,-0.82,8,-0.82,8,-0.43,8,-2.94,8,-0.48,8,-0.37
9,-0.83,9,-2.8,9,-0.85,9,-0.81,9,-0.42,9,-2.89,9,-0.49,9,-0.38
10,-0.83,10,-2.77,10,-0.83,10,-0.79,10,-0.42,10,-2.87,10,-0.5,10,-0.36
11,-0.82,11,-2.72,11,-0.86,11,-0.76,11,-0.4,11,-2.83,11,-0.52,11,-0.3
12,-0.8,12,-2.58,12,-0.88,12,-0.76,12,-0.39,12,-2.69,12,-0.55,12,-0.32
13,-0.8,13,-2.53,13,-0.86,13,-0.75,13,-0.38,13,-2.64,13,-0.55,13,-0.32
14,-0.8,14,-2.39,14,-0.88,14,-0.78,14,-0.38,14,-2.53,14,-0.56,14,-0.37
15,-0.79,15,-2.37,15,-0.88,15,-0.8,15,-0.37,15,-2.51,15,-0.56,15,-0.38
16,-0.79,16,-2.24,16,-0.9,16,-0.75,16,-0.36,16,-2.35,16,-0.6,16,-0.33
17,-0.78,17,-2.13,17,-0.91,17,-0.78,17,-0.36,17,-2.25,17,-0.61,17,-0.38
18,-0.78,18,-2.06,18,-0.89,18,-0.76,18,-0.35,18,-2.21,18,-0.6,18,-0.33
19,-0.77,19,-1.99,19,-0.9,19,-0.76,19,-0.34,19,-2.13,19,-0.63,19,-0.33
20,-0.77,20,-1.82,20,-0.92,20,-0.77,20,-0.34,20,-1.96,20,-0.63,20,-0.34
21,-0.76,21,-1.72,21,-0.92,21,-0.8,21,-0.33,21,-1.87,21,-0.64,21,-0.37
22,-0.76,22,-1.67,22,-0.94,22,-0.77,22,-0.33,22,-1.8,22,-0.66,22,-0.35
23,-0.77,23,-1.53,23,-0.95,23,-0.79,23,-0.33,23,-1.68,23,-0.7,23,-0.38
24,-0.76,24,-1.5,24,-0.94,24,-0.78,24,-0.32,24,-1.63,24,-0.68,24,-0.35
25,-0.76,25,-1.39,25,-0.97,25,-0.79,25,-0.32,25,-1.51,25,-0.71,25,-0.37
