Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-0.127,1,-3.609,1,-1.708,1,-1.602,1,-0.126,1,-3.525,1,-0.964,1,0.208
2,-0.132,2,-0.287,2,-1.856,2,-1.586,2,-0.148,2,-0.158,2,-1.361,2,0.21
3,-0.171,3,-0.144,3,-2.061,3,-1.585,3,-0.225,3,-0.144,3,-1.623,3,0.197
4,-0.252,4,-0.143,4,-2.339,4,-1.622,4,-0.394,4,-0.143,4,-1.817,4,0.174
5,-0.382,5,-0.145,5,-2.586,5,-1.584,5,-0.618,5,-0.155,5,-2.023,5,0.191
6,-0.498,6,-0.174,6,-2.671,6,-1.596,6,-0.808,6,-0.238,6,-2.026,6,0.21
7,-0.597,7,-0.273,7,-2.757,7,-1.692,7,-0.886,7,-0.476,7,-1.995,7,0.204
8,-0.665,8,-0.555,8,-2.795,8,-1.649,8,-0.859,8,-1.067,8,-1.981,8,0.197
9,-0.656,9,-1.182,9,-2.784,9,-1.592,9,-0.728,9,-2.074,9,-2.041,9,0.189
10,-0.635,10,-1.793,10,-2.708,10,-1.666,10,-0.555,10,-2.707,10,-1.994,10,0.176
11,-0.604,11,-2.266,11,-2.726,11,-1.578,11,-0.365,11,-3.035,11,-2.051,11,0.202
12,-0.61,12,-2.692,12,-2.566,12,-0.951,12,-0.225,12,-3.284,12,-2.105,12,0.21
13,-0.694,13,-2.959,13,-2.469,13,-0.415,13,-0.149,13,-3.415,13,-2.078,13,0.203
14,-0.841,14,-3.066,14,-2.296,14,-1.725,14,-0.096,14,-3.466,14,-2.006,14,0.178
15,-1.013,15,-3.159,15,-2.229,15,-1.706,15,-0.119,15,-3.499,15,-1.996,15,0.173
16,-1.215,16,-3.105,16,-2.048,16,-1.578,16,-0.156,16,-3.452,16,-2.039,16,0.195
17,-1.418,17,-3.069,17,-1.923,17,-1.701,17,-0.206,17,-3.404,17,-1.954,17,0.075
18,-1.677,18,-2.996,18,-1.821,18,-1.617,18,-0.311,18,-3.35,18,-1.947,18,0.193
19,-1.696,19,-2.671,19,-1.742,19,-0.424,19,-0.337,19,-3.107,19,-1.926,19,0.2
20,-1.761,20,-2.456,20,-1.722,20,-0.71,20,-0.387,20,-2.864,20,-2.017,20,0.205
21,-1.777,21,-2.089,21,-1.644,21,-1.552,21,-0.42,21,-2.559,21,-2.034,21,0.167
22,-1.777,22,-1.715,22,-1.586,22,-0.765,22,-0.469,22,-2.058,22,-2.058,22,0.207
23,-1.748,23,-1.391,23,-1.408,23,-0.58,23,-0.448,23,-1.633,23,-1.968,23,0.198
24,-1.718,24,-1.23,24,-1.266,24,-1.544,24,-0.422,24,-1.242,24,-1.874,24,0.184
25,-1.697,25,-1.188,25,-1.296,25,-0.585,25,-0.398,25,-1.094,25,-1.951,25,0.2
26,-1.671,26,-1.4,26,-1.217,26,-1.381,26,-0.338,26,-1.104,26,-1.878,26,0.198
27,-1.633,27,-1.808,27,-1.215,27,-1.49,27,-0.324,27,-1.364,27,-1.869,27,0.197
28,-1.639,28,-1.838,28,-1.041,28,-1.703,28,-0.264,28,-1.455,28,-1.735,28,0.086
29,-1.607,29,-2.066,29,-0.956,29,-1.761,29,-0.254,29,-1.617,29,-1.631,29,0.013
30,-1.603,30,-2.075,30,-0.917,30,-1.599,30,-0.197,30,-1.644,30,-1.592,30,0.172
31,-1.578,31,-2.085,31,-0.91,31,-1.345,31,-0.175,31,-1.666,31,-1.612,31,0.196
32,-1.583,32,-2.068,32,-0.85,32,-1.018,32,-0.19,32,-1.695,32,-1.529,32,0.203
