Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-3.086,1,-3.864,1,-1.068,1,-0.989,1,-3.291,1,-3.88,1,-1.529,1,0.037
2,-3.076,2,-3.863,2,-1.164,2,-1.051,2,-3.212,2,-3.88,2,-1.904,2,-0.359
3,-3.061,3,-3.861,3,-1.262,3,-1.008,3,-3.203,3,-3.88,3,-2.191,3,-0.114
4,-3.052,4,-3.865,4,-1.469,4,-1.007,4,-3.231,4,-3.883,4,-2.352,4,-0.295
5,-3.018,5,-3.865,5,-1.653,5,-1.032,5,-3.292,5,-3.883,5,-2.513,5,-0.431
6,-2.959,6,-3.866,6,-1.725,6,-0.998,6,-3.271,6,-3.883,6,-2.57,6,-0.289
7,-2.93,7,-3.868,7,-1.886,7,-0.995,7,-3.272,7,-3.884,7,-2.611,7,-0.191
8,-2.862,8,-3.864,8,-1.954,8,-2.171,8,-3.212,8,-3.882,8,-2.704,8,-1.728
9,-2.8,9,-3.864,9,-2.126,9,-1.112,9,-3.153,9,-3.883,9,-2.823,9,-0.81
10,-2.688,10,-3.86,10,-2.259,10,-1.054,10,-3.087,10,-3.881,10,-2.874,10,-0.441
11,-2.574,11,-3.852,11,-2.393,11,-2.103,11,-2.984,11,-3.878,11,-2.988,11,-1.783
12,-2.463,12,-3.844,12,-2.516,12,-1.026,12,-2.817,12,-3.874,12,-3.081,12,-0.421
13,-2.283,13,-3.833,13,-2.633,13,-2.047,13,-2.679,13,-3.868,13,-3.167,13,-1.747
14,-2.174,14,-3.82,14,-2.779,14,-1.098,14,-2.514,14,-3.863,14,-3.232,14,-0.533
15,-1.969,15,-3.803,15,-2.842,15,-1.043,15,-2.319,15,-3.855,15,-3.255,15,-0.481
16,-1.824,16,-3.781,16,-2.976,16,-2.088,16,-2.128,16,-3.844,16,-3.316,16,-1.696
17,-1.661,17,-3.751,17,-3.105,17,-1.645,17,-1.945,17,-3.835,17,-3.379,17,-1.475
18,-1.592,18,-3.719,18,-3.145,18,-2.142,18,-1.791,18,-3.822,18,-3.397,18,-1.839
19,-1.435,19,-3.667,19,-3.211,19,-1.062,19,-1.603,19,-3.796,19,-3.416,19,-0.55
20,-1.337,20,-3.625,20,-3.291,20,-1.468,20,-1.406,20,-3.784,20,-3.48,20,-1.243
21,-1.269,21,-3.555,21,-3.316,21,-1.099,21,-1.281,21,-3.756,21,-3.497,21,-0.701
22,-1.223,22,-3.462,22,-3.366,22,-2.184,22,-1.238,22,-3.726,22,-3.528,22,-1.949
23,-1.156,23,-3.416,23,-3.381,23,-2.115,23,-1.144,23,-3.698,23,-3.557,23,-1.761
24,-1.12,24,-3.34,24,-3.439,24,-1.808,24,-1.046,24,-3.659,24,-3.585,24,-1.602
25,-1.079,25,-3.216,25,-3.468,25,-2.035,25,-0.992,25,-3.621,25,-3.596,25,-1.783
26,-1.061,26,-3.078,26,-3.525,26,-1.582,26,-0.864,26,-3.555,26,-3.628,26,-1.347
27,-1.036,27,-2.931,27,-3.572,27,-2.024,27,-0.892,27,-3.512,27,-3.646,27,-1.517
28,-1.055,28,-2.918,28,-3.588,28,-1.247,28,-0.764,28,-3.445,28,-3.661,28,-1.036
29,-1.018,29,-2.701,29,-3.585,29,-2.754,29,-0.769,29,-3.376,29,-3.662,29,-2.467
30,-1.024,30,-2.593,30,-3.578,30,-1.851,30,-0.692,30,-3.306,30,-3.662,30,-1.628
31,-1.018,31,-2.459,31,-3.579,31,-1.614,31,-0.634,31,-3.237,31,-3.668,31,-1.369
32,-1.013,32,-2.277,32,-3.617,32,-1.868,32,-0.702,32,-3.103,32,-3.693,32,-1.622
33,-1.013,33,-2.147,33,-3.628,33,-1.13,33,-0.685,33,-3.001,33,-3.704,33,-0.805
34,-1.012,34,-2.096,34,-3.649,34,-1.285,34,-0.572,34,-2.943,34,-3.711,34,-1.069
35,-1.004,35,-1.973,35,-3.64,35,-1.388,35,-0.582,35,-2.826,35,-3.71,35,-1.284
36,-0.993,36,-1.816,36,-3.641,36,-1.585,36,-0.565,36,-2.731,36,-3.712,36,-1.408
37,-0.991,37,-1.675,37,-3.66,37,-2.119,37,-0.509,37,-2.569,37,-3.718,37,-1.959
38,-0.987,38,-1.598,38,-3.681,38,-1.249,38,-0.54,38,-2.468,38,-3.733,38,-1.215
39,-1.0,39,-1.52,39,-3.685,39,-1.588,39,-0.507,39,-2.345,39,-3.74,39,-1.578
40,-0.991,40,-1.464,40,-3.699,40,-1.872,40,-0.478,40,-2.242,40,-3.749,40,-1.907
41,-0.988,41,-1.359,41,-3.706,41,-2.201,41,-0.473,41,-2.125,41,-3.753,41,-2.241
42,-0.998,42,-1.293,42,-3.713,42,-2.994,42,-0.445,42,-1.993,42,-3.76,42,-2.88
43,-1.0,43,-1.255,43,-3.732,43,-2.799,43,-0.435,43,-1.877,43,-3.77,43,-2.76
44,-0.987,44,-1.206,44,-3.721,44,-2.514,44,-0.432,44,-1.671,44,-3.767,44,-2.601
45,-0.985,45,-1.127,45,-3.718,45,-1.253,45,-0.439,45,-1.613,45,-3.773,45,-1.17
46,-0.983,46,-1.124,46,-3.723,46,-2.53,46,-0.413,46,-1.463,46,-3.774,46,-2.575
47,-0.978,47,-1.081,47,-3.729,47,-1.414,47,-0.374,47,-1.419,47,-3.781,47,-1.341
48,-0.981,48,-1.105,48,-3.732,48,-1.589,48,-0.388,48,-1.268,48,-3.782,48,-1.73
49,-0.985,49,-1.034,49,-3.724,49,-2.53,49,-0.431,49,-1.217,49,-3.783,49,-2.668
50,-0.985,50,-1.026,50,-3.73,50,-2.668,50,-0.375,50,-1.116,50,-3.787,50,-2.806
51,-0.997,51,-1.021,51,-3.734,51,-1.696,51,-0.383,51,-1.023,51,-3.788,51,-1.889
52,-0.998,52,-1.013,52,-3.735,52,-2.161,52,-0.388,52,-0.984,52,-3.792,52,-2.175
53,-0.99,53,-1.017,53,-3.735,53,-2.165,53,-0.392,53,-0.971,53,-3.792,53,-2.416
54,-0.995,54,-1.006,54,-3.73,54,-2.511,54,-0.341,54,-0.869,54,-3.79,54,-2.661
55,-0.991,55,-0.973,55,-3.72,55,-2.199,55,-0.324,55,-0.812,55,-3.788,55,-2.056
56,-0.988,56,-0.993,56,-3.731,56,-1.768,56,-0.312,56,-0.833,56,-3.797,56,-1.655
57,-0.992,57,-0.976,57,-3.735,57,-2.367,57,-0.276,57,-0.796,57,-3.8,57,-2.276
58,-0.991,58,-0.985,58,-3.736,58,-2.004,58,-0.292,58,-0.719,58,-3.802,58,-1.817
59,-0.993,59,-0.982,59,-3.739,59,-1.948,59,-0.252,59,-0.637,59,-3.802,59,-1.92
60,-0.99,60,-1.007,60,-3.742,60,-2.508,60,-0.307,60,-0.606,60,-3.806,60,-2.587
61,-0.994,61,-0.993,61,-3.738,61,-1.476,61,-0.256,61,-0.537,61,-3.81,61,-1.698
62,-0.988,62,-0.975,62,-3.746,62,-1.378,62,-0.229,62,-0.543,62,-3.811,62,-1.438
63,-0.998,63,-0.987,63,-3.747,63,-2.519,63,-0.206,63,-0.535,63,-3.813,63,-2.523
64,-0.993,64,-1.004,64,-3.751,64,-2.556,64,-0.17,64,-0.546,64,-3.812,64,-2.505
65,-0.987,65,-0.985,65,-3.751,65,-1.811,65,-0.166,65,-0.483,65,-3.819,65,-1.827
66,-0.984,66,-0.96,66,-3.756,66,-1.749,66,-0.218,66,-0.399,66,-3.819,66,-1.868
67,-0.992,67,-0.995,67,-3.75,67,-2.526,67,-0.189,67,-0.46,67,-3.819,67,-2.646
68,-0.994,68,-0.982,68,-3.763,68,-2.368,68,-0.176,68,-0.396,68,-3.825,68,-2.609
69,-0.994,69,-0.977,69,-3.762,69,-2.08,69,-0.158,69,-0.353,69,-3.827,69,-2.297
70,-0.998,70,-0.983,70,-3.77,70,-2.421,70,-0.168,70,-0.346,70,-3.83,70,-2.597
71,-0.998,71,-0.998,71,-3.771,71,-1.996,71,-0.179,71,-0.318,71,-3.831,71,-2.273
