Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
1,-1.3476,1,-3.3756,1,-1.152,1,-0.99465,1,-1.5903,1,-3.3713,1,-1.0125,1,-0.12658
2,-1.5052,2,-3.3651,2,-1.5018,2,-1.0038,2,-1.4549,2,-3.3614,2,-1.3718,2,-0.078082
3,-1.3629,3,-3.3638,3,-1.6241,3,-1.0563,3,-1.314,3,-3.3656,3,-1.7732,3,-0.20255
4,-1.4673,4,-3.3618,4,-1.9107,4,-1.0225,4,-1.175,4,-3.3605,4,-1.8934,4,-0.27312
5,-1.3738,5,-3.3574,5,-2.0246,5,-1.0788,5,-1.2637,5,-3.3507,5,-2.1415,5,-0.25147
6,-1.283,6,-3.3486,6,-2.1737,6,-1.0123,6,-1.2123,6,-3.3501,6,-2.2304,6,-0.2217
7,-1.4439,7,-3.3411,7,-2.2475,7,-1.0801,7,-1.3216,7,-3.3375,7,-2.3751,7,-0.36715
8,-1.1075,8,-3.337,8,-2.3852,8,-1.069,8,-1.2925,8,-3.3375,8,-2.4333,8,-0.23714
9,-1.1814,9,-3.3371,9,-2.3644,9,-1.0821,9,-1.2137,9,-3.3291,9,-2.4492,9,-0.46834
10,-1.2697,10,-3.3166,10,-2.3994,10,-1.0976,10,-1.1746,10,-3.3118,10,-2.4882,10,-0.47152
11,-1.1737,11,-3.3078,11,-2.5039,11,-1.0707,11,-1.0324,11,-3.3007,11,-2.5851,11,-0.41674
12,-1.2871,12,-3.2981,12,-2.5059,12,-1.0879,12,-1.001,12,-3.2959,12,-2.5792,12,-0.46271
13,-1.1507,13,-3.29,13,-2.5158,13,-1.4528,13,-1.1014,13,-3.2806,13,-2.6515,13,-0.96803
14,-1.0684,14,-3.2656,14,-2.5858,14,-1.0858,14,-0.91295,14,-3.2536,14,-2.6859,14,-0.55125
15,-1.0395,15,-3.2478,15,-2.5663,15,-1.0818,15,-0.89071,15,-3.2331,15,-2.6763,15,-0.42825
16,-1.2332,16,-3.1934,16,-2.6425,16,-1.2073,16,-0.87344,16,-3.1905,16,-2.6943,16,-0.61524
17,-1.231,17,-3.1962,17,-2.6751,17,-1.2652,17,-0.84689,17,-3.1906,17,-2.7253,17,-0.64994
18,-1.1365,18,-3.1349,18,-2.724,18,-1.146,18,-0.79877,18,-3.1373,18,-2.7313,18,-0.48764
19,-1.1777,19,-3.117,19,-2.7598,19,-1.1604,19,-0.82094,19,-3.1181,19,-2.8009,19,-0.60786
20,-1.0595,20,-3.1328,20,-2.7533,20,-1.2251,20,-0.74173,20,-3.1081,20,-2.8131,20,-0.6407
21,-1.1867,21,-3.0321,21,-2.7777,21,-1.2277,21,-0.81024,21,-2.9939,21,-2.8225,21,-0.62065
22,-1.2161,22,-3.0225,22,-2.8122,22,-1.1652,22,-0.68966,22,-2.9978,22,-2.8428,22,-0.61679
23,-1.1355,23,-2.9193,23,-2.8292,23,-1.2741,23,-0.70534,23,-2.9115,23,-2.8725,23,-0.8752
24,-1.1641,24,-2.8063,24,-2.8421,24,-1.3178,24,-0.77455,24,-2.8163,24,-2.8773,24,-0.67899
25,-1.1012,25,-2.7315,25,-2.8232,25,-1.2512,25,-0.73947,25,-2.7014,25,-2.8759,25,-0.81637
26,-1.0682,26,-2.7387,26,-2.8613,26,-1.5466,26,-0.69213,26,-2.6241,26,-2.8927,26,-0.75628
27,-1.0534,27,-2.5447,27,-2.8723,27,-1.1808,27,-0.65833,27,-2.553,27,-2.9344,27,-0.73326
28,-1.0634,28,-2.5551,28,-2.887,28,-1.2943,28,-0.55607,28,-2.4287,28,-2.9253,28,-0.98665
29,-1.1126,29,-2.2211,29,-2.9067,29,-1.6857,29,-0.5756,29,-2.2138,29,-2.9445,29,-1.1789
30,-1.0664,30,-2.3463,30,-2.9175,30,-1.1661,30,-0.54726,30,-2.235,30,-2.9671,30,-0.60381
31,-1.0108,31,-2.3351,31,-2.9331,31,-1.3444,31,-0.53578,31,-2.197,31,-2.9659,31,-0.8467
32,-1.1408,32,-2.2446,32,-2.9497,32,-1.282,32,-0.52166,32,-2.1792,32,-2.986,32,-0.97255
33,-1.0453,33,-2.0431,33,-2.9576,33,-1.222,33,-0.59882,33,-2.0558,33,-2.9942,33,-0.75032
34,-1.0918,34,-1.9228,34,-2.9627,34,-1.4897,34,-0.48638,34,-1.8613,34,-2.987,34,-1.0117
35,-1.0469,35,-2.2509,35,-2.9785,35,-1.4211,35,-0.51701,35,-2.0411,35,-3.0054,35,-1.0119
36,-1.0343,36,-1.9734,36,-2.9876,36,-1.5822,36,-0.50279,36,-1.8641,36,-3.023,36,-0.96963
37,-1.0445,37,-1.8242,37,-2.9763,37,-1.7035,37,-0.49783,37,-1.7178,37,-3.0244,37,-1.2192
38,-1.051,38,-1.8297,38,-2.9909,38,-1.312,38,-0.50007,38,-1.6959,38,-3.0198,38,-0.81336
39,-1.0554,39,-1.6954,39,-2.9775,39,-1.4073,39,-0.54058,39,-1.643,39,-3.0076,39,-0.96186
40,-1.0521,40,-1.5056,40,-3.0114,40,-1.6008,40,-0.4886,40,-1.4816,40,-3.0327,40,-0.94485
41,-1.0924,41,-1.704,41,-3.0204,41,-1.4028,41,-0.53541,41,-1.473,41,-3.0452,41,-0.94038
42,-1.0984,42,-1.628,42,-3.0314,42,-1.7038,42,-0.51111,42,-1.273,42,-3.0602,42,-1.2872
43,-1.112,43,-1.6353,43,-3.0603,43,-1.3043,43,-0.45658,43,-1.2476,43,-3.0657,43,-0.87998
44,-1.062,44,-1.3767,44,-3.0771,44,-1.505,44,-0.44882,44,-1.1624,44,-3.0745,44,-0.96058
45,-1.1191,45,-1.4201,45,-3.0756,45,-1.5418,45,-0.51683,45,-1.2553,45,-3.0695,45,-0.926
46,-1.1066,46,-1.383,46,-3.0781,46,-1.5602,46,-0.45784,46,-0.96308,46,-3.0846,46,-1.0214
47,-1.0799,47,-1.233,47,-3.0985,47,-1.3257,47,-0.36031,47,-1.0235,47,-3.0844,47,-1.0646
48,-1.0994,48,-1.2183,48,-3.097,48,-1.7642,48,-0.45813,48,-0.95113,48,-3.0894,48,-1.4168
49,-1.0817,49,-1.1602,49,-3.1057,49,-1.9857,49,-0.42905,49,-0.80975,49,-3.0986,49,-1.7138
50,-1.073,50,-1.1275,50,-3.1088,50,-1.2386,50,-0.38787,50,-0.843,50,-3.1107,50,-0.78696
