Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-0.85,1,-2.92,1,-0.71,1,-0.71,1,-0.49,1,-2.65,1,-0.34,1,-0.27
2,-0.84,2,-2.91,2,-0.7,2,-0.71,2,-0.46,2,-2.62,2,-0.36,2,-0.27
3,-0.81,3,-2.86,3,-0.72,3,-0.71,3,-0.44,3,-2.56,3,-0.38,3,-0.27
4,-0.8,4,-2.71,4,-0.74,4,-0.71,4,-0.44,4,-2.4,4,-0.39,4,-0.28
5,-0.79,5,-2.68,5,-0.75,5,-0.71,5,-0.42,5,-2.36,5,-0.4,5,-0.27
6,-0.78,6,-2.56,6,-0.74,6,-0.71,6,-0.41,6,-2.25,6,-0.41,6,-0.28
7,-0.77,7,-2.46,7,-0.74,7,-0.72,7,-0.41,7,-2.12,7,-0.4,7,-0.28
8,-0.77,8,-2.37,8,-0.76,8,-0.71,8,-0.4,8,-2.04,8,-0.41,8,-0.28
9,-0.77,9,-2.26,9,-0.76,9,-0.71,9,-0.39,9,-1.91,9,-0.42,9,-0.28
10,-0.77,10,-2.13,10,-0.76,10,-0.72,10,-0.39,10,-1.77,10,-0.44,10,-0.28
11,-0.76,11,-2.04,11,-0.77,11,-0.71,11,-0.39,11,-1.67,11,-0.44,11,-0.28
12,-0.76,12,-1.89,12,-0.78,12,-0.72,12,-0.38,12,-1.53,12,-0.45,12,-0.29
13,-0.76,13,-1.77,13,-0.78,13,-0.72,13,-0.37,13,-1.41,13,-0.46,13,-0.3
14,-0.75,14,-1.69,14,-0.79,14,-0.72,14,-0.35,14,-1.33,14,-0.48,14,-0.29
15,-0.75,15,-1.51,15,-0.8,15,-0.71,15,-0.36,15,-1.16,15,-0.48,15,-0.28
16,-0.75,16,-1.46,16,-0.81,16,-0.72,16,-0.35,16,-1.11,16,-0.49,16,-0.29
17,-0.74,17,-1.33,17,-0.8,17,-0.72,17,-0.35,17,-0.99,17,-0.5,17,-0.29
18,-0.75,18,-1.26,18,-0.81,18,-0.72,18,-0.35,18,-0.94,18,-0.5,18,-0.29
19,-0.74,19,-1.19,19,-0.81,19,-0.72,19,-0.35,19,-0.86,19,-0.51,19,-0.29
20,-0.74,20,-1.06,20,-0.83,20,-0.72,20,-0.34,20,-0.74,20,-0.53,20,-0.29
21,-0.74,21,-1.04,21,-0.84,21,-0.72,21,-0.34,21,-0.7,21,-0.54,21,-0.29
22,-0.74,22,-1.0,22,-0.83,22,-0.72,22,-0.34,22,-0.66,22,-0.54,22,-0.29
23,-0.74,23,-0.96,23,-0.85,23,-0.73,23,-0.34,23,-0.63,23,-0.56,23,-0.31
24,-0.73,24,-0.89,24,-0.85,24,-0.72,24,-0.33,24,-0.57,24,-0.57,24,-0.29
25,-0.73,25,-0.88,25,-0.85,25,-0.72,25,-0.33,25,-0.54,25,-0.57,25,-0.3
