Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-2.418,1,-0.165,1,-2.183,1,-1.979,1,-1.749,1,-0.251,1,-1.33,1,0.161
2,-2.736,2,-0.215,2,-2.683,2,-1.88,2,-1.827,2,-0.465,2,-2.126,2,0.142
3,-2.538,3,-0.47,3,-2.974,3,-1.906,3,-1.545,3,-1.433,3,-2.631,3,0.154
4,-2.235,4,-1.118,4,-3.213,4,-2.143,4,-1.373,4,-2.746,4,-2.961,4,0.167
5,-1.942,5,-2.522,5,-3.381,5,-2.154,5,-1.179,5,-3.582,5,-3.149,5,0.121
6,-1.713,6,-3.395,6,-3.479,6,-2.397,6,-1.051,6,-3.796,6,-3.273,6,0.152
7,-1.717,7,-3.652,7,-3.511,7,-2.217,7,-1.022,7,-3.846,7,-3.338,7,0.135
8,-1.709,8,-3.783,8,-3.472,8,-2.217,8,-1.024,8,-3.88,8,-3.298,8,0.175
9,-1.792,9,-3.84,9,-3.369,9,-2.41,9,-1.062,9,-3.894,9,-3.118,9,0.169
10,-1.882,10,-3.856,10,-3.337,10,-2.363,10,-1.052,10,-3.898,10,-3.121,10,0.163
11,-1.921,11,-3.873,11,-3.169,11,-2.405,11,-1.052,11,-3.901,11,-3.019,11,0.154
12,-2.09,12,-3.874,12,-3.101,12,-2.587,12,-1.094,12,-3.898,12,-2.987,12,0.152
13,-2.327,13,-3.871,13,-3.026,13,-2.535,13,-1.154,13,-3.897,13,-2.923,13,0.137
14,-2.498,14,-3.861,14,-3.027,14,-2.373,14,-1.247,14,-3.887,14,-2.999,14,0.131
15,-2.755,15,-3.856,15,-3.006,15,-2.67,15,-1.387,15,-3.882,15,-2.965,15,0.086
16,-2.914,16,-3.841,16,-3.015,16,-2.301,16,-1.437,16,-3.865,16,-3.071,16,0.159
17,-3.138,17,-3.829,17,-3.028,17,-2.547,17,-1.633,17,-3.853,17,-3.14,17,0.069
18,-3.209,18,-3.796,18,-3.076,18,-2.516,18,-1.673,18,-3.823,18,-3.193,18,0.133
19,-3.321,19,-3.775,19,-3.102,19,-2.294,19,-1.778,19,-3.804,19,-3.241,19,0.134
20,-3.37,20,-3.724,20,-3.126,20,-2.432,20,-1.865,20,-3.761,20,-3.32,20,0.163
21,-3.387,21,-3.68,21,-3.159,21,-2.33,21,-1.909,21,-3.72,21,-3.34,21,0.076
22,-3.403,22,-3.65,22,-3.187,22,-2.283,22,-1.967,22,-3.696,22,-3.386,22,0.101
23,-3.431,23,-3.6,23,-3.213,23,-2.709,23,-2.071,23,-3.66,23,-3.41,23,0.103
24,-3.445,24,-3.621,24,-3.253,24,-2.248,24,-2.085,24,-3.667,24,-3.435,24,0.006
25,-3.42,25,-3.64,25,-3.27,25,-2.719,25,-2.045,25,-3.678,25,-3.457,25,0.121
26,-3.426,26,-3.593,26,-3.31,26,-2.583,26,-2.068,26,-3.606,26,-3.494,26,0.087
27,-3.426,27,-3.549,27,-3.331,27,-2.578,27,-2.083,27,-3.563,27,-3.527,27,0.117
28,-3.396,28,-3.595,28,-3.352,28,-2.734,28,-2.128,28,-3.591,28,-3.549,28,0.006
29,-3.403,29,-3.647,29,-3.37,29,-2.619,29,-2.097,29,-3.624,29,-3.57,29,0.001
30,-3.357,30,-3.635,30,-3.389,30,-2.662,30,-2.108,30,-3.624,30,-3.584,30,0.039
31,-3.285,31,-3.595,31,-3.384,31,-2.638,31,-2.053,31,-3.542,31,-3.594,31,-0.146
32,-3.228,32,-3.578,32,-3.41,32,-2.367,32,-1.982,32,-3.548,32,-3.613,32,0.017
33,-3.146,33,-3.546,33,-3.406,33,-2.135,33,-1.922,33,-3.463,33,-3.612,33,0.123
34,-3.082,34,-3.478,34,-3.419,34,-2.375,34,-1.84,34,-3.387,34,-3.635,34,0.048
35,-2.964,35,-3.502,35,-3.424,35,-2.145,35,-1.734,35,-3.43,35,-3.656,35,-0.126
36,-2.897,36,-3.475,36,-3.428,36,-2.741,36,-1.686,36,-3.41,36,-3.658,36,-0.251
37,-2.8,37,-3.285,37,-3.424,37,-2.244,37,-1.656,37,-3.199,37,-3.663,37,-0.032
38,-2.71,38,-3.239,38,-3.405,38,-2.902,38,-1.48,38,-3.158,38,-3.657,38,0.007
39,-2.589,39,-3.168,39,-3.385,39,-2.922,39,-1.377,39,-3.072,39,-3.658,39,-0.179
40,-2.507,40,-3.111,40,-3.444,40,-2.58,40,-1.253,40,-3.051,40,-3.682,40,-0.053
41,-2.413,41,-2.973,41,-3.439,41,-2.887,41,-1.137,41,-2.824,41,-3.687,41,-0.055
42,-2.329,42,-2.888,42,-3.407,42,-3.124,42,-1.099,42,-2.709,42,-3.68,42,-0.223
43,-2.226,43,-2.828,43,-3.388,43,-2.637,43,-0.953,43,-2.64,43,-3.69,43,-0.308
44,-2.11,44,-2.685,44,-3.337,44,-2.684,44,-0.849,44,-2.301,44,-3.674,44,-0.273
45,-2.044,45,-2.643,45,-3.279,45,-2.525,45,-0.847,45,-2.306,45,-3.659,45,-0.213
46,-2.018,46,-2.462,46,-3.244,46,-2.962,46,-0.776,46,-2.036,46,-3.658,46,-0.333
47,-1.968,47,-2.399,47,-3.225,47,-2.414,47,-0.725,47,-1.888,47,-3.653,47,-0.237
48,-1.907,48,-2.283,48,-3.199,48,-2.31,48,-0.624,48,-1.765,48,-3.653,48,-0.198
49,-1.876,49,-2.294,49,-3.168,49,-2.634,49,-0.651,49,-1.62,49,-3.647,49,-0.261
50,-1.896,50,-2.208,50,-3.075,50,-2.677,50,-0.584,50,-1.525,50,-3.622,50,-0.114
51,-1.831,51,-2.09,51,-3.011,51,-2.532,51,-0.583,51,-1.421,51,-3.607,51,-0.44
52,-1.832,52,-2.026,52,-2.966,52,-2.674,52,-0.553,52,-1.182,52,-3.594,52,-0.294
53,-1.767,53,-2.027,53,-2.862,53,-2.487,53,-0.483,53,-1.115,53,-3.565,53,-0.425
54,-1.809,54,-1.976,54,-2.959,54,-2.414,54,-0.484,54,-1.119,54,-3.6,54,-0.337
55,-1.79,55,-1.959,55,-2.825,55,-3.104,55,-0.47,55,-0.912,55,-3.555,55,-0.584
56,-1.741,56,-1.895,56,-2.687,56,-2.89,56,-0.381,56,-0.876,56,-3.521,56,-0.708
57,-1.766,57,-1.809,57,-2.645,57,-2.449,57,-0.457,57,-0.823,57,-3.51,57,-0.446
58,-1.79,58,-1.83,58,-2.482,58,-3.049,58,-0.441,58,-0.75,58,-3.462,58,-0.538
59,-1.76,59,-1.914,59,-2.448,59,-2.544,59,-0.387,59,-0.695,59,-3.451,59,-0.332
60,-1.704,60,-1.833,60,-2.298,60,-2.455,60,-0.377,60,-0.589,60,-3.399,60,-0.286
61,-1.761,61,-1.815,61,-2.281,61,-2.773,61,-0.378,61,-0.621,61,-3.396,61,-0.389
62,-1.749,62,-1.828,62,-2.039,62,-2.386,62,-0.347,62,-0.505,62,-3.298,62,-0.564
63,-1.738,63,-1.819,63,-1.925,63,-2.671,63,-0.387,63,-0.42,63,-3.245,63,-0.615
