Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-3.838,1,-3.906,1,-2.128,1,-1.863,1,-3.858,1,-3.91,1,-2.657,1,-0.724
2,-3.831,2,-3.906,2,-2.693,2,-1.631,2,-3.86,2,-3.91,2,-3.219,2,-0.396
3,-3.831,3,-3.906,3,-2.967,3,-2.803,3,-3.859,3,-3.91,3,-3.476,3,-2.111
4,-3.83,4,-3.905,4,-3.212,4,-2.541,4,-3.857,4,-3.909,4,-3.602,4,-1.735
5,-3.832,5,-3.904,5,-3.347,5,-2.684,5,-3.854,5,-3.909,5,-3.666,5,-1.985
6,-3.827,6,-3.904,6,-3.475,6,-2.774,6,-3.847,6,-3.909,6,-3.737,6,-2.023
7,-3.823,7,-3.904,7,-3.573,7,-3.089,7,-3.842,7,-3.909,7,-3.77,7,-2.448
8,-3.812,8,-3.902,8,-3.6,8,-3.29,8,-3.836,8,-3.908,8,-3.788,8,-2.842
9,-3.81,9,-3.901,9,-3.645,9,-2.641,9,-3.835,9,-3.908,9,-3.796,9,-1.825
10,-3.805,10,-3.9,10,-3.673,10,-3.098,10,-3.828,10,-3.907,10,-3.808,10,-2.567
11,-3.8,11,-3.899,11,-3.701,11,-3.459,11,-3.822,11,-3.906,11,-3.819,11,-3.154
12,-3.794,12,-3.897,12,-3.722,12,-3.293,12,-3.812,12,-3.906,12,-3.824,12,-2.849
13,-3.785,13,-3.895,13,-3.738,13,-3.542,13,-3.804,13,-3.904,13,-3.829,13,-3.275
14,-3.776,14,-3.893,14,-3.754,14,-3.433,14,-3.797,14,-3.903,14,-3.833,14,-3.033
15,-3.77,15,-3.892,15,-3.772,15,-3.418,15,-3.784,15,-3.903,15,-3.838,15,-3.083
16,-3.755,16,-3.888,16,-3.78,16,-3.489,16,-3.777,16,-3.901,16,-3.845,16,-3.281
17,-3.747,17,-3.884,17,-3.793,17,-3.499,17,-3.764,17,-3.9,17,-3.847,17,-3.26
18,-3.733,18,-3.881,18,-3.796,18,-3.455,18,-3.753,18,-3.898,18,-3.852,18,-3.098
19,-3.717,19,-3.877,19,-3.803,19,-3.558,19,-3.741,19,-3.896,19,-3.855,19,-3.409
20,-3.706,20,-3.873,20,-3.811,20,-3.581,20,-3.726,20,-3.895,20,-3.86,20,-3.427
