Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-0.99,1,-3.05,1,-0.85,1,-0.81,1,-0.53,1,-3.21,1,-0.49,1,-0.29
2,-0.95,2,-3.08,2,-0.97,2,-0.8,2,-0.52,2,-3.23,2,-0.66,2,-0.28
3,-0.94,3,-3.01,3,-1.04,3,-0.8,3,-0.5,3,-3.18,3,-0.77,3,-0.28
4,-0.93,4,-2.94,4,-1.13,4,-0.81,4,-0.5,4,-3.09,4,-0.9,4,-0.3
5,-0.92,5,-2.89,5,-1.19,5,-0.82,5,-0.49,5,-3.06,5,-0.99,5,-0.31
6,-0.9,6,-2.78,6,-1.28,6,-0.82,6,-0.47,6,-2.97,6,-1.08,6,-0.32
7,-0.89,7,-2.82,7,-1.35,7,-0.82,7,-0.46,7,-3.0,7,-1.18,7,-0.31
8,-0.89,8,-2.72,8,-1.37,8,-0.83,8,-0.45,8,-2.92,8,-1.22,8,-0.34
9,-0.88,9,-2.72,9,-1.42,9,-0.84,9,-0.45,9,-2.9,9,-1.28,9,-0.35
10,-0.88,10,-2.6,10,-1.47,10,-0.83,10,-0.44,10,-2.82,10,-1.33,10,-0.33
11,-0.88,11,-2.52,11,-1.5,11,-0.84,11,-0.44,11,-2.73,11,-1.37,11,-0.34
12,-0.88,12,-2.46,12,-1.54,12,-0.84,12,-0.44,12,-2.66,12,-1.39,12,-0.37
13,-0.88,13,-2.42,13,-1.54,13,-0.84,13,-0.43,13,-2.62,13,-1.4,13,-0.34
14,-0.87,14,-2.37,14,-1.57,14,-0.82,14,-0.42,14,-2.54,14,-1.44,14,-0.33
15,-0.87,15,-2.29,15,-1.58,15,-0.86,15,-0.42,15,-2.44,15,-1.47,15,-0.39
16,-0.87,16,-2.18,16,-1.58,16,-0.87,16,-0.41,16,-2.36,16,-1.49,16,-0.41
17,-0.87,17,-2.08,17,-1.59,17,-0.85,17,-0.4,17,-2.27,17,-1.52,17,-0.39
18,-0.87,18,-2.02,18,-1.62,18,-0.85,18,-0.4,18,-2.13,18,-1.56,18,-0.39
19,-0.87,19,-1.95,19,-1.61,19,-0.83,19,-0.41,19,-2.07,19,-1.56,19,-0.36
20,-0.87,20,-1.84,20,-1.63,20,-0.87,20,-0.4,20,-1.93,20,-1.62,20,-0.38
21,-0.87,21,-1.7,21,-1.63,21,-0.89,21,-0.4,21,-1.77,21,-1.62,21,-0.44
22,-0.87,22,-1.6,22,-1.63,22,-0.87,22,-0.4,22,-1.69,22,-1.66,22,-0.43
23,-0.86,23,-1.57,23,-1.66,23,-0.87,23,-0.4,23,-1.61,23,-1.7,23,-0.41
24,-0.87,24,-1.5,24,-1.66,24,-0.89,24,-0.41,24,-1.49,24,-1.71,24,-0.44
25,-0.87,25,-1.41,25,-1.68,25,-0.87,25,-0.41,25,-1.42,25,-1.74,25,-0.4
26,-0.87,26,-1.42,26,-1.7,26,-0.83,26,-0.41,26,-1.36,26,-1.76,26,-0.41
27,-0.87,27,-1.29,27,-1.71,27,-0.87,27,-0.41,27,-1.22,27,-1.77,27,-0.39
28,-0.87,28,-1.24,28,-1.74,28,-0.88,28,-0.39,28,-1.16,28,-1.81,28,-0.42
29,-0.87,29,-1.24,29,-1.73,29,-0.87,29,-0.4,29,-1.12,29,-1.83,29,-0.45
30,-0.87,30,-1.15,30,-1.77,30,-0.85,30,-0.4,30,-1.02,30,-1.84,30,-0.43
31,-0.86,31,-1.09,31,-1.78,31,-0.89,31,-0.4,31,-0.95,31,-1.88,31,-0.48
32,-0.87,32,-1.04,32,-1.8,32,-0.88,32,-0.4,32,-0.89,32,-1.89,32,-0.44
33,-0.86,33,-0.97,33,-1.81,33,-0.89,33,-0.39,33,-0.77,33,-1.92,33,-0.47
34,-0.86,34,-0.91,34,-1.79,34,-0.86,34,-0.38,34,-0.71,34,-1.91,34,-0.42
35,-0.86,35,-0.92,35,-1.83,35,-0.9,35,-0.38,35,-0.7,35,-1.95,35,-0.49
36,-0.87,36,-0.88,36,-1.82,36,-0.93,36,-0.39,36,-0.64,36,-1.95,36,-0.51
37,-0.86,37,-0.86,37,-1.84,37,-0.91,37,-0.39,37,-0.6,37,-1.98,37,-0.51
38,-0.86,38,-0.84,38,-1.86,38,-0.84,38,-0.39,38,-0.58,38,-1.99,38,-0.43
39,-0.86,39,-0.8,39,-1.88,39,-0.86,39,-0.39,39,-0.54,39,-2.03,39,-0.41
40,-0.87,40,-0.8,40,-1.9,40,-0.9,40,-0.39,40,-0.54,40,-2.06,40,-0.47
41,-0.86,41,-0.79,41,-1.91,41,-0.9,41,-0.37,41,-0.51,41,-2.08,41,-0.47
42,-0.86,42,-0.79,42,-1.95,42,-0.92,42,-0.37,42,-0.48,42,-2.11,42,-0.51
43,-0.86,43,-0.78,43,-1.97,43,-0.88,43,-0.37,43,-0.44,43,-2.15,43,-0.45
