Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-3.085,1,-3.547,1,-1.084,1,-1.194,1,-2.797,1,-3.46,1,-0.81,1,0.184
2,-2.891,2,-3.413,2,-1.313,2,-1.011,2,-2.415,2,-3.24,2,-1.147,2,0.193
3,-2.68,3,-2.636,3,-1.425,3,-1.008,3,-2.278,3,-2.265,3,-1.353,3,0.158
4,-2.414,4,-2.052,4,-1.551,4,-1.003,4,-1.992,4,-2.326,4,-1.539,4,0.055
5,-2.154,5,-1.691,5,-1.65,5,-1.169,5,-1.794,5,-2.398,5,-1.693,5,0.104
6,-1.945,6,-1.835,6,-1.749,6,-1.032,6,-1.613,6,-2.56,6,-1.82,6,0.09
7,-1.78,7,-2.024,7,-1.861,7,-1.185,7,-1.485,7,-2.552,7,-1.922,7,0.053
8,-1.643,8,-2.183,8,-1.995,8,-1.179,8,-1.316,8,-2.513,8,-2.066,8,-0.039
9,-1.54,9,-2.244,9,-2.099,9,-1.019,9,-1.203,9,-2.431,9,-2.186,9,-0.008
10,-1.464,10,-2.082,10,-2.201,10,-1.055,10,-1.093,10,-2.255,10,-2.303,10,0.004
11,-1.373,11,-2.055,11,-2.264,11,-1.381,11,-1.047,11,-2.175,11,-2.382,11,0.053
12,-1.314,12,-2.002,12,-2.35,12,-1.016,12,-0.905,12,-2.061,12,-2.467,12,0.003
13,-1.27,13,-1.806,13,-2.499,13,-1.058,13,-0.915,13,-1.847,13,-2.599,13,-0.021
14,-1.215,14,-1.828,14,-2.61,14,-1.108,14,-0.828,14,-1.967,14,-2.686,14,-0.074
15,-1.167,15,-1.913,15,-2.667,15,-1.16,15,-0.722,15,-2.125,15,-2.744,15,-0.06
16,-1.144,16,-2.033,16,-2.783,16,-1.231,16,-0.619,16,-2.226,16,-2.849,16,-0.039
17,-1.109,17,-1.988,17,-2.84,17,-1.076,17,-0.601,17,-2.094,17,-2.904,17,-0.034
18,-1.097,18,-2.022,18,-2.887,18,-1.166,18,-0.577,18,-2.239,18,-2.957,18,-0.101
19,-1.071,19,-2.05,19,-2.964,19,-1.071,19,-0.511,19,-2.204,19,-2.987,19,-0.056
20,-1.063,20,-1.984,20,-3.035,20,-1.202,20,-0.508,20,-2.12,20,-3.097,20,-0.301
21,-1.038,21,-1.908,21,-3.101,21,-1.199,21,-0.494,21,-2.057,21,-3.142,21,-0.11
22,-1.027,22,-1.848,22,-3.143,22,-1.127,22,-0.399,22,-1.986,22,-3.185,22,-0.126
23,-1.024,23,-1.761,23,-3.205,23,-1.115,23,-0.368,23,-1.891,23,-3.258,23,-0.124
24,-1.007,24,-1.651,24,-3.268,24,-1.395,24,-0.346,24,-1.77,24,-3.31,24,-0.225
25,-1.009,25,-1.542,25,-3.295,25,-1.118,25,-0.308,25,-1.649,25,-3.327,25,-0.222
26,-1.03,26,-1.502,26,-3.351,26,-1.323,26,-0.348,26,-1.573,26,-3.37,26,-0.179
27,-1.0,27,-1.348,27,-3.392,27,-1.366,27,-0.342,27,-1.473,27,-3.41,27,-0.065
28,-0.993,28,-1.326,28,-3.421,28,-1.439,28,-0.333,28,-1.395,28,-3.435,28,-0.197
29,-1.003,29,-1.24,29,-3.446,29,-1.338,29,-0.311,29,-1.281,29,-3.455,29,-0.299
30,-0.998,30,-1.175,30,-3.462,30,-1.371,30,-0.318,30,-1.231,30,-3.472,30,-0.284
31,-0.988,31,-1.143,31,-3.51,31,-1.37,31,-0.294,31,-1.138,31,-3.526,31,-0.294
32,-0.998,32,-1.107,32,-3.521,32,-1.149,32,-0.305,32,-1.069,32,-3.514,32,-0.24
33,-0.985,33,-1.1,33,-3.529,33,-1.366,33,-0.248,33,-0.992,33,-3.526,33,-0.207
34,-0.994,34,-1.047,34,-3.59,34,-1.328,34,-0.221,34,-0.978,34,-3.583,34,-0.131
35,-1.007,35,-1.033,35,-3.601,35,-1.411,35,-0.221,35,-0.916,35,-3.596,35,-0.138
36,-1.003,36,-1.026,36,-3.629,36,-1.44,36,-0.219,36,-0.898,36,-3.623,36,-0.325
37,-0.996,37,-1.02,37,-3.647,37,-1.235,37,-0.155,37,-0.855,37,-3.624,37,-0.168
38,-0.998,38,-1.002,38,-3.639,38,-1.407,38,-0.156,38,-0.837,38,-3.62,38,-0.274
39,-0.992,39,-1.01,39,-3.669,39,-1.236,39,-0.126,39,-0.784,39,-3.658,39,-0.259
40,-0.993,40,-0.997,40,-3.675,40,-1.448,40,-0.121,40,-0.743,40,-3.666,40,-0.231
41,-0.993,41,-0.981,41,-3.682,41,-1.333,41,-0.088,41,-0.743,41,-3.668,41,-0.338
42,-0.996,42,-0.991,42,-3.665,42,-1.356,42,-0.113,42,-0.678,42,-3.651,42,-0.315
43,-1.004,43,-1.017,43,-3.682,43,-1.396,43,-0.155,43,-0.71,43,-3.655,43,-0.335
44,-1.004,44,-0.98,44,-3.693,44,-1.232,44,-0.109,44,-0.606,44,-3.676,44,-0.346
45,-0.985,45,-0.975,45,-3.697,45,-1.409,45,-0.053,45,-0.633,45,-3.679,45,-0.195
46,-0.996,46,-0.985,46,-3.703,46,-1.2,46,-0.099,46,-0.566,46,-3.682,46,-0.396
47,-1.004,47,-1.002,47,-3.699,47,-1.319,47,-0.037,47,-0.533,47,-3.678,47,-0.427
48,-1.002,48,-1.003,48,-3.7,48,-1.372,48,-0.033,48,-0.495,48,-3.665,48,-0.577
49,-0.994,49,-0.993,49,-3.66,49,-1.505,49,-0.037,49,-0.449,49,-3.636,49,-0.465
50,-1.002,50,-1.005,50,-3.619,50,-1.157,50,-0.045,50,-0.436,50,-3.597,50,-0.372
51,-1.005,51,-0.986,51,-3.658,51,-1.331,51,-0.04,51,-0.409,51,-3.634,51,-0.35
52,-1.014,52,-0.986,52,-3.612,52,-1.484,52,-0.027,52,-0.413,52,-3.596,52,-0.307
53,-1.005,53,-0.977,53,-3.733,53,-1.366,53,-0.027,53,-0.416,53,-3.715,53,-0.48
