Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-1.986,1,-3.556,1,-1.106,1,-1.069,1,-2.607,1,-3.732,1,-1.776,1,-0.106
2,-1.908,2,-3.519,2,-1.2,2,-1.057,2,-2.567,2,-3.721,2,-2.083,2,-0.385
3,-1.85,3,-3.535,3,-1.291,3,-1.074,3,-2.699,3,-3.728,3,-2.241,3,-0.329
4,-1.761,4,-3.535,4,-1.412,4,-1.069,4,-2.635,4,-3.723,4,-2.43,4,-0.419
5,-1.676,5,-3.495,5,-1.461,5,-1.059,5,-2.6,5,-3.711,5,-2.511,5,-0.497
6,-1.647,6,-3.457,6,-1.509,6,-1.089,6,-2.537,6,-3.7,6,-2.617,6,-0.586
7,-1.533,7,-3.43,7,-1.576,7,-1.126,7,-2.485,7,-3.693,7,-2.643,7,-0.584
8,-1.485,8,-3.408,8,-1.63,8,-1.095,8,-2.357,8,-3.686,8,-2.76,8,-0.695
9,-1.421,9,-3.351,9,-1.695,9,-1.039,9,-2.249,9,-3.67,9,-2.822,9,-0.586
10,-1.368,10,-3.251,10,-1.839,10,-1.069,10,-2.113,10,-3.64,10,-2.927,10,-0.553
11,-1.247,11,-3.197,11,-1.903,11,-1.05,11,-2.035,11,-3.631,11,-2.99,11,-0.606
12,-1.239,12,-3.171,12,-1.946,12,-1.125,12,-1.868,12,-3.606,12,-3.012,12,-0.847
13,-1.22,13,-2.989,13,-2.105,13,-1.087,13,-1.89,13,-3.559,13,-3.105,13,-0.78
14,-1.196,14,-2.933,14,-2.167,14,-1.095,14,-1.803,14,-3.524,14,-3.133,14,-0.708
15,-1.188,15,-2.781,15,-2.238,15,-1.09,15,-1.656,15,-3.459,15,-3.182,15,-0.763
16,-1.169,16,-2.691,16,-2.293,16,-1.065,16,-1.496,16,-3.411,16,-3.232,16,-0.81
17,-1.139,17,-2.503,17,-2.407,17,-1.121,17,-1.488,17,-3.359,17,-3.282,17,-0.977
18,-1.122,18,-2.324,18,-2.429,18,-1.132,18,-1.437,18,-3.276,18,-3.286,18,-0.959
19,-1.107,19,-2.108,19,-2.484,19,-1.075,19,-1.364,19,-3.157,19,-3.313,19,-0.811
20,-1.099,20,-1.966,20,-2.516,20,-1.091,20,-1.357,20,-3.053,20,-3.354,20,-1.07
21,-1.096,21,-1.877,21,-2.591,21,-1.125,21,-1.341,21,-2.989,21,-3.38,21,-1.056
22,-1.072,22,-1.689,22,-2.674,22,-1.172,22,-1.2,22,-2.862,22,-3.407,22,-1.242
23,-1.058,23,-1.546,23,-2.725,23,-1.163,23,-1.097,23,-2.748,23,-3.428,23,-1.14
24,-1.057,24,-1.474,24,-2.803,24,-1.086,24,-1.096,24,-2.647,24,-3.461,24,-1.055
25,-1.072,25,-1.414,25,-2.843,25,-1.06,25,-1.039,25,-2.636,25,-3.48,25,-0.949
