Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
1,-1.4377,1,-3.2939,1,-1.5742,1,-1.674,1,-1.8052,1,-3.3004,1,-1.7088,1,-1.1196
2,-1.4106,2,-3.2904,2,-1.8681,2,-1.7198,2,-1.5893,2,-3.304,2,-1.9752,2,-0.98312
3,-1.4814,3,-3.284,3,-1.9088,3,-1.6659,3,-1.6793,3,-3.2852,3,-2.1795,3,-1.0952
4,-1.4775,4,-3.2499,4,-2.0172,4,-1.6087,4,-1.7812,4,-3.259,4,-2.1772,4,-1.1999
5,-1.5009,5,-3.2417,5,-2.0474,5,-1.6643,5,-1.9142,5,-3.2376,5,-2.3202,5,-1.3715
6,-1.5787,6,-3.2123,6,-2.1543,6,-1.705,6,-1.876,6,-3.2177,6,-2.3753,6,-1.0774
7,-1.6182,7,-3.1875,7,-2.1104,7,-1.6737,7,-1.9271,7,-3.2058,7,-2.3899,7,-1.316
8,-1.5637,8,-3.1639,8,-2.252,8,-1.7435,8,-1.8174,8,-3.1725,8,-2.5003,8,-1.3784
9,-1.5402,9,-3.1216,9,-2.3183,9,-1.7507,9,-1.8172,9,-3.1285,9,-2.5036,9,-1.3151
10,-1.6848,10,-3.1148,10,-2.4484,10,-1.678,10,-1.8957,10,-3.1345,10,-2.5951,10,-1.3145
11,-1.7075,11,-3.0667,11,-2.462,11,-1.8211,11,-1.8733,11,-3.0864,11,-2.6407,11,-1.5786
12,-1.5488,12,-3.0534,12,-2.5084,12,-1.581,12,-1.5962,12,-3.0555,12,-2.6417,12,-1.1963
13,-1.6081,13,-2.9687,13,-2.6047,13,-1.787,13,-1.6325,13,-2.9896,13,-2.7107,13,-1.3969
14,-1.5491,14,-2.8928,14,-2.64,14,-1.7784,14,-1.7942,14,-2.9435,14,-2.7514,14,-1.5544
15,-1.576,15,-2.8565,15,-2.6636,15,-1.6665,15,-1.7033,15,-2.9056,15,-2.7984,15,-1.3696
16,-1.5512,16,-2.7568,16,-2.706,16,-1.6639,16,-1.4129,16,-2.8272,16,-2.8411,16,-1.4843
17,-1.5734,17,-2.6898,17,-2.7436,17,-1.7015,17,-1.5884,17,-2.7719,17,-2.888,17,-1.3353
18,-1.6434,18,-2.5965,18,-2.7472,18,-1.899,18,-1.497,18,-2.7182,18,-2.8578,18,-1.6599
19,-1.7274,19,-2.4675,19,-2.7781,19,-1.9044,19,-1.5996,19,-2.6181,19,-2.8952,19,-1.5955
20,-1.6641,20,-2.5082,20,-2.7997,20,-1.8216,20,-1.6796,20,-2.6202,20,-2.885,20,-1.7852
21,-1.665,21,-2.2103,21,-2.8522,21,-1.7478,21,-1.5787,21,-2.5322,21,-2.9081,21,-1.6052
22,-1.6414,22,-2.3619,22,-2.8618,22,-1.8425,22,-1.5832,22,-2.5068,22,-2.9541,22,-1.7056
23,-1.6113,23,-2.0965,23,-2.8785,23,-1.9356,23,-1.5595,23,-2.5199,23,-2.9549,23,-1.6302
24,-1.6297,24,-1.9451,24,-2.8672,24,-1.9739,24,-1.4403,24,-2.2895,24,-2.9625,24,-1.8034
25,-1.6871,25,-1.9611,25,-2.9093,25,-1.7996,25,-1.3526,25,-2.2106,25,-2.9876,25,-1.7626
26,-1.7054,26,-1.9492,26,-2.9112,26,-1.9913,26,-1.5111,26,-2.3572,26,-3.015,26,-1.826
27,-1.6386,27,-1.9388,27,-2.9509,27,-1.7782,27,-1.3763,27,-2.1616,27,-3.016,27,-1.5027
28,-1.703,28,-1.9672,28,-2.9758,28,-1.9404,28,-1.4175,28,-2.1293,28,-3.0321,28,-1.6935
29,-1.7033,29,-1.9643,29,-2.973,29,-1.8488,29,-1.4285,29,-2.2363,29,-3.0234,29,-1.7264
30,-1.6348,30,-1.7857,30,-2.9881,30,-1.9381,30,-1.4901,30,-2.0651,30,-3.0498,30,-1.7425
31,-1.6576,31,-1.872,31,-3.0347,31,-1.8299,31,-1.5071,31,-2.2156,31,-3.0689,31,-1.8147
32,-1.5884,32,-1.6544,32,-3.0221,32,-1.8469,32,-1.3747,32,-1.9744,32,-3.04,32,-1.7164
33,-1.6332,33,-1.7086,33,-3.028,33,-1.9166,33,-1.4371,33,-1.9399,33,-3.0558,33,-1.7454
34,-1.6282,34,-1.7342,34,-3.0497,34,-1.8528,34,-1.5455,34,-1.9591,34,-3.0804,34,-1.7422
35,-1.6524,35,-1.7056,35,-3.0446,35,-1.883,35,-1.3499,35,-1.9442,35,-3.081,35,-1.9453
36,-1.6206,36,-1.7051,36,-3.063,36,-1.9242,36,-1.4374,36,-1.8553,36,-3.0973,36,-2.0016
37,-1.6415,37,-1.5921,37,-3.0756,37,-1.826,37,-1.1013,37,-1.8597,37,-3.1076,37,-1.7117
38,-1.6437,38,-1.6385,38,-3.0957,38,-1.8541,38,-1.2954,38,-1.8447,38,-3.1222,38,-1.8137
