Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-3.608,1,-3.612,1,-0.952,1,-1.033,1,-3.607,1,-3.612,1,-0.584,1,0.188
2,-3.598,2,-3.612,2,-1.256,2,-1.02,2,-3.594,2,-3.612,2,-1.049,2,0.159
3,-3.566,3,-3.612,3,-1.627,3,-0.892,3,-3.548,3,-3.612,3,-1.429,3,0.2
4,-3.454,4,-3.607,4,-1.805,4,-1.551,4,-3.394,4,-3.597,4,-1.651,4,0.184
5,-3.028,5,-3.545,5,-2.082,5,-1.199,5,-2.771,5,-3.467,5,-1.857,5,0.201
6,-2.363,6,-1.262,6,-2.393,6,-0.98,6,-1.936,6,-0.794,6,-2.083,6,0.188
7,-1.966,7,-0.199,7,-2.567,7,-0.485,7,-1.496,7,-0.178,7,-2.253,7,0.202
8,-1.696,8,-0.151,8,-2.71,8,-0.878,8,-1.263,8,-0.151,8,-2.28,8,0.199
9,-1.596,9,-0.153,9,-2.857,9,-2.765,9,-1.059,9,-0.17,9,-2.393,9,0.17
10,-1.448,10,-0.231,10,-2.999,10,-0.958,10,-0.854,10,-0.365,10,-2.561,10,0.185
11,-1.404,11,-0.585,11,-3.143,11,-0.923,11,-0.656,11,-1.187,11,-2.709,11,0.146
12,-1.31,12,-2.609,12,-3.055,12,-1.057,12,-0.6,12,-3.373,12,-2.647,12,0.186
13,-1.275,13,-3.594,13,-3.15,13,-1.532,13,-0.555,13,-3.786,13,-2.815,13,0.085
14,-1.251,14,-3.823,14,-3.05,14,-0.681,14,-0.498,14,-3.869,14,-2.772,14,0.136
15,-1.235,15,-3.874,15,-3.091,15,-1.092,15,-0.465,15,-3.891,15,-2.93,15,0.18
16,-1.223,16,-3.885,16,-3.196,16,-1.412,16,-0.43,16,-3.895,16,-3.064,16,0.167
17,-1.197,17,-3.872,17,-3.181,17,-2.242,17,-0.429,17,-3.878,17,-3.077,17,0.159
18,-1.17,18,-3.858,18,-3.161,18,-1.154,18,-0.397,18,-3.863,18,-3.123,18,0.153
19,-1.128,19,-3.847,19,-3.146,19,-0.746,19,-0.409,19,-3.854,19,-3.17,19,0.13
20,-1.081,20,-3.84,20,-3.155,20,-0.915,20,-0.351,20,-3.845,20,-3.202,20,0.174
21,-1.017,21,-3.802,21,-3.187,21,-1.388,21,-0.348,21,-3.809,21,-3.267,21,0.102
22,-0.95,22,-3.803,22,-3.179,22,-2.014,22,-0.326,22,-3.812,22,-3.297,22,0.133
23,-0.911,23,-3.762,23,-3.225,23,-1.439,23,-0.279,23,-3.775,23,-3.355,23,0.033
24,-0.861,24,-3.761,24,-3.19,24,-0.938,24,-0.25,24,-3.778,24,-3.347,24,-0.034
25,-0.798,25,-3.763,25,-3.188,25,-2.588,25,-0.215,25,-3.775,25,-3.363,25,0.077
26,-0.785,26,-3.818,26,-3.188,26,-1.159,26,-0.212,26,-3.817,26,-3.388,26,-0.316
27,-0.8,27,-3.814,27,-3.227,27,-1.225,27,-0.185,27,-3.812,27,-3.422,27,0.136
28,-0.786,28,-3.873,28,-3.187,28,-1.371,28,-0.157,28,-3.868,28,-3.408,28,-0.168
29,-0.787,29,-3.89,29,-3.214,29,-1.223,29,-0.165,29,-3.88,29,-3.432,29,-0.073
30,-0.78,30,-3.915,30,-3.199,30,-1.28,30,-0.126,30,-3.906,30,-3.43,30,-0.149
31,-0.772,31,-3.931,31,-3.239,31,-1.173,31,-0.121,31,-3.923,31,-3.457,31,-0.292
32,-0.771,32,-3.906,32,-3.209,32,-1.219,32,-0.123,32,-3.896,32,-3.439,32,-0.21
33,-0.764,33,-3.905,33,-3.205,33,-1.298,33,-0.114,33,-3.893,33,-3.448,33,-0.061
34,-0.769,34,-3.884,34,-3.182,34,-1.007,34,-0.076,34,-3.872,34,-3.441,34,-0.197
35,-0.764,35,-3.876,35,-3.198,35,-1.458,35,-0.084,35,-3.864,35,-3.455,35,-0.221
36,-0.771,36,-3.859,36,-3.186,36,-1.489,36,-0.074,36,-3.852,36,-3.447,36,-0.275
37,-0.77,37,-3.796,37,-3.126,37,-1.217,37,-0.049,37,-3.796,37,-3.413,37,-0.39
38,-0.76,38,-3.748,38,-3.089,38,-1.571,38,-0.059,38,-3.751,38,-3.387,38,-0.236
39,-0.761,39,-3.687,39,-3.107,39,-1.209,39,-0.042,39,-3.693,39,-3.398,39,-0.254
40,-0.761,40,-3.589,40,-3.072,40,-1.199,40,-0.044,40,-3.609,40,-3.374,40,-0.543
41,-0.753,41,-3.473,41,-3.081,41,-2.186,41,-0.042,41,-3.513,41,-3.384,41,-0.581
42,-0.754,42,-3.291,42,-3.027,42,-1.373,42,-0.043,42,-3.321,42,-3.344,42,-0.541
43,-0.753,43,-3.113,43,-3.018,43,-1.067,43,-0.037,43,-3.224,43,-3.349,43,-0.252
44,-0.767,44,-3.088,44,-2.987,44,-1.771,44,-0.039,44,-3.068,44,-3.328,44,-1.017
45,-0.762,45,-2.835,45,-2.946,45,-1.638,45,-0.044,45,-2.823,45,-3.288,45,-0.696
46,-0.759,46,-2.615,46,-2.874,46,-1.483,46,-0.026,46,-2.593,46,-3.252,46,-0.761
47,-0.752,47,-2.416,47,-2.846,47,-1.449,47,-0.025,47,-2.438,47,-3.238,47,-0.474
48,-0.757,48,-2.169,48,-2.779,48,-1.642,48,-0.007,48,-2.142,48,-3.181,48,-0.466
49,-0.758,49,-2.045,49,-2.784,49,-1.777,49,-0.0,49,-1.986,49,-3.194,49,-0.908
50,-0.757,50,-1.835,50,-2.694,50,-1.562,50,-0.004,50,-1.848,50,-3.136,50,-0.47
51,-0.758,51,-1.698,51,-2.69,51,-1.587,51,0.003,51,-1.617,51,-3.135,51,-0.717
52,-0.749,52,-1.599,52,-2.579,52,-1.504,52,-0.008,52,-1.46,52,-3.072,52,-0.785
53,-0.751,53,-1.465,53,-2.484,53,-1.895,53,-0.001,53,-1.409,53,-3.002,53,-0.53
54,-0.741,54,-1.478,54,-2.415,54,-1.491,54,-0.007,54,-1.249,54,-2.938,54,-0.96
55,-0.744,55,-1.346,55,-2.34,55,-1.71,55,0.004,55,-1.04,55,-2.865,55,-1.122
56,-0.747,56,-1.256,56,-2.294,56,-1.497,56,0.013,56,-0.977,56,-2.858,56,-0.944
57,-0.755,57,-1.205,57,-2.226,57,-2.082,57,0.007,57,-0.878,57,-2.802,57,-1.277
58,-0.757,58,-1.156,58,-2.152,58,-1.803,58,0.025,58,-0.737,58,-2.737,58,-0.817
59,-0.749,59,-1.088,59,-1.987,59,-1.451,59,0.014,59,-0.691,59,-2.6,59,-1.038
60,-0.759,60,-1.047,60,-1.906,60,-1.756,60,0.021,60,-0.647,60,-2.548,60,-1.252
61,-0.759,61,-0.993,61,-1.817,61,-2.088,61,0.032,61,-0.556,61,-2.464,61,-1.219
62,-0.752,62,-0.972,62,-1.755,62,-1.653,62,0.033,62,-0.507,62,-2.424,62,-1.209
63,-0.752,63,-0.906,63,-1.616,63,-1.78,63,0.027,63,-0.411,63,-2.27,63,-1.015
64,-0.757,64,-0.847,64,-1.525,64,-1.686,64,0.034,64,-0.315,64,-2.201,64,-1.435
65,-0.75,65,-0.806,65,-1.417,65,-1.585,65,0.043,65,-0.25,65,-2.085,65,-1.201
66,-0.74,66,-0.795,66,-1.327,66,-1.838,66,0.021,66,-0.188,66,-1.987,66,-1.304
67,-0.75,67,-0.787,67,-1.314,67,-1.745,67,0.038,67,-0.159,67,-1.985,67,-1.479
68,-0.749,68,-0.765,68,-1.202,68,-1.741,68,0.039,68,-0.126,68,-1.844,68,-1.148
69,-0.752,69,-0.782,69,-1.152,69,-2.053,69,0.044,69,-0.1,69,-1.77,69,-1.665
70,-0.749,70,-0.747,70,-1.041,70,-1.705,70,0.071,70,-0.085,70,-1.618,70,-1.446
71,-0.754,71,-0.758,71,-0.959,71,-1.595,71,0.045,71,-0.072,71,-1.515,71,-1.318
72,-0.746,72,-0.746,72,-0.9,72,-1.843,72,0.066,72,-0.044,72,-1.418,72,-1.344
73,-0.748,73,-0.763,73,-0.828,73,-1.914,73,0.054,73,-0.052,73,-1.332,73,-1.335
74,-0.759,74,-0.757,74,-0.732,74,-1.817,74,0.049,74,-0.039,74,-1.182,74,-1.529
75,-0.749,75,-0.771,75,-0.644,75,-1.795,75,0.091,75,-0.015,75,-1.058,75,-1.291
76,-0.759,76,-0.769,76,-0.595,76,-1.633,76,0.094,76,-0.009,76,-0.977,76,-1.13
77,-0.759,77,-0.773,77,-0.55,77,-1.758,77,0.088,77,-0.005,77,-0.902,77,-1.653
78,-0.756,78,-0.768,78,-0.509,78,-2.227,78,0.062,78,0.002,78,-0.838,78,-1.94
