Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-3.384,1,-3.888,1,-1.021,1,-1.661,1,-3.658,1,-3.906,1,-1.96,1,-0.766
2,-3.345,2,-3.885,2,-1.342,2,-1.065,2,-3.615,2,-3.905,2,-2.574,2,-0.653
3,-3.277,3,-3.887,3,-1.647,3,-1.645,3,-3.524,3,-3.905,3,-2.973,3,-1.674
4,-3.193,4,-3.885,4,-2.036,4,-1.151,4,-3.507,4,-3.905,4,-3.208,4,-0.949
5,-3.053,5,-3.889,5,-2.273,5,-2.971,5,-3.497,5,-3.906,5,-3.339,5,-2.789
6,-2.943,6,-3.885,6,-2.58,6,-3.009,6,-3.451,6,-3.905,6,-3.446,6,-2.888
7,-2.787,7,-3.883,7,-2.795,7,-3.318,7,-3.358,7,-3.904,7,-3.538,7,-3.431
8,-2.645,8,-3.885,8,-2.937,8,-2.537,8,-3.281,8,-3.905,8,-3.572,8,-2.713
9,-2.462,9,-3.886,9,-3.099,9,-3.319,9,-3.166,9,-3.906,9,-3.628,9,-3.436
10,-2.227,10,-3.887,10,-3.178,10,-3.064,10,-3.035,10,-3.906,10,-3.655,10,-3.211
11,-1.999,11,-3.884,11,-3.301,11,-2.821,11,-2.804,11,-3.905,11,-3.692,11,-3.11
12,-1.853,12,-3.882,12,-3.396,12,-2.299,12,-2.654,12,-3.905,12,-3.717,12,-2.568
13,-1.72,13,-3.88,13,-3.438,13,-1.324,13,-2.529,13,-3.904,13,-3.74,13,-1.677
14,-1.548,14,-3.883,14,-3.472,14,-3.031,14,-2.331,14,-3.905,14,-3.748,14,-3.325
15,-1.429,15,-3.878,15,-3.543,15,-3.574,15,-2.154,15,-3.904,15,-3.77,15,-3.681
16,-1.345,16,-3.875,16,-3.575,16,-3.66,16,-2.0,16,-3.904,16,-3.78,16,-3.693
17,-1.244,17,-3.869,17,-3.612,17,-3.275,17,-1.855,17,-3.903,17,-3.792,17,-3.396
18,-1.212,18,-3.864,18,-3.647,18,-3.55,18,-1.71,18,-3.902,18,-3.8,18,-3.693
19,-1.138,19,-3.862,19,-3.663,19,-3.581,19,-1.643,19,-3.901,19,-3.809,19,-3.737
20,-1.104,20,-3.856,20,-3.682,20,-3.648,20,-1.479,20,-3.901,20,-3.812,20,-3.702
21,-1.033,21,-3.852,21,-3.7,21,-3.248,21,-1.402,21,-3.899,21,-3.823,21,-3.476
22,-0.997,22,-3.849,22,-3.713,22,-3.397,22,-1.353,22,-3.898,22,-3.827,22,-3.596
23,-0.97,23,-3.836,23,-3.747,23,-3.627,23,-1.236,23,-3.896,23,-3.836,23,-3.775
24,-0.96,24,-3.829,24,-3.75,24,-3.621,24,-1.156,24,-3.895,24,-3.837,24,-3.766
25,-0.926,25,-3.813,25,-3.758,25,-3.612,25,-1.059,25,-3.892,25,-3.84,25,-3.729
26,-0.911,26,-3.796,26,-3.771,26,-3.317,26,-1.045,26,-3.889,26,-3.844,26,-3.518
27,-0.885,27,-3.794,27,-3.772,27,-3.153,27,-0.953,27,-3.888,27,-3.846,27,-3.576
28,-0.89,28,-3.766,28,-3.773,28,-3.626,28,-0.921,28,-3.883,28,-3.847,28,-3.751
29,-0.872,29,-3.751,29,-3.78,29,-3.573,29,-0.945,29,-3.879,29,-3.85,29,-3.751
30,-0.882,30,-3.734,30,-3.783,30,-3.745,30,-0.797,30,-3.875,30,-3.852,30,-3.834
31,-0.893,31,-3.702,31,-3.789,31,-3.594,31,-0.816,31,-3.869,31,-3.855,31,-3.747
32,-0.845,32,-3.68,32,-3.789,32,-3.712,32,-0.826,32,-3.865,32,-3.857,32,-3.802
33,-0.825,33,-3.637,33,-3.796,33,-3.712,33,-0.795,33,-3.857,33,-3.861,33,-3.795
34,-0.851,34,-3.607,34,-3.794,34,-3.758,34,-0.672,34,-3.85,34,-3.861,34,-3.844
35,-0.846,35,-3.543,35,-3.806,35,-3.777,35,-0.72,35,-3.838,35,-3.865,35,-3.854
36,-0.849,36,-3.525,36,-3.807,36,-3.718,36,-0.654,36,-3.83,36,-3.865,36,-3.816
