Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
1,-2.3646,1,-3.3926,1,-1.0206,1,-0.7511,1,-2.3729,1,-3.3884,1,-1.1283,1,-0.19849
2,-2.3085,2,-3.388,2,-1.7954,2,-0.75764,2,-2.2802,2,-3.3864,2,-1.8216,2,-0.36219
3,-2.1338,3,-3.3884,3,-2.1181,3,-0.80206,3,-2.1739,3,-3.3884,3,-2.239,3,-0.52701
4,-1.9238,4,-3.3873,4,-2.2741,4,-0.77083,4,-2.0042,4,-3.3846,4,-2.3349,4,-0.5397
5,-1.708,5,-3.3892,5,-2.4599,5,-0.85358,5,-1.8989,5,-3.3869,5,-2.5345,5,-0.41164
6,-1.575,6,-3.3866,6,-2.5552,6,-0.96174,6,-1.7821,6,-3.3861,6,-2.6501,6,-0.63975
7,-1.5413,7,-3.3848,7,-2.6543,7,-1.0644,7,-1.6329,7,-3.3831,7,-2.6796,7,-1.0115
8,-1.3348,8,-3.3808,8,-2.7011,8,-1.1045,8,-1.4383,8,-3.3779,8,-2.7218,8,-0.71777
9,-1.2316,9,-3.3778,9,-2.7809,9,-1.0526,9,-1.3209,9,-3.3788,9,-2.8206,9,-0.76701
10,-1.0245,10,-3.3751,10,-2.8079,10,-1.1059,10,-1.2128,10,-3.3775,10,-2.8179,10,-0.83914
11,-0.9448,11,-3.3773,11,-2.8265,11,-2.2178,11,-1.1075,11,-3.3789,11,-2.8603,11,-2.1104
12,-0.91213,12,-3.3756,12,-2.9098,12,-1.1915,12,-0.91799,12,-3.3739,12,-2.8864,12,-1.0139
13,-0.84473,13,-3.3726,13,-2.9466,13,-1.0194,13,-0.92139,13,-3.3745,13,-2.9542,13,-0.85947
14,-0.82738,14,-3.3636,14,-2.9651,14,-1.6124,14,-0.80799,14,-3.3652,14,-2.9824,14,-1.3612
15,-0.77328,15,-3.3613,15,-2.9895,15,-2.1058,15,-0.87749,15,-3.3611,15,-2.9897,15,-2.1793
16,-0.78432,16,-3.3589,16,-3.0175,16,-1.7964,16,-0.75876,16,-3.3546,16,-3.0276,16,-1.4255
17,-0.80486,17,-3.3498,17,-3.0325,17,-1.6196,17,-0.77139,17,-3.3475,17,-3.0321,17,-1.6018
18,-0.72996,18,-3.3505,18,-3.0239,18,-1.7829,18,-0.63854,18,-3.3498,18,-3.0338,18,-1.459
19,-0.71761,19,-3.3459,19,-3.0454,19,-1.6186,19,-0.73123,19,-3.344,19,-3.0499,19,-1.4822
20,-0.70254,20,-3.3376,20,-3.063,20,-1.9136,20,-0.60204,20,-3.3403,20,-3.0654,20,-1.9508
21,-0.69269,21,-3.331,21,-3.0756,21,-2.5211,21,-0.61423,21,-3.3263,21,-3.0898,21,-2.4703
22,-0.76413,22,-3.3254,22,-3.1061,22,-2.1069,22,-0.54005,22,-3.3217,22,-3.1008,22,-2.0442
23,-0.71608,23,-3.314,23,-3.1407,23,-2.5713,23,-0.57223,23,-3.3124,23,-3.1444,23,-2.5859
24,-0.72912,24,-3.3108,24,-3.1326,24,-2.1283,24,-0.49657,24,-3.3074,24,-3.1198,24,-2.2051
25,-0.74243,25,-3.2994,25,-3.1397,25,-1.8831,25,-0.47395,25,-3.2958,25,-3.1397,25,-1.6464
26,-0.77131,26,-3.2857,26,-3.1287,26,-2.4517,26,-0.51311,26,-3.2823,26,-3.1292,26,-2.4501
27,-0.72292,27,-3.2794,27,-3.133,27,-2.1274,27,-0.52749,27,-3.2771,27,-3.1293,27,-1.826
28,-0.70371,28,-3.2867,28,-3.1539,28,-2.6695,28,-0.46817,28,-3.2782,28,-3.1591,28,-2.5128
29,-0.70222,29,-3.2616,29,-3.1437,29,-2.4499,29,-0.47433,29,-3.2678,29,-3.1545,29,-2.4488
30,-0.67751,30,-3.2586,30,-3.1543,30,-2.3465,30,-0.48455,30,-3.2549,30,-3.1526,30,-2.3633
31,-0.68154,31,-3.2307,31,-3.1699,31,-2.7034,31,-0.50409,31,-3.2286,31,-3.1737,31,-2.7534
32,-0.69226,32,-3.2413,32,-3.1746,32,-2.5354,32,-0.52455,32,-3.2315,32,-3.1879,32,-2.5453
