Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-0.79,1,-3.59,1,-0.41,1,-0.42,1,-0.67,1,-3.62,1,-0.31,1,-0.29
2,-0.75,2,-3.59,2,-0.41,2,-0.41,2,-0.64,2,-3.62,2,-0.35,2,-0.28
3,-0.72,3,-3.55,3,-0.44,3,-0.43,3,-0.6,3,-3.58,3,-0.4,3,-0.31
4,-0.68,4,-3.57,4,-0.45,4,-0.45,4,-0.57,4,-3.6,4,-0.42,4,-0.33
5,-0.65,5,-3.49,5,-0.48,5,-0.44,5,-0.54,5,-3.52,5,-0.46,5,-0.33
6,-0.61,6,-3.44,6,-0.5,6,-0.46,6,-0.5,6,-3.47,6,-0.48,6,-0.33
7,-0.58,7,-3.43,7,-0.54,7,-0.48,7,-0.48,7,-3.45,7,-0.52,7,-0.37
8,-0.56,8,-3.41,8,-0.55,8,-0.49,8,-0.45,8,-3.44,8,-0.54,8,-0.37
9,-0.53,9,-3.38,9,-0.57,9,-0.55,9,-0.43,9,-3.41,9,-0.57,9,-0.43
10,-0.52,10,-3.33,10,-0.59,10,-0.51,10,-0.41,10,-3.36,10,-0.6,10,-0.4
11,-0.5,11,-3.28,11,-0.62,11,-0.56,11,-0.4,11,-3.32,11,-0.64,11,-0.45
12,-0.49,12,-3.2,12,-0.66,12,-0.47,12,-0.38,12,-3.24,12,-0.68,12,-0.36
13,-0.48,13,-3.16,13,-0.69,13,-0.47,13,-0.37,13,-3.2,13,-0.71,13,-0.36
14,-0.46,14,-3.08,14,-0.72,14,-0.54,14,-0.35,14,-3.12,14,-0.75,14,-0.43
15,-0.45,15,-2.98,15,-0.77,15,-0.61,15,-0.34,15,-3.02,15,-0.79,15,-0.5
16,-0.44,16,-2.93,16,-0.81,16,-0.5,16,-0.33,16,-2.98,16,-0.85,16,-0.38
17,-0.44,17,-2.83,17,-0.84,17,-0.55,17,-0.33,17,-2.88,17,-0.87,17,-0.43
18,-0.44,18,-2.81,18,-0.86,18,-0.55,18,-0.32,18,-2.86,18,-0.89,18,-0.46
19,-0.43,19,-2.69,19,-0.89,19,-0.59,19,-0.32,19,-2.74,19,-0.93,19,-0.48
20,-0.43,20,-2.69,20,-0.92,20,-0.57,20,-0.31,20,-2.74,20,-0.98,20,-0.46
21,-0.42,21,-2.6,21,-0.96,21,-0.6,21,-0.31,21,-2.65,21,-1.0,21,-0.49
22,-0.42,22,-2.51,22,-0.99,22,-0.62,22,-0.3,22,-2.56,22,-1.04,22,-0.5
23,-0.42,23,-2.4,23,-1.04,23,-0.67,23,-0.3,23,-2.46,23,-1.08,23,-0.57
24,-0.41,24,-2.35,24,-1.04,24,-0.64,24,-0.29,24,-2.4,24,-1.09,24,-0.55
25,-0.41,25,-2.26,25,-1.08,25,-0.6,25,-0.29,25,-2.32,25,-1.13,25,-0.5
26,-0.41,26,-2.17,26,-1.08,26,-0.63,26,-0.29,26,-2.23,26,-1.13,26,-0.57
27,-0.41,27,-2.1,27,-1.12,27,-0.62,27,-0.29,27,-2.16,27,-1.17,27,-0.53
28,-0.41,28,-1.99,28,-1.15,28,-0.73,28,-0.29,28,-2.04,28,-1.19,28,-0.63
29,-0.41,29,-1.89,29,-1.17,29,-0.6,29,-0.29,29,-1.95,29,-1.22,29,-0.51
30,-0.41,30,-1.85,30,-1.2,30,-0.68,30,-0.29,30,-1.91,30,-1.26,30,-0.59
31,-0.41,31,-1.74,31,-1.23,31,-0.69,31,-0.29,31,-1.79,31,-1.28,31,-0.61
32,-0.4,32,-1.66,32,-1.23,32,-0.68,32,-0.28,32,-1.73,32,-1.28,32,-0.61
33,-0.41,33,-1.59,33,-1.25,33,-0.65,33,-0.29,33,-1.64,33,-1.32,33,-0.58
34,-0.41,34,-1.54,34,-1.26,34,-0.68,34,-0.28,34,-1.57,34,-1.33,34,-0.61
35,-0.4,35,-1.44,35,-1.28,35,-0.68,35,-0.28,35,-1.47,35,-1.36,35,-0.58
36,-0.4,36,-1.4,36,-1.31,36,-0.67,36,-0.28,36,-1.42,36,-1.39,36,-0.58
37,-0.4,37,-1.29,37,-1.32,37,-0.65,37,-0.28,37,-1.32,37,-1.4,37,-0.57
38,-0.41,38,-1.22,38,-1.3,38,-0.74,38,-0.28,38,-1.24,38,-1.39,38,-0.64
39,-0.4,39,-1.17,39,-1.34,39,-0.62,39,-0.28,39,-1.18,39,-1.4,39,-0.52
40,-0.41,40,-1.11,40,-1.33,40,-0.72,40,-0.28,40,-1.13,40,-1.43,40,-0.66
41,-0.4,41,-1.07,41,-1.38,41,-0.69,41,-0.28,41,-1.08,41,-1.47,41,-0.61
42,-0.41,42,-1.02,42,-1.38,42,-0.72,42,-0.28,42,-1.01,42,-1.46,42,-0.64
43,-0.4,43,-0.95,43,-1.4,43,-0.66,43,-0.28,43,-0.96,43,-1.49,43,-0.58
44,-0.4,44,-0.93,44,-1.4,44,-0.79,44,-0.28,44,-0.91,44,-1.5,44,-0.73
45,-0.4,45,-0.85,45,-1.41,45,-0.8,45,-0.28,45,-0.83,45,-1.49,45,-0.73
46,-0.4,46,-0.81,46,-1.44,46,-0.77,46,-0.28,46,-0.8,46,-1.52,46,-0.7
47,-0.41,47,-0.78,47,-1.44,47,-0.74,47,-0.28,47,-0.72,47,-1.53,47,-0.66
48,-0.4,48,-0.73,48,-1.47,48,-0.77,48,-0.28,48,-0.68,48,-1.56,48,-0.69
49,-0.41,49,-0.69,49,-1.48,49,-0.85,49,-0.28,49,-0.63,49,-1.57,49,-0.79
50,-0.4,50,-0.68,50,-1.5,50,-0.81,50,-0.28,50,-0.6,50,-1.59,50,-0.74
51,-0.41,51,-0.64,51,-1.52,51,-0.78,51,-0.28,51,-0.57,51,-1.61,51,-0.73
52,-0.4,52,-0.62,52,-1.54,52,-0.73,52,-0.28,52,-0.54,52,-1.63,52,-0.65
53,-0.4,53,-0.61,53,-1.53,53,-0.8,53,-0.28,53,-0.52,53,-1.63,53,-0.73
54,-0.41,54,-0.6,54,-1.56,54,-0.83,54,-0.28,54,-0.51,54,-1.65,54,-0.75
55,-0.4,55,-0.57,55,-1.55,55,-0.86,55,-0.28,55,-0.49,55,-1.64,55,-0.81
56,-0.4,56,-0.57,56,-1.6,56,-0.89,56,-0.28,56,-0.49,56,-1.69,56,-0.8
57,-0.4,57,-0.56,57,-1.6,57,-0.82,57,-0.28,57,-0.46,57,-1.68,57,-0.78
58,-0.4,58,-0.55,58,-1.6,58,-0.83,58,-0.28,58,-0.45,58,-1.69,58,-0.76
59,-0.41,59,-0.54,59,-1.65,59,-0.89,59,-0.28,59,-0.43,59,-1.73,59,-0.82
60,-0.41,60,-0.51,60,-1.65,60,-0.86,60,-0.28,60,-0.42,60,-1.73,60,-0.82
61,-0.4,61,-0.5,61,-1.67,61,-0.93,61,-0.28,61,-0.4,61,-1.76,61,-0.87
62,-0.4,62,-0.48,62,-1.69,62,-0.94,62,-0.28,62,-0.38,62,-1.78,62,-0.87
63,-0.4,63,-0.45,63,-1.71,63,-0.89,63,-0.28,63,-0.35,63,-1.8,63,-0.81
64,-0.4,64,-0.42,64,-1.74,64,-0.92,64,-0.28,64,-0.31,64,-1.83,64,-0.87
65,-0.4,65,-0.41,65,-1.75,65,-0.82,65,-0.28,65,-0.3,65,-1.84,65,-0.78
66,-0.4,66,-0.4,66,-1.77,66,-0.84,66,-0.28,66,-0.29,66,-1.86,66,-0.77
67,-0.4,67,-0.4,67,-1.8,67,-1.01,67,-0.28,67,-0.29,67,-1.89,67,-0.93
68,-0.4,68,-0.4,68,-1.83,68,-0.95,68,-0.28,68,-0.29,68,-1.91,68,-0.9
69,-0.4,69,-0.41,69,-1.83,69,-0.91,69,-0.27,69,-0.29,69,-1.92,69,-0.84
70,-0.41,70,-0.4,70,-1.85,70,-1.0,70,-0.28,70,-0.29,70,-1.93,70,-0.97
71,-0.4,71,-0.4,71,-1.89,71,-0.91,71,-0.28,71,-0.28,71,-1.97,71,-0.83
72,-0.4,72,-0.4,72,-1.89,72,-0.85,72,-0.28,72,-0.28,72,-1.97,72,-0.79
73,-0.4,73,-0.4,73,-1.92,73,-1.03,73,-0.28,73,-0.28,73,-2.0,73,-0.97
74,-0.4,74,-0.4,74,-1.93,74,-0.95,74,-0.28,74,-0.28,74,-2.02,74,-0.89
75,-0.4,75,-0.4,75,-1.97,75,-0.88,75,-0.28,75,-0.28,75,-2.05,75,-0.82
76,-0.4,76,-0.4,76,-2.0,76,-0.97,76,-0.28,76,-0.28,76,-2.08,76,-0.89
77,-0.4,77,-0.4,77,-2.01,77,-0.94,77,-0.28,77,-0.28,77,-2.09,77,-0.87
78,-0.4,78,-0.41,78,-2.03,78,-0.95,78,-0.28,78,-0.28,78,-2.11,78,-0.92
79,-0.4,79,-0.41,79,-2.07,79,-1.03,79,-0.28,79,-0.28,79,-2.14,79,-0.98
80,-0.4,80,-0.4,80,-2.09,80,-1.04,80,-0.27,80,-0.28,80,-2.17,80,-1.0
81,-0.4,81,-0.41,81,-2.11,81,-0.93,81,-0.28,81,-0.28,81,-2.2,81,-0.87
82,-0.4,82,-0.4,82,-2.12,82,-1.06,82,-0.28,82,-0.28,82,-2.19,82,-1.03
83,-0.4,83,-0.4,83,-2.15,83,-1.03,83,-0.28,83,-0.28,83,-2.23,83,-0.98
84,-0.4,84,-0.4,84,-2.19,84,-0.89,84,-0.28,84,-0.28,84,-2.26,84,-0.84
