Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,0.63,1,0.24,1,0.85,1,0.87,1,0.62,1,0.24,1,0.84,1,0.95
2,0.64,2,0.25,2,0.82,2,0.87,2,0.66,2,0.25,2,0.8,2,0.96
3,0.64,3,0.26,3,0.79,3,0.87,3,0.64,3,0.26,3,0.76,3,0.96
4,0.65,4,0.28,4,0.77,4,0.87,4,0.64,4,0.28,4,0.73,4,0.95
5,0.65,5,0.3,5,0.74,5,0.87,5,0.64,5,0.3,5,0.7,5,0.95
6,0.66,6,0.31,6,0.72,6,0.86,6,0.65,6,0.31,6,0.68,6,0.94
7,0.67,7,0.33,7,0.69,7,0.87,7,0.66,7,0.33,7,0.65,7,0.95
8,0.68,8,0.35,8,0.68,8,0.86,8,0.68,8,0.35,8,0.64,8,0.93
9,0.7,9,0.37,9,0.66,9,0.86,9,0.69,9,0.37,9,0.61,9,0.94
10,0.72,10,0.39,10,0.64,10,0.85,10,0.72,10,0.39,10,0.6,10,0.92
11,0.73,11,0.41,11,0.62,11,0.86,11,0.74,11,0.41,11,0.58,11,0.91
12,0.75,12,0.42,12,0.6,12,0.84,12,0.76,12,0.42,12,0.57,12,0.9
13,0.77,13,0.45,13,0.59,13,0.86,13,0.78,13,0.45,13,0.56,13,0.93
14,0.78,14,0.48,14,0.58,14,0.85,14,0.8,14,0.47,14,0.55,14,0.92
15,0.79,15,0.52,15,0.56,15,0.84,15,0.81,15,0.5,15,0.53,15,0.89
16,0.8,16,0.54,16,0.55,16,0.84,16,0.83,16,0.52,16,0.52,16,0.89
17,0.81,17,0.56,17,0.53,17,0.84,17,0.84,17,0.54,17,0.51,17,0.89
18,0.82,18,0.59,18,0.52,18,0.84,18,0.86,18,0.57,18,0.5,18,0.9
19,0.83,19,0.61,19,0.51,19,0.84,19,0.87,19,0.58,19,0.48,19,0.89
20,0.84,20,0.64,20,0.5,20,0.85,20,0.87,20,0.61,20,0.48,20,0.9
21,0.85,21,0.67,21,0.49,21,0.84,21,0.88,21,0.64,21,0.47,21,0.89
22,0.85,22,0.69,22,0.48,22,0.84,22,0.89,22,0.66,22,0.46,22,0.89
23,0.85,23,0.71,23,0.47,23,0.84,23,0.9,23,0.68,23,0.45,23,0.89
24,0.86,24,0.73,24,0.47,24,0.84,24,0.91,24,0.7,24,0.44,24,0.89
25,0.86,25,0.75,25,0.45,25,0.83,25,0.91,25,0.71,25,0.43,25,0.88
26,0.86,26,0.76,26,0.44,26,0.84,26,0.92,26,0.73,26,0.42,26,0.88
27,0.86,27,0.78,27,0.44,27,0.84,27,0.92,27,0.74,27,0.41,27,0.88
28,0.87,28,0.8,28,0.43,28,0.83,28,0.93,28,0.76,28,0.41,28,0.88
29,0.87,29,0.82,29,0.42,29,0.82,29,0.93,29,0.77,29,0.4,29,0.86
30,0.87,30,0.82,30,0.41,30,0.83,30,0.93,30,0.77,30,0.39,30,0.87
31,0.87,31,0.83,31,0.4,31,0.82,31,0.93,31,0.79,31,0.38,31,0.86
32,0.87,32,0.83,32,0.39,32,0.82,32,0.94,32,0.79,32,0.38,32,0.87
33,0.87,33,0.84,33,0.39,33,0.82,33,0.94,33,0.81,33,0.37,33,0.85
34,0.87,34,0.85,34,0.38,34,0.84,34,0.94,34,0.81,34,0.37,34,0.89
35,0.87,35,0.85,35,0.38,35,0.83,35,0.95,35,0.83,35,0.36,35,0.87
36,0.87,36,0.86,36,0.37,36,0.83,36,0.95,36,0.83,36,0.35,36,0.88
37,0.87,37,0.86,37,0.36,37,0.83,37,0.94,37,0.83,37,0.35,37,0.87
38,0.87,38,0.86,38,0.36,38,0.83,38,0.94,38,0.84,38,0.35,38,0.86
39,0.87,39,0.87,39,0.35,39,0.82,39,0.95,39,0.84,39,0.34,39,0.86
40,0.87,40,0.87,40,0.35,40,0.82,40,0.95,40,0.85,40,0.34,40,0.86
41,0.87,41,0.86,41,0.35,41,0.81,41,0.95,41,0.85,41,0.34,41,0.85
42,0.87,42,0.87,42,0.34,42,0.81,42,0.95,42,0.85,42,0.33,42,0.84
43,0.87,43,0.86,43,0.33,43,0.83,43,0.95,43,0.85,43,0.32,43,0.87
44,0.87,44,0.87,44,0.33,44,0.81,44,0.95,44,0.86,44,0.32,44,0.84
45,0.87,45,0.87,45,0.33,45,0.82,45,0.95,45,0.86,45,0.32,45,0.86
46,0.87,46,0.87,46,0.32,46,0.82,46,0.95,46,0.86,46,0.31,46,0.86
47,0.87,47,0.87,47,0.32,47,0.8,47,0.96,47,0.87,47,0.31,47,0.81
48,0.87,48,0.87,48,0.32,48,0.8,48,0.96,48,0.88,48,0.31,48,0.83
49,0.87,49,0.87,49,0.31,49,0.8,49,0.96,49,0.87,49,0.3,49,0.83
50,0.87,50,0.87,50,0.31,50,0.8,50,0.95,50,0.88,50,0.3,50,0.82
51,0.87,51,0.87,51,0.31,51,0.81,51,0.96,51,0.89,51,0.3,51,0.83
52,0.87,52,0.87,52,0.3,52,0.81,52,0.95,52,0.87,52,0.29,52,0.82
53,0.87,53,0.87,53,0.3,53,0.8,53,0.96,53,0.88,53,0.29,53,0.82
54,0.87,54,0.87,54,0.3,54,0.81,54,0.96,54,0.88,54,0.29,54,0.82
55,0.87,55,0.87,55,0.29,55,0.8,55,0.96,55,0.89,55,0.29,55,0.82
56,0.87,56,0.87,56,0.29,56,0.8,56,0.96,56,0.89,56,0.28,56,0.82
57,0.87,57,0.87,57,0.29,57,0.78,57,0.96,57,0.89,57,0.28,57,0.8
58,0.87,58,0.87,58,0.29,58,0.78,58,0.96,58,0.9,58,0.28,58,0.8
59,0.87,59,0.87,59,0.28,59,0.79,59,0.96,59,0.9,59,0.27,59,0.81
60,0.87,60,0.87,60,0.28,60,0.81,60,0.96,60,0.9,60,0.27,60,0.83
61,0.87,61,0.87,61,0.28,61,0.79,61,0.96,61,0.91,61,0.27,61,0.8
62,0.87,62,0.87,62,0.27,62,0.79,62,0.96,62,0.9,62,0.27,62,0.81
63,0.87,63,0.87,63,0.27,63,0.8,63,0.96,63,0.91,63,0.27,63,0.82
64,0.87,64,0.87,64,0.27,64,0.77,64,0.96,64,0.91,64,0.26,64,0.78
65,0.87,65,0.87,65,0.27,65,0.79,65,0.96,65,0.92,65,0.26,65,0.8
66,0.87,66,0.87,66,0.27,66,0.79,66,0.96,66,0.92,66,0.26,66,0.8
67,0.87,67,0.87,67,0.26,67,0.8,67,0.97,67,0.93,67,0.26,67,0.81
68,0.87,68,0.87,68,0.26,68,0.79,68,0.96,68,0.93,68,0.26,68,0.8
69,0.87,69,0.87,69,0.26,69,0.78,69,0.97,69,0.93,69,0.26,69,0.79
70,0.87,70,0.87,70,0.26,70,0.77,70,0.96,70,0.93,70,0.25,70,0.78
71,0.87,71,0.87,71,0.26,71,0.8,71,0.96,71,0.94,71,0.25,71,0.8
72,0.87,72,0.87,72,0.25,72,0.78,72,0.96,72,0.94,72,0.25,72,0.78
73,0.87,73,0.87,73,0.25,73,0.78,73,0.96,73,0.93,73,0.25,73,0.79
74,0.87,74,0.87,74,0.25,74,0.77,74,0.97,74,0.94,74,0.25,74,0.78
75,0.87,75,0.87,75,0.25,75,0.8,75,0.96,75,0.94,75,0.25,75,0.83
76,0.87,76,0.87,76,0.25,76,0.79,76,0.96,76,0.95,76,0.24,76,0.8
77,0.87,77,0.87,77,0.25,77,0.78,77,0.96,77,0.95,77,0.24,77,0.78
78,0.87,78,0.87,78,0.24,78,0.78,78,0.96,78,0.95,78,0.24,78,0.79
79,0.87,79,0.87,79,0.24,79,0.76,79,0.97,79,0.96,79,0.24,79,0.76
80,0.87,80,0.87,80,0.24,80,0.78,80,0.97,80,0.96,80,0.24,80,0.79
81,0.87,81,0.87,81,0.24,81,0.77,81,0.96,81,0.95,81,0.24,81,0.78
82,0.88,82,0.87,82,0.24,82,0.77,82,0.97,82,0.96,82,0.24,82,0.77
83,0.87,83,0.87,83,0.24,83,0.76,83,0.96,83,0.95,83,0.24,83,0.77
84,0.87,84,0.87,84,0.24,84,0.78,84,0.97,84,0.95,84,0.24,84,0.79
85,0.87,85,0.87,85,0.23,85,0.78,85,0.96,85,0.96,85,0.23,85,0.79
86,0.87,86,0.87,86,0.23,86,0.77,86,0.96,86,0.96,86,0.23,86,0.78
87,0.87,87,0.87,87,0.23,87,0.76,87,0.96,87,0.96,87,0.23,87,0.75
88,0.87,88,0.87,88,0.23,88,0.77,88,0.96,88,0.96,88,0.23,88,0.78
89,0.87,89,0.87,89,0.23,89,0.76,89,0.96,89,0.96,89,0.23,89,0.77
90,0.87,90,0.87,90,0.23,90,0.77,90,0.97,90,0.96,90,0.23,90,0.78
91,0.87,91,0.87,91,0.23,91,0.75,91,0.97,91,0.96,91,0.23,91,0.75
92,0.87,92,0.87,92,0.23,92,0.74,92,0.97,92,0.97,92,0.23,92,0.74
93,0.87,93,0.87,93,0.23,93,0.75,93,0.97,93,0.97,93,0.23,93,0.75
94,0.87,94,0.87,94,0.22,94,0.75,94,0.97,94,0.97,94,0.23,94,0.76
95,0.87,95,0.87,95,0.22,95,0.76,95,0.97,95,0.97,95,0.22,95,0.76
96,0.87,96,0.87,96,0.22,96,0.75,96,0.97,96,0.97,96,0.22,96,0.75
97,0.87,97,0.87,97,0.22,97,0.75,97,0.98,97,0.97,97,0.22,97,0.76
98,0.87,98,0.87,98,0.22,98,0.77,98,0.97,98,0.97,98,0.22,98,0.78
99,0.87,99,0.87,99,0.22,99,0.75,99,0.97,99,0.97,99,0.22,99,0.75
