Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-3.139,1,-3.612,1,-0.889,1,-0.965,1,-2.859,1,-3.611,1,-0.59,1,0.154
2,-2.976,2,-3.607,2,-1.134,2,-1.394,2,-2.277,2,-3.602,2,-1.027,2,0.105
3,-2.753,3,-3.565,3,-1.36,3,-0.801,3,-2.04,3,-3.526,3,-1.348,3,0.137
4,-2.489,4,-1.419,4,-1.678,4,-1.07,4,-1.794,4,-1.973,4,-1.759,4,0.161
5,-2.176,5,-2.513,5,-1.961,5,-1.59,5,-1.575,5,-3.503,5,-2.111,5,0.117
6,-1.928,6,-3.493,6,-2.146,6,-1.161,6,-1.413,6,-3.641,6,-2.311,6,0.081
7,-1.714,7,-3.519,7,-2.337,7,-1.356,7,-1.21,7,-3.522,7,-2.542,7,0.012
8,-1.542,8,-3.419,8,-2.469,8,-1.773,8,-1.065,8,-3.373,8,-2.631,8,-0.009
9,-1.404,9,-3.188,9,-2.752,9,-1.994,9,-0.954,9,-3.131,9,-2.917,9,0.057
10,-1.291,10,-3.164,10,-2.894,10,-2.208,10,-0.841,10,-3.119,10,-3.042,10,0.0
11,-1.202,11,-3.032,11,-2.964,11,-2.357,11,-0.709,11,-2.997,11,-3.068,11,-0.06
12,-1.13,12,-2.822,12,-3.106,12,-1.833,12,-0.628,12,-2.759,12,-3.185,12,0.016
13,-1.061,13,-2.913,13,-3.127,13,-1.129,13,-0.575,13,-2.936,13,-3.204,13,0.02
14,-0.978,14,-2.771,14,-3.271,14,-2.28,14,-0.494,14,-2.825,14,-3.337,14,-0.135
15,-0.907,15,-2.943,15,-3.325,15,-1.981,15,-0.394,15,-2.971,15,-3.386,15,0.127
16,-0.888,16,-2.653,16,-3.363,16,-2.776,16,-0.342,16,-2.704,16,-3.426,16,-0.202
17,-0.868,17,-2.578,17,-3.449,17,-1.033,17,-0.313,17,-2.632,17,-3.512,17,0.093
18,-0.83,18,-2.814,18,-3.486,18,-2.393,18,-0.267,18,-2.832,18,-3.532,18,-0.283
19,-0.821,19,-3.001,19,-3.455,19,-2.722,19,-0.22,19,-3.061,19,-3.493,19,-0.192
20,-0.793,20,-3.149,20,-3.541,20,-1.266,20,-0.214,20,-3.247,20,-3.568,20,-0.197
21,-0.771,21,-3.378,21,-3.507,21,-2.775,21,-0.184,21,-3.365,21,-3.539,21,-0.212
22,-0.761,22,-3.479,22,-3.591,22,-1.449,22,-0.165,22,-3.525,22,-3.636,22,-0.02
23,-0.748,23,-3.577,23,-3.638,23,-1.362,23,-0.122,23,-3.58,23,-3.671,23,-0.268
24,-0.741,24,-3.726,24,-3.656,24,-2.563,24,-0.11,24,-3.747,24,-3.682,24,-0.061
25,-0.731,25,-3.683,25,-3.633,25,-2.457,25,-0.103,25,-3.684,25,-3.671,25,-0.246
26,-0.737,26,-3.741,26,-3.661,26,-2.434,26,-0.06,26,-3.764,26,-3.686,26,-0.473
27,-0.725,27,-3.755,27,-3.605,27,-2.217,27,-0.065,27,-3.775,27,-3.611,27,-0.638
