Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-1.827,1,-3.846,1,-0.902,1,-0.691,1,-2.735,1,-3.893,1,-1.903,1,-0.245
2,-1.708,2,-3.85,2,-1.158,2,-1.362,2,-2.293,2,-3.895,2,-2.484,2,-1.433
3,-1.588,3,-3.849,3,-1.411,3,-0.764,3,-2.437,3,-3.895,3,-2.853,3,-0.624
4,-1.486,4,-3.849,4,-1.647,4,-1.009,4,-2.453,4,-3.895,4,-3.028,4,-1.056
5,-1.399,5,-3.846,5,-1.853,5,-0.826,5,-2.407,5,-3.894,5,-3.192,5,-0.708
6,-1.324,6,-3.842,6,-2.03,6,-0.899,6,-2.326,6,-3.894,6,-3.301,6,-0.995
7,-1.238,7,-3.848,7,-2.155,7,-2.485,7,-2.197,7,-3.895,7,-3.396,7,-2.757
8,-1.165,8,-3.845,8,-2.291,8,-1.258,8,-2.108,8,-3.895,8,-3.425,8,-1.679
9,-1.103,9,-3.843,9,-2.482,9,-1.143,9,-2.008,9,-3.895,9,-3.488,9,-1.332
10,-1.061,10,-3.839,10,-2.591,10,-1.749,10,-1.895,10,-3.894,10,-3.52,10,-2.187
11,-1.016,11,-3.837,11,-2.624,11,-1.272,11,-1.726,11,-3.894,11,-3.545,11,-1.68
12,-0.998,12,-3.83,12,-2.747,12,-2.023,12,-1.673,12,-3.893,12,-3.575,12,-2.648
13,-0.941,13,-3.824,13,-2.853,13,-1.962,13,-1.589,13,-3.892,13,-3.607,13,-2.645
14,-0.92,14,-3.818,14,-2.909,14,-3.028,14,-1.509,14,-3.89,14,-3.629,14,-3.319
15,-0.855,15,-3.804,15,-2.969,15,-1.704,15,-1.355,15,-3.888,15,-3.643,15,-2.39
16,-0.847,16,-3.795,16,-3.017,16,-1.731,16,-1.21,16,-3.886,16,-3.661,16,-2.475
17,-0.864,17,-3.788,17,-3.085,17,-2.732,17,-1.195,17,-3.885,17,-3.676,17,-3.293
18,-0.809,18,-3.768,18,-3.111,18,-2.692,18,-1.055,18,-3.881,18,-3.688,18,-3.188
19,-0.786,19,-3.756,19,-3.161,19,-1.853,19,-0.968,19,-3.878,19,-3.709,19,-2.543
20,-0.755,20,-3.719,20,-3.224,20,-2.667,20,-0.923,20,-3.873,20,-3.721,20,-3.095
21,-0.737,21,-3.705,21,-3.232,21,-2.056,21,-0.868,21,-3.869,21,-3.728,21,-2.749
22,-0.729,22,-3.676,22,-3.282,22,-2.266,22,-0.78,22,-3.864,22,-3.74,22,-3.133
23,-0.717,23,-3.664,23,-3.312,23,-2.514,23,-0.671,23,-3.861,23,-3.747,23,-3.089
24,-0.716,24,-3.631,24,-3.342,24,-2.298,24,-0.649,24,-3.854,24,-3.747,24,-3.049
25,-0.705,25,-3.598,25,-3.366,25,-2.226,25,-0.611,25,-3.848,25,-3.754,25,-2.849
26,-0.692,26,-3.541,26,-3.39,26,-2.066,26,-0.474,26,-3.838,26,-3.758,26,-2.862
27,-0.685,27,-3.483,27,-3.408,27,-2.605,27,-0.519,27,-3.825,27,-3.766,27,-3.262
28,-0.687,28,-3.427,28,-3.417,28,-2.546,28,-0.533,28,-3.812,28,-3.768,28,-3.155
29,-0.681,29,-3.344,29,-3.446,29,-2.749,29,-0.436,29,-3.795,29,-3.777,29,-3.307
30,-0.673,30,-3.326,30,-3.471,30,-2.844,30,-0.498,30,-3.783,30,-3.78,30,-3.395
