Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
1,-0.72093,1,-3.3568,1,-1.1857,1,-0.8076,1,-0.60461,1,-3.3549,1,-0.93597,1,-0.25773
2,-0.74726,2,-3.3523,2,-1.6448,2,-0.81856,2,-0.51102,2,-3.3552,2,-1.4125,2,-0.24929
3,-0.79538,3,-3.355,3,-1.9117,3,-0.81023,3,-0.53971,3,-3.3529,3,-1.8958,3,-0.30893
4,-0.82022,4,-3.3493,4,-1.9704,4,-0.83575,4,-0.61408,4,-3.3462,4,-1.9587,4,-0.3136
5,-0.72808,5,-3.3394,5,-2.1952,5,-0.91066,5,-0.62327,5,-3.3381,5,-2.1518,5,-0.32258
6,-0.85291,6,-3.3421,6,-2.1528,6,-0.93046,6,-0.61939,6,-3.3418,6,-2.288,6,-0.47137
7,-0.78491,7,-3.3343,7,-2.2812,7,-0.97451,7,-0.57642,7,-3.3284,7,-2.2459,7,-0.44525
8,-0.8165,8,-3.3235,8,-2.3161,8,-0.97239,8,-0.62678,8,-3.3225,8,-2.2793,8,-0.52013
9,-0.7715,9,-3.3122,9,-2.457,9,-1.0747,9,-0.575,9,-3.3108,9,-2.3143,9,-0.47659
10,-0.77829,10,-3.3088,10,-2.4543,10,-1.148,10,-0.53768,10,-3.3058,10,-2.4174,10,-0.59347
11,-0.8113,11,-3.2987,11,-2.4656,11,-1.0923,11,-0.46823,11,-3.2884,11,-2.4102,11,-0.58221
12,-0.79893,12,-3.3027,12,-2.5021,12,-1.0724,12,-0.448,12,-3.3013,12,-2.4527,12,-0.60553
13,-0.7583,13,-3.2763,13,-2.5611,13,-1.039,13,-0.41639,13,-3.2733,13,-2.4853,13,-0.51684
14,-0.74837,14,-3.2622,14,-2.4766,14,-1.1479,14,-0.39202,14,-3.2564,14,-2.5227,14,-0.60518
15,-0.73621,15,-3.2381,15,-2.4971,15,-1.5021,15,-0.44846,15,-3.2418,15,-2.5071,15,-1.0314
16,-0.7906,16,-3.2488,16,-2.6005,16,-1.4045,16,-0.40857,16,-3.2467,16,-2.5455,16,-0.89433
17,-0.83222,17,-3.2215,17,-2.5937,17,-1.2833,17,-0.43725,17,-3.2088,17,-2.6047,17,-0.92593
18,-0.78793,18,-3.1888,18,-2.6608,18,-1.1976,18,-0.39221,18,-3.1944,18,-2.6987,18,-0.75384
19,-0.80503,19,-3.1825,19,-2.623,19,-1.7553,19,-0.39967,19,-3.1851,19,-2.6343,19,-1.1372
20,-0.77094,20,-3.155,20,-2.716,20,-1.5903,20,-0.41006,20,-3.1387,20,-2.6911,20,-1.1999
21,-0.78585,21,-3.1361,21,-2.753,21,-1.6536,21,-0.37638,21,-3.151,21,-2.7363,21,-1.3119
22,-0.77258,22,-3.1479,22,-2.768,22,-1.68,22,-0.38057,22,-3.1578,22,-2.7638,22,-1.3719
23,-0.78149,23,-3.0929,23,-2.8085,23,-1.3122,23,-0.34199,23,-3.0904,23,-2.7973,23,-1.1263
24,-0.77352,24,-3.0665,24,-2.7854,24,-1.3203,24,-0.3712,24,-3.0745,24,-2.7979,24,-0.99412
25,-0.77263,25,-3.0625,25,-2.8399,25,-1.9458,25,-0.35409,25,-3.0844,25,-2.8481,25,-1.3511
26,-0.79252,26,-3.051,26,-2.8533,26,-1.8227,26,-0.32779,26,-3.0822,26,-2.8614,26,-1.0692
27,-0.78229,27,-3.0332,27,-2.8522,27,-1.8608,27,-0.32998,27,-3.0423,27,-2.8764,27,-1.7342
28,-0.78536,28,-2.9643,28,-2.8632,28,-1.9131,28,-0.35305,28,-3.0134,28,-2.8765,28,-1.7807
29,-0.77195,29,-2.9877,29,-2.8597,29,-1.8387,29,-0.30426,29,-3.0086,29,-2.8631,29,-1.2948
30,-0.80535,30,-2.9655,30,-2.8526,30,-1.9514,30,-0.3536,30,-2.9886,30,-2.8811,30,-1.5199
31,-0.77418,31,-2.9742,31,-2.865,31,-1.5025,31,-0.34085,31,-2.9911,31,-2.8911,31,-1.5049
32,-0.80867,32,-2.9424,32,-2.8844,32,-1.9122,32,-0.3219,32,-2.9269,32,-2.9175,32,-1.2379
33,-0.8246,33,-2.8453,33,-2.9503,33,-1.9831,33,-0.30958,33,-2.908,33,-2.9341,33,-1.8851
34,-0.79083,34,-2.8199,34,-2.9242,34,-1.9842,34,-0.3295,34,-2.8549,34,-2.9402,34,-1.5316
35,-0.81877,35,-2.718,35,-2.9351,35,-2.2101,35,-0.30473,35,-2.7544,35,-2.9418,35,-2.0998
36,-0.79244,36,-2.7306,36,-2.9217,36,-2.0859,36,-0.29613,36,-2.8077,36,-2.9384,36,-1.5875
37,-0.76319,37,-2.6505,37,-2.9132,37,-2.1466,37,-0.31021,37,-2.6625,37,-2.9302,37,-2.2145
38,-0.77811,38,-2.5383,38,-2.9285,38,-2.2848,38,-0.31531,38,-2.6524,38,-2.9416,38,-2.1938
39,-0.78113,39,-2.4678,39,-2.9446,39,-2.4391,39,-0.2747,39,-2.5456,39,-2.9545,39,-2.3668
40,-0.80706,40,-2.3269,40,-2.9952,40,-2.3652,40,-0.28773,40,-2.3516,40,-2.9869,40,-2.364
41,-0.77711,41,-2.444,41,-2.9938,41,-1.9414,41,-0.27308,41,-2.4896,41,-2.9844,41,-1.8758
42,-0.80056,42,-2.3169,42,-2.9959,42,-2.2663,42,-0.29012,42,-2.2418,42,-2.9892,42,-1.8642
43,-0.77883,43,-1.9327,43,-3.005,43,-2.2066,43,-0.22311,43,-1.9759,43,-2.9972,43,-2.1287
44,-0.75392,44,-1.774,44,-3.033,44,-2.4277,44,-0.23998,44,-1.7678,44,-3.019,44,-2.2333
45,-0.77208,45,-1.3707,45,-3.0307,45,-2.205,45,-0.28689,45,-1.3052,45,-3.0261,45,-2.028
46,-0.81476,46,-1.0111,46,-3.0277,46,-2.314,46,-0.25165,46,-1.0413,46,-3.0342,46,-2.1871
